step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,95.762372288,95.762372288,pim,32,17,47,17,41.210832
0,1,95.762372288,191.524744576,95.762372288,pim,32,17,47,17,41.210832
0,2,191.524744576,287.287116864,95.762372288,pim,32,17,47,17,41.210832
0,3,287.287116864,383.049489152,95.762372288,pim,32,17,47,17,41.210832
0,4,383.049489152,478.81186144,95.762372288,pim,32,17,47,17,41.210832
0,5,478.81186144,574.574233728,95.762372288,pim,32,17,47,17,41.210832
0,6,574.574233728,670.336606016,95.762372288,pim,32,17,47,17,41.210832
0,7,670.336606016,766.098978304,95.762372288,pim,32,17,47,17,41.210832
0,8,766.098978304,861.861350592,95.762372288,pim,32,17,47,17,41.210832
0,9,861.861350592,957.62372288,95.762372288,pim,32,17,47,17,41.210832
0,10,957.62372288,1053.386095168,95.762372288,pim,32,17,47,17,41.210832
0,11,1053.386095168,1149.148467456,95.762372288,pim,32,17,47,17,41.210832
0,12,1149.148467456,1244.910839744,95.762372288,pim,32,17,47,17,41.210832
0,13,1244.910839744,1340.673212032,95.762372288,pim,32,17,47,17,41.210832
0,14,1340.673212032,1436.43558432,95.762372288,pim,32,17,47,17,41.210832
0,15,1436.43558432,1532.197956608,95.762372288,pim,32,17,47,17,41.210832
0,16,1532.197956608,1627.960328896,95.762372288,pim,32,17,47,17,41.210832
0,17,1627.960328896,1723.722701184,95.762372288,pim,32,17,47,17,41.210832
0,18,1723.722701184,1819.485073472,95.762372288,pim,32,17,47,17,41.210832
0,19,1819.485073472,1915.24744576,95.762372288,pim,32,17,47,17,41.210832
0,20,1915.24744576,2011.009818048,95.762372288,pim,32,17,47,17,41.210832
0,21,2011.009818048,2106.772190336,95.762372288,pim,32,17,47,17,41.210832
0,22,2106.772190336,2202.534562624,95.762372288,pim,32,17,47,17,41.210832
0,23,2202.534562624,2298.296934912,95.762372288,pim,32,17,47,17,41.210832
0,24,2298.296934912,2394.0593072,95.762372288,pim,32,17,47,17,41.210832
0,25,2394.0593072,2489.821679488,95.762372288,pim,32,17,47,17,41.210832
0,26,2489.821679488,2585.584051776,95.762372288,pim,32,17,47,17,41.210832
0,27,2585.584051776,2681.346424064,95.762372288,pim,32,17,47,17,41.210832
0,28,2681.346424064,2777.108796352,95.762372288,pim,32,17,47,17,41.210832
0,29,2777.108796352,2872.87116864,95.762372288,pim,32,17,47,17,41.210832
0,30,2872.87116864,2968.633540928,95.762372288,pim,32,17,47,17,41.210832
0,31,2968.633540928,3064.395913216,95.762372288,pim,32,17,47,17,41.210832
0,32,3064.395913216,3160.158285504,95.762372288,pim,32,17,47,17,41.210832
0,33,3160.158285504,3255.920657792,95.762372288,pim,32,17,47,17,41.210832
0,34,3255.920657792,3351.68303008,95.762372288,pim,32,17,47,17,41.210832
0,35,3351.68303008,3447.445402368,95.762372288,pim,32,17,47,17,41.210832
0,36,3447.445402368,3543.207774656,95.762372288,pim,32,17,47,17,41.210832
0,37,3543.207774656,3638.970146944,95.762372288,pim,32,17,47,17,41.210832
0,38,3638.970146944,3734.732519232,95.762372288,pim,32,17,47,17,41.210832
0,39,3734.732519232,3830.49489152,95.762372288,pim,32,17,47,17,41.210832
0,40,3830.49489152,3926.257263808,95.762372288,pim,32,17,47,17,41.210832
0,41,3926.257263808,4022.019636096,95.762372288,pim,32,17,47,17,41.210832
0,42,4022.019636096,4117.782008384,95.762372288,pim,32,17,47,17,41.210832
0,43,4117.782008384,4213.544380672,95.762372288,pim,32,17,47,17,41.210832
0,44,4213.544380672,4309.30675296,95.762372288,pim,32,17,47,17,41.210832
0,45,4309.30675296,4405.069125248,95.762372288,pim,32,17,47,17,41.210832
0,46,4405.069125248,4500.831497536,95.762372288,pim,32,17,47,17,41.210832
0,47,4500.831497536,4596.593869824,95.762372288,pim,32,17,47,17,41.210832
1,0,4596.593869824,4692.380890112,95.787020288,pim,32,17,47,17,41.23548
