step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,133.351096,133.351096,pim,0,49,0,64,102.83832
0,1,133.351096,266.702192,133.351096,pim,0,49,0,64,102.83832
0,2,266.702192,400.053288,133.351096,pim,0,49,0,64,102.83832
0,3,400.053288,533.404384,133.351096,pim,0,49,0,64,102.83832
0,4,533.404384,666.75548,133.351096,pim,0,49,0,64,102.83832
0,5,666.75548,800.106576,133.351096,pim,0,49,0,64,102.83832
0,6,800.106576,933.457672,133.351096,pim,0,49,0,64,102.83832
0,7,933.457672,1066.808768,133.351096,pim,0,49,0,64,102.83832
0,8,1066.808768,1200.159864,133.351096,pim,0,49,0,64,102.83832
0,9,1200.159864,1333.51096,133.351096,pim,0,49,0,64,102.83832
0,10,1333.51096,1466.862056,133.351096,pim,0,49,0,64,102.83832
0,11,1466.862056,1600.213152,133.351096,pim,0,49,0,64,102.83832
0,12,1600.213152,1733.564248,133.351096,pim,0,49,0,64,102.83832
0,13,1733.564248,1866.915344,133.351096,pim,0,49,0,64,102.83832
0,14,1866.915344,2000.26644,133.351096,pim,0,49,0,64,102.83832
0,15,2000.26644,2133.617536,133.351096,pim,0,49,0,64,102.83832
0,16,2133.617536,2266.968632,133.351096,pim,0,49,0,64,102.83832
0,17,2266.968632,2400.319728,133.351096,pim,0,49,0,64,102.83832
0,18,2400.319728,2533.670824,133.351096,pim,0,49,0,64,102.83832
0,19,2533.670824,2667.02192,133.351096,pim,0,49,0,64,102.83832
0,20,2667.02192,2800.373016,133.351096,pim,0,49,0,64,102.83832
0,21,2800.373016,2933.724112,133.351096,pim,0,49,0,64,102.83832
0,22,2933.724112,3067.075208,133.351096,pim,0,49,0,64,102.83832
0,23,3067.075208,3200.426304,133.351096,pim,0,49,0,64,102.83832
0,24,3200.426304,3333.7774,133.351096,pim,0,49,0,64,102.83832
0,25,3333.7774,3467.128496,133.351096,pim,0,49,0,64,102.83832
0,26,3467.128496,3600.479592,133.351096,pim,0,49,0,64,102.83832
0,27,3600.479592,3733.830688,133.351096,pim,0,49,0,64,102.83832
0,28,3733.830688,3867.181784,133.351096,pim,0,49,0,64,102.83832
0,29,3867.181784,4000.53288,133.351096,pim,0,49,0,64,102.83832
0,30,4000.53288,4133.883976,133.351096,pim,0,49,0,64,102.83832
0,31,4133.883976,4267.235072,133.351096,pim,0,49,0,64,102.83832
0,32,4267.235072,4400.586168,133.351096,pim,0,49,0,64,102.83832
0,33,4400.586168,4533.937264,133.351096,pim,0,49,0,64,102.83832
0,34,4533.937264,4667.28836,133.351096,pim,0,49,0,64,102.83832
0,35,4667.28836,4800.639456,133.351096,pim,0,49,0,64,102.83832
0,36,4800.639456,4933.990552,133.351096,pim,0,49,0,64,102.83832
0,37,4933.990552,5067.341648,133.351096,pim,0,49,0,64,102.83832
0,38,5067.341648,5200.692744,133.351096,pim,0,49,0,64,102.83832
0,39,5200.692744,5334.04384,133.351096,pim,0,49,0,64,102.83832
0,40,5334.04384,5467.394936,133.351096,pim,0,49,0,64,102.83832
0,41,5467.394936,5600.746032,133.351096,pim,0,49,0,64,102.83832
0,42,5600.746032,5734.097128,133.351096,pim,0,49,0,64,102.83832
0,43,5734.097128,5867.448224,133.351096,pim,0,49,0,64,102.83832
0,44,5867.448224,6000.79932,133.351096,pim,0,49,0,64,102.83832
0,45,6000.79932,6134.150416,133.351096,pim,0,49,0,64,102.83832
0,46,6134.150416,6267.501512,133.351096,pim,0,49,0,64,102.83832
0,47,6267.501512,6400.852608,133.351096,pim,0,49,0,64,102.83832
1,0,6400.852608,6534.228352,133.375744,pim,0,49,0,64,102.862968
1,1,6534.228352,6667.604096,133.375744,pim,0,49,0,64,102.862968
1,2,6667.604096,6800.97984,133.375744,pim,0,49,0,64,102.862968
1,3,6800.97984,6934.355584,133.375744,pim,0,49,0,64,102.862968
1,4,6934.355584,7067.731328,133.375744,pim,0,49,0,64,102.862968
1,5,7067.731328,7201.107072,133.375744,pim,0,49,0,64,102.862968
1,6,7201.107072,7334.482816,133.375744,pim,0,49,0,64,102.862968
1,7,7334.482816,7467.85856,133.375744,pim,0,49,0,64,102.862968
1,8,7467.85856,7601.234304,133.375744,pim,0,49,0,64,102.862968
1,9,7601.234304,7734.610048,133.375744,pim,0,49,0,64,102.862968
1,10,7734.610048,7867.985792,133.375744,pim,0,49,0,64,102.862968
1,11,7867.985792,8001.361536,133.375744,pim,0,49,0,64,102.862968
