step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,167.806203456,167.806203456,gpu,49,0,64,0,61.071187456
0,1,167.806203456,335.612406912,167.806203456,gpu,49,0,64,0,61.071187456
0,2,335.612406912,503.418610368,167.806203456,gpu,49,0,64,0,61.071187456
0,3,503.418610368,671.224813824,167.806203456,gpu,49,0,64,0,61.071187456
0,4,671.224813824,839.03101728,167.806203456,gpu,49,0,64,0,61.071187456
0,5,839.03101728,1006.837220736,167.806203456,gpu,49,0,64,0,61.071187456
0,6,1006.837220736,1174.643424192,167.806203456,gpu,49,0,64,0,61.071187456
0,7,1174.643424192,1342.449627648,167.806203456,gpu,49,0,64,0,61.071187456
0,8,1342.449627648,1510.255831104,167.806203456,gpu,49,0,64,0,61.071187456
0,9,1510.255831104,1678.06203456,167.806203456,gpu,49,0,64,0,61.071187456
0,10,1678.06203456,1845.868238016,167.806203456,gpu,49,0,64,0,61.071187456
0,11,1845.868238016,2013.674441472,167.806203456,gpu,49,0,64,0,61.071187456
0,12,2013.674441472,2181.480644928,167.806203456,gpu,49,0,64,0,61.071187456
0,13,2181.480644928,2349.286848384,167.806203456,gpu,49,0,64,0,61.071187456
0,14,2349.286848384,2517.09305184,167.806203456,gpu,49,0,64,0,61.071187456
0,15,2517.09305184,2684.899255296,167.806203456,gpu,49,0,64,0,61.071187456
0,16,2684.899255296,2852.705458752,167.806203456,gpu,49,0,64,0,61.071187456
0,17,2852.705458752,3020.511662208,167.806203456,gpu,49,0,64,0,61.071187456
0,18,3020.511662208,3188.317865664,167.806203456,gpu,49,0,64,0,61.071187456
0,19,3188.317865664,3356.12406912,167.806203456,gpu,49,0,64,0,61.071187456
0,20,3356.12406912,3523.930272576,167.806203456,gpu,49,0,64,0,61.071187456
0,21,3523.930272576,3691.736476032,167.806203456,gpu,49,0,64,0,61.071187456
0,22,3691.736476032,3859.542679488,167.806203456,gpu,49,0,64,0,61.071187456
0,23,3859.542679488,4027.348882944,167.806203456,gpu,49,0,64,0,61.071187456
0,24,4027.348882944,4195.1550864,167.806203456,gpu,49,0,64,0,61.071187456
0,25,4195.1550864,4362.961289856,167.806203456,gpu,49,0,64,0,61.071187456
0,26,4362.961289856,4530.767493312,167.806203456,gpu,49,0,64,0,61.071187456
0,27,4530.767493312,4698.573696768,167.806203456,gpu,49,0,64,0,61.071187456
0,28,4698.573696768,4866.379900224,167.806203456,gpu,49,0,64,0,61.071187456
0,29,4866.379900224,5034.18610368,167.806203456,gpu,49,0,64,0,61.071187456
0,30,5034.18610368,5201.992307136,167.806203456,gpu,49,0,64,0,61.071187456
0,31,5201.992307136,5369.798510592,167.806203456,gpu,49,0,64,0,61.071187456
0,32,5369.798510592,5537.604714048,167.806203456,gpu,49,0,64,0,61.071187456
0,33,5537.604714048,5705.410917504,167.806203456,gpu,49,0,64,0,61.071187456
0,34,5705.410917504,5873.21712096,167.806203456,gpu,49,0,64,0,61.071187456
0,35,5873.21712096,6041.023324416,167.806203456,gpu,49,0,64,0,61.071187456
0,36,6041.023324416,6208.829527872,167.806203456,gpu,49,0,64,0,61.071187456
0,37,6208.829527872,6376.635731328,167.806203456,gpu,49,0,64,0,61.071187456
0,38,6376.635731328,6544.441934784,167.806203456,gpu,49,0,64,0,61.071187456
0,39,6544.441934784,6712.24813824,167.806203456,gpu,49,0,64,0,61.071187456
0,40,6712.24813824,6880.054341696,167.806203456,gpu,49,0,64,0,61.071187456
0,41,6880.054341696,7047.860545152,167.806203456,gpu,49,0,64,0,61.071187456
0,42,7047.860545152,7215.666748608,167.806203456,gpu,49,0,64,0,61.071187456
0,43,7215.666748608,7383.472952064,167.806203456,gpu,49,0,64,0,61.071187456
0,44,7383.472952064,7551.27915552,167.806203456,gpu,49,0,64,0,61.071187456
0,45,7551.27915552,7719.085358976,167.806203456,gpu,49,0,64,0,61.071187456
0,46,7719.085358976,7886.891562432,167.806203456,gpu,49,0,64,0,61.071187456
0,47,7886.891562432,8054.697765888,167.806203456,gpu,49,0,64,0,61.071187456
1,0,8054.697765888,8222.506017344,167.808251456,gpu,49,0,64,0,61.071187456
1,1,8222.506017344,8390.3142688,167.808251456,gpu,49,0,64,0,61.071187456
1,2,8390.3142688,8558.122520256,167.808251456,gpu,49,0,64,0,61.071187456
1,3,8558.122520256,8725.930771712,167.808251456,gpu,49,0,64,0,61.071187456
1,4,8725.930771712,8893.739023168,167.808251456,gpu,49,0,64,0,61.071187456
1,5,8893.739023168,9061.547274624,167.808251456,gpu,49,0,64,0,61.071187456
1,6,9061.547274624,9229.35552608,167.808251456,gpu,49,0,64,0,61.071187456
1,7,9229.35552608,9397.163777536,167.808251456,gpu,49,0,64,0,61.071187456
1,8,9397.163777536,9564.972028992,167.808251456,gpu,49,0,64,0,61.071187456
1,9,9564.972028992,9732.780280448,167.808251456,gpu,49,0,64,0,61.071187456
1,10,9732.780280448,9900.588531904,167.808251456,gpu,49,0,64,0,61.071187456
1,11,9900.588531904,10068.39678336,167.808251456,gpu,49,0,64,0,61.071187456
1,12,10068.39678336,10236.205034816,167.808251456,gpu,49,0,64,0,61.071187456
1,13,10236.205034816,10404.013286272,167.808251456,gpu,49,0,64,0,61.071187456
1,14,10404.013286272,10571.821537728,167.808251456,gpu,49,0,64,0,61.071187456
1,15,10571.821537728,10739.629789184,167.808251456,gpu,49,0,64,0,61.071187456
1,16,10739.629789184,10907.43804064,167.808251456,gpu,49,0,64,0,61.071187456
1,17,10907.43804064,11075.246292096,167.808251456,gpu,49,0,64,0,61.071187456
1,18,11075.246292096,11243.054543552,167.808251456,gpu,49,0,64,0,61.071187456
1,19,11243.054543552,11410.862795008,167.808251456,gpu,49,0,64,0,61.071187456
1,20,11410.862795008,11578.671046464,167.808251456,gpu,49,0,64,0,61.071187456
1,21,11578.671046464,11746.47929792,167.808251456,gpu,49,0,64,0,61.071187456
1,22,11746.47929792,11914.287549376,167.808251456,gpu,49,0,64,0,61.071187456
1,23,11914.287549376,12082.095800832,167.808251456,gpu,49,0,64,0,61.071187456
1,24,12082.095800832,12249.904052288,167.808251456,gpu,49,0,64,0,61.071187456
1,25,12249.904052288,12417.712303744,167.808251456,gpu,49,0,64,0,61.071187456
1,26,12417.712303744,12585.5205552,167.808251456,gpu,49,0,64,0,61.071187456
1,27,12585.5205552,12753.328806656,167.808251456,gpu,49,0,64,0,61.071187456
1,28,12753.328806656,12921.137058112,167.808251456,gpu,49,0,64,0,61.071187456
1,29,12921.137058112,13088.945309568,167.808251456,gpu,49,0,64,0,61.071187456
1,30,13088.945309568,13256.753561024,167.808251456,gpu,49,0,64,0,61.071187456
1,31,13256.753561024,13424.56181248,167.808251456,gpu,49,0,64,0,61.071187456
1,32,13424.56181248,13592.370063936,167.808251456,gpu,49,0,64,0,61.071187456
1,33,13592.370063936,13760.178315392,167.808251456,gpu,49,0,64,0,61.071187456
1,34,13760.178315392,13927.986566848,167.808251456,gpu,49,0,64,0,61.071187456
1,35,13927.986566848,14095.794818304,167.808251456,gpu,49,0,64,0,61.071187456
1,36,14095.794818304,14263.60306976,167.808251456,gpu,49,0,64,0,61.071187456
1,37,14263.60306976,14431.411321216,167.808251456,gpu,49,0,64,0,61.071187456
1,38,14431.411321216,14599.219572672,167.808251456,gpu,49,0,64,0,61.071187456
1,39,14599.219572672,14767.027824128,167.808251456,gpu,49,0,64,0,61.071187456
1,40,14767.027824128,14934.836075584,167.808251456,gpu,49,0,64,0,61.071187456
1,41,14934.836075584,15102.64432704,167.808251456,gpu,49,0,64,0,61.071187456
1,42,15102.64432704,15270.452578496,167.808251456,gpu,49,0,64,0,61.071187456
1,43,15270.452578496,15438.260829952,167.808251456,gpu,49,0,64,0,61.071187456
1,44,15438.260829952,15606.069081408,167.808251456,gpu,49,0,64,0,61.071187456
1,45,15606.069081408,15773.877332864,167.808251456,gpu,49,0,64,0,61.071187456
1,46,15773.877332864,15941.68558432,167.808251456,gpu,49,0,64,0,61.071187456
1,47,15941.68558432,16109.493835776,167.808251456,gpu,49,0,64,0,61.071187456
