step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,183.597683456,183.597683456,pim,49,0,64,0,61.071187456
0,1,183.597683456,367.195366912,183.597683456,pim,49,0,64,0,61.071187456
0,2,367.195366912,550.793050368,183.597683456,pim,49,0,64,0,61.071187456
0,3,550.793050368,734.390733824,183.597683456,pim,49,0,64,0,61.071187456
0,4,734.390733824,917.98841728,183.597683456,pim,49,0,64,0,61.071187456
0,5,917.98841728,1101.586100736,183.597683456,pim,49,0,64,0,61.071187456
0,6,1101.586100736,1285.183784192,183.597683456,pim,49,0,64,0,61.071187456
0,7,1285.183784192,1468.781467648,183.597683456,pim,49,0,64,0,61.071187456
0,8,1468.781467648,1652.379151104,183.597683456,pim,49,0,64,0,61.071187456
0,9,1652.379151104,1835.97683456,183.597683456,pim,49,0,64,0,61.071187456
0,10,1835.97683456,2019.574518016,183.597683456,pim,49,0,64,0,61.071187456
0,11,2019.574518016,2203.172201472,183.597683456,pim,49,0,64,0,61.071187456
0,12,2203.172201472,2386.769884928,183.597683456,pim,49,0,64,0,61.071187456
0,13,2386.769884928,2570.367568384,183.597683456,pim,49,0,64,0,61.071187456
0,14,2570.367568384,2753.96525184,183.597683456,pim,49,0,64,0,61.071187456
0,15,2753.96525184,2937.562935296,183.597683456,pim,49,0,64,0,61.071187456
0,16,2937.562935296,3121.160618752,183.597683456,pim,49,0,64,0,61.071187456
0,17,3121.160618752,3304.758302208,183.597683456,pim,49,0,64,0,61.071187456
0,18,3304.758302208,3488.355985664,183.597683456,pim,49,0,64,0,61.071187456
0,19,3488.355985664,3671.95366912,183.597683456,pim,49,0,64,0,61.071187456
0,20,3671.95366912,3855.551352576,183.597683456,pim,49,0,64,0,61.071187456
0,21,3855.551352576,4039.149036032,183.597683456,pim,49,0,64,0,61.071187456
0,22,4039.149036032,4222.746719488,183.597683456,pim,49,0,64,0,61.071187456
0,23,4222.746719488,4406.344402944,183.597683456,pim,49,0,64,0,61.071187456
0,24,4406.344402944,4589.9420864,183.597683456,pim,49,0,64,0,61.071187456
0,25,4589.9420864,4773.539769856,183.597683456,pim,49,0,64,0,61.071187456
0,26,4773.539769856,4957.137453312,183.597683456,pim,49,0,64,0,61.071187456
0,27,4957.137453312,5140.735136768,183.597683456,pim,49,0,64,0,61.071187456
0,28,5140.735136768,5324.332820224,183.597683456,pim,49,0,64,0,61.071187456
0,29,5324.332820224,5507.93050368,183.597683456,pim,49,0,64,0,61.071187456
0,30,5507.93050368,5691.528187136,183.597683456,pim,49,0,64,0,61.071187456
0,31,5691.528187136,5875.125870592,183.597683456,pim,49,0,64,0,61.071187456
0,32,5875.125870592,6058.723554048,183.597683456,pim,49,0,64,0,61.071187456
0,33,6058.723554048,6242.321237504,183.597683456,pim,49,0,64,0,61.071187456
0,34,6242.321237504,6425.91892096,183.597683456,pim,49,0,64,0,61.071187456
0,35,6425.91892096,6609.516604416,183.597683456,pim,49,0,64,0,61.071187456
0,36,6609.516604416,6793.114287872,183.597683456,pim,49,0,64,0,61.071187456
0,37,6793.114287872,6976.711971328,183.597683456,pim,49,0,64,0,61.071187456
0,38,6976.711971328,7160.309654784,183.597683456,pim,49,0,64,0,61.071187456
0,39,7160.309654784,7343.90733824,183.597683456,pim,49,0,64,0,61.071187456
0,40,7343.90733824,7527.505021696,183.597683456,pim,49,0,64,0,61.071187456
0,41,7527.505021696,7711.102705152,183.597683456,pim,49,0,64,0,61.071187456
0,42,7711.102705152,7894.700388608,183.597683456,pim,49,0,64,0,61.071187456
0,43,7894.700388608,8078.298072064,183.597683456,pim,49,0,64,0,61.071187456
0,44,8078.298072064,8261.89575552,183.597683456,pim,49,0,64,0,61.071187456
0,45,8261.89575552,8445.493438976,183.597683456,pim,49,0,64,0,61.071187456
0,46,8445.493438976,8629.091122432,183.597683456,pim,49,0,64,0,61.071187456
0,47,8629.091122432,8812.688805888,183.597683456,pim,49,0,64,0,61.071187456
1,0,8812.688805888,8996.311137344,183.622331456,pim,49,0,64,0,61.071187456
1,1,8996.311137344,9179.9334688,183.622331456,pim,49,0,64,0,61.071187456
