step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,113.362192,113.362192,pim,2,47,13,51,85.792824
0,1,113.362192,226.724384,113.362192,pim,2,47,13,51,85.792824
0,2,226.724384,340.086576,113.362192,pim,2,47,13,51,85.792824
0,3,340.086576,453.448768,113.362192,pim,2,47,13,51,85.792824
0,4,453.448768,566.81096,113.362192,pim,2,47,13,51,85.792824
0,5,566.81096,680.173152,113.362192,pim,2,47,13,51,85.792824
0,6,680.173152,793.535344,113.362192,pim,2,47,13,51,85.792824
0,7,793.535344,906.897536,113.362192,pim,2,47,13,51,85.792824
0,8,906.897536,1020.259728,113.362192,pim,2,47,13,51,85.792824
0,9,1020.259728,1133.62192,113.362192,pim,2,47,13,51,85.792824
0,10,1133.62192,1246.984112,113.362192,pim,2,47,13,51,85.792824
0,11,1246.984112,1360.346304,113.362192,pim,2,47,13,51,85.792824
0,12,1360.346304,1473.708496,113.362192,pim,2,47,13,51,85.792824
0,13,1473.708496,1587.070688,113.362192,pim,2,47,13,51,85.792824
0,14,1587.070688,1700.43288,113.362192,pim,2,47,13,51,85.792824
0,15,1700.43288,1813.795072,113.362192,pim,2,47,13,51,85.792824
0,16,1813.795072,1927.157264,113.362192,pim,2,47,13,51,85.792824
0,17,1927.157264,2040.519456,113.362192,pim,2,47,13,51,85.792824
0,18,2040.519456,2153.881648,113.362192,pim,2,47,13,51,85.792824
0,19,2153.881648,2267.24384,113.362192,pim,2,47,13,51,85.792824
0,20,2267.24384,2380.606032,113.362192,pim,2,47,13,51,85.792824
0,21,2380.606032,2493.968224,113.362192,pim,2,47,13,51,85.792824
0,22,2493.968224,2607.330416,113.362192,pim,2,47,13,51,85.792824
0,23,2607.330416,2720.692608,113.362192,pim,2,47,13,51,85.792824
0,24,2720.692608,2834.0548,113.362192,pim,2,47,13,51,85.792824
0,25,2834.0548,2947.416992,113.362192,pim,2,47,13,51,85.792824
0,26,2947.416992,3060.779184,113.362192,pim,2,47,13,51,85.792824
0,27,3060.779184,3174.141376,113.362192,pim,2,47,13,51,85.792824
0,28,3174.141376,3287.503568,113.362192,pim,2,47,13,51,85.792824
0,29,3287.503568,3400.86576,113.362192,pim,2,47,13,51,85.792824
0,30,3400.86576,3514.227952,113.362192,pim,2,47,13,51,85.792824
0,31,3514.227952,3627.590144,113.362192,pim,2,47,13,51,85.792824
0,32,3627.590144,3740.952336,113.362192,pim,2,47,13,51,85.792824
0,33,3740.952336,3854.314528,113.362192,pim,2,47,13,51,85.792824
0,34,3854.314528,3967.67672,113.362192,pim,2,47,13,51,85.792824
0,35,3967.67672,4081.038912,113.362192,pim,2,47,13,51,85.792824
0,36,4081.038912,4194.401104,113.362192,pim,2,47,13,51,85.792824
0,37,4194.401104,4307.763296,113.362192,pim,2,47,13,51,85.792824
0,38,4307.763296,4421.125488,113.362192,pim,2,47,13,51,85.792824
0,39,4421.125488,4534.48768,113.362192,pim,2,47,13,51,85.792824
0,40,4534.48768,4647.849872,113.362192,pim,2,47,13,51,85.792824
0,41,4647.849872,4761.212064,113.362192,pim,2,47,13,51,85.792824
0,42,4761.212064,4874.574256,113.362192,pim,2,47,13,51,85.792824
0,43,4874.574256,4987.936448,113.362192,pim,2,47,13,51,85.792824
0,44,4987.936448,5101.29864,113.362192,pim,2,47,13,51,85.792824
0,45,5101.29864,5214.660832,113.362192,pim,2,47,13,51,85.792824
0,46,5214.660832,5328.023024,113.362192,pim,2,47,13,51,85.792824
0,47,5328.023024,5441.385216,113.362192,pim,2,47,13,51,85.792824
1,0,5441.385216,5554.772056,113.38684,pim,2,47,13,51,85.817472
1,1,5554.772056,5668.158896,113.38684,pim,2,47,13,51,85.817472
1,2,5668.158896,5781.545736,113.38684,pim,2,47,13,51,85.817472
1,3,5781.545736,5894.932576,113.38684,pim,2,47,13,51,85.817472
1,4,5894.932576,6008.319416,113.38684,pim,2,47,13,51,85.817472
1,5,6008.319416,6121.706256,113.38684,pim,2,47,13,51,85.817472
1,6,6121.706256,6235.093096,113.38684,pim,2,47,13,51,85.817472
1,7,6235.093096,6348.479936,113.38684,pim,2,47,13,51,85.817472
1,8,6348.479936,6461.866776,113.38684,pim,2,47,13,51,85.817472
1,9,6461.866776,6575.253616,113.38684,pim,2,47,13,51,85.817472
1,10,6575.253616,6688.640456,113.38684,pim,2,47,13,51,85.817472
1,11,6688.640456,6802.027296,113.38684,pim,2,47,13,51,85.817472
1,12,6802.027296,6915.414136,113.38684,pim,2,47,13,51,85.817472
1,13,6915.414136,7028.800976,113.38684,pim,2,47,13,51,85.817472
1,14,7028.800976,7142.187816,113.38684,pim,2,47,13,51,85.817472
1,15,7142.187816,7255.574656,113.38684,pim,2,47,13,51,85.817472
1,16,7255.574656,7368.961496,113.38684,pim,2,47,13,51,85.817472
1,17,7368.961496,7482.348336,113.38684,pim,2,47,13,51,85.817472
1,18,7482.348336,7595.735176,113.38684,pim,2,47,13,51,85.817472
1,19,7595.735176,7709.122016,113.38684,pim,2,47,13,51,85.817472
1,20,7709.122016,7822.508856,113.38684,pim,2,47,13,51,85.817472
1,21,7822.508856,7935.895696,113.38684,pim,2,47,13,51,85.817472
1,22,7935.895696,8049.282536,113.38684,pim,2,47,13,51,85.817472
1,23,8049.282536,8162.669376,113.38684,pim,2,47,13,51,85.817472
1,24,8162.669376,8276.056216,113.38684,pim,2,47,13,51,85.817472
1,25,8276.056216,8389.443056,113.38684,pim,2,47,13,51,85.817472
1,26,8389.443056,8502.829896,113.38684,pim,2,47,13,51,85.817472
1,27,8502.829896,8616.216736,113.38684,pim,2,47,13,51,85.817472
1,28,8616.216736,8729.603576,113.38684,pim,2,47,13,51,85.817472
1,29,8729.603576,8842.990416,113.38684,pim,2,47,13,51,85.817472
1,30,8842.990416,8956.377256,113.38684,pim,2,47,13,51,85.817472
1,31,8956.377256,9069.764096,113.38684,pim,2,47,13,51,85.817472
1,32,9069.764096,9183.150936,113.38684,pim,2,47,13,51,85.817472
1,33,9183.150936,9296.537776,113.38684,pim,2,47,13,51,85.817472
1,34,9296.537776,9409.924616,113.38684,pim,2,47,13,51,85.817472
1,35,9409.924616,9523.311456,113.38684,pim,2,47,13,51,85.817472
1,36,9523.311456,9636.698296,113.38684,pim,2,47,13,51,85.817472
1,37,9636.698296,9750.085136,113.38684,pim,2,47,13,51,85.817472
1,38,9750.085136,9863.471976,113.38684,pim,2,47,13,51,85.817472
1,39,9863.471976,9976.858816,113.38684,pim,2,47,13,51,85.817472
1,40,9976.858816,10090.245656,113.38684,pim,2,47,13,51,85.817472
1,41,10090.245656,10203.632496,113.38684,pim,2,47,13,51,85.817472
1,42,10203.632496,10317.019336,113.38684,pim,2,47,13,51,85.817472
1,43,10317.019336,10430.406176,113.38684,pim,2,47,13,51,85.817472
1,44,10430.406176,10543.793016,113.38684,pim,2,47,13,51,85.817472
1,45,10543.793016,10657.179856,113.38684,pim,2,47,13,51,85.817472
1,46,10657.179856,10770.566696,113.38684,pim,2,47,13,51,85.817472
1,47,10770.566696,10883.953536,113.38684,pim,2,47,13,51,85.817472
