step,layer,name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
0,0,step0.layer0.norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
0,0,step0.layer0.qkv,qkv,GPU_COMPUTE,step0.layer0.norm1,1.008192000,3.635776000,4.643968000,step0.layer0.norm1,QKV projection
0,0,step0.layer0.rope,rope,GPU_COMPUTE,step0.layer0.qkv,4.643968000,1.018432000,5.662400000,step0.layer0.qkv,QK norm and RoPE
0,0,step0.layer0.attention,attention,PIM_COMPUTE,step0.layer0.rope,5.662400000,18.905016000,24.567416000,step0.layer0.rope,decode attention from Ramulator cycle-v0 table
0,0,step0.layer0.o_proj,attention_output,GPU_COMPUTE,step0.layer0.attention,24.567416000,3.109440000,27.676856000,step0.layer0.attention,attention output projection
0,0,step0.layer0.residual1,residual,GPU_COMPUTE,step0.layer0.o_proj,27.676856000,1.012288000,28.689144000,step0.layer0.o_proj,residual add
0,0,step0.layer0.norm2,norm,GPU_COMPUTE,step0.layer0.residual1,28.689144000,1.008192000,29.697336000,step0.layer0.residual1,RMSNorm
0,0,step0.layer0.router,router,GPU_COMPUTE,step0.layer0.norm2,29.697336000,2.069888000,31.767224000,step0.layer0.norm2,MoE router
0,0,step0.layer0.metadata,metadata,GPU_COMPUTE,step0.layer0.router,31.767224000,1.000128000,32.767352000,step0.layer0.router,routing metadata
0,0,step0.layer0.dispatch,dispatch,,step0.layer0.metadata,32.767352000,0.000000000,32.767352000,step0.layer0.metadata,single-GPU dispatch placeholder
0,0,step0.layer0.scheduler,scheduler,GPU_COMPUTE,step0.layer0.metadata,32.767352000,20.000000000,52.767352000,step0.layer0.metadata,sieve placement policy
0,0,step0.layer0.gpu_weight_load,gpu_weight_load,,step0.layer0.scheduler,52.767352000,94.536624000,147.303976000,step0.layer0.scheduler,ordinary GPU HBM reads from mixed Ramulator cycle-v1 run
0,0,step0.layer0.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer0.gpu_weight_load;step0.layer0.dispatch,147.303976000,3.197132288,150.501108288,step0.layer0.gpu_weight_load,grouped expert GEMM
0,0,step0.layer0.pim_gwrite,pim_write,,step0.layer0.scheduler;step0.layer0.dispatch,52.767352000,5.119608000,57.886960000,step0.layer0.scheduler,PIM_GWRITE milestone from mixed Ramulator cycle-v1 run
0,0,step0.layer0.pim_expert_compute,pim_expert,,step0.layer0.pim_gwrite,57.886960000,21.039408000,78.926368000,step0.layer0.pim_gwrite,PIM_MAC milestone delta from mixed Ramulator cycle-v1 run
0,0,step0.layer0.pim_read,pim_read,,step0.layer0.pim_expert_compute,78.926368000,0.059280000,78.985648000,step0.layer0.pim_expert_compute,PIM_READ milestone delta from mixed Ramulator cycle-v1 run
0,0,step0.layer0.combine,combine,GPU_COMPUTE,step0.layer0.gpu_expert_compute;step0.layer0.pim_read,150.501108288,1.036864000,151.537972288,step0.layer0.gpu_expert_compute,weighted expert combine
0,0,step0.layer0.residual2,residual,GPU_COMPUTE,step0.layer0.combine,151.537972288,1.012288000,152.550260288,step0.layer0.combine,residual add
0,1,step0.layer1.norm1,norm,GPU_COMPUTE,step0.layer0.residual2,152.550260288,1.008192000,153.558452288,step0.layer0.residual2,RMSNorm
0,1,step0.layer1.qkv,qkv,GPU_COMPUTE,step0.layer1.norm1,153.558452288,3.635776000,157.194228288,step0.layer1.norm1,QKV projection
0,1,step0.layer1.rope,rope,GPU_COMPUTE,step0.layer1.qkv,157.194228288,1.018432000,158.212660288,step0.layer1.qkv,QK norm and RoPE
0,1,step0.layer1.attention,attention,PIM_COMPUTE,step0.layer1.rope,158.212660288,18.905016000,177.117676288,step0.layer1.rope,decode attention from Ramulator cycle-v0 table
0,1,step0.layer1.o_proj,attention_output,GPU_COMPUTE,step0.layer1.attention,177.117676288,3.109440000,180.227116288,step0.layer1.attention,attention output projection
0,1,step0.layer1.residual1,residual,GPU_COMPUTE,step0.layer1.o_proj,180.227116288,1.012288000,181.239404288,step0.layer1.o_proj,residual add
0,1,step0.layer1.norm2,norm,GPU_COMPUTE,step0.layer1.residual1,181.239404288,1.008192000,182.247596288,step0.layer1.residual1,RMSNorm
0,1,step0.layer1.router,router,GPU_COMPUTE,step0.layer1.norm2,182.247596288,2.069888000,184.317484288,step0.layer1.norm2,MoE router
0,1,step0.layer1.metadata,metadata,GPU_COMPUTE,step0.layer1.router,184.317484288,1.000128000,185.317612288,step0.layer1.router,routing metadata
0,1,step0.layer1.dispatch,dispatch,,step0.layer1.metadata,185.317612288,0.000000000,185.317612288,step0.layer1.metadata,single-GPU dispatch placeholder
0,1,step0.layer1.scheduler,scheduler,GPU_COMPUTE,step0.layer1.metadata,185.317612288,20.000000000,205.317612288,step0.layer1.metadata,sieve placement policy
0,1,step0.layer1.gpu_weight_load,gpu_weight_load,,step0.layer1.scheduler,205.317612288,94.536624000,299.854236288,step0.layer1.scheduler,ordinary GPU HBM reads from mixed Ramulator cycle-v1 run
0,1,step0.layer1.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer1.gpu_weight_load;step0.layer1.dispatch,299.854236288,3.197132288,303.051368576,step0.layer1.gpu_weight_load,grouped expert GEMM
0,1,step0.layer1.pim_gwrite,pim_write,,step0.layer1.scheduler;step0.layer1.dispatch,205.317612288,5.119608000,210.437220288,step0.layer1.scheduler,PIM_GWRITE milestone from mixed Ramulator cycle-v1 run
0,1,step0.layer1.pim_expert_compute,pim_expert,,step0.layer1.pim_gwrite,210.437220288,21.039408000,231.476628288,step0.layer1.pim_gwrite,PIM_MAC milestone delta from mixed Ramulator cycle-v1 run
0,1,step0.layer1.pim_read,pim_read,,step0.layer1.pim_expert_compute,231.476628288,0.059280000,231.535908288,step0.layer1.pim_expert_compute,PIM_READ milestone delta from mixed Ramulator cycle-v1 run
0,1,step0.layer1.combine,combine,GPU_COMPUTE,step0.layer1.gpu_expert_compute;step0.layer1.pim_read,303.051368576,1.036864000,304.088232576,step0.layer1.gpu_expert_compute,weighted expert combine
0,1,step0.layer1.residual2,residual,GPU_COMPUTE,step0.layer1.combine,304.088232576,1.012288000,305.100520576,step0.layer1.combine,residual add
0,2,step0.layer2.norm1,norm,GPU_COMPUTE,step0.layer1.residual2,305.100520576,1.008192000,306.108712576,step0.layer1.residual2,RMSNorm
0,2,step0.layer2.qkv,qkv,GPU_COMPUTE,step0.layer2.norm1,306.108712576,3.635776000,309.744488576,step0.layer2.norm1,QKV projection
0,2,step0.layer2.rope,rope,GPU_COMPUTE,step0.layer2.qkv,309.744488576,1.018432000,310.762920576,step0.layer2.qkv,QK norm and RoPE
0,2,step0.layer2.attention,attention,PIM_COMPUTE,step0.layer2.rope,310.762920576,18.905016000,329.667936576,step0.layer2.rope,decode attention from Ramulator cycle-v0 table
0,2,step0.layer2.o_proj,attention_output,GPU_COMPUTE,step0.layer2.attention,329.667936576,3.109440000,332.777376576,step0.layer2.attention,attention output projection
0,2,step0.layer2.residual1,residual,GPU_COMPUTE,step0.layer2.o_proj,332.777376576,1.012288000,333.789664576,step0.layer2.o_proj,residual add
0,2,step0.layer2.norm2,norm,GPU_COMPUTE,step0.layer2.residual1,333.789664576,1.008192000,334.797856576,step0.layer2.residual1,RMSNorm
0,2,step0.layer2.router,router,GPU_COMPUTE,step0.layer2.norm2,334.797856576,2.069888000,336.867744576,step0.layer2.norm2,MoE router
0,2,step0.layer2.metadata,metadata,GPU_COMPUTE,step0.layer2.router,336.867744576,1.000128000,337.867872576,step0.layer2.router,routing metadata
0,2,step0.layer2.dispatch,dispatch,,step0.layer2.metadata,337.867872576,0.000000000,337.867872576,step0.layer2.metadata,single-GPU dispatch placeholder
0,2,step0.layer2.scheduler,scheduler,GPU_COMPUTE,step0.layer2.metadata,337.867872576,20.000000000,357.867872576,step0.layer2.metadata,sieve placement policy
0,2,step0.layer2.gpu_weight_load,gpu_weight_load,,step0.layer2.scheduler,357.867872576,94.536624000,452.404496576,step0.layer2.scheduler,ordinary GPU HBM reads from mixed Ramulator cycle-v1 run
0,2,step0.layer2.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer2.gpu_weight_load;step0.layer2.dispatch,452.404496576,3.197132288,455.601628864,step0.layer2.gpu_weight_load,grouped expert GEMM
0,2,step0.layer2.pim_gwrite,pim_write,,step0.layer2.scheduler;step0.layer2.dispatch,357.867872576,5.119608000,362.987480576,step0.layer2.scheduler,PIM_GWRITE milestone from mixed Ramulator cycle-v1 run
0,2,step0.layer2.pim_expert_compute,pim_expert,,step0.layer2.pim_gwrite,362.987480576,21.039408000,384.026888576,step0.layer2.pim_gwrite,PIM_MAC milestone delta from mixed Ramulator cycle-v1 run
0,2,step0.layer2.pim_read,pim_read,,step0.layer2.pim_expert_compute,384.026888576,0.059280000,384.086168576,step0.layer2.pim_expert_compute,PIM_READ milestone delta from mixed Ramulator cycle-v1 run
0,2,step0.layer2.combine,combine,GPU_COMPUTE,step0.layer2.gpu_expert_compute;step0.layer2.pim_read,455.601628864,1.036864000,456.638492864,step0.layer2.gpu_expert_compute,weighted expert combine
0,2,step0.layer2.residual2,residual,GPU_COMPUTE,step0.layer2.combine,456.638492864,1.012288000,457.650780864,step0.layer2.combine,residual add
0,3,step0.layer3.norm1,norm,GPU_COMPUTE,step0.layer2.residual2,457.650780864,1.008192000,458.658972864,step0.layer2.residual2,RMSNorm
0,3,step0.layer3.qkv,qkv,GPU_COMPUTE,step0.layer3.norm1,458.658972864,3.635776000,462.294748864,step0.layer3.norm1,QKV projection
0,3,step0.layer3.rope,rope,GPU_COMPUTE,step0.layer3.qkv,462.294748864,1.018432000,463.313180864,step0.layer3.qkv,QK norm and RoPE
0,3,step0.layer3.attention,attention,PIM_COMPUTE,step0.layer3.rope,463.313180864,18.905016000,482.218196864,step0.layer3.rope,decode attention from Ramulator cycle-v0 table
0,3,step0.layer3.o_proj,attention_output,GPU_COMPUTE,step0.layer3.attention,482.218196864,3.109440000,485.327636864,step0.layer3.attention,attention output projection
0,3,step0.layer3.residual1,residual,GPU_COMPUTE,step0.layer3.o_proj,485.327636864,1.012288000,486.339924864,step0.layer3.o_proj,residual add
0,3,step0.layer3.norm2,norm,GPU_COMPUTE,step0.layer3.residual1,486.339924864,1.008192000,487.348116864,step0.layer3.residual1,RMSNorm
0,3,step0.layer3.router,router,GPU_COMPUTE,step0.layer3.norm2,487.348116864,2.069888000,489.418004864,step0.layer3.norm2,MoE router
0,3,step0.layer3.metadata,metadata,GPU_COMPUTE,step0.layer3.router,489.418004864,1.000128000,490.418132864,step0.layer3.router,routing metadata
0,3,step0.layer3.dispatch,dispatch,,step0.layer3.metadata,490.418132864,0.000000000,490.418132864,step0.layer3.metadata,single-GPU dispatch placeholder
0,3,step0.layer3.scheduler,scheduler,GPU_COMPUTE,step0.layer3.metadata,490.418132864,20.000000000,510.418132864,step0.layer3.metadata,sieve placement policy
0,3,step0.layer3.gpu_weight_load,gpu_weight_load,,step0.layer3.scheduler,510.418132864,94.536624000,604.954756864,step0.layer3.scheduler,ordinary GPU HBM reads from mixed Ramulator cycle-v1 run
