step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,1,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,2,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,3,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,4,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,5,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,6,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,7,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,8,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,9,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,10,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,11,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,12,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,13,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,14,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,15,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,16,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,17,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,18,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,19,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,20,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,21,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,22,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,23,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,24,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,25,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,26,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,27,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,28,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,29,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,30,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,31,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,32,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,33,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,34,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,35,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,36,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,37,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,38,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,39,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,40,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,41,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,42,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,43,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,44,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,45,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,46,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
0,47,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,0,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,1,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,2,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,3,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,4,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,5,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,6,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,7,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,8,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
1,9,True,47.130408,47.121984,-0.008424,50.841024,50.844768,0.003744,50.844768,1450368,1664,2556301440,4718592,1491200,46848,46592
