step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,105.661272,105.661272,pim,16,33,31,33,70.844768
0,1,105.661272,211.322544,105.661272,pim,16,33,31,33,70.844768
0,2,211.322544,316.983816,105.661272,pim,16,33,31,33,70.844768
0,3,316.983816,422.645088,105.661272,pim,16,33,31,33,70.844768
0,4,422.645088,528.30636,105.661272,pim,16,33,31,33,70.844768
0,5,528.30636,633.967632,105.661272,pim,16,33,31,33,70.844768
0,6,633.967632,739.628904,105.661272,pim,16,33,31,33,70.844768
0,7,739.628904,845.290176,105.661272,pim,16,33,31,33,70.844768
0,8,845.290176,950.951448,105.661272,pim,16,33,31,33,70.844768
0,9,950.951448,1056.61272,105.661272,pim,16,33,31,33,70.844768
0,10,1056.61272,1162.273992,105.661272,pim,16,33,31,33,70.844768
0,11,1162.273992,1267.935264,105.661272,pim,16,33,31,33,70.844768
0,12,1267.935264,1373.596536,105.661272,pim,16,33,31,33,70.844768
0,13,1373.596536,1479.257808,105.661272,pim,16,33,31,33,70.844768
0,14,1479.257808,1584.91908,105.661272,pim,16,33,31,33,70.844768
0,15,1584.91908,1690.580352,105.661272,pim,16,33,31,33,70.844768
0,16,1690.580352,1796.241624,105.661272,pim,16,33,31,33,70.844768
0,17,1796.241624,1901.902896,105.661272,pim,16,33,31,33,70.844768
0,18,1901.902896,2007.564168,105.661272,pim,16,33,31,33,70.844768
0,19,2007.564168,2113.22544,105.661272,pim,16,33,31,33,70.844768
0,20,2113.22544,2218.886712,105.661272,pim,16,33,31,33,70.844768
0,21,2218.886712,2324.547984,105.661272,pim,16,33,31,33,70.844768
0,22,2324.547984,2430.209256,105.661272,pim,16,33,31,33,70.844768
0,23,2430.209256,2535.870528,105.661272,pim,16,33,31,33,70.844768
0,24,2535.870528,2641.5318,105.661272,pim,16,33,31,33,70.844768
0,25,2641.5318,2747.193072,105.661272,pim,16,33,31,33,70.844768
0,26,2747.193072,2852.854344,105.661272,pim,16,33,31,33,70.844768
0,27,2852.854344,2958.515616,105.661272,pim,16,33,31,33,70.844768
0,28,2958.515616,3064.176888,105.661272,pim,16,33,31,33,70.844768
0,29,3064.176888,3169.83816,105.661272,pim,16,33,31,33,70.844768
