gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;1;2;3;8;13;14;19;24;25;30;31;35;36;41;53,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,0,True
16,4;7;8;9;10;15;20;21;26;31;32;37;38;42;43;60,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,1,True
16,0;5;6;11;14;15;16;17;22;27;28;33;38;39;50;67,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,2,True
16,1;2;6;7;12;13;18;21;22;23;24;29;34;40;57;74,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,3,True
16,2;3;8;9;13;14;19;20;25;28;29;30;31;47;64;81,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,4,True
16,3;4;5;9;10;15;16;20;21;26;35;36;37;54;71;88,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,5,True
16,0;1;5;6;10;11;12;16;17;22;42;43;44;61;78;95,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,6,True
16,0;1;2;6;7;8;12;13;17;18;49;50;51;68;85;102,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,7,True
16,2;3;7;8;9;13;14;15;19;20;56;57;58;75;92;109,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,8,True
16,3;4;5;9;10;14;15;16;20;21;63;64;65;82;99;116,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,9,True
16,0;5;6;10;11;12;16;17;21;22;70;71;72;89;106;123,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,10,True
16,1;2;6;7;12;13;17;18;19;23;24;77;78;79;96;113,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,11,True
16,2;3;8;9;13;14;19;20;24;25;26;84;85;86;103;120,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,12,True
16,4;5;9;10;15;16;20;21;26;27;31;91;92;93;110;127,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,13,True
16,0;1;5;6;11;12;16;17;22;23;27;28;98;99;100;117,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,14,True
16,1;2;7;8;12;13;18;19;23;24;29;30;105;106;107;124,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,15,True
16,3;8;9;14;15;19;20;25;26;30;31;36;37;112;113;114,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,16,True
16,4;5;10;15;16;21;22;26;27;32;33;37;44;119;120;121,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,17,True
16,0;1;6;11;12;17;22;23;28;29;33;34;39;51;126;127,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,18,True
16,2;5;6;7;8;13;18;19;24;29;30;35;36;40;41;58,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,19,True
16,3;4;9;12;13;14;15;20;25;26;31;36;37;42;48;65,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,20,True
16,0;4;5;10;11;16;19;20;21;22;27;32;33;38;55;72,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,21,True
16,0;1;6;7;11;12;17;18;23;26;27;28;29;45;62;79,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,22,True
16,1;2;3;7;8;13;14;18;19;24;33;34;35;52;69;86,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,23,True
16,3;4;8;9;10;14;15;20;21;25;40;41;42;59;76;93,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,24,True
