gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,0,False
1,26,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,0,False
2,26;43,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,0,False
3,26;43;44,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,0,False
4,26;43;44;59,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,0,False
5,26;43;44;59;65,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,0,False
6,26;43;44;59;65;66,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,0,False
7,26;43;44;59;65;66;73,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,0,True
8,26;43;44;59;65;66;73;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,0,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,1,False
1,26,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,1,False
2,26;33,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,1,False
3,26;33;34,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,1,False
4,26;33;34;49,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,1,False
5,26;33;34;49;50,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,1,False
6,26;33;34;49;50;94,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,1,False
7,26;33;34;49;50;94;104,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,1,True
8,26;33;34;49;50;94;104;124,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,1,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,2,False
1,18,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,2,False
2,18;53,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,2,False
3,18;53;56,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,2,False
4,18;53;56;62,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,2,False
5,18;53;56;62;67,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,2,False
6,18;53;56;62;67;72,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,2,False
7,18;53;56;62;67;72;82,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,2,True
8,18;53;56;62;67;72;82;123,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,2,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,3,False
1,46,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,3,False
2,46;56,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,3,False
3,46;56;71,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,3,False
4,46;56;71;99,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,3,False
5,46;56;71;99;101,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,3,False
6,46;56;71;99;101;108,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,3,False
7,46;56;71;99;101;108;114,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,3,True
8,46;51;56;71;99;101;108;114,124,4,23.221536,3.520093696,26.741629696,6.190392,20.0,46.741629696,True,0,3,False
9,46;51;56;67;71;99;101;108;114,127,1,26.291616,3.532676608,29.824292608,1.591512,20.0,49.824292608,True,0,3,False
10,46;51;56;67;71;80;99;101;108;114,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,True,0,3,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,4,False
1,12,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,4,False
2,12;43,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,4,False
3,12;43;65,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,4,False
4,12;43;65;100,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,4,False
5,12;43;65;100;108,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,4,False
6,12;43;65;100;108;121,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,4,False
7,12;43;65;100;108;121;127,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,4,True
8,12;43;65;100;107;108;121;127,121,7,23.186592,3.507510784,26.694102784,10.827336,20.0,46.694102784,True,0,4,False
9,12;43;65;100;107;108;114;121;127,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,4,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,5,False
1,20,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,5,False
2,20;32,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,5,False
3,20;32;46,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,5,False
4,20;32;46;65,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,5,False
5,20;32;46;65;73,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,5,False
6,20;32;46;65;73;104,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,5,False
7,20;32;38;46;65;73;104,107,21,20.380464,3.448790528,23.829254528,32.374368,20.0,52.374368,True,0,5,False
8,20;32;38;46;65;73;94;104,118,10,23.20656,3.494927872,26.701487872,15.426216,20.0,46.701487872,True,0,5,True
9,20;32;38;46;65;73;84;94;104,125,3,26.2626,3.524288,29.786888,4.670016,20.0,49.786888,True,0,5,False
