step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,1,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,2,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,3,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,4,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,5,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,6,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,7,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,8,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,9,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,10,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,11,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,12,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,13,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,14,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,15,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,16,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,17,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,18,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,19,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,20,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,21,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,22,True,35.209512,35.209512,0.0,0.0,0.0,0.0,35.209512,0,0,0,3538944,0,0,0
0,23,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,24,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,25,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,26,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,27,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,28,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,29,True,29.249064,29.249064,0.0,0.0,0.0,0.0,29.249064,0,0,0,2949120,0,0,0
0,30,True,32.264232,32.264232,0.0,0.0,0.0,0.0,32.264232,0,0,0,3244032,0,0,0
0,31,True,35.209512,35.209512,0.0,0.0,0.0,0.0,35.209512,0,0,0,3538944,0,0,0
0,32,True,32.264232,32.264232,0.0,0.0,0.0,0.0,32.264232,0,0,0,3244032,0,0,0
0,33,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
