step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,77.451534912,77.451534912,gpu,8,0,128,0,12.974054912
0,1,77.451534912,154.903069824,77.451534912,gpu,8,0,128,0,12.974054912
0,2,154.903069824,232.354604736,77.451534912,gpu,8,0,128,0,12.974054912
0,3,232.354604736,309.806139648,77.451534912,gpu,8,0,128,0,12.974054912
0,4,309.806139648,390.27284256,80.466702912,gpu,9,0,128,0,14.153702912
0,5,390.27284256,470.739545472,80.466702912,gpu,9,0,128,0,14.153702912
0,6,470.739545472,548.191080384,77.451534912,gpu,8,0,128,0,12.974054912
0,7,548.191080384,631.603063296,83.411982912,gpu,10,0,128,0,15.333350912
0,8,631.603063296,715.015046208,83.411982912,gpu,10,0,128,0,15.333350912
0,9,715.015046208,792.46658112,77.451534912,gpu,8,0,128,0,12.974054912
0,10,792.46658112,869.918116032,77.451534912,gpu,8,0,128,0,12.974054912
0,11,869.918116032,950.384818944,80.466702912,gpu,9,0,128,0,14.153702912
0,12,950.384818944,1027.836353856,77.451534912,gpu,8,0,128,0,12.974054912
0,13,1027.836353856,1108.303056768,80.466702912,gpu,9,0,128,0,14.153702912
0,14,1108.303056768,1185.75459168,77.451534912,gpu,8,0,128,0,12.974054912
0,15,1185.75459168,1263.206126592,77.451534912,gpu,8,0,128,0,12.974054912
0,16,1263.206126592,1340.657661504,77.451534912,gpu,8,0,128,0,12.974054912
0,17,1340.657661504,1418.109196416,77.451534912,gpu,8,0,128,0,12.974054912
0,18,1418.109196416,1495.560731328,77.451534912,gpu,8,0,128,0,12.974054912
0,19,1495.560731328,1576.02743424,80.466702912,gpu,9,0,128,0,14.153702912
0,20,1576.02743424,1659.439417152,83.411982912,gpu,10,0,128,0,15.333350912
0,21,1659.439417152,1742.851400064,83.411982912,gpu,10,0,128,0,15.333350912
0,22,1742.851400064,1820.302934976,77.451534912,gpu,8,0,128,0,12.974054912
0,23,1820.302934976,1897.754469888,77.451534912,gpu,8,0,128,0,12.974054912
0,24,1897.754469888,1981.1664528,83.411982912,gpu,10,0,128,0,15.333350912
0,25,1981.1664528,2061.633155712,80.466702912,gpu,9,0,128,0,14.153702912
