step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,1,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,2,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,3,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,4,True,23.288616,23.24868,-0.039936,3.11064,3.112512,0.001872,23.24868,90368,896,57400064,2359296,90368,3072,2816
0,5,True,23.288616,23.276448,-0.012168,1.589952,1.591512,0.00156,23.276448,45312,768,14850432,2359296,45312,1792,1536
0,6,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,7,True,26.303784,26.291616,-0.012168,1.589952,1.591512,0.00156,26.291616,45312,768,14850432,2654208,45312,1792,1536
0,8,True,26.303784,26.263848,-0.039936,3.11064,3.112512,0.001872,26.263848,90368,896,57400064,2654208,90368,3072,2816
0,9,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,10,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,11,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,12,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,13,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,14,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,15,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,16,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,17,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,18,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,19,True,23.288616,23.247432,-0.041184,4.668144,4.670016,0.001872,23.247432,135680,896,106106496,2359296,135680,4608,4352
0,20,True,26.303784,26.291616,-0.012168,1.589952,1.591512,0.00156,26.291616,45312,768,14850432,2654208,45312,1792,1536
0,21,True,23.288616,23.24868,-0.039936,3.11064,3.112512,0.001872,23.24868,90368,896,57400064,2359296,90368,3072,2816
0,22,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,23,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,24,True,23.288616,23.221536,-0.06708,6.188832,6.190392,0.00156,23.221536,180736,896,156281984,2359296,180736,5888,5632
0,25,True,23.288616,23.24868,-0.039936,3.11064,3.112512,0.001872,23.24868,90368,896,57400064,2359296,90368,3072,2816
0,26,True,23.288616,23.276448,-0.012168,1.589952,1.591512,0.00156,23.276448,45312,768,14850432,2359296,45312,1792,1536
0,27,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,28,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,29,True,23.288616,23.288616,0.0,0.0,0.0,0.0,23.288616,0,0,0,2359296,0,0,0
0,30,True,26.303784,26.303784,0.0,0.0,0.0,0.0,26.303784,0,0,0,2654208,0,0,0
0,31,True,26.303784,26.263848,-0.039936,3.11064,3.112512,0.001872,26.263848,90368,896,57400064,2654208,90368,3072,2816
