step,layer,expert_id,token_count,target
0,0,43,16,gpu
0,0,45,16,gpu
0,0,65,16,gpu
0,0,73,16,gpu
0,0,85,16,gpu
0,0,98,16,gpu
0,0,100,16,gpu
0,0,114,16,gpu
0,1,18,16,gpu
0,1,26,16,gpu
0,1,38,16,gpu
0,1,42,16,gpu
0,1,43,16,gpu
0,1,49,16,gpu
0,1,51,16,gpu
0,1,94,16,gpu
0,2,38,16,gpu
0,2,40,16,gpu
0,2,57,16,gpu
0,2,82,16,gpu
0,2,88,16,gpu
0,2,95,16,gpu
0,2,113,16,gpu
0,2,123,16,gpu
0,3,51,16,gpu
0,3,56,16,gpu
0,3,67,16,gpu
0,3,71,16,gpu
0,3,80,16,gpu
0,3,87,16,gpu
0,3,101,16,gpu
0,3,117,16,gpu
0,4,12,16,gpu
0,4,53,2,pim
0,4,61,16,gpu
0,4,64,16,gpu
0,4,65,16,gpu
0,4,95,14,gpu
0,4,108,16,gpu
0,4,110,16,gpu
0,4,121,16,gpu
0,5,9,16,gpu
0,5,38,16,gpu
0,5,45,16,gpu
0,5,46,1,pim
0,5,64,16,gpu
0,5,73,16,gpu
0,5,84,16,gpu
0,5,94,15,gpu
0,5,104,16,gpu
0,6,12,16,gpu
0,6,41,16,gpu
0,6,58,16,gpu
0,6,62,16,gpu
0,6,107,16,gpu
0,6,112,16,gpu
0,6,116,16,gpu
0,6,126,16,gpu
0,7,10,16,gpu
0,7,15,16,gpu
0,7,19,16,gpu
0,7,24,16,gpu
0,7,29,8,gpu
0,7,52,16,gpu
0,7,75,16,gpu
0,7,82,7,gpu
0,7,114,16,gpu
0,7,125,1,pim
0,8,9,16,gpu
0,8,17,16,gpu
0,8,23,2,pim
0,8,45,16,gpu
0,8,50,5,gpu
0,8,58,16,gpu
0,8,77,16,gpu
0,8,85,9,gpu
0,8,92,16,gpu
0,8,102,16,gpu
0,9,2,16,gpu
0,9,11,16,gpu
0,9,13,16,gpu
0,9,16,16,gpu
0,9,23,16,gpu
0,9,58,16,gpu
0,9,69,16,gpu
0,9,125,16,gpu
0,10,1,16,gpu
0,10,5,16,gpu
0,10,12,16,gpu
0,10,36,16,gpu
0,10,68,16,gpu
0,10,78,16,gpu
0,10,92,16,gpu
0,10,98,16,gpu
0,11,3,16,gpu
0,11,15,16,gpu
0,11,32,16,gpu
0,11,54,16,gpu
0,11,62,13,gpu
0,11,76,16,gpu
0,11,81,9,gpu
0,11,121,10,gpu
0,11,125,16,gpu
0,12,11,16,gpu
0,12,18,16,gpu
0,12,23,16,gpu
0,12,39,16,gpu
0,12,49,16,gpu
0,12,57,16,gpu
0,12,65,16,gpu
0,12,78,16,gpu
0,13,33,16,gpu
0,13,34,16,gpu
0,13,58,16,gpu
0,13,63,16,gpu
0,13,91,4,gpu
0,13,103,14,gpu
0,13,104,14,gpu
0,13,110,16,gpu
0,13,122,16,gpu
0,14,2,16,gpu
0,14,5,16,gpu
0,14,61,16,gpu
0,14,63,16,gpu
0,14,67,16,gpu
0,14,81,16,gpu
0,14,104,16,gpu
0,14,109,16,gpu
0,15,2,16,gpu
0,15,33,16,gpu
0,15,49,16,gpu
0,15,58,16,gpu
0,15,84,16,gpu
0,15,106,16,gpu
0,15,122,16,gpu
0,15,127,16,gpu
0,16,42,16,gpu
0,16,46,16,gpu
0,16,48,16,gpu
0,16,54,16,gpu
0,16,97,16,gpu
0,16,98,16,gpu
0,16,107,16,gpu
0,16,122,16,gpu
0,17,21,16,gpu
0,17,59,16,gpu
0,17,80,16,gpu
0,17,88,16,gpu
0,17,105,16,gpu
0,17,122,16,gpu
0,17,123,16,gpu
0,17,124,16,gpu
0,18,12,16,gpu
0,18,24,16,gpu
0,18,58,16,gpu
0,18,82,16,gpu
0,18,104,16,gpu
0,18,112,16,gpu
0,18,122,16,gpu
0,18,126,16,gpu
0,19,24,16,gpu
0,19,29,13,gpu
0,19,52,16,gpu
0,19,56,16,gpu
0,19,59,16,gpu
0,19,75,16,gpu
0,19,79,3,pim
0,19,112,16,gpu
0,19,119,16,gpu
