step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,335.532990912,335.532990912,pim,8,0,128,0,272.668656
0,1,335.532990912,671.065981824,335.532990912,pim,8,0,128,0,272.668656
0,2,671.065981824,1006.598972736,335.532990912,pim,8,0,128,0,272.668656
0,3,1006.598972736,1342.131963648,335.532990912,pim,8,0,128,0,272.668656
0,4,1342.131963648,1680.68012256,338.548158912,pim,9,0,128,0,272.668656
0,5,1680.68012256,2019.228281472,338.548158912,pim,9,0,128,0,272.668656
0,6,2019.228281472,2354.761272384,335.532990912,pim,8,0,128,0,272.668656
0,7,2354.761272384,2696.254711296,341.493438912,pim,10,0,128,0,272.668656
0,8,2696.254711296,3037.748150208,341.493438912,pim,10,0,128,0,272.668656
0,9,3037.748150208,3373.28114112,335.532990912,pim,8,0,128,0,272.668656
0,10,3373.28114112,3708.814132032,335.532990912,pim,8,0,128,0,272.668656
0,11,3708.814132032,4047.362290944,338.548158912,pim,9,0,128,0,272.668656
0,12,4047.362290944,4382.895281856,335.532990912,pim,8,0,128,0,272.668656
0,13,4382.895281856,4721.443440768,338.548158912,pim,9,0,128,0,272.668656
0,14,4721.443440768,5056.97643168,335.532990912,pim,8,0,128,0,272.668656
0,15,5056.97643168,5392.509422592,335.532990912,pim,8,0,128,0,272.668656
0,16,5392.509422592,5728.042413504,335.532990912,pim,8,0,128,0,272.668656
0,17,5728.042413504,6063.575404416,335.532990912,pim,8,0,128,0,272.668656
0,18,6063.575404416,6399.108395328,335.532990912,pim,8,0,128,0,272.668656
0,19,6399.108395328,6737.65655424,338.548158912,pim,9,0,128,0,272.668656
0,20,6737.65655424,7079.149993152,341.493438912,pim,10,0,128,0,272.668656
0,21,7079.149993152,7420.643432064,341.493438912,pim,10,0,128,0,272.668656
0,22,7420.643432064,7756.176422976,335.532990912,pim,8,0,128,0,272.668656
0,23,7756.176422976,8091.709413888,335.532990912,pim,8,0,128,0,272.668656
0,24,8091.709413888,8433.2028528,341.493438912,pim,10,0,128,0,272.668656
0,25,8433.2028528,8771.751011712,338.548158912,pim,9,0,128,0,272.668656
0,26,8771.751011712,9110.299170624,338.548158912,pim,9,0,128,0,272.668656
0,27,9110.299170624,9448.847329536,338.548158912,pim,9,0,128,0,272.668656
0,28,9448.847329536,9784.380320448,335.532990912,pim,8,0,128,0,272.668656
0,29,9784.380320448,10119.91331136,335.532990912,pim,8,0,128,0,272.668656
0,30,10119.91331136,10458.461470272,338.548158912,pim,9,0,128,0,272.668656
0,31,10458.461470272,10802.970077184,344.508606912,pim,11,0,128,0,272.668656
0,32,10802.970077184,11141.518236096,338.548158912,pim,9,0,128,0,272.668656
0,33,11141.518236096,11477.051227008,335.532990912,pim,8,0,128,0,272.668656
0,34,11477.051227008,11818.54466592,341.493438912,pim,10,0,128,0,272.668656
0,35,11818.54466592,12157.092824832,338.548158912,pim,9,0,128,0,272.668656
0,36,12157.092824832,12495.640983744,338.548158912,pim,9,0,128,0,272.668656
0,37,12495.640983744,12837.134422656,341.493438912,pim,10,0,128,0,272.668656
0,38,12837.134422656,13178.627861568,341.493438912,pim,10,0,128,0,272.668656
0,39,13178.627861568,13517.17602048,338.548158912,pim,9,0,128,0,272.668656
0,40,13517.17602048,13858.669459392,341.493438912,pim,10,0,128,0,272.668656
0,41,13858.669459392,14194.202450304,335.532990912,pim,8,0,128,0,272.668656
0,42,14194.202450304,14532.750609216,338.548158912,pim,9,0,128,0,272.668656
0,43,14532.750609216,14868.283600128,335.532990912,pim,8,0,128,0,272.668656
0,44,14868.283600128,15209.77703904,341.493438912,pim,10,0,128,0,272.668656
0,45,15209.77703904,15545.310029952,335.532990912,pim,8,0,128,0,272.668656
0,46,15545.310029952,15883.858188864,338.548158912,pim,9,0,128,0,272.668656
0,47,15883.858188864,16219.391179776,335.532990912,pim,8,0,128,0,272.668656
1,0,16219.391179776,16554.948818688,335.557638912,pim,8,0,128,0,272.693304
1,1,16554.948818688,16890.5064576,335.557638912,pim,8,0,128,0,272.693304
1,2,16890.5064576,17226.064096512,335.557638912,pim,8,0,128,0,272.693304
1,3,17226.064096512,17561.621735424,335.557638912,pim,8,0,128,0,272.693304
1,4,17561.621735424,17897.179374336,335.557638912,pim,8,0,128,0,272.693304
1,5,17897.179374336,18232.737013248,335.557638912,pim,8,0,128,0,272.693304
1,6,18232.737013248,18568.29465216,335.557638912,pim,8,0,128,0,272.693304
1,7,18568.29465216,18903.852291072,335.557638912,pim,8,0,128,0,272.693304
1,8,18903.852291072,19242.425097984,338.572806912,pim,9,0,128,0,272.693304
1,9,19242.425097984,19577.982736896,335.557638912,pim,8,0,128,0,272.693304
1,10,19577.982736896,19916.555543808,338.572806912,pim,9,0,128,0,272.693304
1,11,19916.555543808,20255.12835072,338.572806912,pim,9,0,128,0,272.693304
1,12,20255.12835072,20590.685989632,335.557638912,pim,8,0,128,0,272.693304
1,13,20590.685989632,20929.258796544,338.572806912,pim,9,0,128,0,272.693304
1,14,20929.258796544,21267.831603456,338.572806912,pim,9,0,128,0,272.693304
1,15,21267.831603456,21603.389242368,335.557638912,pim,8,0,128,0,272.693304
1,16,21603.389242368,21944.90732928,341.518086912,pim,10,0,128,0,272.693304
1,17,21944.90732928,22283.480136192,338.572806912,pim,9,0,128,0,272.693304
1,18,22283.480136192,22622.052943104,338.572806912,pim,9,0,128,0,272.693304
1,19,22622.052943104,22960.625750016,338.572806912,pim,9,0,128,0,272.693304
1,20,22960.625750016,23296.183388928,335.557638912,pim,8,0,128,0,272.693304
1,21,23296.183388928,23634.75619584,338.572806912,pim,9,0,128,0,272.693304
1,22,23634.75619584,23973.329002752,338.572806912,pim,9,0,128,0,272.693304
1,23,23973.329002752,24314.847089664,341.518086912,pim,10,0,128,0,272.693304
1,24,24314.847089664,24650.404728576,335.557638912,pim,8,0,128,0,272.693304
1,25,24650.404728576,24985.962367488,335.557638912,pim,8,0,128,0,272.693304
1,26,24985.962367488,25324.5351744,338.572806912,pim,9,0,128,0,272.693304
1,27,25324.5351744,25666.053261312,341.518086912,pim,10,0,128,0,272.693304
1,28,25666.053261312,26007.571348224,341.518086912,pim,10,0,128,0,272.693304
1,29,26007.571348224,26343.128987136,335.557638912,pim,8,0,128,0,272.693304
1,30,26343.128987136,26678.686626048,335.557638912,pim,8,0,128,0,272.693304
1,31,26678.686626048,27023.21988096,344.533254912,pim,11,0,128,0,272.693304
1,32,27023.21988096,27364.737967872,341.518086912,pim,10,0,128,0,272.693304
1,33,27364.737967872,27706.256054784,341.518086912,pim,10,0,128,0,272.693304
1,34,27706.256054784,28041.813693696,335.557638912,pim,8,0,128,0,272.693304
1,35,28041.813693696,28377.371332608,335.557638912,pim,8,0,128,0,272.693304
1,36,28377.371332608,28712.92897152,335.557638912,pim,8,0,128,0,272.693304
1,37,28712.92897152,29048.486610432,335.557638912,pim,8,0,128,0,272.693304
1,38,29048.486610432,29384.044249344,335.557638912,pim,8,0,128,0,272.693304
1,39,29384.044249344,29722.617056256,338.572806912,pim,9,0,128,0,272.693304
1,40,29722.617056256,30058.174695168,335.557638912,pim,8,0,128,0,272.693304
1,41,30058.174695168,30399.69278208,341.518086912,pim,10,0,128,0,272.693304
1,42,30399.69278208,30738.265588992,338.572806912,pim,9,0,128,0,272.693304
1,43,30738.265588992,31082.798843904,344.533254912,pim,11,0,128,0,272.693304
1,44,31082.798843904,31421.371650816,338.572806912,pim,9,0,128,0,272.693304
1,45,31421.371650816,31759.944457728,338.572806912,pim,9,0,128,0,272.693304
1,46,31759.944457728,32095.50209664,335.557638912,pim,8,0,128,0,272.693304
