step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,111.705083456,111.705083456,pim,8,0,64,0,69.236544
0,1,111.705083456,223.410166912,111.705083456,pim,8,0,64,0,69.236544
0,2,223.410166912,335.115250368,111.705083456,pim,8,0,64,0,69.236544
0,3,335.115250368,452.780781824,117.665531456,pim,10,0,64,0,69.236544
0,4,452.780781824,567.50103328,114.720251456,pim,9,0,64,0,69.236544
0,5,567.50103328,682.221284736,114.720251456,pim,9,0,64,0,69.236544
0,6,682.221284736,796.941536192,114.720251456,pim,9,0,64,0,69.236544
0,7,796.941536192,908.646619648,111.705083456,pim,8,0,64,0,69.236544
0,8,908.646619648,1023.366871104,114.720251456,pim,9,0,64,0,69.236544
0,9,1023.366871104,1138.08712256,114.720251456,pim,9,0,64,0,69.236544
0,10,1138.08712256,1252.807374016,114.720251456,pim,9,0,64,0,69.236544
0,11,1252.807374016,1370.472905472,117.665531456,pim,10,0,64,0,69.236544
0,12,1370.472905472,1482.177988928,111.705083456,pim,8,0,64,0,69.236544
0,13,1482.177988928,1596.898240384,114.720251456,pim,9,0,64,0,69.236544
0,14,1596.898240384,1711.61849184,114.720251456,pim,9,0,64,0,69.236544
0,15,1711.61849184,1823.323575296,111.705083456,pim,8,0,64,0,69.236544
0,16,1823.323575296,1938.043826752,114.720251456,pim,9,0,64,0,69.236544
0,17,1938.043826752,2052.764078208,114.720251456,pim,9,0,64,0,69.236544
0,18,2052.764078208,2167.484329664,114.720251456,pim,9,0,64,0,69.236544
0,19,2167.484329664,2282.20458112,114.720251456,pim,9,0,64,0,69.236544
0,20,2282.20458112,2393.909664576,111.705083456,pim,8,0,64,0,69.236544
0,21,2393.909664576,2511.575196032,117.665531456,pim,10,0,64,0,69.236544
0,22,2511.575196032,2626.295447488,114.720251456,pim,9,0,64,0,69.236544
0,23,2626.295447488,2743.960978944,117.665531456,pim,10,0,64,0,69.236544
0,24,2743.960978944,2861.6265104,117.665531456,pim,10,0,64,0,69.236544
0,25,2861.6265104,2976.346761856,114.720251456,pim,9,0,64,0,69.236544
0,26,2976.346761856,3091.067013312,114.720251456,pim,9,0,64,0,69.236544
0,27,3091.067013312,3205.787264768,114.720251456,pim,9,0,64,0,69.236544
0,28,3205.787264768,3320.507516224,114.720251456,pim,9,0,64,0,69.236544
0,29,3320.507516224,3435.22776768,114.720251456,pim,9,0,64,0,69.236544
0,30,3435.22776768,3546.932851136,111.705083456,pim,8,0,64,0,69.236544
0,31,3546.932851136,3658.637934592,111.705083456,pim,8,0,64,0,69.236544
0,32,3658.637934592,3773.358186048,114.720251456,pim,9,0,64,0,69.236544
0,33,3773.358186048,3888.078437504,114.720251456,pim,9,0,64,0,69.236544
0,34,3888.078437504,4005.74396896,117.665531456,pim,10,0,64,0,69.236544
0,35,4005.74396896,4120.464220416,114.720251456,pim,9,0,64,0,69.236544
0,36,4120.464220416,4235.184471872,114.720251456,pim,9,0,64,0,69.236544
0,37,4235.184471872,4346.889555328,111.705083456,pim,8,0,64,0,69.236544
0,38,4346.889555328,4458.594638784,111.705083456,pim,8,0,64,0,69.236544
0,39,4458.594638784,4573.31489024,114.720251456,pim,9,0,64,0,69.236544
0,40,4573.31489024,4688.035141696,114.720251456,pim,9,0,64,0,69.236544
0,41,4688.035141696,4805.700673152,117.665531456,pim,10,0,64,0,69.236544
0,42,4805.700673152,4917.405756608,111.705083456,pim,8,0,64,0,69.236544
0,43,4917.405756608,5035.071288064,117.665531456,pim,10,0,64,0,69.236544
0,44,5035.071288064,5146.77637152,111.705083456,pim,8,0,64,0,69.236544
0,45,5146.77637152,5258.481454976,111.705083456,pim,8,0,64,0,69.236544
0,46,5258.481454976,5376.146986432,117.665531456,pim,10,0,64,0,69.236544
0,47,5376.146986432,5490.867237888,114.720251456,pim,9,0,64,0,69.236544
1,0,5490.867237888,5602.596969344,111.729731456,pim,8,0,64,0,69.261192
1,1,5602.596969344,5714.3267008,111.729731456,pim,8,0,64,0,69.261192
1,2,5714.3267008,5826.056432256,111.729731456,pim,8,0,64,0,69.261192
1,3,5826.056432256,5940.801331712,114.744899456,pim,9,0,64,0,69.261192
1,4,5940.801331712,6052.531063168,111.729731456,pim,8,0,64,0,69.261192
1,5,6052.531063168,6164.260794624,111.729731456,pim,8,0,64,0,69.261192
1,6,6164.260794624,6275.99052608,111.729731456,pim,8,0,64,0,69.261192
1,7,6275.99052608,6387.720257536,111.729731456,pim,8,0,64,0,69.261192
1,8,6387.720257536,6499.449988992,111.729731456,pim,8,0,64,0,69.261192
1,9,6499.449988992,6611.179720448,111.729731456,pim,8,0,64,0,69.261192
1,10,6611.179720448,6722.909451904,111.729731456,pim,8,0,64,0,69.261192
1,11,6722.909451904,6837.65435136,114.744899456,pim,9,0,64,0,69.261192
1,12,6837.65435136,6952.399250816,114.744899456,pim,9,0,64,0,69.261192
1,13,6952.399250816,7064.128982272,111.729731456,pim,8,0,64,0,69.261192
1,14,7064.128982272,7175.858713728,111.729731456,pim,8,0,64,0,69.261192
1,15,7175.858713728,7287.588445184,111.729731456,pim,8,0,64,0,69.261192
1,16,7287.588445184,7399.31817664,111.729731456,pim,8,0,64,0,69.261192
1,17,7399.31817664,7511.047908096,111.729731456,pim,8,0,64,0,69.261192
1,18,7511.047908096,7622.777639552,111.729731456,pim,8,0,64,0,69.261192
1,19,7622.777639552,7734.507371008,111.729731456,pim,8,0,64,0,69.261192
1,20,7734.507371008,7849.252270464,114.744899456,pim,9,0,64,0,69.261192
1,21,7849.252270464,7960.98200192,111.729731456,pim,8,0,64,0,69.261192
1,22,7960.98200192,8072.711733376,111.729731456,pim,8,0,64,0,69.261192
1,23,8072.711733376,8184.441464832,111.729731456,pim,8,0,64,0,69.261192
1,24,8184.441464832,8296.171196288,111.729731456,pim,8,0,64,0,69.261192
1,25,8296.171196288,8407.900927744,111.729731456,pim,8,0,64,0,69.261192
1,26,8407.900927744,8519.6306592,111.729731456,pim,8,0,64,0,69.261192
1,27,8519.6306592,8634.375558656,114.744899456,pim,9,0,64,0,69.261192
1,28,8634.375558656,8749.120458112,114.744899456,pim,9,0,64,0,69.261192
1,29,8749.120458112,8866.810637568,117.690179456,pim,10,0,64,0,69.261192
1,30,8866.810637568,8984.500817024,117.690179456,pim,10,0,64,0,69.261192
1,31,8984.500817024,9099.24571648,114.744899456,pim,9,0,64,0,69.261192
1,32,9099.24571648,9213.990615936,114.744899456,pim,9,0,64,0,69.261192
1,33,9213.990615936,9331.680795392,117.690179456,pim,10,0,64,0,69.261192
1,34,9331.680795392,9449.370974848,117.690179456,pim,10,0,64,0,69.261192
1,35,9449.370974848,9564.115874304,114.744899456,pim,9,0,64,0,69.261192
1,36,9564.115874304,9675.84560576,111.729731456,pim,8,0,64,0,69.261192
1,37,9675.84560576,9787.575337216,111.729731456,pim,8,0,64,0,69.261192
1,38,9787.575337216,9899.305068672,111.729731456,pim,8,0,64,0,69.261192
1,39,9899.305068672,10016.995248128,117.690179456,pim,10,0,64,0,69.261192
1,40,10016.995248128,10131.740147584,114.744899456,pim,9,0,64,0,69.261192
1,41,10131.740147584,10243.46987904,111.729731456,pim,8,0,64,0,69.261192
1,42,10243.46987904,10361.160058496,117.690179456,pim,10,0,64,0,69.261192
1,43,10361.160058496,10475.904957952,114.744899456,pim,9,0,64,0,69.261192
1,44,10475.904957952,10587.634689408,111.729731456,pim,8,0,64,0,69.261192
1,45,10587.634689408,10699.364420864,111.729731456,pim,8,0,64,0,69.261192
1,46,10699.364420864,10814.10932032,114.744899456,pim,9,0,64,0,69.261192
1,47,10814.10932032,10925.839051776,111.729731456,pim,8,0,64,0,69.261192
2,0,10925.839051776,11037.568783232,111.729731456,pim,8,0,64,0,69.261192
2,1,11037.568783232,11149.298514688,111.729731456,pim,8,0,64,0,69.261192
2,2,11149.298514688,11261.028246144,111.729731456,pim,8,0,64,0,69.261192
2,3,11261.028246144,11375.7731456,114.744899456,pim,9,0,64,0,69.261192
2,4,11375.7731456,11490.518045056,114.744899456,pim,9,0,64,0,69.261192
2,5,11490.518045056,11602.247776512,111.729731456,pim,8,0,64,0,69.261192
2,6,11602.247776512,11713.977507968,111.729731456,pim,8,0,64,0,69.261192
2,7,11713.977507968,11825.707239424,111.729731456,pim,8,0,64,0,69.261192
2,8,11825.707239424,11940.45213888,114.744899456,pim,9,0,64,0,69.261192
2,9,11940.45213888,12052.181870336,111.729731456,pim,8,0,64,0,69.261192
2,10,12052.181870336,12166.926769792,114.744899456,pim,9,0,64,0,69.261192
2,11,12166.926769792,12281.671669248,114.744899456,pim,9,0,64,0,69.261192
2,12,12281.671669248,12393.401400704,111.729731456,pim,8,0,64,0,69.261192
2,13,12393.401400704,12508.14630016,114.744899456,pim,9,0,64,0,69.261192
2,14,12508.14630016,12619.876031616,111.729731456,pim,8,0,64,0,69.261192
2,15,12619.876031616,12731.605763072,111.729731456,pim,8,0,64,0,69.261192
2,16,12731.605763072,12843.335494528,111.729731456,pim,8,0,64,0,69.261192
2,17,12843.335494528,12955.065225984,111.729731456,pim,8,0,64,0,69.261192
2,18,12955.065225984,13066.79495744,111.729731456,pim,8,0,64,0,69.261192
2,19,13066.79495744,13181.539856896,114.744899456,pim,9,0,64,0,69.261192
2,20,13181.539856896,13296.284756352,114.744899456,pim,9,0,64,0,69.261192
2,21,13296.284756352,13411.029655808,114.744899456,pim,9,0,64,0,69.261192
2,22,13411.029655808,13522.759387264,111.729731456,pim,8,0,64,0,69.261192
2,23,13522.759387264,13634.48911872,111.729731456,pim,8,0,64,0,69.261192
2,24,13634.48911872,13749.234018176,114.744899456,pim,9,0,64,0,69.261192
2,25,13749.234018176,13869.939365632,120.705347456,pim,11,0,64,0,69.261192
2,26,13869.939365632,13981.669097088,111.729731456,pim,8,0,64,0,69.261192
2,27,13981.669097088,14096.413996544,114.744899456,pim,9,0,64,0,69.261192
2,28,14096.413996544,14211.158896,114.744899456,pim,9,0,64,0,69.261192
2,29,14211.158896,14322.888627456,111.729731456,pim,8,0,64,0,69.261192
2,30,14322.888627456,14437.633526912,114.744899456,pim,9,0,64,0,69.261192
2,31,14437.633526912,14552.378426368,114.744899456,pim,9,0,64,0,69.261192
2,32,14552.378426368,14670.068605824,117.690179456,pim,10,0,64,0,69.261192
2,33,14670.068605824,14787.75878528,117.690179456,pim,10,0,64,0,69.261192
2,34,14787.75878528,14911.409412736,123.650627456,pim,12,0,64,0,69.261192
2,35,14911.409412736,15032.114760192,120.705347456,pim,11,0,64,0,69.261192
2,36,15032.114760192,15146.859659648,114.744899456,pim,9,0,64,0,69.261192
2,37,15146.859659648,15261.604559104,114.744899456,pim,9,0,64,0,69.261192
2,38,15261.604559104,15376.34945856,114.744899456,pim,9,0,64,0,69.261192
2,39,15376.34945856,15491.094358016,114.744899456,pim,9,0,64,0,69.261192
2,40,15491.094358016,15605.839257472,114.744899456,pim,9,0,64,0,69.261192
2,41,15605.839257472,15717.568988928,111.729731456,pim,8,0,64,0,69.261192
2,42,15717.568988928,15829.298720384,111.729731456,pim,8,0,64,0,69.261192
2,43,15829.298720384,15946.98889984,117.690179456,pim,10,0,64,0,69.261192
2,44,15946.98889984,16061.733799296,114.744899456,pim,9,0,64,0,69.261192
2,45,16061.733799296,16176.478698752,114.744899456,pim,9,0,64,0,69.261192
2,46,16176.478698752,16291.223598208,114.744899456,pim,9,0,64,0,69.261192
2,47,16291.223598208,16402.953329664,111.729731456,pim,8,0,64,0,69.261192
3,0,16402.953329664,16514.70770912,111.754379456,pim,8,0,64,0,69.28584
3,1,16514.70770912,16626.462088576,111.754379456,pim,8,0,64,0,69.28584
3,2,16626.462088576,16738.216468032,111.754379456,pim,8,0,64,0,69.28584
3,3,16738.216468032,16849.970847488,111.754379456,pim,8,0,64,0,69.28584
3,4,16849.970847488,16961.725226944,111.754379456,pim,8,0,64,0,69.28584
3,5,16961.725226944,17079.4400544,117.714827456,pim,10,0,64,0,69.28584
3,6,17079.4400544,17197.154881856,117.714827456,pim,10,0,64,0,69.28584
3,7,17197.154881856,17311.924429312,114.769547456,pim,9,0,64,0,69.28584
3,8,17311.924429312,17426.693976768,114.769547456,pim,9,0,64,0,69.28584
3,9,17426.693976768,17544.408804224,117.714827456,pim,10,0,64,0,69.28584
3,10,17544.408804224,17656.16318368,111.754379456,pim,8,0,64,0,69.28584
3,11,17656.16318368,17773.878011136,117.714827456,pim,10,0,64,0,69.28584
3,12,17773.878011136,17885.632390592,111.754379456,pim,8,0,64,0,69.28584
3,13,17885.632390592,18000.401938048,114.769547456,pim,9,0,64,0,69.28584
3,14,18000.401938048,18112.156317504,111.754379456,pim,8,0,64,0,69.28584
3,15,18112.156317504,18223.91069696,111.754379456,pim,8,0,64,0,69.28584
3,16,18223.91069696,18335.665076416,111.754379456,pim,8,0,64,0,69.28584
3,17,18335.665076416,18447.419455872,111.754379456,pim,8,0,64,0,69.28584
3,18,18447.419455872,18568.149451328,120.729995456,pim,11,0,64,0,69.28584
3,19,18568.149451328,18682.918998784,114.769547456,pim,9,0,64,0,69.28584
3,20,18682.918998784,18797.68854624,114.769547456,pim,9,0,64,0,69.28584
3,21,18797.68854624,18912.458093696,114.769547456,pim,9,0,64,0,69.28584
3,22,18912.458093696,19024.212473152,111.754379456,pim,8,0,64,0,69.28584
3,23,19024.212473152,19135.966852608,111.754379456,pim,8,0,64,0,69.28584
3,24,19135.966852608,19253.681680064,117.714827456,pim,10,0,64,0,69.28584
3,25,19253.681680064,19368.45122752,114.769547456,pim,9,0,64,0,69.28584
3,26,19368.45122752,19483.220774976,114.769547456,pim,9,0,64,0,69.28584
3,27,19483.220774976,19594.975154432,111.754379456,pim,8,0,64,0,69.28584
3,28,19594.975154432,19706.729533888,111.754379456,pim,8,0,64,0,69.28584
3,29,19706.729533888,19821.499081344,114.769547456,pim,9,0,64,0,69.28584
3,30,19821.499081344,19939.2139088,117.714827456,pim,10,0,64,0,69.28584
3,31,19939.2139088,20059.943904256,120.729995456,pim,11,0,64,0,69.28584
3,32,20059.943904256,20171.698283712,111.754379456,pim,8,0,64,0,69.28584
3,33,20171.698283712,20283.452663168,111.754379456,pim,8,0,64,0,69.28584
3,34,20283.452663168,20398.222210624,114.769547456,pim,9,0,64,0,69.28584
3,35,20398.222210624,20515.93703808,117.714827456,pim,10,0,64,0,69.28584
3,36,20515.93703808,20633.651865536,117.714827456,pim,10,0,64,0,69.28584
3,37,20633.651865536,20745.406244992,111.754379456,pim,8,0,64,0,69.28584
3,38,20745.406244992,20863.121072448,117.714827456,pim,10,0,64,0,69.28584
3,39,20863.121072448,20977.890619904,114.769547456,pim,9,0,64,0,69.28584
3,40,20977.890619904,21092.66016736,114.769547456,pim,9,0,64,0,69.28584
3,41,21092.66016736,21207.429714816,114.769547456,pim,9,0,64,0,69.28584
3,42,21207.429714816,21322.199262272,114.769547456,pim,9,0,64,0,69.28584
3,43,21322.199262272,21436.968809728,114.769547456,pim,9,0,64,0,69.28584
3,44,21436.968809728,21554.683637184,117.714827456,pim,10,0,64,0,69.28584
