step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,128.681321024,128.681321024,pim,7,1,56,8,43.533289024
0,1,128.681321024,257.362642048,128.681321024,pim,7,1,56,8,43.533289024
0,2,257.362642048,386.043963072,128.681321024,pim,7,1,56,8,43.533289024
0,3,386.043963072,514.732009792,128.68804672,pim,7,3,55,9,43.54001472
0,4,514.732009792,643.413330816,128.681321024,pim,7,2,56,8,43.533289024
0,5,643.413330816,772.09465184,128.681321024,pim,7,2,56,8,43.533289024
0,6,772.09465184,900.775972864,128.681321024,pim,7,2,56,8,43.533289024
0,7,900.775972864,1029.457293888,128.681321024,pim,7,1,56,8,43.533289024
0,8,1029.457293888,1158.138614912,128.681321024,pim,7,2,56,8,43.533289024
0,9,1158.138614912,1286.819935936,128.681321024,pim,7,2,56,8,43.533289024
0,10,1286.819935936,1415.445756352,128.625820416,pim,7,2,54,10,43.477788416
0,11,1415.445756352,1544.071576768,128.625820416,pim,7,3,54,10,43.477788416
0,12,1544.071576768,1672.752897792,128.681321024,pim,7,1,56,8,43.533289024
0,13,1672.752897792,1801.434218816,128.681321024,pim,7,2,56,8,43.533289024
0,14,1801.434218816,1930.122265536,128.68804672,pim,7,2,55,9,43.54001472
0,15,1930.122265536,2058.80358656,128.681321024,pim,7,1,56,8,43.533289024
0,16,2058.80358656,2187.484907584,128.681321024,pim,7,2,56,8,43.533289024
0,17,2187.484907584,2316.110728,128.625820416,pim,7,2,54,10,43.477788416
0,18,2316.110728,2444.792049024,128.681321024,pim,7,2,56,8,43.533289024
0,19,2444.792049024,2573.473370048,128.681321024,pim,7,2,56,8,43.533289024
0,20,2573.473370048,2702.154691072,128.681321024,pim,7,1,56,8,43.533289024
0,21,2702.154691072,2830.836012096,128.681321024,pim,7,3,56,8,43.533289024
0,22,2830.836012096,2959.524058816,128.68804672,pim,7,2,55,9,43.54001472
0,23,2959.524058816,3088.20537984,128.681321024,pim,7,3,56,8,43.533289024
0,24,3088.20537984,3216.886700864,128.681321024,pim,7,3,56,8,43.533289024
0,25,3216.886700864,3345.568021888,128.681321024,pim,7,2,56,8,43.533289024
0,26,3345.568021888,3474.249342912,128.681321024,pim,7,2,56,8,43.533289024
0,27,3474.249342912,3602.930663936,128.681321024,pim,7,2,56,8,43.533289024
0,28,3602.930663936,3731.61198496,128.681321024,pim,7,2,56,8,43.533289024
0,29,3731.61198496,3860.293305984,128.681321024,pim,7,2,56,8,43.533289024
0,30,3860.293305984,3988.974627008,128.681321024,pim,7,1,56,8,43.533289024
0,31,3988.974627008,4117.655948032,128.681321024,pim,7,1,56,8,43.533289024
0,32,4117.655948032,4246.337269056,128.681321024,pim,7,2,56,8,43.533289024
0,33,4246.337269056,4375.01859008,128.681321024,pim,7,2,56,8,43.533289024
0,34,4375.01859008,4503.644410496,128.625820416,pim,7,3,54,10,43.477788416
