step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,198.822211456,198.822211456,pim,8,0,64,0,46.557051456
0,1,198.822211456,397.644422912,198.822211456,pim,8,0,64,0,46.557051456
0,2,397.644422912,596.466634368,198.822211456,pim,8,0,64,0,46.557051456
0,3,596.466634368,795.288845824,198.822211456,pim,8,0,64,0,46.557051456
0,4,795.288845824,994.11105728,198.822211456,pim,8,0,64,0,46.557051456
0,5,994.11105728,1192.933268736,198.822211456,pim,8,0,64,0,46.557051456
0,6,1192.933268736,1391.755480192,198.822211456,pim,8,0,64,0,46.557051456
0,7,1391.755480192,1590.577691648,198.822211456,pim,8,0,64,0,46.557051456
0,8,1590.577691648,1789.399903104,198.822211456,pim,8,0,64,0,46.557051456
0,9,1789.399903104,1988.22211456,198.822211456,pim,8,0,64,0,46.557051456
0,10,1988.22211456,2187.044326016,198.822211456,pim,8,0,64,0,46.557051456
0,11,2187.044326016,2388.881705472,201.837379456,pim,9,0,64,0,49.572219456
0,12,2388.881705472,2587.703916928,198.822211456,pim,8,0,64,0,46.557051456
0,13,2587.703916928,2789.541296384,201.837379456,pim,9,0,64,0,49.572219456
0,14,2789.541296384,2991.37867584,201.837379456,pim,9,0,64,0,49.572219456
0,15,2991.37867584,3190.200887296,198.822211456,pim,8,0,64,0,46.557051456
0,16,3190.200887296,3394.983546752,204.782659456,pim,10,0,64,0,52.517499456
0,17,3394.983546752,3596.820926208,201.837379456,pim,9,0,64,0,49.572219456
0,18,3596.820926208,3795.643137664,198.822211456,pim,8,0,64,0,46.557051456
0,19,3795.643137664,3997.48051712,201.837379456,pim,9,0,64,0,49.572219456
0,20,3997.48051712,4196.302728576,198.822211456,pim,8,0,64,0,46.557051456
0,21,4196.302728576,4398.140108032,201.837379456,pim,9,0,64,0,49.572219456
0,22,4398.140108032,4596.962319488,198.822211456,pim,8,0,64,0,46.557051456
0,23,4596.962319488,4795.784530944,198.822211456,pim,8,0,64,0,46.557051456
0,24,4795.784530944,4994.6067424,198.822211456,pim,8,0,64,0,46.557051456
0,25,4994.6067424,5196.444121856,201.837379456,pim,9,0,64,0,49.572219456
0,26,5196.444121856,5398.281501312,201.837379456,pim,9,0,64,0,49.572219456
0,27,5398.281501312,5603.064160768,204.782659456,pim,10,0,64,0,52.517499456
0,28,5603.064160768,5813.807268224,210.743107456,pim,12,0,64,0,58.477947456
0,29,5813.807268224,6015.64464768,201.837379456,pim,9,0,64,0,49.572219456
0,30,6015.64464768,6214.466859136,198.822211456,pim,8,0,64,0,46.557051456
0,31,6214.466859136,6422.264686592,207.797827456,pim,11,0,64,0,55.532667456
0,32,6422.264686592,6627.047346048,204.782659456,pim,10,0,64,0,52.517499456
0,33,6627.047346048,6828.884725504,201.837379456,pim,9,0,64,0,49.572219456
0,34,6828.884725504,7027.70693696,198.822211456,pim,8,0,64,0,46.557051456
0,35,7027.70693696,7226.529148416,198.822211456,pim,8,0,64,0,46.557051456
0,36,7226.529148416,7425.351359872,198.822211456,pim,8,0,64,0,46.557051456
0,37,7425.351359872,7624.173571328,198.822211456,pim,8,0,64,0,46.557051456
0,38,7624.173571328,7826.010950784,201.837379456,pim,9,0,64,0,49.572219456
0,39,7826.010950784,8027.84833024,201.837379456,pim,9,0,64,0,49.572219456
0,40,8027.84833024,8229.685709696,201.837379456,pim,9,0,64,0,49.572219456
0,41,8229.685709696,8431.523089152,201.837379456,pim,9,0,64,0,49.572219456
0,42,8431.523089152,8630.345300608,198.822211456,pim,8,0,64,0,46.557051456
0,43,8630.345300608,8835.127960064,204.782659456,pim,10,0,64,0,52.517499456
0,44,8835.127960064,9039.91061952,204.782659456,pim,10,0,64,0,52.517499456
0,45,9039.91061952,9241.747998976,201.837379456,pim,9,0,64,0,49.572219456
0,46,9241.747998976,9440.570210432,198.822211456,pim,8,0,64,0,46.557051456
0,47,9440.570210432,9639.392421888,198.822211456,pim,8,0,64,0,46.557051456
1,0,9639.392421888,9838.214633344,198.822211456,pim,8,0,64,0,46.557051456
1,1,9838.214633344,10037.0368448,198.822211456,pim,8,0,64,0,46.557051456
1,2,10037.0368448,10235.859056256,198.822211456,pim,8,0,64,0,46.557051456
1,3,10235.859056256,10434.681267712,198.822211456,pim,8,0,64,0,46.557051456
1,4,10434.681267712,10633.503479168,198.822211456,pim,8,0,64,0,46.557051456
1,5,10633.503479168,10832.325690624,198.822211456,pim,8,0,64,0,46.557051456
1,6,10832.325690624,11031.14790208,198.822211456,pim,8,0,64,0,46.557051456
1,7,11031.14790208,11229.970113536,198.822211456,pim,8,0,64,0,46.557051456
1,8,11229.970113536,11428.792324992,198.822211456,pim,8,0,64,0,46.557051456
1,9,11428.792324992,11630.629704448,201.837379456,pim,9,0,64,0,49.572219456
1,10,11630.629704448,11832.467083904,201.837379456,pim,9,0,64,0,49.572219456
1,11,11832.467083904,12031.28929536,198.822211456,pim,8,0,64,0,46.557051456
1,12,12031.28929536,12230.111506816,198.822211456,pim,8,0,64,0,46.557051456
1,13,12230.111506816,12431.948886272,201.837379456,pim,9,0,64,0,49.572219456
1,14,12431.948886272,12633.786265728,201.837379456,pim,9,0,64,0,49.572219456
1,15,12633.786265728,12835.623645184,201.837379456,pim,9,0,64,0,49.572219456
1,16,12835.623645184,13037.46102464,201.837379456,pim,9,0,64,0,49.572219456
1,17,13037.46102464,13239.298404096,201.837379456,pim,9,0,64,0,49.572219456
1,18,13239.298404096,13438.120615552,198.822211456,pim,8,0,64,0,46.557051456
1,19,13438.120615552,13642.903275008,204.782659456,pim,10,0,64,0,52.517499456
1,20,13642.903275008,13844.740654464,201.837379456,pim,9,0,64,0,49.572219456
1,21,13844.740654464,14046.57803392,201.837379456,pim,9,0,64,0,49.572219456
1,22,14046.57803392,14248.415413376,201.837379456,pim,9,0,64,0,49.572219456
1,23,14248.415413376,14450.252792832,201.837379456,pim,9,0,64,0,49.572219456
1,24,14450.252792832,14649.075004288,198.822211456,pim,8,0,64,0,46.557051456
1,25,14649.075004288,14847.897215744,198.822211456,pim,8,0,64,0,46.557051456
1,26,14847.897215744,15046.7194272,198.822211456,pim,8,0,64,0,46.557051456
1,27,15046.7194272,15245.541638656,198.822211456,pim,8,0,64,0,46.557051456
1,28,15245.541638656,15450.324298112,204.782659456,pim,10,0,64,0,52.517499456
1,29,15450.324298112,15649.146509568,198.822211456,pim,8,0,64,0,46.557051456
1,30,15649.146509568,15850.983889024,201.837379456,pim,9,0,64,0,49.572219456
1,31,15850.983889024,16058.78171648,207.797827456,pim,11,0,64,0,55.532667456
1,32,16058.78171648,16260.619095936,201.837379456,pim,9,0,64,0,49.572219456
1,33,16260.619095936,16462.456475392,201.837379456,pim,9,0,64,0,49.572219456
1,34,16462.456475392,16661.278686848,198.822211456,pim,8,0,64,0,46.557051456
1,35,16661.278686848,16866.061346304,204.782659456,pim,10,0,64,0,52.517499456
1,36,16866.061346304,17067.89872576,201.837379456,pim,9,0,64,0,49.572219456
1,37,17067.89872576,17266.720937216,198.822211456,pim,8,0,64,0,46.557051456
1,38,17266.720937216,17471.503596672,204.782659456,pim,10,0,64,0,52.517499456
1,39,17471.503596672,17673.340976128,201.837379456,pim,9,0,64,0,49.572219456
1,40,17673.340976128,17872.163187584,198.822211456,pim,8,0,64,0,46.557051456
1,41,17872.163187584,18074.00056704,201.837379456,pim,9,0,64,0,49.572219456
1,42,18074.00056704,18275.837946496,201.837379456,pim,9,0,64,0,49.572219456
1,43,18275.837946496,18477.675325952,201.837379456,pim,9,0,64,0,49.572219456
1,44,18477.675325952,18679.512705408,201.837379456,pim,9,0,64,0,49.572219456
1,45,18679.512705408,18884.295364864,204.782659456,pim,10,0,64,0,52.517499456
1,46,18884.295364864,19086.13274432,201.837379456,pim,9,0,64,0,49.572219456
1,47,19086.13274432,19290.915403776,204.782659456,pim,10,0,64,0,52.517499456
2,0,19290.915403776,19489.762263232,198.846859456,pim,8,0,64,0,46.557051456
2,1,19489.762263232,19688.609122688,198.846859456,pim,8,0,64,0,46.557051456
2,2,19688.609122688,19887.455982144,198.846859456,pim,8,0,64,0,46.557051456
2,3,19887.455982144,20086.3028416,198.846859456,pim,8,0,64,0,46.557051456
2,4,20086.3028416,20285.149701056,198.846859456,pim,8,0,64,0,46.557051456
