gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,14;21;50;51;57;103;106;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,0,True
8,3;6;9;33;42;49;51;95,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,1,True
8,56;72;82;90;92;95;122;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,2,True
8,30;39;56;71;87;108;114;117,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,3,True
8,12;19;64;65;100;108;110;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,4,True
8,4;38;46;53;65;73;84;104,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,5,True
8,33;43;49;58;82;112;116;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,6,True
8,15;19;29;44;52;56;75;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,7,True
8,11;50;53;83;85;92;102;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,8,True
8,2;11;13;16;38;92;124;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,9,True
8,1;6;9;29;42;48;84;98,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,10,True
9,3;17;52;62;76;81;108;109;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,11,True
8,11;24;41;57;78;106;111;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,12,True
9,11;31;33;34;93;104;110;117;119,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,13,True
9,2;5;14;61;97;105;109;113;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,14,True
8,15;21;58;63;64;84;122;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,15,True
10,12;42;48;53;91;97;98;107;119;122,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,16,True
9,73;75;80;90;94;105;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,17,True
8,12;58;82;87;91;104;112;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,18,True
9,10;28;29;52;56;75;92;114;119,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,19,True
8,9;10;48;76;85;92;114;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,20,True
9,2;11;13;32;38;44;53;63;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,21,True
8,1;12;29;42;48;54;75;84,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,22,True
8,4;14;31;32;36;62;76;109,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,23,True
8,11;18;20;24;54;57;111;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,24,True
