step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,334.792984,334.792984,pim,0,8,0,128,306.310992
0,1,334.792984,669.585968,334.792984,pim,0,8,0,128,306.310992
0,2,669.585968,1004.378952,334.792984,pim,0,8,0,128,306.310992
0,3,1004.378952,1339.171936,334.792984,pim,0,10,0,128,306.310992
0,4,1339.171936,1673.96492,334.792984,pim,0,9,0,128,306.310992
0,5,1673.96492,2008.757904,334.792984,pim,0,10,0,128,306.310992
0,6,2008.757904,2343.550888,334.792984,pim,0,9,0,128,306.310992
0,7,2343.550888,2678.343872,334.792984,pim,0,8,0,128,306.310992
0,8,2678.343872,3013.136856,334.792984,pim,0,8,0,128,306.310992
0,9,3013.136856,3347.92984,334.792984,pim,0,8,0,128,306.310992
0,10,3347.92984,3682.722824,334.792984,pim,0,8,0,128,306.310992
0,11,3682.722824,4017.515808,334.792984,pim,0,9,0,128,306.310992
0,12,4017.515808,4352.308792,334.792984,pim,0,9,0,128,306.310992
0,13,4352.308792,4687.101776,334.792984,pim,0,9,0,128,306.310992
0,14,4687.101776,5021.89476,334.792984,pim,0,8,0,128,306.310992
0,15,5021.89476,5356.687744,334.792984,pim,0,8,0,128,306.310992
0,16,5356.687744,5691.480728,334.792984,pim,0,9,0,128,306.310992
0,17,5691.480728,6026.273712,334.792984,pim,0,10,0,128,306.310992
0,18,6026.273712,6361.066696,334.792984,pim,0,8,0,128,306.310992
0,19,6361.066696,6695.85968,334.792984,pim,0,8,0,128,306.310992
0,20,6695.85968,7030.652664,334.792984,pim,0,9,0,128,306.310992
0,21,7030.652664,7365.445648,334.792984,pim,0,9,0,128,306.310992
0,22,7365.445648,7700.238632,334.792984,pim,0,12,0,128,306.310992
0,23,7700.238632,8035.031616,334.792984,pim,0,10,0,128,306.310992
0,24,8035.031616,8369.8246,334.792984,pim,0,9,0,128,306.310992
0,25,8369.8246,8704.617584,334.792984,pim,0,10,0,128,306.310992
0,26,8704.617584,9039.410568,334.792984,pim,0,10,0,128,306.310992
0,27,9039.410568,9374.203552,334.792984,pim,0,9,0,128,306.310992
0,28,9374.203552,9708.996536,334.792984,pim,0,8,0,128,306.310992
0,29,9708.996536,10043.78952,334.792984,pim,0,10,0,128,306.310992
0,30,10043.78952,10378.582504,334.792984,pim,0,11,0,128,306.310992
0,31,10378.582504,10713.375488,334.792984,pim,0,12,0,128,306.310992
0,32,10713.375488,11048.168472,334.792984,pim,0,11,0,128,306.310992
0,33,11048.168472,11382.961456,334.792984,pim,0,9,0,128,306.310992
0,34,11382.961456,11717.75444,334.792984,pim,0,10,0,128,306.310992
0,35,11717.75444,12052.547424,334.792984,pim,0,10,0,128,306.310992
0,36,12052.547424,12387.340408,334.792984,pim,0,8,0,128,306.310992
0,37,12387.340408,12722.133392,334.792984,pim,0,9,0,128,306.310992
0,38,12722.133392,13056.926376,334.792984,pim,0,10,0,128,306.310992
0,39,13056.926376,13391.71936,334.792984,pim,0,9,0,128,306.310992
0,40,13391.71936,13726.512344,334.792984,pim,0,11,0,128,306.310992
0,41,13726.512344,14061.305328,334.792984,pim,0,10,0,128,306.310992
0,42,14061.305328,14396.098312,334.792984,pim,0,10,0,128,306.310992
0,43,14396.098312,14730.891296,334.792984,pim,0,9,0,128,306.310992
0,44,14730.891296,15065.68428,334.792984,pim,0,10,0,128,306.310992
0,45,15065.68428,15400.477264,334.792984,pim,0,10,0,128,306.310992
0,46,15400.477264,15735.270248,334.792984,pim,0,9,0,128,306.310992
0,47,15735.270248,16070.063232,334.792984,pim,0,10,0,128,306.310992
1,0,16070.063232,16404.876768,334.813536,pim,0,8,0,128,306.33564
1,1,16404.876768,16739.690304,334.813536,pim,0,8,0,128,306.33564
1,2,16739.690304,17074.50384,334.813536,pim,0,8,0,128,306.33564
1,3,17074.50384,17409.317376,334.813536,pim,0,12,0,128,306.33564
1,4,17409.317376,17744.130912,334.813536,pim,0,9,0,128,306.33564
1,5,17744.130912,18078.944448,334.813536,pim,0,9,0,128,306.33564
1,6,18078.944448,18413.757984,334.813536,pim,0,10,0,128,306.33564
1,7,18413.757984,18748.57152,334.813536,pim,0,8,0,128,306.33564
1,8,18748.57152,19083.385056,334.813536,pim,0,9,0,128,306.33564
1,9,19083.385056,19418.198592,334.813536,pim,0,9,0,128,306.33564
1,10,19418.198592,19753.012128,334.813536,pim,0,9,0,128,306.33564
1,11,19753.012128,20087.825664,334.813536,pim,0,10,0,128,306.33564
1,12,20087.825664,20422.6392,334.813536,pim,0,8,0,128,306.33564
1,13,20422.6392,20757.452736,334.813536,pim,0,9,0,128,306.33564
1,14,20757.452736,21092.266272,334.813536,pim,0,9,0,128,306.33564
1,15,21092.266272,21427.079808,334.813536,pim,0,8,0,128,306.33564
1,16,21427.079808,21761.893344,334.813536,pim,0,9,0,128,306.33564
1,17,21761.893344,22096.70688,334.813536,pim,0,10,0,128,306.33564
1,18,22096.70688,22431.520416,334.813536,pim,0,8,0,128,306.33564
1,19,22431.520416,22766.333952,334.813536,pim,0,9,0,128,306.33564
1,20,22766.333952,23101.147488,334.813536,pim,0,8,0,128,306.33564
1,21,23101.147488,23435.961024,334.813536,pim,0,11,0,128,306.33564
1,22,23435.961024,23770.77456,334.813536,pim,0,9,0,128,306.33564
1,23,23770.77456,24105.588096,334.813536,pim,0,10,0,128,306.33564
1,24,24105.588096,24440.401632,334.813536,pim,0,9,0,128,306.33564
1,25,24440.401632,24775.215168,334.813536,pim,0,9,0,128,306.33564
1,26,24775.215168,25110.028704,334.813536,pim,0,11,0,128,306.33564
1,27,25110.028704,25444.84224,334.813536,pim,0,9,0,128,306.33564
1,28,25444.84224,25779.655776,334.813536,pim,0,10,0,128,306.33564
1,29,25779.655776,26114.469312,334.813536,pim,0,8,0,128,306.33564
1,30,26114.469312,26449.282848,334.813536,pim,0,9,0,128,306.33564
1,31,26449.282848,26784.096384,334.813536,pim,0,9,0,128,306.33564
1,32,26784.096384,27118.90992,334.813536,pim,0,10,0,128,306.33564
1,33,27118.90992,27453.723456,334.813536,pim,0,11,0,128,306.33564
1,34,27453.723456,27788.536992,334.813536,pim,0,10,0,128,306.33564
1,35,27788.536992,28123.350528,334.813536,pim,0,9,0,128,306.33564
1,36,28123.350528,28458.164064,334.813536,pim,0,11,0,128,306.33564
1,37,28458.164064,28792.9776,334.813536,pim,0,8,0,128,306.33564
1,38,28792.9776,29127.791136,334.813536,pim,0,8,0,128,306.33564
1,39,29127.791136,29462.604672,334.813536,pim,0,9,0,128,306.33564
1,40,29462.604672,29797.418208,334.813536,pim,0,9,0,128,306.33564
1,41,29797.418208,30132.231744,334.813536,pim,0,10,0,128,306.33564
1,42,30132.231744,30467.04528,334.813536,pim,0,9,0,128,306.33564
1,43,30467.04528,30801.858816,334.813536,pim,0,9,0,128,306.33564
1,44,30801.858816,31136.672352,334.813536,pim,0,9,0,128,306.33564
1,45,31136.672352,31471.485888,334.813536,pim,0,8,0,128,306.33564
1,46,31471.485888,31806.299424,334.813536,pim,0,10,0,128,306.33564
1,47,31806.299424,32141.11296,334.813536,pim,0,10,0,128,306.33564
2,0,32141.11296,32475.947048,334.834088,pim,0,8,0,128,306.360288
2,1,32475.947048,32810.781136,334.834088,pim,0,8,0,128,306.360288
2,2,32810.781136,33145.615224,334.834088,pim,0,8,0,128,306.360288
2,3,33145.615224,33480.449312,334.834088,pim,0,9,0,128,306.360288
2,4,33480.449312,33815.2834,334.834088,pim,0,8,0,128,306.360288
2,5,33815.2834,34150.117488,334.834088,pim,0,8,0,128,306.360288
2,6,34150.117488,34484.951576,334.834088,pim,0,8,0,128,306.360288
2,7,34484.951576,34819.785664,334.834088,pim,0,8,0,128,306.360288
2,8,34819.785664,35154.619752,334.834088,pim,0,8,0,128,306.360288
2,9,35154.619752,35489.45384,334.834088,pim,0,8,0,128,306.360288
2,10,35489.45384,35824.287928,334.834088,pim,0,8,0,128,306.360288
2,11,35824.287928,36159.122016,334.834088,pim,0,9,0,128,306.360288
2,12,36159.122016,36493.956104,334.834088,pim,0,9,0,128,306.360288
2,13,36493.956104,36828.790192,334.834088,pim,0,8,0,128,306.360288
2,14,36828.790192,37163.62428,334.834088,pim,0,8,0,128,306.360288
2,15,37163.62428,37498.458368,334.834088,pim,0,8,0,128,306.360288
2,16,37498.458368,37833.292456,334.834088,pim,0,8,0,128,306.360288
2,17,37833.292456,38168.126544,334.834088,pim,0,8,0,128,306.360288
2,18,38168.126544,38502.960632,334.834088,pim,0,8,0,128,306.360288
2,19,38502.960632,38837.79472,334.834088,pim,0,8,0,128,306.360288
2,20,38837.79472,39172.628808,334.834088,pim,0,9,0,128,306.360288
2,21,39172.628808,39507.462896,334.834088,pim,0,8,0,128,306.360288
2,22,39507.462896,39842.296984,334.834088,pim,0,9,0,128,306.360288
2,23,39842.296984,40177.131072,334.834088,pim,0,8,0,128,306.360288
2,24,40177.131072,40511.96516,334.834088,pim,0,8,0,128,306.360288
2,25,40511.96516,40846.799248,334.834088,pim,0,8,0,128,306.360288
2,26,40846.799248,41181.633336,334.834088,pim,0,9,0,128,306.360288
2,27,41181.633336,41516.467424,334.834088,pim,0,8,0,128,306.360288
2,28,41516.467424,41851.301512,334.834088,pim,0,10,0,128,306.360288
2,29,41851.301512,42186.1356,334.834088,pim,0,10,0,128,306.360288
2,30,42186.1356,42520.969688,334.834088,pim,0,11,0,128,306.360288
2,31,42520.969688,42855.803776,334.834088,pim,0,10,0,128,306.360288
2,32,42855.803776,43190.637864,334.834088,pim,0,9,0,128,306.360288
2,33,43190.637864,43525.471952,334.834088,pim,0,12,0,128,306.360288
2,34,43525.471952,43860.30604,334.834088,pim,0,11,0,128,306.360288
2,35,43860.30604,44195.140128,334.834088,pim,0,9,0,128,306.360288
2,36,44195.140128,44529.974216,334.834088,pim,0,8,0,128,306.360288
2,37,44529.974216,44864.808304,334.834088,pim,0,8,0,128,306.360288
2,38,44864.808304,45199.642392,334.834088,pim,0,8,0,128,306.360288
2,39,45199.642392,45534.47648,334.834088,pim,0,11,0,128,306.360288
2,40,45534.47648,45869.310568,334.834088,pim,0,10,0,128,306.360288
2,41,45869.310568,46204.144656,334.834088,pim,0,8,0,128,306.360288
2,42,46204.144656,46538.978744,334.834088,pim,0,10,0,128,306.360288
2,43,46538.978744,46873.812832,334.834088,pim,0,9,0,128,306.360288
2,44,46873.812832,47208.64692,334.834088,pim,0,11,0,128,306.360288
2,45,47208.64692,47543.481008,334.834088,pim,0,8,0,128,306.360288
2,46,47543.481008,47878.315096,334.834088,pim,0,11,0,128,306.360288
