step,layer,expert_id,token_count,target
0,0,26,16,gpu
0,0,43,16,gpu
0,0,44,16,gpu
0,0,59,16,gpu
0,0,65,16,gpu
0,0,66,16,gpu
0,0,73,16,gpu
0,0,114,16,pim
0,1,26,16,gpu
0,1,33,16,gpu
0,1,34,16,gpu
0,1,49,16,gpu
0,1,50,16,gpu
0,1,94,16,gpu
0,1,104,16,gpu
0,1,124,16,pim
0,2,18,16,gpu
0,2,53,16,gpu
0,2,56,16,gpu
0,2,62,16,gpu
0,2,67,16,gpu
0,2,72,16,gpu
0,2,82,16,gpu
0,2,123,16,pim
0,3,46,16,gpu
0,3,51,12,pim
0,3,56,16,gpu
0,3,67,3,pim
0,3,71,16,gpu
0,3,80,1,pim
0,3,99,16,gpu
0,3,101,16,gpu
0,3,108,16,gpu
0,3,114,16,gpu
0,4,12,16,gpu
0,4,43,16,gpu
0,4,65,16,gpu
0,4,100,16,gpu
0,4,107,9,pim
0,4,108,16,gpu
0,4,114,7,pim
0,4,121,16,gpu
0,4,127,16,gpu
0,5,4,3,pim
0,5,20,16,gpu
0,5,32,16,gpu
0,5,38,11,gpu
0,5,46,16,gpu
0,5,65,16,gpu
0,5,73,16,gpu
0,5,84,7,pim
0,5,94,11,gpu
0,5,104,16,gpu
0,6,22,1,pim
0,6,33,16,gpu
0,6,49,16,gpu
0,6,58,16,gpu
0,6,74,15,pim
0,6,82,16,gpu
0,6,92,16,gpu
0,6,112,16,gpu
0,6,126,16,gpu
0,7,15,16,gpu
0,7,19,16,gpu
0,7,24,16,gpu
0,7,29,16,gpu
0,7,52,16,gpu
0,7,56,16,gpu
0,7,114,16,gpu
0,7,125,16,pim
0,8,17,16,gpu
0,8,23,16,gpu
0,8,50,16,gpu
0,8,53,16,gpu
0,8,66,16,gpu
0,8,83,16,gpu
0,8,92,16,gpu
0,8,102,16,pim
0,9,2,16,gpu
0,9,6,16,gpu
0,9,11,16,gpu
0,9,13,16,gpu
0,9,23,16,gpu
0,9,26,16,gpu
0,9,63,16,gpu
0,9,85,16,pim
0,10,1,16,gpu
0,10,5,16,gpu
0,10,12,16,gpu
0,10,28,16,gpu
0,10,31,16,gpu
0,10,90,16,gpu
0,10,92,16,gpu
0,10,98,16,pim
0,11,15,15,gpu
0,11,17,16,gpu
0,11,54,16,gpu
0,11,62,16,gpu
0,11,81,13,pim
0,11,104,4,pim
0,11,108,16,gpu
0,11,120,16,gpu
0,11,121,16,gpu
0,12,11,16,gpu
0,12,18,16,gpu
0,12,27,4,pim
0,12,33,16,gpu
0,12,39,16,gpu
0,12,41,16,gpu
0,12,49,14,gpu
0,12,89,16,gpu
0,12,108,14,gpu
0,13,13,16,gpu
0,13,27,16,gpu
0,13,33,16,gpu
0,13,34,16,gpu
0,13,63,16,gpu
0,13,85,15,pim
0,13,91,16,gpu
0,13,93,1,pim
0,13,97,16,gpu
0,14,2,16,gpu
0,14,5,16,gpu
0,14,49,16,gpu
0,14,61,16,gpu
0,14,63,16,gpu
0,14,92,16,gpu
0,14,109,16,gpu
0,14,113,16,pim
0,15,2,16,gpu
0,15,26,16,gpu
0,15,50,16,gpu
0,15,58,16,gpu
0,15,63,16,gpu
0,15,84,16,gpu
0,15,88,16,gpu
0,15,127,16,pim
0,16,42,16,gpu
0,16,46,2,pim
0,16,48,16,gpu
0,16,54,16,gpu
0,16,62,16,gpu
0,16,97,16,gpu
0,16,98,16,gpu
0,16,107,16,gpu
0,16,122,14,pim
0,17,13,13,gpu
0,17,34,16,gpu
0,17,39,16,gpu
0,17,59,16,gpu
0,17,60,2,pim
0,17,61,4,pim
0,17,80,16,gpu
0,17,122,16,gpu
0,17,123,13,gpu
0,17,124,16,gpu
0,18,49,16,gpu
0,18,58,16,gpu
0,18,82,16,gpu
0,18,87,16,gpu
0,18,91,16,gpu
0,18,104,16,gpu
0,18,112,16,gpu
0,18,126,16,pim
0,19,10,16,gpu
0,19,15,16,gpu
0,19,29,16,gpu
0,19,52,16,gpu
0,19,56,16,gpu
0,19,76,16,gpu
0,19,102,16,gpu
0,19,114,16,pim
0,20,23,16,gpu
0,20,48,16,gpu
0,20,53,16,gpu
0,20,76,16,gpu
0,20,85,16,gpu
0,20,92,16,gpu
0,20,102,13,pim
0,20,113,3,pim
0,20,114,16,gpu
0,21,2,16,gpu
0,21,6,16,gpu
0,21,11,16,gpu
0,21,13,15,gpu
0,21,15,2,pim
0,21,26,16,gpu
0,21,38,16,gpu
0,21,56,15,pim
0,21,63,16,gpu
0,22,0,1,pim
0,22,1,16,gpu
0,22,6,9,gpu
0,22,7,15,gpu
0,22,8,4,pim
0,22,12,16,gpu
0,22,28,7,pim
0,22,36,16,gpu
0,22,48,11,gpu
0,22,75,16,gpu
0,22,92,16,gpu
0,22,114,1,pim
0,23,14,16,gpu
0,23,31,16,gpu
0,23,32,2,pim
0,23,36,16,gpu
0,23,48,16,gpu
0,23,52,3,pim
0,23,65,16,gpu
0,23,81,16,gpu
0,23,104,16,gpu
0,23,121,11,pim
0,24,11,16,gpu
0,24,18,16,gpu
0,24,20,16,gpu
0,24,28,16,gpu
0,24,47,16,gpu
0,24,57,16,gpu
0,24,59,1,pim
0,24,91,16,gpu
0,24,108,15,pim
0,25,13,16,gpu
0,25,34,16,gpu
0,25,43,9,pim
0,25,72,16,gpu
0,25,74,16,gpu
0,25,97,7,pim
0,25,108,16,gpu
0,25,110,16,gpu
0,25,119,15,gpu
0,25,126,1,pim
0,26,2,16,gpu
0,26,19,2,pim
0,26,29,16,gpu
0,26,49,16,gpu
0,26,61,16,gpu
0,26,72,16,gpu
0,26,89,4,pim
0,26,97,10,pim
0,26,116,16,gpu
0,26,121,16,gpu
0,27,11,5,pim
0,27,26,16,gpu
0,27,27,16,gpu
0,27,50,16,gpu
0,27,63,16,gpu
0,27,79,11,pim
0,27,84,16,gpu
0,27,88,16,gpu
0,27,118,16,gpu
0,28,10,16,gpu
0,28,42,16,gpu
0,28,53,16,gpu
0,28,70,16,gpu
0,28,91,16,gpu
0,28,98,16,gpu
0,28,107,16,gpu
0,28,122,16,pim
0,29,3,16,gpu
0,29,13,16,gpu
0,29,34,16,gpu
0,29,37,16,gpu
0,29,51,12,pim
0,29,59,3,pim
0,29,61,16,gpu
0,29,95,1,pim
0,29,105,16,gpu
0,29,124,16,gpu
0,30,6,16,gpu
0,30,48,16,gpu
0,30,58,16,gpu
0,30,62,4,pim
0,30,65,6,pim
0,30,84,4,pim
0,30,91,16,gpu
0,30,93,16,gpu
0,30,104,2,pim
0,30,120,16,gpu
0,30,126,16,gpu
0,31,10,6,pim
0,31,11,9,gpu
0,31,24,16,gpu
0,31,36,3,pim
0,31,38,15,gpu
0,31,41,16,gpu
0,31,56,16,gpu
0,31,72,16,gpu
0,31,84,3,pim
0,31,87,1,pim
0,31,102,16,gpu
0,31,114,11,gpu
0,32,10,16,gpu
0,32,11,1,pim
0,32,48,13,pim
0,32,50,16,gpu
0,32,75,1,pim
0,32,76,16,gpu
0,32,83,16,gpu
0,32,85,16,gpu
0,32,90,16,gpu
0,32,102,1,pim
0,32,118,16,gpu
0,33,4,16,gpu
0,33,11,16,gpu
0,33,13,1,pim
0,33,15,16,gpu
0,33,26,16,gpu
0,33,38,16,gpu
0,33,44,15,pim
0,33,53,16,gpu
0,33,63,16,gpu
0,34,0,3,pim
0,34,1,16,gpu
0,34,5,6,pim
0,34,28,16,gpu
0,34,42,16,gpu
0,34,75,16,gpu
0,34,81,16,gpu
0,34,84,16,gpu
0,34,92,16,gpu
0,34,114,7,pim
0,35,15,11,gpu
0,35,17,16,gpu
0,35,28,16,gpu
0,35,31,16,gpu
0,35,32,16,gpu
0,35,62,2,pim
0,35,65,6,pim
0,35,104,16,gpu
0,35,110,16,gpu
0,35,120,13,gpu
0,36,11,16,gpu
0,36,18,16,gpu
0,36,28,16,gpu
0,36,33,16,gpu
0,36,47,16,gpu
0,36,57,16,gpu
0,36,62,16,gpu
0,36,109,16,pim
0,37,27,16,gpu
0,37,34,16,gpu
0,37,72,16,gpu
0,37,85,15,gpu
0,37,86,15,pim
0,37,91,16,gpu
0,37,97,2,pim
0,37,110,16,gpu
0,37,122,16,gpu
0,38,2,16,gpu
0,38,19,16,gpu
0,38,29,11,gpu
0,38,49,16,gpu
0,38,91,16,gpu
0,38,109,1,pim
0,38,110,7,pim
0,38,113,13,gpu
0,38,116,16,gpu
0,38,121,16,gpu
0,39,14,16,gpu
0,39,16,13,gpu
0,39,33,10,pim
0,39,48,16,gpu
0,39,50,13,gpu
0,39,63,16,gpu
0,39,79,13,gpu
0,39,84,16,gpu
0,39,118,15,gpu
0,40,10,16,gpu
0,40,19,16,gpu
0,40,33,4,pim
0,40,34,8,pim
0,40,46,16,gpu
0,40,48,1,pim
0,40,50,3,pim
0,40,53,16,gpu
0,40,97,16,gpu
0,40,98,16,gpu
0,40,122,16,gpu
0,41,10,13,gpu
0,41,34,16,gpu
0,41,61,12,gpu
0,41,72,16,gpu
0,41,80,16,gpu
0,41,100,16,gpu
0,41,105,16,gpu
0,41,116,3,pim
0,41,123,4,pim
0,41,124,16,gpu
0,42,14,3,pim
0,42,30,16,gpu
0,42,39,16,gpu
0,42,43,16,gpu
0,42,50,16,gpu
0,42,58,10,pim
0,42,66,16,gpu
0,42,76,16,gpu
0,42,88,16,gpu
0,42,112,3,pim
0,43,10,16,gpu
0,43,11,16,gpu
0,43,69,7,pim
0,43,92,16,gpu
0,43,94,16,gpu
0,43,96,16,gpu
0,43,98,16,gpu
0,43,99,16,gpu
0,43,123,9,pim
0,44,15,16,gpu
0,44,19,15,gpu
0,44,40,15,gpu
0,44,49,3,pim
0,44,50,16,gpu
0,44,63,12,gpu
0,44,79,16,gpu
0,44,107,3,pim
0,44,113,16,gpu
0,44,127,16,gpu
0,45,4,16,gpu
0,45,18,16,gpu
0,45,39,1,pim
0,45,53,16,gpu
0,45,65,16,gpu
0,45,86,16,gpu
0,45,98,16,gpu
0,45,113,14,pim
0,45,121,16,gpu
0,45,127,1,pim
0,46,4,16,gpu
0,46,18,15,gpu
0,46,41,15,gpu
0,46,43,14,gpu
0,46,46,10,gpu
0,46,48,16,gpu
0,46,74,10,pim
0,46,76,16,gpu
0,46,90,16,gpu
0,47,14,16,gpu
0,47,41,9,pim
0,47,46,16,gpu
0,47,54,16,gpu
0,47,55,6,pim
0,47,58,16,gpu
0,47,65,16,gpu
0,47,79,16,gpu
0,47,109,1,pim
0,47,110,16,gpu
1,0,14,16,gpu
1,0,31,16,gpu
1,0,43,16,gpu
1,0,63,16,gpu
1,0,83,16,gpu
1,0,93,16,gpu
1,0,97,16,gpu
1,0,120,16,pim
1,1,8,16,gpu
1,1,26,16,gpu
1,1,33,16,gpu
1,1,34,16,gpu
1,1,41,16,gpu
1,1,42,16,gpu
1,1,124,16,gpu
1,1,126,16,pim
1,2,10,16,gpu
1,2,53,16,gpu
1,2,56,16,gpu
1,2,62,16,gpu
1,2,67,16,gpu
1,2,72,16,gpu
1,2,92,16,gpu
1,2,123,16,pim
1,3,23,11,gpu
1,3,46,16,gpu
1,3,51,2,pim
1,3,56,16,gpu
1,3,67,3,pim
1,3,69,5,pim
1,3,80,9,gpu
1,3,87,2,pim
1,3,99,16,gpu
1,3,101,16,gpu
1,3,108,16,gpu
1,3,114,16,gpu
1,4,12,16,gpu
1,4,43,16,gpu
1,4,65,16,gpu
1,4,95,7,pim
1,4,100,16,gpu
1,4,107,14,gpu
1,4,108,16,gpu
1,4,110,16,gpu
1,4,127,11,gpu
1,5,4,16,gpu
1,5,19,16,gpu
1,5,20,16,gpu
1,5,32,5,pim
1,5,46,16,gpu
1,5,53,16,gpu
1,5,65,16,gpu
1,5,94,11,pim
1,5,104,16,gpu
1,6,22,16,gpu
1,6,33,16,gpu
1,6,49,16,gpu
1,6,58,16,gpu
1,6,62,1,pim
1,6,74,3,pim
1,6,82,16,gpu
1,6,92,12,pim
1,6,121,16,gpu
1,6,126,16,gpu
1,7,15,16,gpu
1,7,19,16,gpu
1,7,24,16,gpu
1,7,29,16,gpu
1,7,36,16,gpu
1,7,52,16,gpu
1,7,56,16,gpu
1,7,114,16,pim
1,8,22,16,gpu
1,8,23,16,gpu
1,8,50,16,gpu
1,8,53,1,pim
1,8,58,15,pim
1,8,66,16,gpu
1,8,83,16,gpu
1,8,85,16,gpu
1,8,102,16,gpu
1,9,2,16,gpu
1,9,11,7,pim
1,9,13,14,gpu
1,9,16,16,gpu
1,9,23,16,gpu
1,9,26,16,gpu
1,9,63,16,gpu
1,9,95,11,gpu
1,9,98,16,gpu
1,10,1,16,gpu
1,10,5,16,gpu
1,10,6,4,pim
1,10,12,15,gpu
1,10,28,16,gpu
1,10,31,14,gpu
1,10,36,15,gpu
1,10,90,16,gpu
1,10,92,16,gpu
1,11,48,11,gpu
1,11,52,9,pim
1,11,54,16,gpu
1,11,72,14,gpu
1,11,81,16,gpu
1,11,103,16,gpu
1,11,109,1,pim
1,11,110,13,gpu
1,11,120,16,gpu
1,11,121,16,gpu
1,12,11,16,gpu
1,12,18,16,gpu
1,12,27,16,gpu
1,12,41,16,gpu
1,12,62,16,gpu
1,12,71,16,gpu
1,12,92,16,gpu
1,12,125,16,pim
1,13,27,16,gpu
1,13,30,15,pim
1,13,33,16,gpu
1,13,34,16,gpu
1,13,61,16,gpu
1,13,63,16,gpu
1,13,80,16,gpu
1,13,93,1,pim
1,13,117,16,gpu
1,14,2,16,gpu
1,14,5,16,gpu
1,14,49,16,gpu
1,14,63,16,gpu
1,14,78,11,pim
1,14,92,16,gpu
1,14,97,5,pim
1,14,109,16,gpu
1,14,113,16,gpu
1,15,2,16,gpu
1,15,26,16,gpu
1,15,50,16,gpu
1,15,58,16,gpu
1,15,63,16,gpu
1,15,84,16,gpu
1,15,88,16,gpu
1,15,127,16,pim
1,16,10,16,gpu
1,16,35,13,pim
1,16,42,16,gpu
1,16,48,16,gpu
1,16,82,3,pim
1,16,97,16,gpu
1,16,98,16,gpu
1,16,107,16,gpu
1,16,122,16,gpu
1,17,3,16,gpu
1,17,12,2,pim
1,17,34,16,gpu
1,17,40,9,gpu
1,17,59,16,gpu
1,17,80,16,gpu
1,17,100,14,gpu
1,17,122,16,gpu
1,17,123,7,pim
1,17,124,16,gpu
1,18,33,16,gpu
1,18,49,16,gpu
1,18,58,16,gpu
1,18,82,16,gpu
1,18,91,16,gpu
1,18,107,16,gpu
1,18,112,16,gpu
1,18,126,16,pim
1,19,15,12,pim
1,19,28,16,gpu
1,19,29,16,gpu
1,19,52,16,gpu
1,19,56,16,gpu
1,19,88,4,pim
1,19,92,16,gpu
1,19,102,16,gpu
1,19,114,16,gpu
1,20,48,16,gpu
1,20,53,16,gpu
1,20,68,16,gpu
1,20,76,16,gpu
1,20,85,16,gpu
1,20,92,16,gpu
1,20,113,16,gpu
1,20,114,16,pim
1,21,0,1,pim
1,21,2,16,gpu
1,21,4,1,pim
1,21,6,1,pim
1,21,8,16,gpu
1,21,11,16,gpu
1,21,13,15,gpu
1,21,26,16,gpu
1,21,53,14,pim
1,21,56,16,gpu
1,21,63,16,gpu
1,22,1,16,gpu
1,22,6,16,gpu
1,22,12,16,gpu
1,22,28,15,gpu
1,22,36,16,gpu
1,22,48,12,gpu
1,22,75,16,gpu
1,22,92,6,pim
1,22,118,15,gpu
1,23,4,1,pim
1,23,14,16,gpu
1,23,31,16,gpu
1,23,36,16,gpu
1,23,48,16,gpu
1,23,52,16,gpu
1,23,65,14,pim
1,23,81,16,gpu
1,23,120,16,gpu
1,23,121,1,pim
1,24,11,16,gpu
1,24,18,16,gpu
1,24,20,16,gpu
1,24,27,6,pim
1,24,28,16,gpu
1,24,37,16,gpu
1,24,91,16,gpu
1,24,108,10,pim
1,24,125,16,gpu
1,25,13,16,gpu
1,25,30,16,gpu
1,25,34,16,gpu
1,25,43,9,pim
1,25,74,7,pim
1,25,91,16,gpu
1,25,110,16,gpu
1,25,124,16,gpu
1,25,126,16,gpu
1,26,2,16,gpu
1,26,5,9,pim
1,26,29,3,pim
1,26,49,16,gpu
1,26,72,16,gpu
1,26,78,3,pim
1,26,87,16,gpu
1,26,97,16,gpu
1,26,109,16,gpu
1,26,113,16,gpu
1,26,121,1,pim
1,27,26,16,gpu
1,27,27,16,gpu
1,27,44,14,pim
1,27,50,16,gpu
1,27,63,16,gpu
1,27,84,16,gpu
1,27,88,16,gpu
1,27,106,2,pim
1,27,118,16,gpu
1,28,10,13,pim
1,28,42,16,gpu
1,28,49,3,pim
1,28,58,15,gpu
1,28,63,16,gpu
1,28,70,1,pim
1,28,91,16,gpu
1,28,98,16,gpu
1,28,107,16,gpu
1,28,122,16,gpu
1,29,3,16,gpu
1,29,12,16,gpu
1,29,13,16,gpu
1,29,34,16,gpu
1,29,59,16,gpu
1,29,61,16,gpu
1,29,105,16,gpu
1,29,124,16,pim
1,30,6,16,gpu
1,30,48,16,gpu
1,30,58,16,gpu
1,30,62,16,gpu
1,30,93,16,gpu
1,30,94,6,pim
1,30,104,10,pim
1,30,120,16,gpu
1,30,126,16,gpu
1,31,11,15,pim
1,31,24,16,gpu
1,31,36,16,gpu
1,31,38,16,gpu
1,31,41,16,gpu
