step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,184.546166912,184.546166912,pim,8,0,128,0,46.825486912
0,1,184.546166912,369.092333824,184.546166912,pim,8,0,128,0,46.825486912
0,2,369.092333824,553.638500736,184.546166912,pim,8,0,128,0,46.825486912
0,3,553.638500736,744.145115648,190.506614912,pim,10,0,128,0,52.785934912
0,4,744.145115648,931.70645056,187.561334912,pim,9,0,128,0,49.840654912
0,5,931.70645056,1122.213065472,190.506614912,pim,10,0,128,0,52.785934912
0,6,1122.213065472,1309.774400384,187.561334912,pim,9,0,128,0,49.840654912
0,7,1309.774400384,1494.320567296,184.546166912,pim,8,0,128,0,46.825486912
0,8,1494.320567296,1678.866734208,184.546166912,pim,8,0,128,0,46.825486912
0,9,1678.866734208,1863.41290112,184.546166912,pim,8,0,128,0,46.825486912
0,10,1863.41290112,2047.959068032,184.546166912,pim,8,0,128,0,46.825486912
0,11,2047.959068032,2235.520402944,187.561334912,pim,9,0,128,0,49.840654912
0,12,2235.520402944,2423.081737856,187.561334912,pim,9,0,128,0,49.840654912
0,13,2423.081737856,2610.643072768,187.561334912,pim,9,0,128,0,49.840654912
0,14,2610.643072768,2795.18923968,184.546166912,pim,8,0,128,0,46.825486912
0,15,2795.18923968,2979.735406592,184.546166912,pim,8,0,128,0,46.825486912
0,16,2979.735406592,3167.296741504,187.561334912,pim,9,0,128,0,49.840654912
0,17,3167.296741504,3357.803356416,190.506614912,pim,10,0,128,0,52.785934912
0,18,3357.803356416,3542.349523328,184.546166912,pim,8,0,128,0,46.825486912
0,19,3542.349523328,3726.89569024,184.546166912,pim,8,0,128,0,46.825486912
0,20,3726.89569024,3914.457025152,187.561334912,pim,9,0,128,0,49.840654912
0,21,3914.457025152,4102.018360064,187.561334912,pim,9,0,128,0,49.840654912
0,22,4102.018360064,4298.485422976,196.467062912,pim,12,0,128,0,58.746382912
0,23,4298.485422976,4488.992037888,190.506614912,pim,10,0,128,0,52.785934912
0,24,4488.992037888,4676.5533728,187.561334912,pim,9,0,128,0,49.840654912
0,25,4676.5533728,4867.059987712,190.506614912,pim,10,0,128,0,52.785934912
0,26,4867.059987712,5057.566602624,190.506614912,pim,10,0,128,0,52.785934912
0,27,5057.566602624,5245.127937536,187.561334912,pim,9,0,128,0,49.840654912
0,28,5245.127937536,5429.674104448,184.546166912,pim,8,0,128,0,46.825486912
0,29,5429.674104448,5620.18071936,190.506614912,pim,10,0,128,0,52.785934912
0,30,5620.18071936,5813.702502272,193.521782912,pim,11,0,128,0,55.801102912
0,31,5813.702502272,6010.169565184,196.467062912,pim,12,0,128,0,58.746382912
0,32,6010.169565184,6203.691348096,193.521782912,pim,11,0,128,0,55.801102912
0,33,6203.691348096,6391.252683008,187.561334912,pim,9,0,128,0,49.840654912
0,34,6391.252683008,6581.75929792,190.506614912,pim,10,0,128,0,52.785934912
0,35,6581.75929792,6772.265912832,190.506614912,pim,10,0,128,0,52.785934912
0,36,6772.265912832,6956.812079744,184.546166912,pim,8,0,128,0,46.825486912
0,37,6956.812079744,7144.373414656,187.561334912,pim,9,0,128,0,49.840654912
0,38,7144.373414656,7334.880029568,190.506614912,pim,10,0,128,0,52.785934912
0,39,7334.880029568,7522.44136448,187.561334912,pim,9,0,128,0,49.840654912
0,40,7522.44136448,7715.963147392,193.521782912,pim,11,0,128,0,55.801102912
0,41,7715.963147392,7906.469762304,190.506614912,pim,10,0,128,0,52.785934912
0,42,7906.469762304,8096.976377216,190.506614912,pim,10,0,128,0,52.785934912
0,43,8096.976377216,8284.537712128,187.561334912,pim,9,0,128,0,49.840654912
0,44,8284.537712128,8475.04432704,190.506614912,pim,10,0,128,0,52.785934912
0,45,8475.04432704,8665.550941952,190.506614912,pim,10,0,128,0,52.785934912
0,46,8665.550941952,8853.112276864,187.561334912,pim,9,0,128,0,49.840654912
0,47,8853.112276864,9043.618891776,190.506614912,pim,10,0,128,0,52.785934912
1,0,9043.618891776,9228.185610688,184.566718912,pim,8,0,128,0,46.825486912
1,1,9228.185610688,9412.7523296,184.566718912,pim,8,0,128,0,46.825486912
1,2,9412.7523296,9597.319048512,184.566718912,pim,8,0,128,0,46.825486912
1,3,9597.319048512,9793.806663424,196.487614912,pim,12,0,128,0,58.746382912
1,4,9793.806663424,9981.388550336,187.581886912,pim,9,0,128,0,49.840654912
1,5,9981.388550336,10168.970437248,187.581886912,pim,9,0,128,0,49.840654912
1,6,10168.970437248,10359.49760416,190.527166912,pim,10,0,128,0,52.785934912
1,7,10359.49760416,10544.064323072,184.566718912,pim,8,0,128,0,46.825486912
