step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,281.978558912,281.978558912,pim,8,0,128,0,272.668656
0,1,281.978558912,563.957117824,281.978558912,pim,8,0,128,0,272.668656
0,2,563.957117824,845.935676736,281.978558912,pim,8,0,128,0,272.668656
0,3,845.935676736,1127.914235648,281.978558912,pim,8,0,128,0,272.668656
0,4,1127.914235648,1409.844469952,281.930234304,pim,8,1,126,2,275.305368
0,5,1409.844469952,1691.80666656,281.962196608,pim,8,1,127,1,273.994656
0,6,1691.80666656,1973.785225472,281.978558912,pim,8,0,128,0,272.668656
0,7,1973.785225472,2258.76259008,284.977364608,pim,9,1,127,1,273.994656
0,8,2258.76259008,2543.707992384,284.945402304,pim,9,1,126,2,275.305368
0,9,2543.707992384,2825.686551296,281.978558912,pim,8,0,128,0,272.668656
0,10,2825.686551296,3107.665110208,281.978558912,pim,8,0,128,0,272.668656
0,11,3107.665110208,3392.65883712,284.993726912,pim,9,0,128,0,272.668656
0,12,3392.65883712,3674.637396032,281.978558912,pim,8,0,128,0,272.668656
0,13,3674.637396032,3959.631122944,284.993726912,pim,9,0,128,0,272.668656
0,14,3959.631122944,4241.609681856,281.978558912,pim,8,0,128,0,272.668656
0,15,4241.609681856,4523.588240768,281.978558912,pim,8,0,128,0,272.668656
0,16,4523.588240768,4805.56679968,281.978558912,pim,8,0,128,0,272.668656
0,17,4805.56679968,5087.545358592,281.978558912,pim,8,0,128,0,272.668656
0,18,5087.545358592,5369.523917504,281.978558912,pim,8,0,128,0,272.668656
0,19,5369.523917504,5651.448709504,281.924792,pim,8,1,125,3,276.617328
0,20,5651.448709504,5936.426074112,284.977364608,pim,9,1,127,1,273.994656
0,21,5936.426074112,6218.356308416,281.930234304,pim,8,2,126,2,275.305368
0,22,6218.356308416,6500.334867328,281.978558912,pim,8,0,128,0,272.668656
0,23,6500.334867328,6782.31342624,281.978558912,pim,8,0,128,0,272.668656
0,24,6782.31342624,7064.208127936,281.894701696,pim,8,2,124,4,277.92804
0,25,7064.208127936,7346.13836224,281.930234304,pim,8,1,126,2,275.305368
0,26,7346.13836224,7628.100558848,281.962196608,pim,8,1,127,1,273.994656
0,27,7628.100558848,7913.09428576,284.993726912,pim,9,0,128,0,272.668656
0,28,7913.09428576,8195.072844672,281.978558912,pim,8,0,128,0,272.668656
0,29,8195.072844672,8477.051403584,281.978558912,pim,8,0,128,0,272.668656
0,30,8477.051403584,8762.045130496,284.993726912,pim,9,0,128,0,272.668656
0,31,8762.045130496,9046.9905328,284.945402304,pim,9,2,126,2,275.305368
0,32,9046.9905328,9328.9153248,281.924792,pim,8,1,125,3,276.617328
0,33,9328.9153248,9610.893883712,281.978558912,pim,8,0,128,0,272.668656
0,34,9610.893883712,9895.833843712,284.93996,pim,9,1,125,3,276.617328
0,35,9895.833843712,10180.827570624,284.993726912,pim,9,0,128,0,272.668656
0,36,10180.827570624,10465.821297536,284.993726912,pim,9,0,128,0,272.668656
0,37,10465.821297536,10747.746089536,281.924792,pim,8,2,125,3,276.617328
0,38,10747.746089536,11032.686049536,284.93996,pim,9,1,125,3,276.617328
0,39,11032.686049536,11314.648246144,281.962196608,pim,8,1,127,1,273.994656
0,40,11314.648246144,11602.587253056,287.939006912,pim,10,0,128,0,272.668656
0,41,11602.587253056,11884.565811968,281.978558912,pim,8,0,128,0,272.668656
0,42,11884.565811968,12169.55953888,284.993726912,pim,9,0,128,0,272.668656
0,43,12169.55953888,12451.538097792,281.978558912,pim,8,0,128,0,272.668656
0,44,12451.538097792,12733.462889792,281.924792,pim,8,2,125,3,276.617328
0,45,12733.462889792,13015.441448704,281.978558912,pim,8,0,128,0,272.668656
0,46,13015.441448704,13300.435175616,284.993726912,pim,9,0,128,0,272.668656
0,47,13300.435175616,13582.413734528,281.978558912,pim,8,0,128,0,272.668656
1,0,13582.413734528,13864.41284544,281.999110912,pim,8,0,128,0,272.693304
1,1,13864.41284544,14146.411956352,281.999110912,pim,8,0,128,0,272.693304
1,2,14146.411956352,14428.411067264,281.999110912,pim,8,0,128,0,272.693304
1,3,14428.411067264,14710.410178176,281.999110912,pim,8,0,128,0,272.693304
1,4,14710.410178176,14992.409289088,281.999110912,pim,8,0,128,0,272.693304
1,5,14992.409289088,15274.4084,281.999110912,pim,8,0,128,0,272.693304
1,6,15274.4084,15556.407510912,281.999110912,pim,8,0,128,0,272.693304
1,7,15556.407510912,15838.406621824,281.999110912,pim,8,0,128,0,272.693304
1,8,15838.406621824,16120.357408128,281.950786304,pim,8,1,126,2,275.330016
1,9,16120.357408128,16402.35651904,281.999110912,pim,8,0,128,0,272.693304
1,10,16402.35651904,16687.370797952,285.014278912,pim,9,0,128,0,272.693304
1,11,16687.370797952,16969.321584256,281.950786304,pim,8,1,126,2,275.330016
1,12,16969.321584256,17251.320695168,281.999110912,pim,8,0,128,0,272.693304
1,13,17251.320695168,17536.33497408,285.014278912,pim,9,0,128,0,272.693304
1,14,17536.33497408,17818.28031808,281.945344,pim,8,1,125,3,276.641976
1,15,17818.28031808,18100.279428992,281.999110912,pim,8,0,128,0,272.693304
1,16,18100.279428992,18385.245383296,284.965954304,pim,9,1,126,2,275.330016
1,17,18385.245383296,18667.190727296,281.945344,pim,8,1,125,3,276.641976
1,18,18667.190727296,18949.1415136,281.950786304,pim,8,1,126,2,275.330016
1,19,18949.1415136,19234.155792512,285.014278912,pim,9,0,128,0,272.693304
1,20,19234.155792512,19516.154903424,281.999110912,pim,8,0,128,0,272.693304
1,21,19516.154903424,19801.169182336,285.014278912,pim,9,0,128,0,272.693304
1,22,19801.169182336,20083.114526336,281.945344,pim,8,1,125,3,276.641976
1,23,20083.114526336,20365.06531264,281.950786304,pim,8,2,126,2,275.330016
1,24,20365.06531264,20647.064423552,281.999110912,pim,8,0,128,0,272.693304
1,25,20647.064423552,20929.063534464,281.999110912,pim,8,0,128,0,272.693304
1,26,20929.063534464,21211.046283072,281.982748608,pim,8,1,127,1,274.019304
1,27,21211.046283072,21496.04419968,284.997916608,pim,9,1,127,1,274.019304
1,28,21496.04419968,21777.98954368,281.945344,pim,8,2,125,3,276.641976
1,29,21777.98954368,22059.988654592,281.999110912,pim,8,0,128,0,272.693304
1,30,22059.988654592,22341.987765504,281.999110912,pim,8,0,128,0,272.693304
1,31,22341.987765504,22626.9181872,284.930421696,pim,9,2,124,4,277.952688
1,32,22626.9181872,22908.797422592,281.879235392,pim,8,2,123,5,279.264336
1,33,22908.797422592,23193.7953392,284.997916608,pim,9,1,127,1,274.019304
1,34,23193.7953392,23475.794450112,281.999110912,pim,8,0,128,0,272.693304
1,35,23475.794450112,23757.793561024,281.999110912,pim,8,0,128,0,272.693304
1,36,23757.793561024,24039.792671936,281.999110912,pim,8,0,128,0,272.693304
1,37,24039.792671936,24321.791782848,281.999110912,pim,8,0,128,0,272.693304
1,38,24321.791782848,24603.79089376,281.999110912,pim,8,0,128,0,272.693304
1,39,24603.79089376,24885.741680064,281.950786304,pim,8,1,126,2,275.330016
1,40,24885.741680064,25167.740790976,281.999110912,pim,8,0,128,0,272.693304
1,41,25167.740790976,25455.700349888,287.959558912,pim,10,0,128,0,272.693304
