step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,1,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,2,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,3,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,4,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,5,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,6,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,7,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,8,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,9,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,10,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,11,True,23.288616,23.25336,-0.035256,13.90272,13.904904,0.002184,23.25336,406784,1024,441578624,2359296,406784,13056,12800
0,12,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,13,True,23.288616,23.221536,-0.06708,6.188832,6.190392,0.00156,23.221536,180736,896,156281984,2359296,180736,5888,5632
0,14,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,15,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,16,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,17,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
0,18,True,20.343336,20.327112,-0.016224,24.657984,24.661104,0.00312,24.661104,678400,1408,930122112,2064384,722944,22784,22528
