gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,6;26;43;44;59;65;92;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,0,True
8,26;33;34;49;50;94;111;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,1,True
8,18;49;53;62;72;82;88;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,2,True
8,51;56;67;71;87;101;108;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,3,True
9,12;43;64;65;100;107;108;114;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,4,True
10,20;32;46;53;65;73;94;104;106;120,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,5,True
9,22;33;49;58;82;92;112;121;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,6,True
8,15;19;24;29;52;56;114;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,7,True
10,17;23;50;53;58;66;68;83;92;102,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,8,True
10,2;11;23;26;39;58;63;67;69;124,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,9,True
9,1;5;6;36;42;48;59;84;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,10,True
10,14;15;17;36;48;52;76;81;104;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,11,True
8,11;18;27;39;49;62;111;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,12,True
8,13;27;31;33;34;92;93;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,13,True
9,2;5;61;63;72;87;97;109;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,14,True
10,15;24;26;50;58;63;79;84;122;127,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,15,True
8,23;42;48;70;91;97;107;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,16,True
8,30;34;59;80;90;105;122;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,17,True
8,58;82;87;91;104;107;112;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,18,True
8,10;29;52;56;76;92;102;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,19,True
8,11;48;53;76;85;92;102;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,20,True
8,2;14;26;39;44;56;63;67,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,21,True
9,1;8;36;48;59;75;81;84;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,22,True
9,14;17;31;32;36;65;104;108;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,23,True
10,11;18;28;54;57;77;91;109;111;125,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,24,True
8,13;31;34;43;53;72;84;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,25,True
9,2;5;49;61;72;87;97;109;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,26,True
