step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,50.857147456,50.857147456,gpu,8,0,64,0,12.705619456
0,1,50.857147456,101.714294912,50.857147456,gpu,8,0,64,0,12.705619456
0,2,101.714294912,152.571442368,50.857147456,gpu,8,0,64,0,12.705619456
0,3,152.571442368,209.389037824,56.817595456,gpu,10,0,64,0,15.064915456
0,4,209.389037824,263.26135328,53.872315456,gpu,9,0,64,0,13.885267456
0,5,263.26135328,317.133668736,53.872315456,gpu,9,0,64,0,13.885267456
0,6,317.133668736,371.005984192,53.872315456,gpu,9,0,64,0,13.885267456
0,7,371.005984192,421.863131648,50.857147456,gpu,8,0,64,0,12.705619456
0,8,421.863131648,475.735447104,53.872315456,gpu,9,0,64,0,13.885267456
0,9,475.735447104,529.60776256,53.872315456,gpu,9,0,64,0,13.885267456
0,10,529.60776256,583.480078016,53.872315456,gpu,9,0,64,0,13.885267456
0,11,583.480078016,640.297673472,56.817595456,gpu,10,0,64,0,15.064915456
0,12,640.297673472,691.154820928,50.857147456,gpu,8,0,64,0,12.705619456
0,13,691.154820928,745.027136384,53.872315456,gpu,9,0,64,0,13.885267456
0,14,745.027136384,798.89945184,53.872315456,gpu,9,0,64,0,13.885267456
0,15,798.89945184,849.756599296,50.857147456,gpu,8,0,64,0,12.705619456
0,16,849.756599296,903.628914752,53.872315456,gpu,9,0,64,0,13.885267456
0,17,903.628914752,957.501230208,53.872315456,gpu,9,0,64,0,13.885267456
0,18,957.501230208,1011.373545664,53.872315456,gpu,9,0,64,0,13.885267456
0,19,1011.373545664,1065.24586112,53.872315456,gpu,9,0,64,0,13.885267456
0,20,1065.24586112,1116.103008576,50.857147456,gpu,8,0,64,0,12.705619456
0,21,1116.103008576,1172.920604032,56.817595456,gpu,10,0,64,0,15.064915456
0,22,1172.920604032,1226.792919488,53.872315456,gpu,9,0,64,0,13.885267456
0,23,1226.792919488,1283.610514944,56.817595456,gpu,10,0,64,0,15.064915456
0,24,1283.610514944,1340.4281104,56.817595456,gpu,10,0,64,0,15.064915456
0,25,1340.4281104,1394.300425856,53.872315456,gpu,9,0,64,0,13.885267456
0,26,1394.300425856,1448.172741312,53.872315456,gpu,9,0,64,0,13.885267456
0,27,1448.172741312,1502.045056768,53.872315456,gpu,9,0,64,0,13.885267456
0,28,1502.045056768,1555.917372224,53.872315456,gpu,9,0,64,0,13.885267456
0,29,1555.917372224,1609.78968768,53.872315456,gpu,9,0,64,0,13.885267456
0,30,1609.78968768,1660.646835136,50.857147456,gpu,8,0,64,0,12.705619456
0,31,1660.646835136,1711.503982592,50.857147456,gpu,8,0,64,0,12.705619456
0,32,1711.503982592,1765.376298048,53.872315456,gpu,9,0,64,0,13.885267456
0,33,1765.376298048,1819.248613504,53.872315456,gpu,9,0,64,0,13.885267456
0,34,1819.248613504,1876.06620896,56.817595456,gpu,10,0,64,0,15.064915456
0,35,1876.06620896,1929.938524416,53.872315456,gpu,9,0,64,0,13.885267456
0,36,1929.938524416,1983.810839872,53.872315456,gpu,9,0,64,0,13.885267456
0,37,1983.810839872,2034.667987328,50.857147456,gpu,8,0,64,0,12.705619456
0,38,2034.667987328,2085.525134784,50.857147456,gpu,8,0,64,0,12.705619456
0,39,2085.525134784,2139.39745024,53.872315456,gpu,9,0,64,0,13.885267456
0,40,2139.39745024,2193.269765696,53.872315456,gpu,9,0,64,0,13.885267456
0,41,2193.269765696,2250.087361152,56.817595456,gpu,10,0,64,0,15.064915456
0,42,2250.087361152,2300.944508608,50.857147456,gpu,8,0,64,0,12.705619456
0,43,2300.944508608,2357.762104064,56.817595456,gpu,10,0,64,0,15.064915456
0,44,2357.762104064,2408.61925152,50.857147456,gpu,8,0,64,0,12.705619456
0,45,2408.61925152,2459.476398976,50.857147456,gpu,8,0,64,0,12.705619456
0,46,2459.476398976,2516.293994432,56.817595456,gpu,10,0,64,0,15.064915456
0,47,2516.293994432,2570.166309888,53.872315456,gpu,9,0,64,0,13.885267456
1,0,2570.166309888,2621.025505344,50.859195456,gpu,8,0,64,0,12.705619456
1,1,2621.025505344,2671.8847008,50.859195456,gpu,8,0,64,0,12.705619456
1,2,2671.8847008,2722.743896256,50.859195456,gpu,8,0,64,0,12.705619456
1,3,2722.743896256,2776.618259712,53.874363456,gpu,9,0,64,0,13.885267456
1,4,2776.618259712,2827.477455168,50.859195456,gpu,8,0,64,0,12.705619456
1,5,2827.477455168,2878.336650624,50.859195456,gpu,8,0,64,0,12.705619456
1,6,2878.336650624,2929.19584608,50.859195456,gpu,8,0,64,0,12.705619456
1,7,2929.19584608,2980.055041536,50.859195456,gpu,8,0,64,0,12.705619456
1,8,2980.055041536,3030.914236992,50.859195456,gpu,8,0,64,0,12.705619456
1,9,3030.914236992,3081.773432448,50.859195456,gpu,8,0,64,0,12.705619456
1,10,3081.773432448,3132.632627904,50.859195456,gpu,8,0,64,0,12.705619456
1,11,3132.632627904,3186.50699136,53.874363456,gpu,9,0,64,0,13.885267456
1,12,3186.50699136,3240.381354816,53.874363456,gpu,9,0,64,0,13.885267456
1,13,3240.381354816,3291.240550272,50.859195456,gpu,8,0,64,0,12.705619456
1,14,3291.240550272,3342.099745728,50.859195456,gpu,8,0,64,0,12.705619456
1,15,3342.099745728,3392.958941184,50.859195456,gpu,8,0,64,0,12.705619456
1,16,3392.958941184,3443.81813664,50.859195456,gpu,8,0,64,0,12.705619456
1,17,3443.81813664,3494.677332096,50.859195456,gpu,8,0,64,0,12.705619456
1,18,3494.677332096,3545.536527552,50.859195456,gpu,8,0,64,0,12.705619456
1,19,3545.536527552,3596.395723008,50.859195456,gpu,8,0,64,0,12.705619456
1,20,3596.395723008,3650.270086464,53.874363456,gpu,9,0,64,0,13.885267456
1,21,3650.270086464,3701.12928192,50.859195456,gpu,8,0,64,0,12.705619456
1,22,3701.12928192,3751.988477376,50.859195456,gpu,8,0,64,0,12.705619456
1,23,3751.988477376,3802.847672832,50.859195456,gpu,8,0,64,0,12.705619456
1,24,3802.847672832,3853.706868288,50.859195456,gpu,8,0,64,0,12.705619456
1,25,3853.706868288,3904.566063744,50.859195456,gpu,8,0,64,0,12.705619456
1,26,3904.566063744,3955.4252592,50.859195456,gpu,8,0,64,0,12.705619456
1,27,3955.4252592,4009.299622656,53.874363456,gpu,9,0,64,0,13.885267456
1,28,4009.299622656,4063.173986112,53.874363456,gpu,9,0,64,0,13.885267456
1,29,4063.173986112,4119.993629568,56.819643456,gpu,10,0,64,0,15.064915456
1,30,4119.993629568,4176.813273024,56.819643456,gpu,10,0,64,0,15.064915456
1,31,4176.813273024,4230.68763648,53.874363456,gpu,9,0,64,0,13.885267456
1,32,4230.68763648,4284.561999936,53.874363456,gpu,9,0,64,0,13.885267456
1,33,4284.561999936,4341.381643392,56.819643456,gpu,10,0,64,0,15.064915456
1,34,4341.381643392,4398.201286848,56.819643456,gpu,10,0,64,0,15.064915456
1,35,4398.201286848,4452.075650304,53.874363456,gpu,9,0,64,0,13.885267456
