gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,0,False
1,14,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,0,False
2,14;31,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,0,False
3,14;31;43,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,0,False
4,14;31;43;63,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,0,False
5,14;31;43;63;83,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,0,False
6,14;31;43;63;83;93,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,0,False
7,14;31;43;63;83;93;97,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,0,True
8,14;31;43;63;83;93;97;120,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,0,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,1,False
1,8,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,1,False
2,8;26,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,1,False
3,8;26;33,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,1,False
4,8;26;33;34,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,1,False
5,8;26;33;34;41,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,1,False
6,8;26;33;34;41;42,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,1,False
7,8;26;33;34;41;42;124,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,1,True
8,8;26;33;34;41;42;124;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,1,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,2,False
1,10,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,2,False
2,10;53,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,2,False
3,10;53;56,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,2,False
4,10;53;56;62,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,2,False
5,10;53;56;62;67,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,2,False
6,10;53;56;62;67;72,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,2,False
7,10;53;56;62;67;72;92,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,2,True
8,10;53;56;62;67;72;92;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,2,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,3,False
1,46,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,3,False
2,46;56,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,3,False
3,46;56;99,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,3,False
4,46;56;99;101,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,3,False
5,46;56;99;101;108,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,3,False
6,46;56;99;101;108;114,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,3,False
7,23;46;56;99;101;108;114,55,9,20.309328,3.23068672,23.54001472,13.904904,20.0,43.54001472,True,0,3,True
8,23;46;56;67;99;101;108;114,59,5,23.189712,3.247463936,26.437175936,7.747896,20.0,46.437175936,True,0,3,False
9,23;46;56;67;80;99;101;108;114,63,1,26.291616,3.264241152,29.555857152,1.591512,20.0,49.555857152,True,0,3,False
10,23;46;56;67;69;80;99;101;108;114,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,True,0,3,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,4,False
1,12,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,4,False
2,12;43,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,4,False
3,12;43;65,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,4,False
4,12;43;65;100,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,4,False
5,12;43;65;100;107,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,4,False
6,12;43;65;100;107;108,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,4,False
7,12;43;65;100;107;108;110,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,4,True
8,12;43;65;100;107;108;110;127,63,1,23.276448,3.264241152,26.540689152,1.591512,20.0,46.540689152,True,0,4,False
9,12;43;65;95;100;107;108;110;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,4,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,5,False
1,4,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,5,False
2,4;19,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,5,False
3,4;19;20,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,5,False
4,4;19;20;46,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,5,False
5,4;19;20;46;53,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,5,False
6,4;19;20;46;53;65,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,5,False
7,4;19;20;46;53;65;104,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,5,True
8,4;19;20;46;53;65;94;104,63,1,23.276448,3.264241152,26.540689152,1.591512,20.0,46.540689152,True,0,5,False
9,4;19;20;32;46;53;65;94;104,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,5,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,6,False
1,22,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,6,False
2,22;33,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,6,False
3,22;33;49,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,6,False
4,22;33;49;58,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,6,False
5,22;33;49;58;82,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,6,False
6,22;33;49;58;82;121,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,6,False
7,22;33;49;58;82;121;126,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,6,True
8,22;33;49;58;82;92;121;126,63,1,23.276448,3.264241152,26.540689152,1.591512,20.0,46.540689152,True,0,6,False
9,22;33;49;58;74;82;92;121;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,6,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,7,False
1,15,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,7,False
2,15;19,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,7,False
3,15;19;24,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,7,False
4,15;19;24;29,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,7,False
5,15;19;24;29;36,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,7,False
6,15;19;24;29;36;52,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,7,False
7,15;19;24;29;36;52;56,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,7,True
8,15;19;24;29;36;52;56;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,7,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,8,False
1,22,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,8,False
2,22;23,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,8,False
3,22;23;50,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,8,False
4,22;23;50;66,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,8,False
5,22;23;50;66;83,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,8,False
6,22;23;50;66;83;85,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,8,False
7,22;23;50;66;83;85;102,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,8,True
8,22;23;50;58;66;83;85;102,62,2,23.24868,3.260046848,26.508726848,3.112512,20.0,46.508726848,True,0,8,False
9,22;23;50;53;58;66;83;85;102,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,8,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,9,False
1,2,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,9,False
2,2;13,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,9,False
3,2;13;16,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,9,False
4,2;13;16;23,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,9,False
5,2;13;16;23;26,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,9,False
6,2;13;16;23;26;63,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,9,False
7,2;13;16;23;26;63;98,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,9,True
8,2;11;13;16;23;26;63;98,60,4,23.221536,3.25165824,26.47319424,6.190392,20.0,46.47319424,True,0,9,False
9,2;11;13;16;23;26;63;95;98,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,9,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,10,False
1,1,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,10,False
2,1;5,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,10,False
3,1;5;28,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,10,False
4,1;5;28;90,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,10,False
5,1;5;28;90;92,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,10,False
6,1;5;12;28;90;92,47,17,17.347512,3.197132288,20.544644288,26.217672,20.0,46.217672,True,0,10,False
7,1;5;12;28;36;90;92,54,10,20.251296,3.226492416,23.477788416,15.426216,20.0,43.477788416,True,0,10,True
8,1;5;6;12;28;36;90;92,59,5,23.189712,3.247463936,26.437175936,7.747896,20.0,46.437175936,True,0,10,False
9,1;5;6;12;28;31;36;90;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,10,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,11,False
1,54,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,11,False
2,54;81,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,11,False
3,54;81;103,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,11,False
4,54;81;103;120,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,11,False
5,54;81;103;120;121,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,11,False
6,48;54;81;103;120;121,47,17,17.347512,3.197132288,20.544644288,26.217672,20.0,46.217672,True,0,11,False
7,48;54;81;103;110;120;121,54,10,20.251296,3.226492416,23.477788416,15.426216,20.0,43.477788416,True,0,11,True
8,48;54;72;81;103;110;120;121,59,5,23.189712,3.247463936,26.437175936,7.747896,20.0,46.437175936,True,0,11,False
9,48;52;54;72;81;103;110;120;121,63,1,26.291616,3.264241152,29.555857152,1.591512,20.0,49.555857152,True,0,11,False
10,48;52;54;72;81;103;109;110;120;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,True,0,11,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,12,False
1,11,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,12,False
2,11;18,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,12,False
3,11;18;27,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,12,False
4,11;18;27;41,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,12,False
5,11;18;27;41;62,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,12,False
6,11;18;27;41;62;71,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,12,False
7,11;18;27;41;62;71;92,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,12,True
8,11;18;27;41;62;71;92;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,12,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,13,False
1,27,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,13,False
2,27;33,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,13,False
3,27;33;34,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,13,False
4,27;33;34;61,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,13,False
5,27;33;34;61;63,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,13,False
6,27;33;34;61;63;80,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,13,False
7,27;33;34;61;63;80;117,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,13,True
8,27;30;33;34;61;63;80;117,63,1,23.276448,3.264241152,26.540689152,1.591512,20.0,46.540689152,True,0,13,False
9,27;30;33;34;61;63;80;93;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,13,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,14,False
1,2,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,14,False
2,2;5,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,14,False
3,2;5;49,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,14,False
4,2;5;49;63,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,14,False
5,2;5;49;63;92,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,14,False
6,2;5;49;63;92;113,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,14,False
7,2;5;49;63;78;92;113,55,9,20.309328,3.23068672,23.54001472,13.904904,20.0,43.54001472,True,0,14,True
8,2;5;49;63;78;92;109;113,62,2,23.24868,3.260046848,26.508726848,3.112512,20.0,46.508726848,True,0,14,False
9,2;5;49;63;78;92;97;109;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,14,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,15,False
1,2,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,15,False
2,2;26,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,15,False
3,2;26;50,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,15,False
4,2;26;50;58,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,15,False
5,2;26;50;58;63,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,15,False
6,2;26;50;58;63;84,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,15,False
7,2;26;50;58;63;84;88,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,15,True
8,2;26;50;58;63;84;88;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,15,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,16,False
1,10,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,16,False
2,10;42,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,16,False
3,10;42;48,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,16,False
4,10;42;48;97,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,16,False
5,10;42;48;97;98,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,16,False
6,10;42;48;97;98;107,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,16,False
7,10;42;48;97;98;107;122,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,16,True
8,10;35;42;48;97;98;107;122,63,1,23.276448,3.264241152,26.540689152,1.591512,20.0,46.540689152,True,0,16,False
