step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,179.021233024,179.021233024,pim,7,1,56,8,43.533289024
0,1,179.021233024,358.042466048,179.021233024,pim,7,1,56,8,43.533289024
0,2,358.042466048,537.063699072,179.021233024,pim,7,1,56,8,43.533289024
0,3,537.063699072,716.084932096,179.021233024,pim,7,1,56,8,43.533289024
0,4,716.084932096,895.10616512,179.021233024,pim,7,1,56,8,43.533289024
0,5,895.10616512,1074.127398144,179.021233024,pim,7,1,56,8,43.533289024
0,6,1074.127398144,1253.148631168,179.021233024,pim,7,1,56,8,43.533289024
0,7,1253.148631168,1432.169864192,179.021233024,pim,7,1,56,8,43.533289024
0,8,1432.169864192,1611.191097216,179.021233024,pim,7,1,56,8,43.533289024
0,9,1611.191097216,1790.21233024,179.021233024,pim,7,1,56,8,43.533289024
0,10,1790.21233024,1969.233563264,179.021233024,pim,7,1,56,8,43.533289024
0,11,1969.233563264,2148.254796288,179.021233024,pim,7,2,56,8,43.533289024
0,12,2148.254796288,2327.276029312,179.021233024,pim,7,1,56,8,43.533289024
0,13,2327.276029312,2506.297262336,179.021233024,pim,7,2,56,8,43.533289024
0,14,2506.297262336,2685.31849536,179.021233024,pim,7,2,56,8,43.533289024
0,15,2685.31849536,2864.339728384,179.021233024,pim,7,1,56,8,43.533289024
0,16,2864.339728384,3043.360961408,179.021233024,pim,7,3,56,8,43.533289024
0,17,3043.360961408,3222.382194432,179.021233024,pim,7,2,56,8,43.533289024
0,18,3222.382194432,3401.403427456,179.021233024,pim,7,1,56,8,43.533289024
0,19,3401.403427456,3580.42466048,179.021233024,pim,7,2,56,8,43.533289024
0,20,3580.42466048,3759.445893504,179.021233024,pim,7,1,56,8,43.533289024
0,21,3759.445893504,3938.41162592,178.965732416,pim,7,2,54,10,43.477788416
0,22,3938.41162592,4117.432858944,179.021233024,pim,7,1,56,8,43.533289024
0,23,4117.432858944,4296.454091968,179.021233024,pim,7,1,56,8,43.533289024
0,24,4296.454091968,4475.475324992,179.021233024,pim,7,1,56,8,43.533289024
0,25,4475.475324992,4654.496558016,179.021233024,pim,7,2,56,8,43.533289024
0,26,4654.496558016,4833.51779104,179.021233024,pim,7,2,56,8,43.533289024
0,27,4833.51779104,5012.539024064,179.021233024,pim,7,3,56,8,43.533289024
0,28,5012.539024064,5191.566982784,179.02795872,pim,7,5,55,9,43.54001472
0,29,5191.566982784,5370.588215808,179.021233024,pim,7,2,56,8,43.533289024
0,30,5370.588215808,5549.609448832,179.021233024,pim,7,1,56,8,43.533289024
0,31,5549.609448832,5728.575181248,178.965732416,pim,7,4,54,10,43.477788416
0,32,5728.575181248,5907.596414272,179.021233024,pim,7,3,56,8,43.533289024
0,33,5907.596414272,6086.562146688,178.965732416,pim,7,2,54,10,43.477788416
0,34,6086.562146688,6265.583379712,179.021233024,pim,7,1,56,8,43.533289024
0,35,6265.583379712,6444.604612736,179.021233024,pim,7,1,56,8,43.533289024
0,36,6444.604612736,6623.62584576,179.021233024,pim,7,1,56,8,43.533289024
0,37,6623.62584576,6802.647078784,179.021233024,pim,7,1,56,8,43.533289024
0,38,6802.647078784,6981.668311808,179.021233024,pim,7,2,56,8,43.533289024
0,39,6981.668311808,7160.689544832,179.021233024,pim,7,2,56,8,43.533289024
0,40,7160.689544832,7339.710777856,179.021233024,pim,7,2,56,8,43.533289024
0,41,7339.710777856,7518.73201088,179.021233024,pim,7,2,56,8,43.533289024
0,42,7518.73201088,7697.753243904,179.021233024,pim,7,1,56,8,43.533289024
0,43,7697.753243904,7876.774476928,179.021233024,pim,7,3,56,8,43.533289024
0,44,7876.774476928,8055.795709952,179.021233024,pim,7,3,56,8,43.533289024
0,45,8055.795709952,8234.823668672,179.02795872,pim,7,2,55,9,43.54001472
0,46,8234.823668672,8413.844901696,179.021233024,pim,7,1,56,8,43.533289024
0,47,8413.844901696,8592.86613472,179.021233024,pim,7,1,56,8,43.533289024
1,0,8592.86613472,8771.885319744,179.019185024,pim,7,1,56,8,43.533289024
1,1,8771.885319744,8950.904504768,179.019185024,pim,7,1,56,8,43.533289024
1,2,8950.904504768,9129.923689792,179.019185024,pim,7,1,56,8,43.533289024
1,3,9129.923689792,9308.942874816,179.019185024,pim,7,1,56,8,43.533289024
1,4,9308.942874816,9487.96205984,179.019185024,pim,7,1,56,8,43.533289024
1,5,9487.96205984,9666.981244864,179.019185024,pim,7,1,56,8,43.533289024
1,6,9666.981244864,9846.000429888,179.019185024,pim,7,1,56,8,43.533289024
1,7,9846.000429888,10025.019614912,179.019185024,pim,7,1,56,8,43.533289024
1,8,10025.019614912,10204.038799936,179.019185024,pim,7,1,56,8,43.533289024
1,9,10204.038799936,10383.05798496,179.019185024,pim,7,2,56,8,43.533289024
1,10,10383.05798496,10562.077169984,179.019185024,pim,7,2,56,8,43.533289024
1,11,10562.077169984,10741.096355008,179.019185024,pim,7,1,56,8,43.533289024
1,12,10741.096355008,10920.115540032,179.019185024,pim,7,1,56,8,43.533289024
1,13,10920.115540032,11099.134725056,179.019185024,pim,7,2,56,8,43.533289024
1,14,11099.134725056,11278.15391008,179.019185024,pim,7,2,56,8,43.533289024
1,15,11278.15391008,11457.173095104,179.019185024,pim,7,2,56,8,43.533289024
1,16,11457.173095104,11636.192280128,179.019185024,pim,7,2,56,8,43.533289024
1,17,11636.192280128,11815.218190848,179.02591072,pim,7,2,55,9,43.54001472
1,18,11815.218190848,11994.237375872,179.019185024,pim,7,1,56,8,43.533289024
1,19,11994.237375872,12173.263286592,179.02591072,pim,7,3,55,9,43.54001472
1,20,12173.263286592,12352.289197312,179.02591072,pim,7,2,55,9,43.54001472
1,21,12352.289197312,12531.308382336,179.019185024,pim,7,2,56,8,43.533289024
1,22,12531.308382336,12710.32756736,179.019185024,pim,7,2,56,8,43.533289024
1,23,12710.32756736,12889.35347808,179.02591072,pim,7,2,55,9,43.54001472
1,24,12889.35347808,13068.372663104,179.019185024,pim,7,1,56,8,43.533289024
1,25,13068.372663104,13247.391848128,179.019185024,pim,7,1,56,8,43.533289024
1,26,13247.391848128,13426.411033152,179.019185024,pim,7,1,56,8,43.533289024
1,27,13426.411033152,13605.430218176,179.019185024,pim,7,1,56,8,43.533289024
1,28,13605.430218176,13784.4494032,179.019185024,pim,7,3,56,8,43.533289024
1,29,13784.4494032,13963.468588224,179.019185024,pim,7,1,56,8,43.533289024
1,30,13963.468588224,14142.43227264,178.963684416,pim,7,2,54,10,43.477788416
1,31,14142.43227264,14321.395957056,178.963684416,pim,7,4,54,10,43.477788416
1,32,14321.395957056,14500.41514208,179.019185024,pim,7,2,56,8,43.533289024
1,33,14500.41514208,14679.434327104,179.019185024,pim,7,2,56,8,43.533289024
1,34,14679.434327104,14858.453512128,179.019185024,pim,7,1,56,8,43.533289024
1,35,14858.453512128,15037.479422848,179.02591072,pim,7,3,55,9,43.54001472
1,36,15037.479422848,15216.498607872,179.019185024,pim,7,2,56,8,43.533289024
1,37,15216.498607872,15395.517792896,179.019185024,pim,7,1,56,8,43.533289024
1,38,15395.517792896,15574.53697792,179.019185024,pim,7,3,56,8,43.533289024
1,39,15574.53697792,15753.556162944,179.019185024,pim,7,2,56,8,43.533289024
1,40,15753.556162944,15932.575347968,179.019185024,pim,7,1,56,8,43.533289024
1,41,15932.575347968,16111.594532992,179.019185024,pim,7,2,56,8,43.533289024
1,42,16111.594532992,16290.613718016,179.019185024,pim,7,2,56,8,43.533289024
1,43,16290.613718016,16469.63290304,179.019185024,pim,7,2,56,8,43.533289024
1,44,16469.63290304,16648.652088064,179.019185024,pim,7,2,56,8,43.533289024
1,45,16648.652088064,16827.671273088,179.019185024,pim,7,3,56,8,43.533289024
1,46,16827.671273088,17006.697183808,179.02591072,pim,7,2,55,9,43.54001472
1,47,17006.697183808,17185.660868224,178.963684416,pim,7,3,54,10,43.477788416
2,0,17185.660868224,17364.702653248,179.041785024,pim,7,1,56,8,43.533289024
2,1,17364.702653248,17543.744438272,179.041785024,pim,7,1,56,8,43.533289024
2,2,17543.744438272,17722.786223296,179.041785024,pim,7,1,56,8,43.533289024
2,3,17722.786223296,17901.82800832,179.041785024,pim,7,1,56,8,43.533289024
2,4,17901.82800832,18080.869793344,179.041785024,pim,7,1,56,8,43.533289024
2,5,18080.869793344,18259.911578368,179.041785024,pim,7,1,56,8,43.533289024
2,6,18259.911578368,18438.953363392,179.041785024,pim,7,2,56,8,43.533289024
2,7,18438.953363392,18617.995148416,179.041785024,pim,7,1,56,8,43.533289024
2,8,18617.995148416,18797.03693344,179.041785024,pim,7,1,56,8,43.533289024
2,9,18797.03693344,18976.078718464,179.041785024,pim,7,1,56,8,43.533289024
2,10,18976.078718464,19155.120503488,179.041785024,pim,7,1,56,8,43.533289024
2,11,19155.120503488,19334.162288512,179.041785024,pim,7,1,56,8,43.533289024
2,12,19334.162288512,19513.204073536,179.041785024,pim,7,2,56,8,43.533289024
2,13,19513.204073536,19692.24585856,179.041785024,pim,7,1,56,8,43.533289024
2,14,19692.24585856,19871.287643584,179.041785024,pim,7,1,56,8,43.533289024
2,15,19871.287643584,20050.329428608,179.041785024,pim,7,1,56,8,43.533289024
2,16,20050.329428608,20229.371213632,179.041785024,pim,7,1,56,8,43.533289024
2,17,20229.371213632,20408.412998656,179.041785024,pim,7,1,56,8,43.533289024
2,18,20408.412998656,20587.45478368,179.041785024,pim,7,1,56,8,43.533289024
2,19,20587.45478368,20766.496568704,179.041785024,pim,7,1,56,8,43.533289024
2,20,20766.496568704,20945.538353728,179.041785024,pim,7,1,56,8,43.533289024
2,21,20945.538353728,21124.580138752,179.041785024,pim,7,1,56,8,43.533289024
2,22,21124.580138752,21303.621923776,179.041785024,pim,7,1,56,8,43.533289024
2,23,21303.621923776,21482.6637088,179.041785024,pim,7,1,56,8,43.533289024
2,24,21482.6637088,21661.705493824,179.041785024,pim,7,1,56,8,43.533289024
2,25,21661.705493824,21840.747278848,179.041785024,pim,7,2,56,8,43.533289024
2,26,21840.747278848,22019.789063872,179.041785024,pim,7,1,56,8,43.533289024
2,27,22019.789063872,22198.830848896,179.041785024,pim,7,2,56,8,43.533289024
2,28,22198.830848896,22377.87263392,179.041785024,pim,7,2,56,8,43.533289024
2,29,22377.87263392,22556.914418944,179.041785024,pim,7,1,56,8,43.533289024
2,30,22556.914418944,22735.90070336,178.986284416,pim,7,3,54,10,43.477788416
2,31,22735.90070336,22914.942488384,179.041785024,pim,7,2,56,8,43.533289024
2,32,22914.942488384,23093.990999104,179.04851072,pim,7,2,55,9,43.54001472
2,33,23093.990999104,23273.032784128,179.041785024,pim,7,2,56,8,43.533289024
2,34,23273.032784128,23452.074569152,179.041785024,pim,7,2,56,8,43.533289024
2,35,23452.074569152,23631.116354176,179.041785024,pim,7,3,56,8,43.533289024
2,36,23631.116354176,23810.1581392,179.041785024,pim,7,2,56,8,43.533289024
2,37,23810.1581392,23989.199924224,179.041785024,pim,7,1,56,8,43.533289024
2,38,23989.199924224,24168.241709248,179.041785024,pim,7,3,56,8,43.533289024
2,39,24168.241709248,24347.283494272,179.041785024,pim,7,2,56,8,43.533289024
2,40,24347.283494272,24526.325279296,179.041785024,pim,7,2,56,8,43.533289024
2,41,24526.325279296,24705.36706432,179.041785024,pim,7,1,56,8,43.533289024
2,42,24705.36706432,24884.408849344,179.041785024,pim,7,2,56,8,43.533289024
2,43,24884.408849344,25063.457360064,179.04851072,pim,7,2,55,9,43.54001472
2,44,25063.457360064,25242.499145088,179.041785024,pim,7,1,56,8,43.533289024
2,45,25242.499145088,25421.540930112,179.041785024,pim,7,1,56,8,43.533289024
2,46,25421.540930112,25600.582715136,179.041785024,pim,7,1,56,8,43.533289024
2,47,25600.582715136,25779.62450016,179.041785024,pim,7,1,56,8,43.533289024
3,0,25779.62450016,25958.688885184,179.064385024,pim,7,1,56,8,43.533289024
3,1,25958.688885184,26137.753270208,179.064385024,pim,7,1,56,8,43.533289024
3,2,26137.753270208,26316.817655232,179.064385024,pim,7,1,56,8,43.533289024
3,3,26316.817655232,26495.882040256,179.064385024,pim,7,1,56,8,43.533289024
3,4,26495.882040256,26674.94642528,179.064385024,pim,7,1,56,8,43.533289024
3,5,26674.94642528,26854.010810304,179.064385024,pim,7,1,56,8,43.533289024
3,6,26854.010810304,27033.075195328,179.064385024,pim,7,1,56,8,43.533289024
3,7,27033.075195328,27212.139580352,179.064385024,pim,7,2,56,8,43.533289024
3,8,27212.139580352,27391.203965376,179.064385024,pim,7,2,56,8,43.533289024
3,9,27391.203965376,27570.2683504,179.064385024,pim,7,1,56,8,43.533289024
3,10,27570.2683504,27749.332735424,179.064385024,pim,7,1,56,8,43.533289024
3,11,27749.332735424,27928.397120448,179.064385024,pim,7,2,56,8,43.533289024
3,12,27928.397120448,28107.461505472,179.064385024,pim,7,2,56,8,43.533289024
3,13,28107.461505472,28286.525890496,179.064385024,pim,7,2,56,8,43.533289024
3,14,28286.525890496,28465.59027552,179.064385024,pim,7,1,56,8,43.533289024
3,15,28465.59027552,28644.654660545,179.064385024,pim,7,1,56,8,43.533289024
3,16,28644.654660545,28823.719045569,179.064385024,pim,7,1,56,8,43.533289024
3,17,28823.719045569,29002.783430593,179.064385024,pim,7,2,56,8,43.533289024
3,18,29002.783430593,29181.847815617,179.064385024,pim,7,2,56,8,43.533289024
3,19,29181.847815617,29360.912200641,179.064385024,pim,7,1,56,8,43.533289024
