step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,182.044995456,182.044995456,pim,8,0,64,0,136.353672
0,1,182.044995456,364.089990912,182.044995456,pim,8,0,64,0,136.353672
0,2,364.089990912,546.134986368,182.044995456,pim,8,0,64,0,136.353672
0,3,546.134986368,728.179981824,182.044995456,pim,8,0,64,0,136.353672
0,4,728.179981824,910.22497728,182.044995456,pim,8,0,64,0,136.353672
0,5,910.22497728,1092.269972736,182.044995456,pim,8,0,64,0,136.353672
0,6,1092.269972736,1274.314968192,182.044995456,pim,8,0,64,0,136.353672
0,7,1274.314968192,1456.359963648,182.044995456,pim,8,0,64,0,136.353672
0,8,1456.359963648,1638.404959104,182.044995456,pim,8,0,64,0,136.353672
0,9,1638.404959104,1820.44995456,182.044995456,pim,8,0,64,0,136.353672
0,10,1820.44995456,2002.494950016,182.044995456,pim,8,0,64,0,136.353672
0,11,2002.494950016,2187.555113472,185.060163456,pim,9,0,64,0,136.353672
0,12,2187.555113472,2369.600108928,182.044995456,pim,8,0,64,0,136.353672
0,13,2369.600108928,2554.660272384,185.060163456,pim,9,0,64,0,136.353672
0,14,2554.660272384,2739.72043584,185.060163456,pim,9,0,64,0,136.353672
0,15,2739.72043584,2921.765431296,182.044995456,pim,8,0,64,0,136.353672
0,16,2921.765431296,3109.770874752,188.005443456,pim,10,0,64,0,136.353672
0,17,3109.770874752,3294.831038208,185.060163456,pim,9,0,64,0,136.353672
0,18,3294.831038208,3476.876033664,182.044995456,pim,8,0,64,0,136.353672
0,19,3476.876033664,3661.93619712,185.060163456,pim,9,0,64,0,136.353672
0,20,3661.93619712,3843.981192576,182.044995456,pim,8,0,64,0,136.353672
0,21,3843.981192576,4029.041356032,185.060163456,pim,9,0,64,0,136.353672
0,22,4029.041356032,4211.086351488,182.044995456,pim,8,0,64,0,136.353672
0,23,4211.086351488,4393.131346944,182.044995456,pim,8,0,64,0,136.353672
0,24,4393.131346944,4575.1763424,182.044995456,pim,8,0,64,0,136.353672
0,25,4575.1763424,4760.236505856,185.060163456,pim,9,0,64,0,136.353672
0,26,4760.236505856,4945.296669312,185.060163456,pim,9,0,64,0,136.353672
0,27,4945.296669312,5133.302112768,188.005443456,pim,10,0,64,0,136.353672
0,28,5133.302112768,5327.268004224,193.965891456,pim,12,0,64,0,136.353672
0,29,5327.268004224,5512.32816768,185.060163456,pim,9,0,64,0,136.353672
0,30,5512.32816768,5694.373163136,182.044995456,pim,8,0,64,0,136.353672
0,31,5694.373163136,5885.393774592,191.020611456,pim,11,0,64,0,136.353672
0,32,5885.393774592,6073.399218048,188.005443456,pim,10,0,64,0,136.353672
0,33,6073.399218048,6258.459381504,185.060163456,pim,9,0,64,0,136.353672
0,34,6258.459381504,6440.50437696,182.044995456,pim,8,0,64,0,136.353672
0,35,6440.50437696,6622.549372416,182.044995456,pim,8,0,64,0,136.353672
0,36,6622.549372416,6804.594367872,182.044995456,pim,8,0,64,0,136.353672
0,37,6804.594367872,6986.639363328,182.044995456,pim,8,0,64,0,136.353672
0,38,6986.639363328,7171.699526784,185.060163456,pim,9,0,64,0,136.353672
0,39,7171.699526784,7356.75969024,185.060163456,pim,9,0,64,0,136.353672
0,40,7356.75969024,7541.819853696,185.060163456,pim,9,0,64,0,136.353672
0,41,7541.819853696,7726.880017152,185.060163456,pim,9,0,64,0,136.353672
0,42,7726.880017152,7908.925012608,182.044995456,pim,8,0,64,0,136.353672
0,43,7908.925012608,8096.930456064,188.005443456,pim,10,0,64,0,136.353672
0,44,8096.930456064,8284.93589952,188.005443456,pim,10,0,64,0,136.353672
0,45,8284.93589952,8469.996062976,185.060163456,pim,9,0,64,0,136.353672
0,46,8469.996062976,8652.041058432,182.044995456,pim,8,0,64,0,136.353672
0,47,8652.041058432,8834.086053888,182.044995456,pim,8,0,64,0,136.353672
1,0,8834.086053888,9016.129001344,182.042947456,pim,8,0,64,0,136.353672
1,1,9016.129001344,9198.1719488,182.042947456,pim,8,0,64,0,136.353672
1,2,9198.1719488,9380.214896256,182.042947456,pim,8,0,64,0,136.353672
1,3,9380.214896256,9562.257843712,182.042947456,pim,8,0,64,0,136.353672
1,4,9562.257843712,9744.300791168,182.042947456,pim,8,0,64,0,136.353672
1,5,9744.300791168,9926.343738624,182.042947456,pim,8,0,64,0,136.353672
1,6,9926.343738624,10108.38668608,182.042947456,pim,8,0,64,0,136.353672
1,7,10108.38668608,10290.429633536,182.042947456,pim,8,0,64,0,136.353672
1,8,10290.429633536,10472.472580992,182.042947456,pim,8,0,64,0,136.353672
1,9,10472.472580992,10657.530696448,185.058115456,pim,9,0,64,0,136.353672
1,10,10657.530696448,10842.588811904,185.058115456,pim,9,0,64,0,136.353672
1,11,10842.588811904,11024.63175936,182.042947456,pim,8,0,64,0,136.353672
1,12,11024.63175936,11206.674706816,182.042947456,pim,8,0,64,0,136.353672
1,13,11206.674706816,11391.732822272,185.058115456,pim,9,0,64,0,136.353672
1,14,11391.732822272,11576.790937728,185.058115456,pim,9,0,64,0,136.353672
1,15,11576.790937728,11761.849053184,185.058115456,pim,9,0,64,0,136.353672
1,16,11761.849053184,11946.90716864,185.058115456,pim,9,0,64,0,136.353672
1,17,11946.90716864,12131.965284096,185.058115456,pim,9,0,64,0,136.353672
1,18,12131.965284096,12314.008231552,182.042947456,pim,8,0,64,0,136.353672
1,19,12314.008231552,12502.011627008,188.003395456,pim,10,0,64,0,136.353672
1,20,12502.011627008,12687.069742464,185.058115456,pim,9,0,64,0,136.353672
1,21,12687.069742464,12872.12785792,185.058115456,pim,9,0,64,0,136.353672
1,22,12872.12785792,13057.185973376,185.058115456,pim,9,0,64,0,136.353672
1,23,13057.185973376,13242.244088832,185.058115456,pim,9,0,64,0,136.353672
1,24,13242.244088832,13424.287036288,182.042947456,pim,8,0,64,0,136.353672
1,25,13424.287036288,13606.329983744,182.042947456,pim,8,0,64,0,136.353672
1,26,13606.329983744,13788.3729312,182.042947456,pim,8,0,64,0,136.353672
1,27,13788.3729312,13970.415878656,182.042947456,pim,8,0,64,0,136.353672
1,28,13970.415878656,14158.419274112,188.003395456,pim,10,0,64,0,136.353672
1,29,14158.419274112,14340.462221568,182.042947456,pim,8,0,64,0,136.353672
1,30,14340.462221568,14525.520337024,185.058115456,pim,9,0,64,0,136.353672
1,31,14525.520337024,14716.53890048,191.018563456,pim,11,0,64,0,136.353672
1,32,14716.53890048,14901.597015936,185.058115456,pim,9,0,64,0,136.353672
1,33,14901.597015936,15086.655131392,185.058115456,pim,9,0,64,0,136.353672
1,34,15086.655131392,15268.698078848,182.042947456,pim,8,0,64,0,136.353672
1,35,15268.698078848,15456.701474304,188.003395456,pim,10,0,64,0,136.353672
1,36,15456.701474304,15641.75958976,185.058115456,pim,9,0,64,0,136.353672
1,37,15641.75958976,15823.802537216,182.042947456,pim,8,0,64,0,136.353672
1,38,15823.802537216,16011.805932672,188.003395456,pim,10,0,64,0,136.353672
1,39,16011.805932672,16196.864048128,185.058115456,pim,9,0,64,0,136.353672
1,40,16196.864048128,16378.906995584,182.042947456,pim,8,0,64,0,136.353672
