step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,351.5702,351.5702,pim,0,8,0,128,306.310992
0,1,351.5702,703.1404,351.5702,pim,0,8,0,128,306.310992
0,2,703.1404,1054.7106,351.5702,pim,0,8,0,128,306.310992
0,3,1054.7106,1406.2808,351.5702,pim,0,10,0,128,306.310992
0,4,1406.2808,1757.851,351.5702,pim,0,9,0,128,306.310992
0,5,1757.851,2109.4212,351.5702,pim,0,10,0,128,306.310992
0,6,2109.4212,2460.9914,351.5702,pim,0,9,0,128,306.310992
0,7,2460.9914,2812.5616,351.5702,pim,0,8,0,128,306.310992
0,8,2812.5616,3164.1318,351.5702,pim,0,8,0,128,306.310992
0,9,3164.1318,3515.702,351.5702,pim,0,8,0,128,306.310992
0,10,3515.702,3867.2722,351.5702,pim,0,8,0,128,306.310992
0,11,3867.2722,4218.8424,351.5702,pim,0,9,0,128,306.310992
0,12,4218.8424,4570.4126,351.5702,pim,0,9,0,128,306.310992
0,13,4570.4126,4921.9828,351.5702,pim,0,9,0,128,306.310992
0,14,4921.9828,5273.553,351.5702,pim,0,8,0,128,306.310992
0,15,5273.553,5625.1232,351.5702,pim,0,8,0,128,306.310992
0,16,5625.1232,5976.6934,351.5702,pim,0,9,0,128,306.310992
0,17,5976.6934,6328.2636,351.5702,pim,0,10,0,128,306.310992
0,18,6328.2636,6679.8338,351.5702,pim,0,8,0,128,306.310992
0,19,6679.8338,7031.404,351.5702,pim,0,8,0,128,306.310992
0,20,7031.404,7382.9742,351.5702,pim,0,9,0,128,306.310992
0,21,7382.9742,7734.5444,351.5702,pim,0,9,0,128,306.310992
0,22,7734.5444,8086.1146,351.5702,pim,0,12,0,128,306.310992
0,23,8086.1146,8437.6848,351.5702,pim,0,10,0,128,306.310992
0,24,8437.6848,8789.255,351.5702,pim,0,9,0,128,306.310992
0,25,8789.255,9140.8252,351.5702,pim,0,10,0,128,306.310992
0,26,9140.8252,9492.3954,351.5702,pim,0,10,0,128,306.310992
0,27,9492.3954,9843.9656,351.5702,pim,0,9,0,128,306.310992
0,28,9843.9656,10195.5358,351.5702,pim,0,8,0,128,306.310992
0,29,10195.5358,10547.106,351.5702,pim,0,10,0,128,306.310992
0,30,10547.106,10898.6762,351.5702,pim,0,11,0,128,306.310992
0,31,10898.6762,11250.2464,351.5702,pim,0,12,0,128,306.310992
0,32,11250.2464,11601.8166,351.5702,pim,0,11,0,128,306.310992
0,33,11601.8166,11953.3868,351.5702,pim,0,9,0,128,306.310992
0,34,11953.3868,12304.957,351.5702,pim,0,10,0,128,306.310992
0,35,12304.957,12656.5272,351.5702,pim,0,10,0,128,306.310992
0,36,12656.5272,13008.0974,351.5702,pim,0,8,0,128,306.310992
0,37,13008.0974,13359.6676,351.5702,pim,0,9,0,128,306.310992
0,38,13359.6676,13711.2378,351.5702,pim,0,10,0,128,306.310992
0,39,13711.2378,14062.808,351.5702,pim,0,9,0,128,306.310992
0,40,14062.808,14414.3782,351.5702,pim,0,11,0,128,306.310992
0,41,14414.3782,14765.9484,351.5702,pim,0,10,0,128,306.310992
0,42,14765.9484,15117.5186,351.5702,pim,0,10,0,128,306.310992
0,43,15117.5186,15469.0888,351.5702,pim,0,9,0,128,306.310992
0,44,15469.0888,15820.659,351.5702,pim,0,10,0,128,306.310992
0,45,15820.659,16172.2292,351.5702,pim,0,10,0,128,306.310992
0,46,16172.2292,16523.7994,351.5702,pim,0,9,0,128,306.310992
0,47,16523.7994,16875.3696,351.5702,pim,0,10,0,128,306.310992
1,0,16875.3696,17226.964448,351.594848,pim,0,8,0,128,306.33564
1,1,17226.964448,17578.559296,351.594848,pim,0,8,0,128,306.33564
1,2,17578.559296,17930.154144,351.594848,pim,0,8,0,128,306.33564
1,3,17930.154144,18281.748992,351.594848,pim,0,12,0,128,306.33564
1,4,18281.748992,18633.34384,351.594848,pim,0,9,0,128,306.33564
1,5,18633.34384,18984.938688,351.594848,pim,0,9,0,128,306.33564
1,6,18984.938688,19336.533536,351.594848,pim,0,10,0,128,306.33564
1,7,19336.533536,19688.128384,351.594848,pim,0,8,0,128,306.33564
1,8,19688.128384,20039.723232,351.594848,pim,0,9,0,128,306.33564
1,9,20039.723232,20391.31808,351.594848,pim,0,9,0,128,306.33564
1,10,20391.31808,20742.912928,351.594848,pim,0,9,0,128,306.33564
1,11,20742.912928,21094.507776,351.594848,pim,0,10,0,128,306.33564
1,12,21094.507776,21446.102624,351.594848,pim,0,8,0,128,306.33564
1,13,21446.102624,21797.697472,351.594848,pim,0,9,0,128,306.33564
1,14,21797.697472,22149.29232,351.594848,pim,0,9,0,128,306.33564
1,15,22149.29232,22500.887168,351.594848,pim,0,8,0,128,306.33564
1,16,22500.887168,22852.482016,351.594848,pim,0,9,0,128,306.33564
1,17,22852.482016,23204.076864,351.594848,pim,0,10,0,128,306.33564
1,18,23204.076864,23555.671712,351.594848,pim,0,8,0,128,306.33564
