step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,181.323382912,181.323382912,pim,8,0,128,0,138.459048
0,1,181.323382912,362.646765824,181.323382912,pim,8,0,128,0,138.459048
0,2,362.646765824,543.970148736,181.323382912,pim,8,0,128,0,138.459048
0,3,543.970148736,725.209674432,181.239525696,pim,8,2,124,4,143.718432
0,4,725.209674432,909.548225344,184.338550912,pim,9,0,128,0,138.459048
0,5,909.548225344,1093.833009344,184.284784,pim,9,1,125,3,142.40772
0,6,1093.833009344,1275.140029952,181.307020608,pim,8,1,127,1,139.785048
0,7,1275.140029952,1456.463412864,181.323382912,pim,8,0,128,0,138.459048
0,8,1456.463412864,1637.786795776,181.323382912,pim,8,0,128,0,138.459048
0,9,1637.786795776,1819.110178688,181.323382912,pim,8,0,128,0,138.459048
0,10,1819.110178688,2000.4335616,181.323382912,pim,8,0,128,0,138.459048
0,11,2000.4335616,2184.772112512,184.338550912,pim,9,0,128,0,138.459048
0,12,2184.772112512,2369.110663424,184.338550912,pim,9,0,128,0,138.459048
0,13,2369.110663424,2550.417684032,181.307020608,pim,8,1,127,1,139.785048
0,14,2550.417684032,2731.741066944,181.323382912,pim,8,0,128,0,138.459048
0,15,2731.741066944,2913.064449856,181.323382912,pim,8,0,128,0,138.459048
0,16,2913.064449856,3094.33950816,181.275058304,pim,8,1,126,2,141.09576
0,17,3094.33950816,3278.629734464,184.290226304,pim,9,1,126,2,141.09576
0,18,3278.629734464,3459.953117376,181.323382912,pim,8,0,128,0,138.459048
0,19,3459.953117376,3641.276500288,181.323382912,pim,8,0,128,0,138.459048
0,20,3641.276500288,3822.546116288,181.269616,pim,8,1,125,3,142.40772
0,21,3822.546116288,4003.821174592,181.275058304,pim,8,1,126,2,141.09576
0,22,4003.821174592,4191.056680896,187.235506304,pim,10,2,126,2,141.09576
0,23,4191.056680896,4372.260188288,181.203507392,pim,8,2,123,5,145.03008
0,24,4372.260188288,4553.567208896,181.307020608,pim,8,1,127,1,139.785048
0,25,4553.567208896,4737.889397504,184.322188608,pim,9,1,127,1,139.785048
0,26,4737.889397504,4922.179623808,184.290226304,pim,9,1,126,2,141.09576
0,27,4922.179623808,5106.51817472,184.338550912,pim,9,0,128,0,138.459048
0,28,5106.51817472,5287.841557632,181.323382912,pim,8,0,128,0,138.459048
0,29,5287.841557632,5469.081083328,181.239525696,pim,8,2,124,4,143.718432
0,30,5469.081083328,5656.316589632,187.235506304,pim,10,1,126,2,141.09576
0,31,5656.316589632,5840.523756416,184.207166784,pim,9,3,121,7,147.65244
0,32,5840.523756416,6021.793372416,181.269616,pim,8,3,125,3,142.40772
0,33,6021.793372416,6203.100393024,181.307020608,pim,8,1,127,1,139.785048
0,34,6203.100393024,6387.385177024,184.284784,pim,9,1,125,3,142.40772
0,35,6387.385177024,6571.675403328,184.290226304,pim,9,1,126,2,141.09576
0,36,6571.675403328,6752.99878624,181.323382912,pim,8,0,128,0,138.459048
0,37,6752.99878624,6934.273844544,181.275058304,pim,8,1,126,2,141.09576
0,38,6934.273844544,7118.596033152,184.322188608,pim,9,1,127,1,139.785048
0,39,7118.596033152,7302.934584064,184.338550912,pim,9,0,128,0,138.459048
0,40,7302.934584064,7487.18927776,184.254693696,pim,9,2,124,4,143.718432
0,41,7487.18927776,7671.47406176,184.284784,pim,9,1,125,3,142.40772
0,42,7671.47406176,7852.712374848,181.238313088,pim,8,2,122,6,146.340792
0,43,7852.712374848,8037.05092576,184.338550912,pim,9,0,128,0,138.459048
0,44,8037.05092576,8218.289238848,181.238313088,pim,8,2,122,6,146.340792
0,45,8218.289238848,8399.564297152,181.275058304,pim,8,2,126,2,141.09576
0,46,8399.564297152,8583.902848064,184.338550912,pim,9,0,128,0,138.459048
0,47,8583.902848064,8768.225036672,184.322188608,pim,9,1,127,1,139.785048
1,0,8768.225036672,8949.573067584,181.348030912,pim,8,0,128,0,138.483696
1,1,8949.573067584,9130.921098496,181.348030912,pim,8,0,128,0,138.483696
1,2,9130.921098496,9312.269129408,181.348030912,pim,8,0,128,0,138.483696
1,3,9312.269129408,9496.500944192,184.231814784,pim,9,3,121,7,147.677088
1,4,9496.500944192,9680.864143104,184.363198912,pim,9,0,128,0,138.483696
1,5,9680.864143104,9865.227342016,184.363198912,pim,9,0,128,0,138.483696
1,6,9865.227342016,10046.491515712,181.264173696,pim,8,2,124,4,143.74308
1,7,10046.491515712,10227.839546624,181.348030912,pim,8,0,128,0,138.483696
1,8,10227.839546624,10409.171215232,181.331668608,pim,8,1,127,1,139.809696
1,9,10409.171215232,10593.534414144,184.363198912,pim,9,0,128,0,138.483696
1,10,10593.534414144,10777.897613056,184.363198912,pim,9,0,128,0,138.483696
1,11,10777.897613056,10962.244449664,184.346836608,pim,9,1,127,1,139.809696
1,12,10962.244449664,11143.592480576,181.348030912,pim,8,0,128,0,138.483696
1,13,11143.592480576,11324.924149184,181.331668608,pim,8,1,127,1,139.809696
1,14,11324.924149184,11509.287348096,184.363198912,pim,9,0,128,0,138.483696
1,15,11509.287348096,11690.635379008,181.348030912,pim,8,0,128,0,138.483696
1,16,11690.635379008,11871.929643008,181.294264,pim,8,1,125,3,142.432368
1,17,11871.929643008,12056.244517312,184.314874304,pim,9,1,126,2,141.120408
1,18,12056.244517312,12237.592548224,181.348030912,pim,8,0,128,0,138.483696
1,19,12237.592548224,12421.955747136,184.363198912,pim,9,0,128,0,138.483696
1,20,12421.955747136,12603.303778048,181.348030912,pim,8,0,128,0,138.483696
1,21,12603.303778048,12784.598042048,181.294264,pim,8,3,125,3,142.432368
1,22,12784.598042048,12968.96124096,184.363198912,pim,9,0,128,0,138.483696
1,23,12968.96124096,13150.260947264,181.299706304,pim,8,2,126,2,141.120408
1,24,13150.260947264,13334.624146176,184.363198912,pim,9,0,128,0,138.483696
1,25,13334.624146176,13518.987345088,184.363198912,pim,9,0,128,0,138.483696
1,26,13518.987345088,13700.203991872,181.216646784,pim,8,3,121,7,147.677088
1,27,13700.203991872,13881.503698176,181.299706304,pim,8,1,126,2,141.120408
1,28,13881.503698176,14062.767871872,181.264173696,pim,8,2,124,4,143.74308
1,29,14062.767871872,14244.115902784,181.348030912,pim,8,0,128,0,138.483696
1,30,14244.115902784,14428.479101696,184.363198912,pim,9,0,128,0,138.483696
1,31,14428.479101696,14609.810770304,181.331668608,pim,8,1,127,1,139.809696
1,32,14609.810770304,14794.157606912,184.346836608,pim,9,1,127,1,139.809696
1,33,14794.157606912,14975.385762304,181.228155392,pim,8,3,123,5,145.054728
