step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,313.031819456,313.031819456,pim,8,0,64,0,270.56328
0,1,313.031819456,626.063638912,313.031819456,pim,8,0,64,0,270.56328
0,2,626.063638912,939.095458368,313.031819456,pim,8,0,64,0,270.56328
0,3,939.095458368,1252.127277824,313.031819456,pim,8,0,64,0,270.56328
0,4,1252.127277824,1568.17426528,316.046987456,pim,9,0,64,0,270.56328
0,5,1568.17426528,1887.166532736,318.992267456,pim,10,0,64,0,270.56328
0,6,1887.166532736,2203.213520192,316.046987456,pim,9,0,64,0,270.56328
0,7,2203.213520192,2516.245339648,313.031819456,pim,8,0,64,0,270.56328
0,8,2516.245339648,2835.237607104,318.992267456,pim,10,0,64,0,270.56328
0,9,2835.237607104,3154.22987456,318.992267456,pim,10,0,64,0,270.56328
0,10,3154.22987456,3470.276862016,316.046987456,pim,9,0,64,0,270.56328
0,11,3470.276862016,3789.269129472,318.992267456,pim,10,0,64,0,270.56328
0,12,3789.269129472,4102.300948928,313.031819456,pim,8,0,64,0,270.56328
0,13,4102.300948928,4415.332768384,313.031819456,pim,8,0,64,0,270.56328
0,14,4415.332768384,4731.37975584,316.046987456,pim,9,0,64,0,270.56328
0,15,4731.37975584,5050.372023296,318.992267456,pim,10,0,64,0,270.56328
0,16,5050.372023296,5363.403842752,313.031819456,pim,8,0,64,0,270.56328
0,17,5363.403842752,5676.435662208,313.031819456,pim,8,0,64,0,270.56328
0,18,5676.435662208,5989.467481664,313.031819456,pim,8,0,64,0,270.56328
0,19,5989.467481664,6302.49930112,313.031819456,pim,8,0,64,0,270.56328
0,20,6302.49930112,6615.531120576,313.031819456,pim,8,0,64,0,270.56328
0,21,6615.531120576,6928.562940032,313.031819456,pim,8,0,64,0,270.56328
0,22,6928.562940032,7244.609927488,316.046987456,pim,9,0,64,0,270.56328
0,23,7244.609927488,7560.656914944,316.046987456,pim,9,0,64,0,270.56328
0,24,7560.656914944,7879.6491824,318.992267456,pim,10,0,64,0,270.56328
0,25,7879.6491824,8192.681001856,313.031819456,pim,8,0,64,0,270.56328
0,26,8192.681001856,8508.727989312,316.046987456,pim,9,0,64,0,270.56328
0,27,8508.727989312,8824.774976768,316.046987456,pim,9,0,64,0,270.56328
0,28,8824.774976768,9137.806796224,313.031819456,pim,8,0,64,0,270.56328
0,29,9137.806796224,9453.85378368,316.046987456,pim,9,0,64,0,270.56328
0,30,9453.85378368,9772.846051136,318.992267456,pim,10,0,64,0,270.56328
0,31,9772.846051136,10088.893038592,316.046987456,pim,9,0,64,0,270.56328
