gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,0,False
1,6,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,0,False
2,6;26,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,0,False
3,6;26;43,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,0,False
4,6;26;43;44,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,0,False
5,6;26;43;44;59,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,0,False
6,6;26;43;44;59;65,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,0,False
7,6;26;43;44;59;65;92,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,0,True
8,6;26;43;44;59;65;92;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,0,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,1,False
1,26,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,1,False
2,26;33,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,1,False
3,26;33;34,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,1,False
4,26;33;34;49,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,1,False
5,26;33;34;49;50,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,1,False
6,26;33;34;49;50;94,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,1,False
7,26;33;34;49;50;94;111,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,1,True
8,26;33;34;49;50;94;111;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,1,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,2,False
