step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,131.705083456,131.705083456,pim,8,0,64,0,69.236544
0,1,131.705083456,263.410166912,131.705083456,pim,8,0,64,0,69.236544
0,2,263.410166912,395.115250368,131.705083456,pim,8,0,64,0,69.236544
0,3,395.115250368,532.780781824,137.665531456,pim,10,0,64,0,69.236544
0,4,532.780781824,667.50103328,134.720251456,pim,9,0,64,0,69.236544
0,5,667.50103328,802.221284736,134.720251456,pim,9,0,64,0,69.236544
0,6,802.221284736,936.941536192,134.720251456,pim,9,0,64,0,69.236544
0,7,936.941536192,1068.646619648,131.705083456,pim,8,0,64,0,69.236544
0,8,1068.646619648,1203.366871104,134.720251456,pim,9,0,64,0,69.236544
0,9,1203.366871104,1338.08712256,134.720251456,pim,9,0,64,0,69.236544
0,10,1338.08712256,1472.807374016,134.720251456,pim,9,0,64,0,69.236544
0,11,1472.807374016,1610.472905472,137.665531456,pim,10,0,64,0,69.236544
0,12,1610.472905472,1742.177988928,131.705083456,pim,8,0,64,0,69.236544
0,13,1742.177988928,1876.898240384,134.720251456,pim,9,0,64,0,69.236544
0,14,1876.898240384,2011.61849184,134.720251456,pim,9,0,64,0,69.236544
0,15,2011.61849184,2143.323575296,131.705083456,pim,8,0,64,0,69.236544
0,16,2143.323575296,2278.043826752,134.720251456,pim,9,0,64,0,69.236544
0,17,2278.043826752,2412.764078208,134.720251456,pim,9,0,64,0,69.236544
0,18,2412.764078208,2547.484329664,134.720251456,pim,9,0,64,0,69.236544
0,19,2547.484329664,2682.20458112,134.720251456,pim,9,0,64,0,69.236544
0,20,2682.20458112,2813.909664576,131.705083456,pim,8,0,64,0,69.236544
0,21,2813.909664576,2951.575196032,137.665531456,pim,10,0,64,0,69.236544
0,22,2951.575196032,3086.295447488,134.720251456,pim,9,0,64,0,69.236544
0,23,3086.295447488,3223.960978944,137.665531456,pim,10,0,64,0,69.236544
0,24,3223.960978944,3361.6265104,137.665531456,pim,10,0,64,0,69.236544
0,25,3361.6265104,3496.346761856,134.720251456,pim,9,0,64,0,69.236544
0,26,3496.346761856,3631.067013312,134.720251456,pim,9,0,64,0,69.236544
0,27,3631.067013312,3765.787264768,134.720251456,pim,9,0,64,0,69.236544
0,28,3765.787264768,3900.507516224,134.720251456,pim,9,0,64,0,69.236544
0,29,3900.507516224,4035.22776768,134.720251456,pim,9,0,64,0,69.236544
0,30,4035.22776768,4166.932851136,131.705083456,pim,8,0,64,0,69.236544
0,31,4166.932851136,4298.637934592,131.705083456,pim,8,0,64,0,69.236544
0,32,4298.637934592,4433.358186048,134.720251456,pim,9,0,64,0,69.236544
0,33,4433.358186048,4568.078437504,134.720251456,pim,9,0,64,0,69.236544
0,34,4568.078437504,4705.74396896,137.665531456,pim,10,0,64,0,69.236544
0,35,4705.74396896,4840.464220416,134.720251456,pim,9,0,64,0,69.236544
0,36,4840.464220416,4975.184471872,134.720251456,pim,9,0,64,0,69.236544
0,37,4975.184471872,5106.889555328,131.705083456,pim,8,0,64,0,69.236544
0,38,5106.889555328,5238.594638784,131.705083456,pim,8,0,64,0,69.236544
0,39,5238.594638784,5373.31489024,134.720251456,pim,9,0,64,0,69.236544
0,40,5373.31489024,5508.035141696,134.720251456,pim,9,0,64,0,69.236544
0,41,5508.035141696,5645.700673152,137.665531456,pim,10,0,64,0,69.236544
