step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,60.262139456,60.262139456,gpu,8,0,64,0,12.705619456
0,1,60.262139456,120.524278912,60.262139456,gpu,8,0,64,0,12.705619456
0,2,120.524278912,180.786418368,60.262139456,gpu,8,0,64,0,12.705619456
0,3,180.786418368,241.048557824,60.262139456,gpu,8,0,64,0,12.705619456
0,4,241.048557824,301.31069728,60.262139456,gpu,8,0,64,0,12.705619456
0,5,301.31069728,361.572836736,60.262139456,gpu,8,0,64,0,12.705619456
0,6,361.572836736,421.834976192,60.262139456,gpu,8,0,64,0,12.705619456
0,7,421.834976192,482.097115648,60.262139456,gpu,8,0,64,0,12.705619456
0,8,482.097115648,542.359255104,60.262139456,gpu,8,0,64,0,12.705619456
0,9,542.359255104,602.62139456,60.262139456,gpu,8,0,64,0,12.705619456
0,10,602.62139456,662.883534016,60.262139456,gpu,8,0,64,0,12.705619456
0,11,662.883534016,726.160841472,63.277307456,gpu,9,0,64,0,13.885267456
0,12,726.160841472,786.422980928,60.262139456,gpu,8,0,64,0,12.705619456
0,13,786.422980928,849.700288384,63.277307456,gpu,9,0,64,0,13.885267456
0,14,849.700288384,912.97759584,63.277307456,gpu,9,0,64,0,13.885267456
0,15,912.97759584,973.239735296,60.262139456,gpu,8,0,64,0,12.705619456
0,16,973.239735296,1039.462322752,66.222587456,gpu,10,0,64,0,15.064915456
0,17,1039.462322752,1102.739630208,63.277307456,gpu,9,0,64,0,13.885267456
0,18,1102.739630208,1163.001769664,60.262139456,gpu,8,0,64,0,12.705619456
0,19,1163.001769664,1226.27907712,63.277307456,gpu,9,0,64,0,13.885267456
0,20,1226.27907712,1286.541216576,60.262139456,gpu,8,0,64,0,12.705619456
0,21,1286.541216576,1349.818524032,63.277307456,gpu,9,0,64,0,13.885267456
0,22,1349.818524032,1410.080663488,60.262139456,gpu,8,0,64,0,12.705619456
0,23,1410.080663488,1470.342802944,60.262139456,gpu,8,0,64,0,12.705619456
0,24,1470.342802944,1530.6049424,60.262139456,gpu,8,0,64,0,12.705619456
0,25,1530.6049424,1593.882249856,63.277307456,gpu,9,0,64,0,13.885267456
0,26,1593.882249856,1657.159557312,63.277307456,gpu,9,0,64,0,13.885267456
0,27,1657.159557312,1723.382144768,66.222587456,gpu,10,0,64,0,15.064915456
0,28,1723.382144768,1795.565180224,72.183035456,gpu,12,0,64,0,17.424211456
0,29,1795.565180224,1858.84248768,63.277307456,gpu,9,0,64,0,13.885267456
0,30,1858.84248768,1919.104627136,60.262139456,gpu,8,0,64,0,12.705619456
0,31,1919.104627136,1988.342382592,69.237755456,gpu,11,0,64,0,16.244563456
0,32,1988.342382592,2054.564970048,66.222587456,gpu,10,0,64,0,15.064915456
0,33,2054.564970048,2117.842277504,63.277307456,gpu,9,0,64,0,13.885267456
0,34,2117.842277504,2178.10441696,60.262139456,gpu,8,0,64,0,12.705619456
0,35,2178.10441696,2238.366556416,60.262139456,gpu,8,0,64,0,12.705619456
0,36,2238.366556416,2298.628695872,60.262139456,gpu,8,0,64,0,12.705619456
0,37,2298.628695872,2358.890835328,60.262139456,gpu,8,0,64,0,12.705619456
0,38,2358.890835328,2422.168142784,63.277307456,gpu,9,0,64,0,13.885267456
0,39,2422.168142784,2485.44545024,63.277307456,gpu,9,0,64,0,13.885267456
0,40,2485.44545024,2548.722757696,63.277307456,gpu,9,0,64,0,13.885267456
0,41,2548.722757696,2612.000065152,63.277307456,gpu,9,0,64,0,13.885267456
0,42,2612.000065152,2672.262204608,60.262139456,gpu,8,0,64,0,12.705619456
0,43,2672.262204608,2738.484792064,66.222587456,gpu,10,0,64,0,15.064915456
0,44,2738.484792064,2804.70737952,66.222587456,gpu,10,0,64,0,15.064915456
0,45,2804.70737952,2867.984686976,63.277307456,gpu,9,0,64,0,13.885267456
0,46,2867.984686976,2928.246826432,60.262139456,gpu,8,0,64,0,12.705619456
0,47,2928.246826432,2988.508965888,60.262139456,gpu,8,0,64,0,12.705619456
1,0,2988.508965888,3048.773153344,60.264187456,gpu,8,0,64,0,12.705619456
1,1,3048.773153344,3109.0373408,60.264187456,gpu,8,0,64,0,12.705619456
1,2,3109.0373408,3169.301528256,60.264187456,gpu,8,0,64,0,12.705619456
1,3,3169.301528256,3229.565715712,60.264187456,gpu,8,0,64,0,12.705619456
1,4,3229.565715712,3289.829903168,60.264187456,gpu,8,0,64,0,12.705619456
1,5,3289.829903168,3350.094090624,60.264187456,gpu,8,0,64,0,12.705619456
1,6,3350.094090624,3410.35827808,60.264187456,gpu,8,0,64,0,12.705619456
1,7,3410.35827808,3470.622465536,60.264187456,gpu,8,0,64,0,12.705619456
1,8,3470.622465536,3530.886652992,60.264187456,gpu,8,0,64,0,12.705619456
1,9,3530.886652992,3594.166008448,63.279355456,gpu,9,0,64,0,13.885267456
1,10,3594.166008448,3657.445363904,63.279355456,gpu,9,0,64,0,13.885267456
1,11,3657.445363904,3717.70955136,60.264187456,gpu,8,0,64,0,12.705619456
1,12,3717.70955136,3777.973738816,60.264187456,gpu,8,0,64,0,12.705619456
1,13,3777.973738816,3841.253094272,63.279355456,gpu,9,0,64,0,13.885267456
1,14,3841.253094272,3904.532449728,63.279355456,gpu,9,0,64,0,13.885267456
1,15,3904.532449728,3967.811805184,63.279355456,gpu,9,0,64,0,13.885267456
1,16,3967.811805184,4031.09116064,63.279355456,gpu,9,0,64,0,13.885267456
1,17,4031.09116064,4094.370516096,63.279355456,gpu,9,0,64,0,13.885267456
1,18,4094.370516096,4154.634703552,60.264187456,gpu,8,0,64,0,12.705619456
1,19,4154.634703552,4220.859339008,66.224635456,gpu,10,0,64,0,15.064915456
1,20,4220.859339008,4284.138694464,63.279355456,gpu,9,0,64,0,13.885267456
1,21,4284.138694464,4347.41804992,63.279355456,gpu,9,0,64,0,13.885267456
1,22,4347.41804992,4410.697405376,63.279355456,gpu,9,0,64,0,13.885267456
1,23,4410.697405376,4473.976760832,63.279355456,gpu,9,0,64,0,13.885267456
1,24,4473.976760832,4534.240948288,60.264187456,gpu,8,0,64,0,12.705619456
1,25,4534.240948288,4594.505135744,60.264187456,gpu,8,0,64,0,12.705619456
1,26,4594.505135744,4654.7693232,60.264187456,gpu,8,0,64,0,12.705619456
1,27,4654.7693232,4715.033510656,60.264187456,gpu,8,0,64,0,12.705619456
1,28,4715.033510656,4781.258146112,66.224635456,gpu,10,0,64,0,15.064915456
1,29,4781.258146112,4841.522333568,60.264187456,gpu,8,0,64,0,12.705619456
1,30,4841.522333568,4904.801689024,63.279355456,gpu,9,0,64,0,13.885267456
1,31,4904.801689024,4974.04149248,69.239803456,gpu,11,0,64,0,16.244563456
1,32,4974.04149248,5037.320847936,63.279355456,gpu,9,0,64,0,13.885267456
1,33,5037.320847936,5100.600203392,63.279355456,gpu,9,0,64,0,13.885267456
1,34,5100.600203392,5160.864390848,60.264187456,gpu,8,0,64,0,12.705619456
1,35,5160.864390848,5227.089026304,66.224635456,gpu,10,0,64,0,15.064915456
1,36,5227.089026304,5290.36838176,63.279355456,gpu,9,0,64,0,13.885267456
1,37,5290.36838176,5350.632569216,60.264187456,gpu,8,0,64,0,12.705619456
1,38,5350.632569216,5416.857204672,66.224635456,gpu,10,0,64,0,15.064915456
1,39,5416.857204672,5480.136560128,63.279355456,gpu,9,0,64,0,13.885267456
1,40,5480.136560128,5540.400747584,60.264187456,gpu,8,0,64,0,12.705619456
1,41,5540.400747584,5603.68010304,63.279355456,gpu,9,0,64,0,13.885267456
1,42,5603.68010304,5666.959458496,63.279355456,gpu,9,0,64,0,13.885267456
1,43,5666.959458496,5730.238813952,63.279355456,gpu,9,0,64,0,13.885267456
1,44,5730.238813952,5793.518169408,63.279355456,gpu,9,0,64,0,13.885267456
1,45,5793.518169408,5859.742804864,66.224635456,gpu,10,0,64,0,15.064915456
1,46,5859.742804864,5923.02216032,63.279355456,gpu,9,0,64,0,13.885267456
1,47,5923.02216032,5989.246795776,66.224635456,gpu,10,0,64,0,15.064915456
2,0,5989.246795776,6049.513031232,60.266235456,gpu,8,0,64,0,12.705619456
2,1,6049.513031232,6109.779266688,60.266235456,gpu,8,0,64,0,12.705619456
2,2,6109.779266688,6170.045502144,60.266235456,gpu,8,0,64,0,12.705619456
2,3,6170.045502144,6230.3117376,60.266235456,gpu,8,0,64,0,12.705619456
2,4,6230.3117376,6290.577973056,60.266235456,gpu,8,0,64,0,12.705619456
2,5,6290.577973056,6350.844208512,60.266235456,gpu,8,0,64,0,12.705619456
2,6,6350.844208512,6414.125611968,63.281403456,gpu,9,0,64,0,13.885267456
2,7,6414.125611968,6474.391847424,60.266235456,gpu,8,0,64,0,12.705619456
2,8,6474.391847424,6534.65808288,60.266235456,gpu,8,0,64,0,12.705619456
2,9,6534.65808288,6594.924318336,60.266235456,gpu,8,0,64,0,12.705619456
2,10,6594.924318336,6655.190553792,60.266235456,gpu,8,0,64,0,12.705619456
2,11,6655.190553792,6715.456789248,60.266235456,gpu,8,0,64,0,12.705619456
2,12,6715.456789248,6778.738192704,63.281403456,gpu,9,0,64,0,13.885267456
2,13,6778.738192704,6839.00442816,60.266235456,gpu,8,0,64,0,12.705619456
2,14,6839.00442816,6899.270663616,60.266235456,gpu,8,0,64,0,12.705619456
2,15,6899.270663616,6959.536899072,60.266235456,gpu,8,0,64,0,12.705619456
2,16,6959.536899072,7019.803134528,60.266235456,gpu,8,0,64,0,12.705619456
2,17,7019.803134528,7080.069369984,60.266235456,gpu,8,0,64,0,12.705619456
2,18,7080.069369984,7140.33560544,60.266235456,gpu,8,0,64,0,12.705619456
2,19,7140.33560544,7200.601840896,60.266235456,gpu,8,0,64,0,12.705619456
2,20,7200.601840896,7260.868076352,60.266235456,gpu,8,0,64,0,12.705619456
2,21,7260.868076352,7321.134311808,60.266235456,gpu,8,0,64,0,12.705619456
2,22,7321.134311808,7381.400547264,60.266235456,gpu,8,0,64,0,12.705619456
2,23,7381.400547264,7441.66678272,60.266235456,gpu,8,0,64,0,12.705619456
2,24,7441.66678272,7501.933018176,60.266235456,gpu,8,0,64,0,12.705619456
2,25,7501.933018176,7565.214421632,63.281403456,gpu,9,0,64,0,13.885267456
2,26,7565.214421632,7625.480657088,60.266235456,gpu,8,0,64,0,12.705619456
2,27,7625.480657088,7688.762060544,63.281403456,gpu,9,0,64,0,13.885267456
2,28,7688.762060544,7752.043464,63.281403456,gpu,9,0,64,0,13.885267456
2,29,7752.043464,7812.309699456,60.266235456,gpu,8,0,64,0,12.705619456
2,30,7812.309699456,7878.536382912,66.226683456,gpu,10,0,64,0,15.064915456
2,31,7878.536382912,7941.817786368,63.281403456,gpu,9,0,64,0,13.885267456
2,32,7941.817786368,8005.099189824,63.281403456,gpu,9,0,64,0,13.885267456
2,33,8005.099189824,8068.38059328,63.281403456,gpu,9,0,64,0,13.885267456
2,34,8068.38059328,8131.661996736,63.281403456,gpu,9,0,64,0,13.885267456
2,35,8131.661996736,8197.888680192,66.226683456,gpu,10,0,64,0,15.064915456
2,36,8197.888680192,8261.170083648,63.281403456,gpu,9,0,64,0,13.885267456
2,37,8261.170083648,8321.436319104,60.266235456,gpu,8,0,64,0,12.705619456
2,38,8321.436319104,8387.66300256,66.226683456,gpu,10,0,64,0,15.064915456
2,39,8387.66300256,8450.944406016,63.281403456,gpu,9,0,64,0,13.885267456
2,40,8450.944406016,8514.225809472,63.281403456,gpu,9,0,64,0,13.885267456
2,41,8514.225809472,8574.492044928,60.266235456,gpu,8,0,64,0,12.705619456
2,42,8574.492044928,8637.773448384,63.281403456,gpu,9,0,64,0,13.885267456
2,43,8637.773448384,8701.05485184,63.281403456,gpu,9,0,64,0,13.885267456
2,44,8701.05485184,8761.321087296,60.266235456,gpu,8,0,64,0,12.705619456
2,45,8761.321087296,8821.587322752,60.266235456,gpu,8,0,64,0,12.705619456
2,46,8821.587322752,8881.853558208,60.266235456,gpu,8,0,64,0,12.705619456
2,47,8881.853558208,8942.119793664,60.266235456,gpu,8,0,64,0,12.705619456
3,0,8942.119793664,9002.38807712,60.268283456,gpu,8,0,64,0,12.705619456
3,1,9002.38807712,9062.656360576,60.268283456,gpu,8,0,64,0,12.705619456
3,2,9062.656360576,9122.924644032,60.268283456,gpu,8,0,64,0,12.705619456
3,3,9122.924644032,9183.192927488,60.268283456,gpu,8,0,64,0,12.705619456
3,4,9183.192927488,9243.461210944,60.268283456,gpu,8,0,64,0,12.705619456
3,5,9243.461210944,9303.7294944,60.268283456,gpu,8,0,64,0,12.705619456
3,6,9303.7294944,9363.997777856,60.268283456,gpu,8,0,64,0,12.705619456
3,7,9363.997777856,9427.281229312,63.283451456,gpu,9,0,64,0,13.885267456
3,8,9427.281229312,9490.564680768,63.283451456,gpu,9,0,64,0,13.885267456
3,9,9490.564680768,9550.832964224,60.268283456,gpu,8,0,64,0,12.705619456
3,10,9550.832964224,9611.10124768,60.268283456,gpu,8,0,64,0,12.705619456
3,11,9611.10124768,9674.384699136,63.283451456,gpu,9,0,64,0,13.885267456
3,12,9674.384699136,9737.668150592,63.283451456,gpu,9,0,64,0,13.885267456
3,13,9737.668150592,9800.951602048,63.283451456,gpu,9,0,64,0,13.885267456
3,14,9800.951602048,9861.219885504,60.268283456,gpu,8,0,64,0,12.705619456
3,15,9861.219885504,9921.48816896,60.268283456,gpu,8,0,64,0,12.705619456
3,16,9921.48816896,9981.756452416,60.268283456,gpu,8,0,64,0,12.705619456
3,17,9981.756452416,10045.039903872,63.283451456,gpu,9,0,64,0,13.885267456
3,18,10045.039903872,10108.323355328,63.283451456,gpu,9,0,64,0,13.885267456
3,19,10108.323355328,10168.591638784,60.268283456,gpu,8,0,64,0,12.705619456
3,20,10168.591638784,10231.87509024,63.283451456,gpu,9,0,64,0,13.885267456
3,21,10231.87509024,10292.143373696,60.268283456,gpu,8,0,64,0,12.705619456
3,22,10292.143373696,10355.426825152,63.283451456,gpu,9,0,64,0,13.885267456
3,23,10355.426825152,10424.670724608,69.243899456,gpu,11,0,64,0,16.244563456
3,24,10424.670724608,10484.939008064,60.268283456,gpu,8,0,64,0,12.705619456
3,25,10484.939008064,10545.20729152,60.268283456,gpu,8,0,64,0,12.705619456
3,26,10545.20729152,10608.490742976,63.283451456,gpu,9,0,64,0,13.885267456
3,27,10608.490742976,10671.774194432,63.283451456,gpu,9,0,64,0,13.885267456
3,28,10671.774194432,10732.042477888,60.268283456,gpu,8,0,64,0,12.705619456
3,29,10732.042477888,10795.325929344,63.283451456,gpu,9,0,64,0,13.885267456
3,30,10795.325929344,10858.6093808,63.283451456,gpu,9,0,64,0,13.885267456
3,31,10858.6093808,10918.877664256,60.268283456,gpu,8,0,64,0,12.705619456
3,32,10918.877664256,10982.161115712,63.283451456,gpu,9,0,64,0,13.885267456
3,33,10982.161115712,11045.444567168,63.283451456,gpu,9,0,64,0,13.885267456
3,34,11045.444567168,11105.712850624,60.268283456,gpu,8,0,64,0,12.705619456
3,35,11105.712850624,11168.99630208,63.283451456,gpu,9,0,64,0,13.885267456
3,36,11168.99630208,11229.264585536,60.268283456,gpu,8,0,64,0,12.705619456
3,37,11229.264585536,11292.548036992,63.283451456,gpu,9,0,64,0,13.885267456
3,38,11292.548036992,11352.816320448,60.268283456,gpu,8,0,64,0,12.705619456
3,39,11352.816320448,11416.099771904,63.283451456,gpu,9,0,64,0,13.885267456
3,40,11416.099771904,11479.38322336,63.283451456,gpu,9,0,64,0,13.885267456
3,41,11479.38322336,11539.651506816,60.268283456,gpu,8,0,64,0,12.705619456
3,42,11539.651506816,11605.880238272,66.228731456,gpu,10,0,64,0,15.064915456
3,43,11605.880238272,11666.148521728,60.268283456,gpu,8,0,64,0,12.705619456
3,44,11666.148521728,11726.416805184,60.268283456,gpu,8,0,64,0,12.705619456
3,45,11726.416805184,11786.68508864,60.268283456,gpu,8,0,64,0,12.705619456
