step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,195.798449024,195.798449024,pim,7,1,56,8,43.533289024
0,1,195.798449024,391.596898048,195.798449024,pim,7,1,56,8,43.533289024
0,2,391.596898048,587.395347072,195.798449024,pim,7,1,56,8,43.533289024
0,3,587.395347072,783.193796096,195.798449024,pim,7,1,56,8,43.533289024
0,4,783.193796096,978.99224512,195.798449024,pim,7,1,56,8,43.533289024
0,5,978.99224512,1174.790694144,195.798449024,pim,7,1,56,8,43.533289024
0,6,1174.790694144,1370.589143168,195.798449024,pim,7,1,56,8,43.533289024
0,7,1370.589143168,1566.387592192,195.798449024,pim,7,1,56,8,43.533289024
0,8,1566.387592192,1762.186041216,195.798449024,pim,7,1,56,8,43.533289024
0,9,1762.186041216,1957.98449024,195.798449024,pim,7,1,56,8,43.533289024
0,10,1957.98449024,2153.782939264,195.798449024,pim,7,1,56,8,43.533289024
0,11,2153.782939264,2349.581388288,195.798449024,pim,7,2,56,8,43.533289024
0,12,2349.581388288,2545.379837312,195.798449024,pim,7,1,56,8,43.533289024
0,13,2545.379837312,2741.178286336,195.798449024,pim,7,2,56,8,43.533289024
0,14,2741.178286336,2936.97673536,195.798449024,pim,7,2,56,8,43.533289024
0,15,2936.97673536,3132.775184384,195.798449024,pim,7,1,56,8,43.533289024
0,16,3132.775184384,3328.573633408,195.798449024,pim,7,3,56,8,43.533289024
0,17,3328.573633408,3524.372082432,195.798449024,pim,7,2,56,8,43.533289024
0,18,3524.372082432,3720.170531456,195.798449024,pim,7,1,56,8,43.533289024
0,19,3720.170531456,3915.96898048,195.798449024,pim,7,2,56,8,43.533289024
0,20,3915.96898048,4111.767429504,195.798449024,pim,7,1,56,8,43.533289024
0,21,4111.767429504,4307.51037792,195.742948416,pim,7,2,54,10,43.477788416
0,22,4307.51037792,4503.308826944,195.798449024,pim,7,1,56,8,43.533289024
0,23,4503.308826944,4699.107275968,195.798449024,pim,7,1,56,8,43.533289024
0,24,4699.107275968,4894.905724992,195.798449024,pim,7,1,56,8,43.533289024
0,25,4894.905724992,5090.704174016,195.798449024,pim,7,2,56,8,43.533289024
0,26,5090.704174016,5286.50262304,195.798449024,pim,7,2,56,8,43.533289024
0,27,5286.50262304,5482.301072064,195.798449024,pim,7,3,56,8,43.533289024
0,28,5482.301072064,5678.106246784,195.80517472,pim,7,5,55,9,43.54001472
0,29,5678.106246784,5873.904695808,195.798449024,pim,7,2,56,8,43.533289024
0,30,5873.904695808,6069.703144832,195.798449024,pim,7,1,56,8,43.533289024
0,31,6069.703144832,6265.446093248,195.742948416,pim,7,4,54,10,43.477788416
