step,layer,expert_id,token_count,target
0,0,14,8,gpu
0,0,21,8,gpu
0,0,50,8,gpu
0,0,51,8,gpu
0,0,57,8,gpu
0,0,103,8,gpu
0,0,106,8,gpu
0,0,110,8,gpu
0,1,3,8,gpu
0,1,6,8,gpu
0,1,9,8,gpu
0,1,33,8,gpu
0,1,42,8,gpu
0,1,49,8,gpu
0,1,51,8,gpu
0,1,95,8,gpu
0,2,56,8,gpu
0,2,72,8,gpu
0,2,82,8,gpu
0,2,90,8,gpu
0,2,92,8,gpu
0,2,95,8,gpu
0,2,122,8,gpu
0,2,123,8,gpu
0,3,30,8,gpu
0,3,39,8,gpu
0,3,56,8,gpu
0,3,71,8,gpu
0,3,87,8,gpu
0,3,108,8,gpu
0,3,114,8,gpu
0,3,117,8,gpu
0,4,12,8,gpu
0,4,19,8,gpu
0,4,64,8,gpu
0,4,65,8,gpu
0,4,100,8,gpu
0,4,108,8,gpu
0,4,110,8,gpu
0,4,114,8,gpu
0,5,4,8,gpu
0,5,38,8,gpu
0,5,46,8,gpu
0,5,53,8,gpu
0,5,65,8,gpu
0,5,73,8,gpu
0,5,84,8,gpu
0,5,104,8,gpu
0,6,33,8,gpu
0,6,43,8,gpu
0,6,49,8,gpu
0,6,58,8,gpu
0,6,82,8,gpu
0,6,112,8,gpu
0,6,116,8,gpu
0,6,126,8,gpu
0,7,15,8,gpu
0,7,19,8,gpu
0,7,29,8,gpu
0,7,44,8,gpu
0,7,52,8,gpu
0,7,56,8,gpu
0,7,75,8,gpu
0,7,114,8,gpu
0,8,11,8,gpu
0,8,50,8,gpu
0,8,53,8,gpu
0,8,83,8,gpu
0,8,85,8,gpu
0,8,92,8,gpu
0,8,102,8,gpu
0,8,123,8,gpu
0,9,2,8,gpu
0,9,11,8,gpu
0,9,13,8,gpu
0,9,16,8,gpu
0,9,38,8,gpu
0,9,92,8,gpu
0,9,124,8,gpu
0,9,125,8,gpu
0,10,1,8,gpu
0,10,6,8,gpu
0,10,9,8,gpu
0,10,29,8,gpu
0,10,42,8,gpu
0,10,48,8,gpu
0,10,84,8,gpu
0,10,98,8,gpu
0,11,3,8,gpu
0,11,17,8,gpu
0,11,52,1,gpu
0,11,62,8,gpu
0,11,76,8,gpu
0,11,81,8,gpu
0,11,108,8,gpu
0,11,109,8,gpu
0,11,121,7,gpu
0,12,11,8,gpu
0,12,24,8,gpu
0,12,41,8,gpu
0,12,57,8,gpu
0,12,78,8,gpu
0,12,106,8,gpu
0,12,111,8,gpu
0,12,125,8,gpu
0,13,11,8,gpu
0,13,31,4,gpu
0,13,33,4,gpu
0,13,34,8,gpu
0,13,93,8,gpu
0,13,104,8,gpu
0,13,110,8,gpu
0,13,117,8,gpu
0,13,119,8,gpu
0,14,2,8,gpu
0,14,5,8,gpu
0,14,14,1,gpu
0,14,61,8,gpu
0,14,97,8,gpu
0,14,105,8,gpu
0,14,109,8,gpu
0,14,113,7,gpu
0,14,121,8,gpu
0,15,15,8,gpu
0,15,21,8,gpu
0,15,58,8,gpu
0,15,63,8,gpu
0,15,64,8,gpu
0,15,84,8,gpu
0,15,122,8,gpu
0,15,127,8,gpu
0,16,12,8,gpu
0,16,42,8,gpu
0,16,48,8,gpu
0,16,53,3,gpu
0,16,91,3,gpu
0,16,97,8,gpu
0,16,98,8,gpu
0,16,107,8,gpu
0,16,119,8,gpu
0,16,122,2,gpu
0,17,73,4,gpu
0,17,75,8,gpu
0,17,80,8,gpu
0,17,90,8,gpu
0,17,94,8,gpu
0,17,105,8,gpu
0,17,122,8,gpu
0,17,123,4,gpu
0,17,124,8,gpu
0,18,12,8,gpu
0,18,58,8,gpu
0,18,82,8,gpu
0,18,87,8,gpu
0,18,91,8,gpu
0,18,104,8,gpu
0,18,112,8,gpu
0,18,126,8,gpu
0,19,10,8,gpu
0,19,28,8,gpu
0,19,29,8,gpu
0,19,52,8,gpu
0,19,56,8,gpu
0,19,75,8,gpu
0,19,92,1,gpu
0,19,114,7,gpu
0,19,119,8,gpu
0,20,9,8,gpu
0,20,10,8,gpu
0,20,48,8,gpu
0,20,76,8,gpu
0,20,85,8,gpu
0,20,92,8,gpu
0,20,114,8,gpu
0,20,123,8,gpu
0,21,2,7,gpu
0,21,11,8,gpu
0,21,13,8,gpu
0,21,32,7,gpu
0,21,38,8,gpu
0,21,44,8,gpu
0,21,53,7,gpu
0,21,63,8,gpu
0,21,124,3,gpu
0,22,1,8,gpu
0,22,12,8,gpu
0,22,29,8,gpu
0,22,42,8,gpu
0,22,48,8,gpu
0,22,54,8,gpu
0,22,75,8,gpu
0,22,84,8,gpu
0,23,4,8,gpu
0,23,14,8,gpu
0,23,31,8,gpu
0,23,32,8,gpu
0,23,36,8,gpu
0,23,62,8,gpu
0,23,76,8,gpu
0,23,109,8,gpu
0,24,11,8,gpu
0,24,18,8,gpu
0,24,20,8,gpu
0,24,24,8,gpu
0,24,54,8,gpu
0,24,57,8,gpu
0,24,111,8,gpu
0,24,125,8,gpu
0,25,13,8,gpu
0,25,31,8,gpu
0,25,34,8,gpu
0,25,72,6,gpu
0,25,74,8,gpu
0,25,87,2,gpu
0,25,110,8,gpu
0,25,119,8,gpu
0,25,126,8,gpu
0,26,61,8,gpu
0,26,72,8,gpu
0,26,81,8,gpu
0,26,87,4,gpu
0,26,91,8,gpu
0,26,97,8,gpu
0,26,105,8,gpu
0,26,113,4,gpu
0,26,121,8,gpu
0,27,15,3,gpu
0,27,26,8,gpu
0,27,33,8,gpu
0,27,63,8,gpu
0,27,64,4,gpu
0,27,72,1,gpu
0,27,79,8,gpu
0,27,84,8,gpu
0,27,118,8,gpu
0,27,122,8,gpu
0,28,12,8,gpu
0,28,34,1,gpu
0,28,42,8,gpu
0,28,48,2,gpu
0,28,53,7,gpu
0,28,58,1,gpu
0,28,91,8,gpu
0,28,97,1,gpu
0,28,98,8,gpu
0,28,107,4,gpu
0,28,119,8,gpu
0,28,122,8,gpu
0,29,3,8,gpu
0,29,13,8,gpu
0,29,34,8,gpu
0,29,78,8,gpu
0,29,94,8,gpu
0,29,99,2,gpu
0,29,105,6,gpu
0,29,120,8,gpu
0,29,124,8,gpu
0,30,6,8,gpu
0,30,58,8,gpu
0,30,82,8,gpu
0,30,91,8,gpu
0,30,107,8,gpu
0,30,120,8,gpu
0,30,125,8,gpu
0,30,126,8,gpu
0,31,10,1,gpu
0,31,24,8,gpu
0,31,28,5,gpu
0,31,29,6,gpu
0,31,36,8,gpu
0,31,38,3,gpu
0,31,41,8,gpu
0,31,56,8,gpu
0,31,59,8,gpu
0,31,79,8,gpu
0,31,88,1,gpu
0,32,5,8,gpu
0,32,10,8,gpu
0,32,11,8,gpu
0,32,48,2,gpu
0,32,72,8,gpu
0,32,78,8,gpu
0,32,85,8,gpu
0,32,90,4,gpu
0,32,92,8,gpu
0,32,118,2,gpu
0,33,2,6,gpu
0,33,11,8,gpu
0,33,13,8,gpu
0,33,14,4,gpu
0,33,32,8,gpu
0,33,44,8,gpu
0,33,53,8,gpu
0,33,63,8,gpu
0,33,115,6,gpu
0,34,1,8,gpu
0,34,22,8,gpu
0,34,29,8,gpu
0,34,42,8,gpu
0,34,54,8,gpu
0,34,75,8,gpu
0,34,84,8,gpu
0,34,92,8,gpu
0,35,28,8,gpu
0,35,31,8,gpu
0,35,32,8,gpu
0,35,36,8,gpu
0,35,62,8,gpu
0,35,76,8,gpu
0,35,109,8,gpu
0,35,120,8,gpu
0,36,11,8,gpu
0,36,18,8,gpu
0,36,20,8,gpu
0,36,24,8,gpu
0,36,54,8,gpu
0,36,57,8,gpu
0,36,62,8,gpu
0,36,125,8,gpu
0,37,11,8,gpu
0,37,13,8,gpu
0,37,27,8,gpu
0,37,53,8,gpu
0,37,82,8,gpu
0,37,91,8,gpu
0,37,110,8,gpu
0,37,119,8,gpu
0,38,2,8,gpu
0,38,5,7,gpu
0,38,16,8,gpu
0,38,81,1,gpu
0,38,91,8,gpu
0,38,97,8,gpu
0,38,105,8,gpu
0,38,109,8,gpu
0,38,110,8,gpu
0,39,5,8,gpu
0,39,16,8,gpu
0,39,48,8,gpu
0,39,49,2,gpu
0,39,59,6,gpu
0,39,63,8,gpu
0,39,72,8,gpu
0,39,84,8,gpu
0,39,118,8,gpu
0,40,12,8,gpu
0,40,34,6,gpu
0,40,48,8,gpu
0,40,53,2,gpu
0,40,91,8,gpu
0,40,98,8,gpu
0,40,115,8,gpu
0,40,119,8,gpu
0,40,122,8,gpu
0,41,49,2,gpu
0,41,78,8,gpu
0,41,80,8,gpu
0,41,82,8,gpu
0,41,94,8,gpu
0,41,100,6,gpu
0,41,120,8,gpu
0,41,123,8,gpu
0,41,124,8,gpu
0,42,14,8,gpu
0,42,27,8,gpu
0,42,30,8,gpu
0,42,43,8,gpu
0,42,60,8,gpu
0,42,63,8,gpu
0,42,76,8,gpu
0,42,109,8,gpu
0,43,6,8,gpu
0,43,11,8,gpu
0,43,29,8,gpu
0,43,32,8,gpu
0,43,37,1,gpu
0,43,45,8,gpu
0,43,94,8,gpu
0,43,98,8,gpu
0,43,106,4,gpu
0,43,120,3,gpu
0,44,2,5,gpu
0,44,15,8,gpu
0,44,49,8,gpu
0,44,50,8,gpu
0,44,79,8,gpu
0,44,82,2,gpu
0,44,96,1,gpu
0,44,108,8,gpu
0,44,112,8,gpu
0,44,127,8,gpu
0,45,1,8,gpu
0,45,2,8,gpu
0,45,4,8,gpu
0,45,18,8,gpu
0,45,53,8,gpu
0,45,54,5,gpu
0,45,58,8,gpu
0,45,107,7,gpu
0,45,126,4,gpu
0,46,4,8,gpu
0,46,15,8,gpu
0,46,64,8,gpu
0,46,70,8,gpu
0,46,76,8,gpu
0,46,102,8,gpu
0,46,107,8,gpu
0,46,112,8,gpu
0,47,7,8,gpu
0,47,22,8,gpu
0,47,36,8,gpu
0,47,46,8,gpu
0,47,48,8,gpu
0,47,58,8,gpu
0,47,110,8,gpu
0,47,112,8,gpu
1,0,23,8,gpu
1,0,30,8,gpu
1,0,41,8,gpu
1,0,79,8,gpu
1,0,86,8,gpu
1,0,105,8,gpu
1,0,112,8,gpu
1,0,125,8,gpu
1,1,9,8,gpu
1,1,16,8,gpu
1,1,28,8,gpu
1,1,29,8,gpu
1,1,48,8,gpu
1,1,68,8,gpu
1,1,88,8,gpu
1,1,101,8,gpu
1,2,23,8,gpu
1,2,25,8,gpu
1,2,44,8,gpu
1,2,56,8,gpu
1,2,71,8,gpu
1,2,72,8,gpu
1,2,74,8,gpu
1,2,126,8,gpu
1,3,3,8,gpu
1,3,30,8,gpu
1,3,32,8,gpu
1,3,53,8,gpu
1,3,56,8,gpu
1,3,99,8,gpu
1,3,101,8,gpu
1,3,114,8,gpu
1,4,12,8,gpu
1,4,19,8,gpu
1,4,26,8,gpu
1,4,60,8,gpu
1,4,64,8,gpu
1,4,65,8,gpu
1,4,100,8,gpu
1,4,108,8,gpu
1,5,4,8,gpu
1,5,17,8,gpu
1,5,20,8,gpu
1,5,46,8,gpu
1,5,63,8,gpu
1,5,65,8,gpu
1,5,73,8,gpu
1,5,104,8,gpu
1,6,22,8,gpu
1,6,33,8,gpu
1,6,39,8,gpu
1,6,49,8,gpu
1,6,58,8,gpu
1,6,74,8,gpu
1,6,82,8,gpu
1,6,112,8,gpu
1,7,15,8,gpu
1,7,19,8,gpu
1,7,29,8,gpu
1,7,44,8,gpu
1,7,56,8,gpu
1,7,63,8,gpu
1,7,114,8,gpu
1,7,115,8,gpu
1,8,11,8,gpu
1,8,17,8,gpu
1,8,22,8,gpu
1,8,45,8,gpu
1,8,50,8,gpu
1,8,85,8,gpu
1,8,100,8,gpu
1,8,124,8,gpu
1,9,6,8,gpu
1,9,13,8,gpu
1,9,23,8,gpu
1,9,38,8,gpu
1,9,39,2,gpu
1,9,63,8,gpu
1,9,66,6,gpu
1,9,67,8,gpu
1,9,92,8,gpu
1,10,1,8,gpu
1,10,5,8,gpu
1,10,6,8,gpu
1,10,19,8,gpu
1,10,36,8,gpu
1,10,42,8,gpu
1,10,48,8,gpu
1,10,66,2,gpu
1,10,92,6,gpu
1,11,14,8,gpu
1,11,17,8,gpu
1,11,22,8,gpu
1,11,36,8,gpu
1,11,52,8,gpu
1,11,62,8,gpu
1,11,117,8,gpu
1,11,121,8,gpu
1,12,11,8,gpu
1,12,19,8,gpu
1,12,20,8,gpu
1,12,28,8,gpu
1,12,41,8,gpu
1,12,57,8,gpu
1,12,59,8,gpu
1,12,111,8,gpu
1,13,13,8,gpu
1,13,27,2,gpu
1,13,34,8,gpu
1,13,52,8,gpu
1,13,84,8,gpu
1,13,93,8,gpu
1,13,104,8,gpu
1,13,110,8,gpu
1,13,117,6,gpu
1,14,2,8,gpu
1,14,5,8,gpu
1,14,14,7,gpu
1,14,24,8,gpu
1,14,61,8,gpu
1,14,66,1,gpu
1,14,97,8,gpu
1,14,102,8,gpu
1,14,109,8,gpu
1,15,2,2,gpu
1,15,58,8,gpu
1,15,63,8,gpu
1,15,64,8,gpu
1,15,79,8,gpu
1,15,84,8,gpu
1,15,111,8,gpu
1,15,122,6,gpu
1,15,127,8,gpu
1,16,6,1,gpu
1,16,42,8,gpu
1,16,48,8,gpu
1,16,70,8,gpu
1,16,93,8,gpu
1,16,97,8,gpu
1,16,107,8,gpu
1,16,116,7,gpu
1,16,122,8,gpu
1,17,73,8,gpu
1,17,75,8,gpu
1,17,80,8,gpu
1,17,90,2,gpu
1,17,94,8,gpu
1,17,105,7,gpu
1,17,122,8,gpu
1,17,123,7,gpu
1,17,124,8,gpu
1,18,32,8,gpu
1,18,33,8,gpu
1,18,58,8,gpu
1,18,74,8,gpu
1,18,82,8,gpu
1,18,104,8,gpu
1,18,112,8,gpu
1,18,126,8,gpu
1,19,10,8,gpu
1,19,28,8,gpu
1,19,29,8,gpu
1,19,32,1,gpu
1,19,44,8,gpu
1,19,52,8,gpu
1,19,56,5,gpu
1,19,63,7,gpu
1,19,75,3,gpu
1,19,92,8,gpu
1,20,0,8,gpu
1,20,45,7,gpu
1,20,48,2,gpu
1,20,76,8,gpu
1,20,85,8,gpu
1,20,92,8,gpu
1,20,114,7,gpu
1,20,123,8,gpu
1,20,124,8,gpu
1,21,2,8,gpu
1,21,6,8,gpu
1,21,11,8,gpu
1,21,13,1,gpu
1,21,32,8,gpu
1,21,38,8,gpu
1,21,39,7,gpu
1,21,44,8,gpu
1,21,63,8,gpu
1,22,1,8,gpu
1,22,12,2,gpu
1,22,36,8,gpu
1,22,42,8,gpu
1,22,48,8,gpu
1,22,71,8,gpu
1,22,75,8,gpu
1,22,89,8,gpu
1,22,122,6,gpu
1,23,4,6,gpu
1,23,14,8,gpu
1,23,31,8,gpu
1,23,36,8,gpu
1,23,62,8,gpu
1,23,65,8,gpu
1,23,76,7,gpu
1,23,108,3,gpu
1,23,117,8,gpu
1,24,11,8,gpu
1,24,18,8,gpu
1,24,19,8,gpu
1,24,20,8,gpu
1,24,28,8,gpu
1,24,57,8,gpu
1,24,59,8,gpu
1,24,108,8,gpu
1,25,13,8,gpu
1,25,34,8,gpu
1,25,50,8,gpu
1,25,52,8,gpu
1,25,72,8,gpu
1,25,84,8,gpu
1,25,87,8,gpu
1,25,110,8,gpu
1,26,5,8,gpu
1,26,24,8,gpu
1,26,27,8,gpu
1,26,59,8,gpu
1,26,72,8,gpu
1,26,91,8,gpu
1,26,97,8,gpu
1,26,113,8,gpu
1,27,15,8,gpu
1,27,63,8,gpu
1,27,64,8,gpu
1,27,79,8,gpu
1,27,84,8,gpu
1,27,111,8,gpu
1,27,118,8,gpu
1,27,122,8,gpu
1,28,6,8,gpu
1,28,11,8,gpu
1,28,42,8,gpu
1,28,70,8,gpu
1,28,91,8,gpu
1,28,97,2,gpu
1,28,98,8,gpu
1,28,107,2,gpu
1,28,116,4,gpu
1,28,122,8,gpu
1,29,13,8,gpu
1,29,37,8,gpu
1,29,46,8,gpu
1,29,70,8,gpu
1,29,94,8,gpu
1,29,105,8,gpu
1,29,120,8,gpu
1,29,124,8,gpu
1,30,6,8,gpu
1,30,25,8,gpu
1,30,33,6,gpu
1,30,39,7,gpu
1,30,48,4,gpu
1,30,58,8,gpu
1,30,74,8,gpu
1,30,82,8,gpu
1,30,98,7,gpu
1,31,2,6,gpu
1,31,10,1,gpu
1,31,24,8,gpu
1,31,28,8,gpu
1,31,29,8,gpu
1,31,36,1,gpu
1,31,41,4,gpu
1,31,44,8,gpu
1,31,59,4,gpu
1,31,63,8,gpu
1,31,115,8,gpu
1,32,0,8,gpu
1,32,10,7,gpu
1,32,48,1,gpu
1,32,72,8,gpu
1,32,85,8,gpu
1,32,90,8,gpu
1,32,108,8,gpu
1,32,113,8,gpu
1,32,124,8,gpu
1,33,2,8,gpu
1,33,6,7,gpu
1,33,13,8,gpu
1,33,32,8,gpu
1,33,38,8,gpu
1,33,39,1,gpu
1,33,53,8,gpu
1,33,63,8,gpu
1,33,115,8,gpu
1,34,1,8,gpu
1,34,5,8,gpu
1,34,29,8,gpu
1,34,35,8,gpu
1,34,36,8,gpu
1,34,42,8,gpu
1,34,75,8,gpu
1,34,89,8,gpu
1,35,6,8,gpu
1,35,17,1,gpu
1,35,31,8,gpu
1,35,32,5,gpu
1,35,36,8,gpu
1,35,62,8,gpu
1,35,104,3,gpu
1,35,110,8,gpu
1,35,117,8,gpu
1,35,120,7,gpu
1,36,11,8,gpu
1,36,18,8,gpu
1,36,19,8,gpu
1,36,20,8,gpu
1,36,28,1,gpu
1,36,57,8,gpu
1,36,59,8,gpu
1,36,62,8,gpu
1,36,101,7,gpu
1,37,2,8,gpu
1,37,13,8,gpu
1,37,27,8,gpu
1,37,50,8,gpu
1,37,82,8,gpu
1,37,84,8,gpu
1,37,91,8,gpu
1,37,110,8,gpu
1,38,2,8,gpu
1,38,16,8,gpu
1,38,24,8,gpu
1,38,27,1,gpu
1,38,91,6,gpu
1,38,102,8,gpu
