step,layer,name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
0,0,step0.layer0.norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
0,0,step0.layer0.qkv,qkv,GPU_COMPUTE,step0.layer0.norm1,1.008192000,3.635776000,4.643968000,step0.layer0.norm1,QKV projection
0,0,step0.layer0.rope,rope,GPU_COMPUTE,step0.layer0.qkv,4.643968000,1.018432000,5.662400000,step0.layer0.qkv,QK norm and RoPE
0,0,step0.layer0.attention,attention,GPU_COMPUTE,step0.layer0.rope,5.662400000,1.050688000,6.713088000,step0.layer0.rope,decode attention on GPU
0,0,step0.layer0.o_proj,attention_output,GPU_COMPUTE,step0.layer0.attention,6.713088000,3.109440000,9.822528000,step0.layer0.attention,attention output projection
0,0,step0.layer0.residual1,residual,GPU_COMPUTE,step0.layer0.o_proj,9.822528000,1.012288000,10.834816000,step0.layer0.o_proj,residual add
0,0,step0.layer0.norm2,norm,GPU_COMPUTE,step0.layer0.residual1,10.834816000,1.008192000,11.843008000,step0.layer0.residual1,RMSNorm
0,0,step0.layer0.router,router,GPU_COMPUTE,step0.layer0.norm2,11.843008000,2.069888000,13.912896000,step0.layer0.norm2,MoE router
0,0,step0.layer0.metadata,metadata,GPU_COMPUTE,step0.layer0.router,13.912896000,1.000128000,14.913024000,step0.layer0.router,routing metadata
0,0,step0.layer0.dispatch,dispatch,,step0.layer0.metadata,14.913024000,0.000000000,14.913024000,step0.layer0.metadata,single-GPU dispatch placeholder
0,0,step0.layer0.scheduler,scheduler,GPU_COMPUTE,step0.layer0.metadata,14.913024000,0.000000000,14.913024000,step0.layer0.metadata,gpu-only placement policy
0,0,step0.layer0.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer0.scheduler,14.913024000,30.670848000,45.583872000,step0.layer0.scheduler,expert weights HBM to GPU
0,0,step0.layer0.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer0.gpu_weight_load;step0.layer0.dispatch,45.583872000,3.268435456,48.852307456,step0.layer0.gpu_weight_load,grouped expert GEMM
0,0,step0.layer0.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer0.scheduler;step0.layer0.dispatch,14.913024000,0.000000000,14.913024000,step0.layer0.scheduler,PIM_GWRITE token operands
0,0,step0.layer0.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer0.pim_gwrite,14.913024000,0.000000000,14.913024000,step0.layer0.pim_gwrite,serialized PIM expert GEMV
0,0,step0.layer0.pim_read,pim_read,GPU_PIM_IO,step0.layer0.pim_expert_compute,14.913024000,0.000000000,14.913024000,step0.layer0.pim_gwrite,PIM expert result read
0,0,step0.layer0.combine,combine,GPU_COMPUTE,step0.layer0.gpu_expert_compute;step0.layer0.pim_read,48.852307456,1.036864000,49.889171456,step0.layer0.gpu_expert_compute,weighted expert combine
0,0,step0.layer0.residual2,residual,GPU_COMPUTE,step0.layer0.combine,49.889171456,1.012288000,50.901459456,step0.layer0.combine,residual add
0,1,step0.layer1.norm1,norm,GPU_COMPUTE,step0.layer0.residual2,50.901459456,1.008192000,51.909651456,step0.layer0.residual2,RMSNorm
0,1,step0.layer1.qkv,qkv,GPU_COMPUTE,step0.layer1.norm1,51.909651456,3.635776000,55.545427456,step0.layer1.norm1,QKV projection
0,1,step0.layer1.rope,rope,GPU_COMPUTE,step0.layer1.qkv,55.545427456,1.018432000,56.563859456,step0.layer1.qkv,QK norm and RoPE
0,1,step0.layer1.attention,attention,GPU_COMPUTE,step0.layer1.rope,56.563859456,1.050688000,57.614547456,step0.layer1.rope,decode attention on GPU
0,1,step0.layer1.o_proj,attention_output,GPU_COMPUTE,step0.layer1.attention,57.614547456,3.109440000,60.723987456,step0.layer1.attention,attention output projection
0,1,step0.layer1.residual1,residual,GPU_COMPUTE,step0.layer1.o_proj,60.723987456,1.012288000,61.736275456,step0.layer1.o_proj,residual add
0,1,step0.layer1.norm2,norm,GPU_COMPUTE,step0.layer1.residual1,61.736275456,1.008192000,62.744467456,step0.layer1.residual1,RMSNorm
0,1,step0.layer1.router,router,GPU_COMPUTE,step0.layer1.norm2,62.744467456,2.069888000,64.814355456,step0.layer1.norm2,MoE router
0,1,step0.layer1.metadata,metadata,GPU_COMPUTE,step0.layer1.router,64.814355456,1.000128000,65.814483456,step0.layer1.router,routing metadata
0,1,step0.layer1.dispatch,dispatch,,step0.layer1.metadata,65.814483456,0.000000000,65.814483456,step0.layer1.metadata,single-GPU dispatch placeholder
0,1,step0.layer1.scheduler,scheduler,GPU_COMPUTE,step0.layer1.metadata,65.814483456,0.000000000,65.814483456,step0.layer1.metadata,gpu-only placement policy
0,1,step0.layer1.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer1.scheduler,65.814483456,30.670848000,96.485331456,step0.layer1.scheduler,expert weights HBM to GPU
0,1,step0.layer1.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer1.gpu_weight_load;step0.layer1.dispatch,96.485331456,3.268435456,99.753766912,step0.layer1.gpu_weight_load,grouped expert GEMM
0,1,step0.layer1.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer1.scheduler;step0.layer1.dispatch,65.814483456,0.000000000,65.814483456,step0.layer1.scheduler,PIM_GWRITE token operands
0,1,step0.layer1.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer1.pim_gwrite,65.814483456,0.000000000,65.814483456,step0.layer1.pim_gwrite,serialized PIM expert GEMV
0,1,step0.layer1.pim_read,pim_read,GPU_PIM_IO,step0.layer1.pim_expert_compute,65.814483456,0.000000000,65.814483456,step0.layer1.pim_gwrite,PIM expert result read
0,1,step0.layer1.combine,combine,GPU_COMPUTE,step0.layer1.gpu_expert_compute;step0.layer1.pim_read,99.753766912,1.036864000,100.790630912,step0.layer1.gpu_expert_compute,weighted expert combine
0,1,step0.layer1.residual2,residual,GPU_COMPUTE,step0.layer1.combine,100.790630912,1.012288000,101.802918912,step0.layer1.combine,residual add
0,2,step0.layer2.norm1,norm,GPU_COMPUTE,step0.layer1.residual2,101.802918912,1.008192000,102.811110912,step0.layer1.residual2,RMSNorm
0,2,step0.layer2.qkv,qkv,GPU_COMPUTE,step0.layer2.norm1,102.811110912,3.635776000,106.446886912,step0.layer2.norm1,QKV projection
0,2,step0.layer2.rope,rope,GPU_COMPUTE,step0.layer2.qkv,106.446886912,1.018432000,107.465318912,step0.layer2.qkv,QK norm and RoPE
0,2,step0.layer2.attention,attention,GPU_COMPUTE,step0.layer2.rope,107.465318912,1.050688000,108.516006912,step0.layer2.rope,decode attention on GPU
0,2,step0.layer2.o_proj,attention_output,GPU_COMPUTE,step0.layer2.attention,108.516006912,3.109440000,111.625446912,step0.layer2.attention,attention output projection
0,2,step0.layer2.residual1,residual,GPU_COMPUTE,step0.layer2.o_proj,111.625446912,1.012288000,112.637734912,step0.layer2.o_proj,residual add
0,2,step0.layer2.norm2,norm,GPU_COMPUTE,step0.layer2.residual1,112.637734912,1.008192000,113.645926912,step0.layer2.residual1,RMSNorm
0,2,step0.layer2.router,router,GPU_COMPUTE,step0.layer2.norm2,113.645926912,2.069888000,115.715814912,step0.layer2.norm2,MoE router
0,2,step0.layer2.metadata,metadata,GPU_COMPUTE,step0.layer2.router,115.715814912,1.000128000,116.715942912,step0.layer2.router,routing metadata
0,2,step0.layer2.dispatch,dispatch,,step0.layer2.metadata,116.715942912,0.000000000,116.715942912,step0.layer2.metadata,single-GPU dispatch placeholder
0,2,step0.layer2.scheduler,scheduler,GPU_COMPUTE,step0.layer2.metadata,116.715942912,0.000000000,116.715942912,step0.layer2.metadata,gpu-only placement policy
0,2,step0.layer2.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer2.scheduler,116.715942912,36.569088000,153.285030912,step0.layer2.scheduler,expert weights HBM to GPU
0,2,step0.layer2.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer2.gpu_weight_load;step0.layer2.dispatch,153.285030912,3.268435456,156.553466368,step0.layer2.gpu_weight_load,grouped expert GEMM
0,2,step0.layer2.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer2.scheduler;step0.layer2.dispatch,116.715942912,0.000000000,116.715942912,step0.layer2.scheduler,PIM_GWRITE token operands
0,2,step0.layer2.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer2.pim_gwrite,116.715942912,0.000000000,116.715942912,step0.layer2.pim_gwrite,serialized PIM expert GEMV
0,2,step0.layer2.pim_read,pim_read,GPU_PIM_IO,step0.layer2.pim_expert_compute,116.715942912,0.000000000,116.715942912,step0.layer2.pim_gwrite,PIM expert result read
0,2,step0.layer2.combine,combine,GPU_COMPUTE,step0.layer2.gpu_expert_compute;step0.layer2.pim_read,156.553466368,1.036864000,157.590330368,step0.layer2.gpu_expert_compute,weighted expert combine
0,2,step0.layer2.residual2,residual,GPU_COMPUTE,step0.layer2.combine,157.590330368,1.012288000,158.602618368,step0.layer2.combine,residual add
0,3,step0.layer3.norm1,norm,GPU_COMPUTE,step0.layer2.residual2,158.602618368,1.008192000,159.610810368,step0.layer2.residual2,RMSNorm
0,3,step0.layer3.qkv,qkv,GPU_COMPUTE,step0.layer3.norm1,159.610810368,3.635776000,163.246586368,step0.layer3.norm1,QKV projection
0,3,step0.layer3.rope,rope,GPU_COMPUTE,step0.layer3.qkv,163.246586368,1.018432000,164.265018368,step0.layer3.qkv,QK norm and RoPE
0,3,step0.layer3.attention,attention,GPU_COMPUTE,step0.layer3.rope,164.265018368,1.050688000,165.315706368,step0.layer3.rope,decode attention on GPU
0,3,step0.layer3.o_proj,attention_output,GPU_COMPUTE,step0.layer3.attention,165.315706368,3.109440000,168.425146368,step0.layer3.attention,attention output projection
0,3,step0.layer3.residual1,residual,GPU_COMPUTE,step0.layer3.o_proj,168.425146368,1.012288000,169.437434368,step0.layer3.o_proj,residual add
0,3,step0.layer3.norm2,norm,GPU_COMPUTE,step0.layer3.residual1,169.437434368,1.008192000,170.445626368,step0.layer3.residual1,RMSNorm
0,3,step0.layer3.router,router,GPU_COMPUTE,step0.layer3.norm2,170.445626368,2.069888000,172.515514368,step0.layer3.norm2,MoE router
0,3,step0.layer3.metadata,metadata,GPU_COMPUTE,step0.layer3.router,172.515514368,1.000128000,173.515642368,step0.layer3.router,routing metadata
0,3,step0.layer3.dispatch,dispatch,,step0.layer3.metadata,173.515642368,0.000000000,173.515642368,step0.layer3.metadata,single-GPU dispatch placeholder
0,3,step0.layer3.scheduler,scheduler,GPU_COMPUTE,step0.layer3.metadata,173.515642368,0.000000000,173.515642368,step0.layer3.metadata,gpu-only placement policy
0,3,step0.layer3.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer3.scheduler,173.515642368,25.952256000,199.467898368,step0.layer3.scheduler,expert weights HBM to GPU
0,3,step0.layer3.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer3.gpu_weight_load;step0.layer3.dispatch,199.467898368,3.268435456,202.736333824,step0.layer3.gpu_weight_load,grouped expert GEMM
0,3,step0.layer3.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer3.scheduler;step0.layer3.dispatch,173.515642368,0.000000000,173.515642368,step0.layer3.scheduler,PIM_GWRITE token operands
