step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,50.901459456,50.901459456,gpu,26,0,64,0,33.939283456
0,1,50.901459456,101.802918912,50.901459456,gpu,26,0,64,0,33.939283456
0,2,101.802918912,158.602618368,56.799699456,gpu,31,0,64,0,39.837523456
0,3,158.602618368,204.785485824,46.182867456,gpu,22,0,64,0,29.220691456
0,4,204.785485824,254.50729728,49.721811456,gpu,25,0,64,0,32.759635456
0,5,254.50729728,301.869812736,47.362515456,gpu,23,0,64,0,30.400339456
0,6,301.869812736,350.411976192,48.542163456,gpu,24,0,64,0,31.579987456
0,7,350.411976192,406.032027648,55.620051456,gpu,30,0,64,0,38.657875456
0,8,406.032027648,449.855599104,43.823571456,gpu,20,0,64,0,26.861395456
0,9,449.855599104,497.21811456,47.362515456,gpu,23,0,64,0,30.400339456
0,10,497.21811456,548.119574016,50.901459456,gpu,26,0,64,0,33.939283456
0,11,548.119574016,596.661737472,48.542163456,gpu,24,0,64,0,31.579987456
0,12,596.661737472,644.024252928,47.362515456,gpu,23,0,64,0,30.400339456
0,13,644.024252928,691.386768384,47.362515456,gpu,23,0,64,0,30.400339456
0,14,691.386768384,739.92893184,48.542163456,gpu,24,0,64,0,31.579987456
0,15,739.92893184,790.830391296,50.901459456,gpu,26,0,64,0,33.939283456
0,16,790.830391296,844.091146752,53.260755456,gpu,28,0,64,0,36.298579456
0,17,844.091146752,898.531550208,54.440403456,gpu,29,0,64,0,37.478227456
0,18,898.531550208,952.971953664,54.440403456,gpu,29,0,64,0,37.478227456
0,19,952.971953664,1003.87341312,50.901459456,gpu,26,0,64,0,33.939283456
0,20,1003.87341312,1051.235928576,47.362515456,gpu,23,0,64,0,30.400339456
0,21,1051.235928576,1100.957740032,49.721811456,gpu,25,0,64,0,32.759635456
0,22,1100.957740032,1145.960959488,45.003219456,gpu,21,0,64,0,28.041043456
0,23,1145.960959488,1190.964178944,45.003219456,gpu,21,0,64,0,28.041043456
0,24,1190.964178944,1241.8656384,50.901459456,gpu,26,0,64,0,33.939283456
0,25,1241.8656384,1289.228153856,47.362515456,gpu,23,0,64,0,30.400339456
0,26,1289.228153856,1343.668557312,54.440403456,gpu,29,0,64,0,37.478227456
0,27,1343.668557312,1393.390368768,49.721811456,gpu,25,0,64,0,32.759635456
0,28,1393.390368768,1449.010420224,55.620051456,gpu,30,0,64,0,38.657875456
0,29,1449.010420224,1501.09152768,52.081107456,gpu,27,0,64,0,35.118931456
0,30,1501.09152768,1556.711579136,55.620051456,gpu,30,0,64,0,38.657875456
0,31,1556.711579136,1609.972334592,53.260755456,gpu,28,0,64,0,36.298579456
0,32,1609.972334592,1663.233090048,53.260755456,gpu,28,0,64,0,36.298579456
0,33,1663.233090048,1721.212437504,57.979347456,gpu,32,0,64,0,41.017171456
0,34,1721.212437504,1775.65284096,54.440403456,gpu,29,0,64,0,37.478227456
0,35,1775.65284096,1828.913596416,53.260755456,gpu,28,0,64,0,36.298579456
0,36,1828.913596416,1880.994703872,52.081107456,gpu,27,0,64,0,35.118931456
0,37,1880.994703872,1927.177571328,46.182867456,gpu,22,0,64,0,29.220691456
0,38,1927.177571328,1983.977270784,56.799699456,gpu,31,0,64,0,39.837523456
0,39,1983.977270784,2043.13626624,59.158995456,gpu,33,0,64,0,42.196819456
0,40,2043.13626624,2102.295261696,59.158995456,gpu,33,0,64,0,42.196819456
0,41,2102.295261696,2162.633905152,60.338643456,gpu,34,0,64,0,43.376467456
0,42,2162.633905152,2221.792900608,59.158995456,gpu,33,0,64,0,42.196819456
0,43,2221.792900608,2283.311192064,61.518291456,gpu,35,0,64,0,44.556115456
0,44,2283.311192064,2344.82948352,61.518291456,gpu,35,0,64,0,44.556115456
0,45,2344.82948352,2406.347774976,61.518291456,gpu,35,0,64,0,44.556115456
0,46,2406.347774976,2463.147474432,56.799699456,gpu,31,0,64,0,39.837523456
0,47,2463.147474432,2516.408229888,53.260755456,gpu,28,0,64,0,36.298579456
1,0,2516.408229888,2585.006457344,68.598227456,gpu,41,0,64,0,51.634003456
1,1,2585.006457344,2645.3471488,60.340691456,gpu,34,0,64,0,43.376467456
1,2,2645.3471488,2706.867488256,61.520339456,gpu,35,0,64,0,44.556115456
1,3,2706.867488256,2764.848883712,57.981395456,gpu,32,0,64,0,41.017171456
1,4,2764.848883712,2826.369223168,61.520339456,gpu,35,0,64,0,44.556115456
1,5,2826.369223168,2884.350618624,57.981395456,gpu,32,0,64,0,41.017171456
1,6,2884.350618624,2951.76919808,67.418579456,gpu,40,0,64,0,50.454355456
1,7,2951.76919808,3023.906369536,72.137171456,gpu,44,0,64,0,55.172947456
1,8,3023.906369536,3094.863892992,70.957523456,gpu,43,0,64,0,53.993299456
1,9,3094.863892992,3161.102824448,66.238931456,gpu,39,0,64,0,49.274707456
1,10,3161.102824448,3223.802811904,62.699987456,gpu,36,0,64,0,45.735763456
1,11,3223.802811904,3284.14350336,60.340691456,gpu,34,0,64,0,43.376467456
1,12,3284.14350336,3349.202786816,65.059283456,gpu,38,0,64,0,48.095059456
1,13,3349.202786816,3410.723126272,61.520339456,gpu,35,0,64,0,44.556115456
1,14,3410.723126272,3481.680649728,70.957523456,gpu,43,0,64,0,53.993299456
1,15,3481.680649728,3546.739933184,65.059283456,gpu,38,0,64,0,48.095059456
1,16,3546.739933184,3615.33816064,68.598227456,gpu,41,0,64,0,51.634003456
1,17,3615.33816064,3681.577092096,66.238931456,gpu,39,0,64,0,49.274707456
1,18,3681.577092096,3748.995671552,67.418579456,gpu,40,0,64,0,50.454355456
1,19,3748.995671552,3815.234603008,66.238931456,gpu,39,0,64,0,49.274707456
1,20,3815.234603008,3883.832830464,68.598227456,gpu,41,0,64,0,51.634003456
1,21,3883.832830464,3951.25140992,67.418579456,gpu,40,0,64,0,50.454355456
1,22,3951.25140992,4017.490341376,66.238931456,gpu,39,0,64,0,49.274707456
1,23,4017.490341376,4082.549624832,65.059283456,gpu,38,0,64,0,48.095059456
1,24,4082.549624832,4146.429260288,63.879635456,gpu,37,0,64,0,46.915411456
1,25,4146.429260288,4209.129247744,62.699987456,gpu,36,0,64,0,45.735763456
1,26,4209.129247744,4277.7274752,68.598227456,gpu,41,0,64,0,51.634003456
1,27,4277.7274752,4343.966406656,66.238931456,gpu,39,0,64,0,49.274707456
1,28,4343.966406656,4409.025690112,65.059283456,gpu,38,0,64,0,48.095059456
1,29,4409.025690112,4475.264621568,66.238931456,gpu,39,0,64,0,49.274707456
1,30,4475.264621568,4545.042497024,69.777875456,gpu,42,0,64,0,52.813651456
1,31,4545.042497024,4613.64072448,68.598227456,gpu,41,0,64,0,51.634003456
1,32,4613.64072448,4678.700007936,65.059283456,gpu,38,0,64,0,48.095059456
1,33,4678.700007936,4749.657531392,70.957523456,gpu,43,0,64,0,53.993299456
1,34,4749.657531392,4812.357518848,62.699987456,gpu,36,0,64,0,45.735763456
1,35,4812.357518848,4871.518562304,59.161043456,gpu,33,0,64,0,42.196819456
1,36,4871.518562304,4935.39819776,63.879635456,gpu,37,0,64,0,46.915411456
1,37,4935.39819776,4995.738889216,60.340691456,gpu,34,0,64,0,43.376467456
1,38,4995.738889216,5060.798172672,65.059283456,gpu,38,0,64,0,48.095059456
1,39,5060.798172672,5127.037104128,66.238931456,gpu,39,0,64,0,49.274707456
1,40,5127.037104128,5193.276035584,66.238931456,gpu,39,0,64,0,49.274707456
1,41,5193.276035584,5261.87426304,68.598227456,gpu,41,0,64,0,51.634003456
1,42,5261.87426304,5323.394602496,61.520339456,gpu,35,0,64,0,44.556115456
1,43,5323.394602496,5384.914941952,61.520339456,gpu,35,0,64,0,44.556115456
1,44,5384.914941952,5446.435281408,61.520339456,gpu,35,0,64,0,44.556115456
1,45,5446.435281408,5505.596324864,59.161043456,gpu,33,0,64,0,42.196819456
1,46,5505.596324864,5562.39807232,56.801747456,gpu,31,0,64,0,39.837523456
1,47,5562.39807232,5618.020171776,55.622099456,gpu,30,0,64,0,38.657875456
2,0,5618.020171776,5679.542559232,61.522387456,gpu,35,0,64,0,44.556115456
2,1,5679.542559232,5741.064946688,61.522387456,gpu,35,0,64,0,44.556115456
2,2,5741.064946688,5797.868742144,56.803795456,gpu,31,0,64,0,39.837523456
2,3,5797.868742144,5855.8521856,57.983443456,gpu,32,0,64,0,41.017171456
2,4,5855.8521856,5918.554221056,62.702035456,gpu,36,0,64,0,45.735763456
2,5,5918.554221056,5977.717312512,59.163091456,gpu,33,0,64,0,42.196819456
2,6,5977.717312512,6042.778643968,65.061331456,gpu,38,0,64,0,48.095059456
2,7,6042.778643968,6105.480679424,62.702035456,gpu,36,0,64,0,45.735763456
2,8,6105.480679424,6169.36236288,63.881683456,gpu,37,0,64,0,46.915411456
2,9,6169.36236288,6232.064398336,62.702035456,gpu,36,0,64,0,45.735763456
2,10,6232.064398336,6294.766433792,62.702035456,gpu,36,0,64,0,45.735763456
2,11,6294.766433792,6353.929525248,59.163091456,gpu,33,0,64,0,42.196819456
2,12,6353.929525248,6421.350152704,67.420627456,gpu,40,0,64,0,50.454355456
2,13,6421.350152704,6479.33359616,57.983443456,gpu,32,0,64,0,41.017171456
2,14,6479.33359616,6544.394927616,65.061331456,gpu,38,0,64,0,48.095059456
2,15,6544.394927616,6609.456259072,65.061331456,gpu,38,0,64,0,48.095059456
2,16,6609.456259072,6675.697238528,66.240979456,gpu,39,0,64,0,49.274707456
2,17,6675.697238528,6744.297513984,68.600275456,gpu,41,0,64,0,51.634003456
2,18,6744.297513984,6812.89778944,68.600275456,gpu,41,0,64,0,51.634003456
2,19,6812.89778944,6877.959120896,65.061331456,gpu,38,0,64,0,48.095059456
2,20,6877.959120896,6943.020452352,65.061331456,gpu,38,0,64,0,48.095059456
2,21,6943.020452352,7008.081783808,65.061331456,gpu,38,0,64,0,48.095059456
2,22,7008.081783808,7077.861707264,69.779923456,gpu,42,0,64,0,52.813651456
2,23,7077.861707264,7144.10268672,66.240979456,gpu,39,0,64,0,49.274707456
