step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,57.677056,57.677056,pim,6,20,34,30,41.765568
0,1,57.677056,115.354112,57.677056,pim,6,20,34,30,41.765568
0,2,115.354112,183.521544,68.167432,pim,5,26,26,38,52.255944
0,3,183.521544,229.398136,45.876592,pim,7,15,43,21,29.965104
0,4,229.398136,294.942896,65.54476,pim,4,21,28,36,49.633272
0,5,294.942896,347.375544,52.432648,pim,6,17,38,26,36.52116
0,6,347.375544,398.49748,51.121936,pim,7,17,39,25,35.210448
0,7,398.49748,460.109168,61.611688,pim,5,25,31,33,45.7002
0,8,460.109168,504.674112,44.564944,pim,6,14,44,20,28.653456
0,9,504.674112,551.861416,47.187304,pim,8,15,42,22,31.275816
0,10,551.861416,620.028848,68.167432,pim,5,21,26,38,52.255944
0,11,620.028848,679.017864,58.989016,pim,6,18,33,31,43.077528
0,12,679.017864,735.384208,56.366344,pim,6,17,35,29,40.454856
0,13,735.384208,790.439216,55.055008,pim,7,16,36,28,39.14352
0,14,790.439216,848.116272,57.677056,pim,7,17,34,30,41.765568
0,15,848.116272,907.105288,58.989016,pim,5,21,33,31,43.077528
0,16,907.105288,976.584368,69.47908,pim,5,23,25,39,53.567592
0,17,976.584368,1038.196056,61.611688,pim,6,23,31,33,45.7002
0,18,1038.196056,1098.495784,60.299728,pim,6,23,32,32,44.38824
0,19,1098.495784,1157.4848,58.989016,pim,6,20,33,31,43.077528
0,20,1157.4848,1208.606736,51.121936,pim,7,16,39,25,35.210448
0,21,1208.606736,1261.039384,52.432648,pim,7,18,38,26,36.52116
0,22,1261.039384,1304.293616,43.254232,pim,9,12,45,19,27.342744
0,23,1304.293616,1343.613528,39.319912,pim,9,12,48,16,23.408424
0,24,1343.613528,1401.290584,57.677056,pim,6,20,34,30,41.765568
0,25,1401.290584,1452.41252,51.121936,pim,8,15,39,25,35.210448
0,26,1452.41252,1514.024208,61.611688,pim,7,22,31,33,45.7002
0,27,1514.024208,1571.701264,57.677056,pim,6,19,34,30,41.765568
0,28,1571.701264,1643.802704,72.10144,pim,5,25,23,41,56.189952
0,29,1643.802704,1710.659424,66.85672,pim,5,22,27,37,50.945232
0,30,1710.659424,1785.383224,74.7238,pim,4,26,21,43,58.812312
0,31,1785.383224,1852.239944,66.85672,pim,5,23,27,37,50.945232
0,32,1852.239944,1916.473992,64.234048,pim,5,23,29,35,48.32256
0,33,1916.473992,1985.953072,69.47908,pim,5,27,25,39,53.567592
0,34,1985.953072,2069.854976,83.901904,pim,2,27,14,50,67.990416
0,35,2069.854976,2145.889488,76.034512,pim,4,24,20,44,60.123024
0,36,2145.889488,2204.878504,58.989016,pim,6,21,33,31,43.077528
0,37,2204.878504,2253.37808,48.499576,pim,7,15,41,23,32.588088
0,38,2253.37808,2325.47952,72.10144,pim,5,26,23,41,56.189952
0,39,2325.47952,2393.646952,68.167432,pim,6,27,26,38,52.255944
0,40,2393.646952,2472.304136,78.657184,pim,4,29,18,46,62.745696
0,41,2472.304136,2557.518,85.213864,pim,3,31,13,51,69.302376
0,42,2557.518,2634.864472,77.346472,pim,4,29,19,45,61.434984
0,43,2634.864472,2714.833304,79.968832,pim,4,31,17,47,64.057344
0,44,2714.833304,2797.424496,82.591192,pim,3,32,15,49,66.679704
0,45,2797.424496,2872.148296,74.7238,pim,5,30,21,43,58.812312
0,46,2872.148296,2952.117128,79.968832,pim,4,27,17,47,64.057344
0,47,2952.117128,3021.596208,69.47908,pim,6,22,25,39,53.567592
1,0,3021.596208,3113.365504,91.769296,pim,2,39,8,56,75.857808
1,1,3113.365504,3195.956696,82.591192,pim,3,31,15,49,66.679704
1,2,3195.956696,3279.8586,83.901904,pim,3,32,14,50,67.990416
1,3,3279.8586,3348.026032,68.167432,pim,5,27,26,38,52.255944
1,4,3348.026032,3417.505112,69.47908,pim,5,30,25,39,53.567592
1,5,3417.505112,3485.672544,68.167432,pim,5,27,26,38,52.255944
1,6,3485.672544,3581.37616,95.703616,pim,1,39,5,59,79.792128
1,7,3581.37616,3673.145456,91.769296,pim,2,42,8,56,75.857808
1,8,3673.145456,3758.35932,85.213864,pim,3,40,13,51,69.302376
1,9,3758.35932,3840.950512,82.591192,pim,3,36,15,49,66.679704
1,10,3840.950512,3926.164376,85.213864,pim,3,33,13,51,69.302376
1,11,3926.164376,4008.755568,82.591192,pim,3,31,15,49,66.679704
1,12,4008.755568,4093.969432,85.213864,pim,3,35,13,51,69.302376
1,13,4093.969432,4177.871336,83.901904,pim,3,32,14,50,67.990416
1,14,4177.871336,4272.262992,94.391656,pim,1,42,6,58,78.480168
1,15,4272.262992,4362.721576,90.458584,pim,2,36,9,55,74.547096
1,16,4362.721576,4453.18016,90.458584,pim,2,39,9,55,74.547096
1,17,4453.18016,4550.194488,97.014328,pim,1,38,4,60,81.10284
1,18,4550.194488,4645.898104,95.703616,pim,1,39,5,59,79.792128
1,19,4645.898104,4731.111968,85.213864,pim,3,36,13,51,69.302376
1,20,4731.111968,4813.70316,82.591192,pim,3,38,15,49,66.679704
1,21,4813.70316,4901.539696,87.836536,pim,2,38,11,53,71.925048
1,22,4901.539696,4984.130888,82.591192,pim,3,36,15,49,66.679704
1,23,4984.130888,5066.72208,82.591192,pim,3,35,15,49,66.679704
1,24,5066.72208,5148.001624,81.279544,pim,4,33,16,48,65.368056
1,25,5148.001624,5217.480704,69.47908,pim,5,31,25,39,53.567592
1,26,5217.480704,5319.740064,102.25936,pim,0,41,0,64,86.347872
1,27,5319.740064,5406.264952,86.524888,pim,3,36,12,52,70.6134
1,28,5406.264952,5495.4122,89.147248,pim,2,36,10,54,73.23576
1,29,5495.4122,5592.426528,97.014328,pim,1,38,4,60,81.10284
1,30,5592.426528,5689.440856,97.014328,pim,1,41,4,60,81.10284
1,31,5689.440856,5786.455184,97.014328,pim,1,40,4,60,81.10284
1,32,5786.455184,5870.357088,83.901904,pim,3,35,14,50,67.990416
1,33,5870.357088,5960.815672,90.458584,pim,2,41,9,55,74.547096
1,34,5960.815672,6043.406864,82.591192,pim,3,33,15,49,66.679704
1,35,6043.406864,6120.753336,77.346472,pim,4,29,19,45,61.434984
1,36,6120.753336,6204.65524,83.901904,pim,3,34,14,50,67.990416
1,37,6204.65524,6280.689752,76.034512,pim,4,30,20,44,60.123024
1,38,6280.689752,6375.081408,94.391656,pim,1,37,6,58,78.480168
1,39,6375.081408,6465.539992,90.458584,pim,2,37,9,55,74.547096
1,40,6465.539992,6554.68724,89.147248,pim,2,37,10,54,73.23576
1,41,6554.68724,6651.701568,97.014328,pim,1,40,4,60,81.10284
1,42,6651.701568,6742.160152,90.458584,pim,2,33,9,55,74.547096
1,43,6742.160152,6837.863768,95.703616,pim,1,34,5,59,79.792128
1,44,6837.863768,6924.388656,86.524888,pim,3,32,12,52,70.6134
1,45,6924.388656,7010.913544,86.524888,pim,3,30,12,52,70.6134
1,46,7010.913544,7090.882376,79.968832,pim,4,27,17,47,64.057344
1,47,7090.882376,7165.606176,74.7238,pim,5,25,21,43,58.812312
2,0,7165.606176,7262.645152,97.038976,pim,1,34,4,60,81.127488
2,1,7262.645152,7347.883664,85.238512,pim,3,32,13,51,69.327024
2,2,7347.883664,7423.942824,76.05916,pim,3,28,20,44,60.147672
2,3,7423.942824,7494.757264,70.81444,pim,5,27,24,40,54.902952
2,4,7494.757264,7577.373104,82.61584,pim,3,33,15,49,66.704352
2,5,7577.373104,7650.809904,73.4368,pim,5,28,22,42,57.525312
2,6,7650.809904,7742.603848,91.793944,pim,2,36,8,56,75.882456
2,7,7742.603848,7814.729936,72.126088,pim,5,31,23,41,56.2146
2,8,7814.729936,7894.723416,79.99348,pim,4,33,17,47,64.081992
2,9,7894.723416,7977.339256,82.61584,pim,3,33,15,49,66.704352
2,10,7977.339256,8061.265808,83.926552,pim,3,33,14,50,68.015064
2,11,8061.265808,8142.57,81.304192,pim,3,30,16,48,65.392704
2,12,8142.57,8229.119536,86.549536,pim,3,37,12,52,70.638048
2,13,8229.119536,8299.933976,70.81444,pim,5,27,24,40,54.902952
2,14,8299.933976,8396.972952,97.038976,pim,1,37,4,60,81.127488
2,15,8396.972952,8488.766896,91.793944,pim,2,36,8,56,75.882456
2,16,8488.766896,8585.805872,97.038976,pim,1,38,4,60,81.127488
2,17,8585.805872,8672.355408,86.549536,pim,3,38,12,52,70.638048
2,18,8672.355408,8762.83864,90.483232,pim,2,39,9,55,74.571744
2,19,8762.83864,8842.83212,79.99348,pim,4,34,17,47,64.081992
2,20,8842.83212,8937.248424,94.416304,pim,1,37,6,58,78.504816
2,21,8937.248424,9031.664728,94.416304,pim,1,37,6,58,78.504816
2,22,9031.664728,9122.14796,90.483232,pim,2,40,9,55,74.571744
2,23,9122.14796,9204.7638,82.61584,pim,3,36,15,49,66.704352
2,24,9204.7638,9291.313336,86.549536,pim,3,39,12,52,70.638048
2,25,9291.313336,9379.17452,87.861184,pim,2,36,11,53,71.949696
2,26,9379.17452,9464.413032,85.238512,pim,3,36,13,51,69.327024
2,27,9464.413032,9550.962568,86.549536,pim,3,37,12,52,70.638048
2,28,9550.962568,9646.690832,95.728264,pim,1,41,5,59,79.816776
2,29,9646.690832,9738.484776,91.793944,pim,2,40,8,56,75.882456
2,30,9738.484776,9835.523752,97.038976,pim,1,44,4,60,81.127488
2,31,9835.523752,9932.562728,97.038976,pim,1,42,4,60,81.127488
2,32,9932.562728,10023.04596,90.483232,pim,2,36,9,55,74.571744
2,33,10023.04596,10104.350152,81.304192,pim,4,36,16,48,65.392704
2,34,10104.350152,10186.965992,82.61584,pim,3,36,15,49,66.704352
2,35,10186.965992,10264.337112,77.37112,pim,4,28,19,45,61.459632
2,36,10264.337112,10348.263664,83.926552,pim,3,29,14,50,68.015064
2,37,10348.263664,10429.567856,81.304192,pim,3,28,16,48,65.392704
2,38,10429.567856,10509.561336,79.99348,pim,3,30,17,47,64.081992
2,39,10509.561336,10577.753416,68.19208,pim,5,25,26,38,52.280592
2,40,10577.753416,10666.925312,89.171896,pim,2,34,10,54,73.260408
2,41,10666.925312,10756.097208,89.171896,pim,2,31,10,54,73.260408
2,42,10756.097208,10847.891152,91.793944,pim,2,31,8,56,75.882456
2,43,10847.891152,10933.129664,85.238512,pim,3,29,13,51,69.327024
2,44,10933.129664,11023.612896,90.483232,pim,2,32,9,55,74.571744
2,45,11023.612896,11102.294728,78.681832,pim,4,29,18,46,62.770344
2,46,11102.294728,11177.043176,74.748448,pim,5,29,21,43,58.83696
2,47,11177.043176,11274.082152,97.038976,pim,1,30,4,60,81.127488
3,0,11274.082152,11371.145464,97.063312,pim,1,35,4,60,81.151824
