step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,116.860648,116.860648,pim,0,26,0,64,86.347872
0,1,116.860648,233.721296,116.860648,pim,0,26,0,64,86.347872
0,2,233.721296,350.581944,116.860648,pim,0,31,0,64,86.347872
0,3,350.581944,467.442592,116.860648,pim,0,22,0,64,86.347872
0,4,467.442592,584.30324,116.860648,pim,0,25,0,64,86.347872
0,5,584.30324,701.163888,116.860648,pim,0,23,0,64,86.347872
0,6,701.163888,818.024536,116.860648,pim,0,24,0,64,86.347872
0,7,818.024536,934.885184,116.860648,pim,0,30,0,64,86.347872
0,8,934.885184,1051.745832,116.860648,pim,0,20,0,64,86.347872
0,9,1051.745832,1168.60648,116.860648,pim,0,23,0,64,86.347872
0,10,1168.60648,1285.467128,116.860648,pim,0,26,0,64,86.347872
0,11,1285.467128,1402.327776,116.860648,pim,0,24,0,64,86.347872
0,12,1402.327776,1519.188424,116.860648,pim,0,23,0,64,86.347872
0,13,1519.188424,1636.049072,116.860648,pim,0,23,0,64,86.347872
0,14,1636.049072,1752.90972,116.860648,pim,0,24,0,64,86.347872
0,15,1752.90972,1869.770368,116.860648,pim,0,26,0,64,86.347872
0,16,1869.770368,1986.631016,116.860648,pim,0,28,0,64,86.347872
0,17,1986.631016,2103.491664,116.860648,pim,0,29,0,64,86.347872
0,18,2103.491664,2220.352312,116.860648,pim,0,29,0,64,86.347872
0,19,2220.352312,2337.21296,116.860648,pim,0,26,0,64,86.347872
0,20,2337.21296,2454.073608,116.860648,pim,0,23,0,64,86.347872
0,21,2454.073608,2570.934256,116.860648,pim,0,25,0,64,86.347872
0,22,2570.934256,2687.794904,116.860648,pim,0,21,0,64,86.347872
0,23,2687.794904,2804.655552,116.860648,pim,0,21,0,64,86.347872
0,24,2804.655552,2921.5162,116.860648,pim,0,26,0,64,86.347872
0,25,2921.5162,3038.376848,116.860648,pim,0,23,0,64,86.347872
0,26,3038.376848,3155.237496,116.860648,pim,0,29,0,64,86.347872
0,27,3155.237496,3272.098144,116.860648,pim,0,25,0,64,86.347872
0,28,3272.098144,3388.958792,116.860648,pim,0,30,0,64,86.347872
0,29,3388.958792,3505.81944,116.860648,pim,0,27,0,64,86.347872
0,30,3505.81944,3622.680088,116.860648,pim,0,30,0,64,86.347872
0,31,3622.680088,3739.540736,116.860648,pim,0,28,0,64,86.347872
0,32,3739.540736,3856.401384,116.860648,pim,0,28,0,64,86.347872
0,33,3856.401384,3973.262032,116.860648,pim,0,32,0,64,86.347872
0,34,3973.262032,4090.12268,116.860648,pim,0,29,0,64,86.347872
0,35,4090.12268,4206.983328,116.860648,pim,0,28,0,64,86.347872
0,36,4206.983328,4323.843976,116.860648,pim,0,27,0,64,86.347872
0,37,4323.843976,4440.704624,116.860648,pim,0,22,0,64,86.347872
0,38,4440.704624,4557.565272,116.860648,pim,0,31,0,64,86.347872
0,39,4557.565272,4674.42592,116.860648,pim,0,33,0,64,86.347872
