step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,98.527139456,98.527139456,pim,26,0,64,0,33.939283456
0,1,98.527139456,197.054278912,98.527139456,pim,26,0,64,0,33.939283456
0,2,197.054278912,310.517482368,113.463203456,pim,31,0,64,0,39.837523456
0,3,310.517482368,397.123725824,86.606243456,pim,22,0,64,0,29.220691456
0,4,397.123725824,492.70558528,95.581859456,pim,25,0,64,0,32.759635456
0,5,492.70558528,582.326996736,89.621411456,pim,23,0,64,0,30.400339456
0,6,582.326996736,674.893688192,92.566691456,pim,24,0,64,0,31.579987456
0,7,674.893688192,785.341723648,110.448035456,pim,30,0,64,0,38.657875456
0,8,785.341723648,865.987519104,80.645795456,pim,20,0,64,0,26.861395456
0,9,865.987519104,955.60893056,89.621411456,pim,23,0,64,0,30.400339456
0,10,955.60893056,1054.136070016,98.527139456,pim,26,0,64,0,33.939283456
0,11,1054.136070016,1146.702761472,92.566691456,pim,24,0,64,0,31.579987456
0,12,1146.702761472,1236.324172928,89.621411456,pim,23,0,64,0,30.400339456
0,13,1236.324172928,1325.945584384,89.621411456,pim,23,0,64,0,30.400339456
0,14,1325.945584384,1418.51227584,92.566691456,pim,24,0,64,0,31.579987456
0,15,1418.51227584,1517.039415296,98.527139456,pim,26,0,64,0,33.939283456
0,16,1517.039415296,1621.527002752,104.487587456,pim,28,0,64,0,36.298579456
0,17,1621.527002752,1729.029758208,107.502755456,pim,29,0,64,0,37.478227456
0,18,1729.029758208,1836.532513664,107.502755456,pim,29,0,64,0,37.478227456
0,19,1836.532513664,1935.05965312,98.527139456,pim,26,0,64,0,33.939283456
0,20,1935.05965312,2024.681064576,89.621411456,pim,23,0,64,0,30.400339456
0,21,2024.681064576,2120.262924032,95.581859456,pim,25,0,64,0,32.759635456
0,22,2120.262924032,2203.923887488,83.660963456,pim,21,0,64,0,28.041043456
0,23,2203.923887488,2287.584850944,83.660963456,pim,21,0,64,0,28.041043456
0,24,2287.584850944,2386.1119904,98.527139456,pim,26,0,64,0,33.939283456
0,25,2386.1119904,2475.733401856,89.621411456,pim,23,0,64,0,30.400339456
0,26,2475.733401856,2583.236157312,107.502755456,pim,29,0,64,0,37.478227456
0,27,2583.236157312,2678.818016768,95.581859456,pim,25,0,64,0,32.759635456
0,28,2678.818016768,2789.266052224,110.448035456,pim,30,0,64,0,38.657875456
0,29,2789.266052224,2890.80835968,101.542307456,pim,27,0,64,0,35.118931456
0,30,2890.80835968,3001.256395136,110.448035456,pim,30,0,64,0,38.657875456
0,31,3001.256395136,3105.743982592,104.487587456,pim,28,0,64,0,36.298579456
0,32,3105.743982592,3210.231570048,104.487587456,pim,28,0,64,0,36.298579456
0,33,3210.231570048,3326.640053504,116.408483456,pim,32,0,64,0,41.017171456
0,34,3326.640053504,3434.14280896,107.502755456,pim,29,0,64,0,37.478227456
0,35,3434.14280896,3538.630396416,104.487587456,pim,28,0,64,0,36.298579456
0,36,3538.630396416,3640.172703872,101.542307456,pim,27,0,64,0,35.118931456
0,37,3640.172703872,3726.778947328,86.606243456,pim,22,0,64,0,29.220691456
0,38,3726.778947328,3840.242150784,113.463203456,pim,31,0,64,0,39.837523456
0,39,3840.242150784,3959.66580224,119.423651456,pim,33,0,64,0,42.196819456
0,40,3959.66580224,4079.089453696,119.423651456,pim,33,0,64,0,42.196819456
0,41,4079.089453696,4201.458385152,122.368931456,pim,34,0,64,0,43.376467456
0,42,4201.458385152,4320.882036608,119.423651456,pim,33,0,64,0,42.196819456
0,43,4320.882036608,4446.266136064,125.384099456,pim,35,0,64,0,44.556115456
0,44,4446.266136064,4571.65023552,125.384099456,pim,35,0,64,0,44.556115456
0,45,4571.65023552,4697.034334976,125.384099456,pim,35,0,64,0,44.556115456
0,46,4697.034334976,4810.497538432,113.463203456,pim,31,0,64,0,39.837523456
0,47,4810.497538432,4914.985125888,104.487587456,pim,28,0,64,0,36.298579456
1,0,4914.985125888,5058.250569344,143.265443456,pim,41,0,64,0,51.634003456
1,1,5058.250569344,5180.6195008,122.368931456,pim,34,0,64,0,43.376467456
1,2,5180.6195008,5306.003600256,125.384099456,pim,35,0,64,0,44.556115456
1,3,5306.003600256,5422.412083712,116.408483456,pim,32,0,64,0,41.017171456
1,4,5422.412083712,5547.796183168,125.384099456,pim,35,0,64,0,44.556115456
1,5,5547.796183168,5664.204666624,116.408483456,pim,32,0,64,0,41.017171456
1,6,5664.204666624,5804.45494208,140.250275456,pim,40,0,64,0,50.454355456
1,7,5804.45494208,5956.626113536,152.171171456,pim,44,0,64,0,55.172947456
1,8,5956.626113536,6105.852004992,149.225891456,pim,43,0,64,0,53.993299456
1,9,6105.852004992,6243.157000448,137.304995456,pim,39,0,64,0,49.274707456
1,10,6243.157000448,6371.486379904,128.329379456,pim,36,0,64,0,45.735763456
1,11,6371.486379904,6493.85531136,122.368931456,pim,34,0,64,0,43.376467456
1,12,6493.85531136,6628.145138816,134.289827456,pim,38,0,64,0,48.095059456
1,13,6628.145138816,6753.529238272,125.384099456,pim,35,0,64,0,44.556115456
1,14,6753.529238272,6902.755129728,149.225891456,pim,43,0,64,0,53.993299456
1,15,6902.755129728,7037.044957184,134.289827456,pim,38,0,64,0,48.095059456
1,16,7037.044957184,7180.31040064,143.265443456,pim,41,0,64,0,51.634003456
1,17,7180.31040064,7317.615396096,137.304995456,pim,39,0,64,0,49.274707456
1,18,7317.615396096,7457.865671552,140.250275456,pim,40,0,64,0,50.454355456
1,19,7457.865671552,7595.170667008,137.304995456,pim,39,0,64,0,49.274707456
1,20,7595.170667008,7738.436110464,143.265443456,pim,41,0,64,0,51.634003456
1,21,7738.436110464,7878.68638592,140.250275456,pim,40,0,64,0,50.454355456
1,22,7878.68638592,8015.991381376,137.304995456,pim,39,0,64,0,49.274707456
1,23,8015.991381376,8150.281208832,134.289827456,pim,38,0,64,0,48.095059456
1,24,8150.281208832,8281.625756288,131.344547456,pim,37,0,64,0,46.915411456
1,25,8281.625756288,8409.955135744,128.329379456,pim,36,0,64,0,45.735763456
1,26,8409.955135744,8553.2205792,143.265443456,pim,41,0,64,0,51.634003456
1,27,8553.2205792,8690.525574656,137.304995456,pim,39,0,64,0,49.274707456
1,28,8690.525574656,8824.815402112,134.289827456,pim,38,0,64,0,48.095059456
1,29,8824.815402112,8962.120397568,137.304995456,pim,39,0,64,0,49.274707456
1,30,8962.120397568,9108.331121024,146.210723456,pim,42,0,64,0,52.813651456
1,31,9108.331121024,9251.59656448,143.265443456,pim,41,0,64,0,51.634003456
1,32,9251.59656448,9385.886391936,134.289827456,pim,38,0,64,0,48.095059456
1,33,9385.886391936,9535.112283392,149.225891456,pim,43,0,64,0,53.993299456
1,34,9535.112283392,9663.441662848,128.329379456,pim,36,0,64,0,45.735763456
1,35,9663.441662848,9782.865314304,119.423651456,pim,33,0,64,0,42.196819456
1,36,9782.865314304,9914.20986176,131.344547456,pim,37,0,64,0,46.915411456
1,37,9914.20986176,10036.578793216,122.368931456,pim,34,0,64,0,43.376467456
1,38,10036.578793216,10170.868620672,134.289827456,pim,38,0,64,0,48.095059456
1,39,10170.868620672,10308.173616128,137.304995456,pim,39,0,64,0,49.274707456
1,40,10308.173616128,10445.478611584,137.304995456,pim,39,0,64,0,49.274707456
1,41,10445.478611584,10588.74405504,143.265443456,pim,41,0,64,0,51.634003456
1,42,10588.74405504,10714.128154496,125.384099456,pim,35,0,64,0,44.556115456
1,43,10714.128154496,10839.512253952,125.384099456,pim,35,0,64,0,44.556115456
1,44,10839.512253952,10964.896353408,125.384099456,pim,35,0,64,0,44.556115456
1,45,10964.896353408,11084.320004864,119.423651456,pim,33,0,64,0,42.196819456
1,46,11084.320004864,11197.78320832,113.463203456,pim,31,0,64,0,39.837523456
1,47,11197.78320832,11308.231243776,110.448035456,pim,30,0,64,0,38.657875456
2,0,11308.231243776,11433.639991232,125.408747456,pim,35,0,64,0,44.556115456
2,1,11433.639991232,11559.048738688,125.408747456,pim,35,0,64,0,44.556115456
2,2,11559.048738688,11672.536590144,113.487851456,pim,31,0,64,0,39.837523456
2,3,11672.536590144,11788.9697216,116.433131456,pim,32,0,64,0,41.017171456
2,4,11788.9697216,11917.323749056,128.354027456,pim,36,0,64,0,45.735763456
2,5,11917.323749056,12036.772048512,119.448299456,pim,33,0,64,0,42.196819456
2,6,12036.772048512,12171.086523968,134.314475456,pim,38,0,64,0,48.095059456
2,7,12171.086523968,12299.440551424,128.354027456,pim,36,0,64,0,45.735763456
2,8,12299.440551424,12430.80974688,131.369195456,pim,37,0,64,0,46.915411456
2,9,12430.80974688,12559.163774336,128.354027456,pim,36,0,64,0,45.735763456
2,10,12559.163774336,12687.517801792,128.354027456,pim,36,0,64,0,45.735763456
2,11,12687.517801792,12806.966101248,119.448299456,pim,33,0,64,0,42.196819456
2,12,12806.966101248,12947.241024704,140.274923456,pim,40,0,64,0,50.454355456
2,13,12947.241024704,13063.67415616,116.433131456,pim,32,0,64,0,41.017171456
2,14,13063.67415616,13197.988631616,134.314475456,pim,38,0,64,0,48.095059456
2,15,13197.988631616,13332.303107072,134.314475456,pim,38,0,64,0,48.095059456
2,16,13332.303107072,13469.632750528,137.329643456,pim,39,0,64,0,49.274707456
2,17,13469.632750528,13612.922841984,143.290091456,pim,41,0,64,0,51.634003456
2,18,13612.922841984,13756.21293344,143.290091456,pim,41,0,64,0,51.634003456
2,19,13756.21293344,13890.527408896,134.314475456,pim,38,0,64,0,48.095059456
2,20,13890.527408896,14024.841884352,134.314475456,pim,38,0,64,0,48.095059456
2,21,14024.841884352,14159.156359808,134.314475456,pim,38,0,64,0,48.095059456
2,22,14159.156359808,14305.391731264,146.235371456,pim,42,0,64,0,52.813651456
2,23,14305.391731264,14442.72137472,137.329643456,pim,39,0,64,0,49.274707456
2,24,14442.72137472,14588.956746176,146.235371456,pim,42,0,64,0,52.813651456
2,25,14588.956746176,14723.271221632,134.314475456,pim,38,0,64,0,48.095059456
2,26,14723.271221632,14860.600865088,137.329643456,pim,39,0,64,0,49.274707456
2,27,14860.600865088,15000.875788544,140.274923456,pim,40,0,64,0,50.454355456
2,28,15000.875788544,15147.11116,146.235371456,pim,42,0,64,0,52.813651456
2,29,15147.11116,15293.346531456,146.235371456,pim,42,0,64,0,52.813651456
2,30,15293.346531456,15448.557518912,155.210987456,pim,45,0,64,0,56.352595456
2,31,15448.557518912,15597.808058368,149.250539456,pim,43,0,64,0,53.993299456
2,32,15597.808058368,15732.122533824,134.314475456,pim,38,0,64,0,48.095059456
2,33,15732.122533824,15872.39745728,140.274923456,pim,40,0,64,0,50.454355456
2,34,15872.39745728,16009.727100736,137.329643456,pim,39,0,64,0,49.274707456
2,35,16009.727100736,16126.160232192,116.433131456,pim,32,0,64,0,41.017171456
2,36,16126.160232192,16242.593363648,116.433131456,pim,32,0,64,0,41.017171456
2,37,16242.593363648,16356.081215104,113.487851456,pim,31,0,64,0,39.837523456
2,38,16356.081215104,16475.52951456,119.448299456,pim,33,0,64,0,42.196819456
2,39,16475.52951456,16586.002198016,110.472683456,pim,30,0,64,0,38.657875456
2,40,16586.002198016,16714.356225472,128.354027456,pim,36,0,64,0,45.735763456
2,41,16714.356225472,16833.804524928,119.448299456,pim,33,0,64,0,42.196819456
2,42,16833.804524928,16953.252824384,119.448299456,pim,33,0,64,0,42.196819456
2,43,16953.252824384,17069.68595584,116.433131456,pim,32,0,64,0,41.017171456
2,44,17069.68595584,17192.079535296,122.393579456,pim,34,0,64,0,43.376467456
2,45,17192.079535296,17311.527834752,119.448299456,pim,33,0,64,0,42.196819456
2,46,17311.527834752,17433.921414208,122.393579456,pim,34,0,64,0,43.376467456
2,47,17433.921414208,17547.409265664,113.487851456,pim,31,0,64,0,39.837523456
3,0,17547.409265664,17675.78762912,128.378363456,pim,36,0,64,0,45.735763456
3,1,17675.78762912,17798.205544576,122.417915456,pim,34,0,64,0,43.376467456
3,2,17798.205544576,17911.717732032,113.512187456,pim,31,0,64,0,39.837523456
3,3,17911.717732032,18019.269471488,107.551739456,pim,29,0,64,0,37.478227456
3,4,18019.269471488,18144.702554944,125.433083456,pim,35,0,64,0,44.556115456
3,5,18144.702554944,18264.1751904,119.472635456,pim,33,0,64,0,42.196819456
3,6,18264.1751904,18404.474449856,140.299259456,pim,40,0,64,0,50.454355456
3,7,18404.474449856,18538.813261312,134.338811456,pim,38,0,64,0,48.095059456
3,8,18538.813261312,18658.285896768,119.472635456,pim,33,0,64,0,42.196819456
3,9,18658.285896768,18780.703812224,122.417915456,pim,34,0,64,0,43.376467456
3,10,18780.703812224,18903.12172768,122.417915456,pim,34,0,64,0,43.376467456
3,11,18903.12172768,19016.633915136,113.512187456,pim,31,0,64,0,39.837523456
3,12,19016.633915136,19142.066998592,125.433083456,pim,35,0,64,0,44.556115456
3,13,19142.066998592,19258.524466048,116.457467456,pim,32,0,64,0,41.017171456
3,14,19258.524466048,19372.036653504,113.512187456,pim,31,0,64,0,39.837523456
3,15,19372.036653504,19503.43018496,131.393531456,pim,37,0,64,0,46.915411456
3,16,19503.43018496,19646.744612416,143.314427456,pim,41,0,64,0,51.634003456
3,17,19646.744612416,19775.122975872,128.378363456,pim,36,0,64,0,45.735763456
3,18,19775.122975872,19912.476955328,137.353979456,pim,39,0,64,0,49.274707456
