step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,17.328168,17.342832,0.014664,46.205328,46.207824,0.002496,46.207824,1065216,1152,2223080960,1769472,1355520,42496,42240
0,1,True,17.328168,17.342832,0.014664,46.205328,46.207824,0.002496,46.207824,1065216,1152,2223080960,1769472,1355520,42496,42240
0,2,True,14.382888,14.413464,0.030576,58.518096,58.519968,0.001872,58.519968,1274368,896,3150264832,1474560,1716992,53760,53504
0,3,True,20.343336,20.380464,0.037128,32.371872,32.374368,0.002496,32.374368,827392,1152,1344349952,2064384,948992,29952,29696
0,4,True,11.36772,11.368656,0.000936,55.439904,55.441464,0.00156,55.441464,1184512,768,2905289472,1179648,1626624,50944,50688
0,5,True,17.328168,17.362488,0.03432,40.048944,40.050816,0.001872,40.050816,946432,896,1810404224,1769472,1174784,36864,36608
0,6,True,20.343336,20.360184,0.016848,38.528256,38.530752,0.002496,38.530752,946432,1152,1713930240,2064384,1129728,35584,35328
0,7,True,14.382888,14.421264,0.038376,50.841024,50.843208,0.002184,50.843208,1125632,1024,2555871232,1474560,1491200,46848,46592
0,8,True,17.328168,17.35032,0.022152,30.814368,30.816552,0.002184,30.816552,767744,1024,1256392832,1769472,903680,28416,28160
0,9,True,23.288616,23.276136,-0.01248,33.89256,33.895368,0.002808,33.895368,886016,1280,1432625920,2359296,994048,31232,30976
0,10,True,14.382888,14.413464,0.030576,58.518096,58.519968,0.001872,58.519968,1274368,896,3150264832,1474560,1716992,53760,53504
0,11,True,17.328168,17.350632,0.022464,47.762832,47.764392,0.00156,47.764392,1095168,768,2332120576,1769472,1400832,44032,43776
0,12,True,17.328168,17.37372,0.045552,44.68464,44.686824,0.002184,44.686824,1035776,1024,2117664896,1769472,1310464,41216,40960
0,13,True,20.343336,20.349264,0.005928,43.127136,43.129632,0.002496,43.129632,1035520,1152,2012505856,2064384,1265152,39680,39424
0,14,True,20.343336,20.398248,0.054912,46.205328,46.2072,0.001872,46.2072,1095680,896,2222704512,2064384,1355520,42496,42240
0,15,True,14.382888,14.393808,0.01092,47.762832,47.764392,0.00156,47.764392,1065728,768,2332120576,1474560,1400832,44032,43776
0,16,True,14.382888,14.384448,0.00156,60.0756,60.077472,0.001872,60.077472,1303680,896,3277242240,1474560,1762304,55296,55040
0,17,True,17.328168,17.374656,0.046488,50.841024,50.843832,0.002808,50.843832,1155072,1280,2556219136,1769472,1491200,46848,46592
0,18,True,17.328168,17.385888,0.05772,49.28352,49.285704,0.002184,49.285704,1125120,1024,2441885824,1769472,1445888,45312,45056
0,19,True,17.328168,17.350632,0.022464,47.762832,47.764392,0.00156,47.764392,1095168,768,2332120576,1769472,1400832,44032,43776
0,20,True,20.343336,20.360184,0.016848,38.528256,38.530752,0.002496,38.530752,946432,1152,1713930240,2064384,1129728,35584,35328
0,21,True,20.343336,20.348952,0.005616,40.048944,40.051752,0.002808,40.051752,975872,1280,1810783360,2064384,1174784,36864,36608
0,22,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,23,True,26.303784,26.288496,-0.015288,24.657984,24.661728,0.003744,26.288496,722944,1664,930142336,2654208,722944,22784,22528
0,24,True,17.328168,17.342832,0.014664,46.205328,46.207824,0.002496,46.207824,1065216,1152,2223080960,1769472,1355520,42496,42240
0,25,True,23.288616,23.376912,0.088296,38.528256,38.530752,0.002496,38.530752,976384,1152,1713917184,2359296,1129728,35584,35328
0,26,True,20.343336,20.42196,0.078624,50.841024,50.843208,0.002184,50.843208,1185280,1024,2555826816,2064384,1491200,46848,46592
0,27,True,17.328168,17.342832,0.014664,46.205328,46.207824,0.002496,46.207824,1065216,1152,2223080960,1769472,1355520,42496,42240
0,28,True,14.382888,14.395368,0.01248,63.153792,63.155976,0.002184,63.155976,1363456,1024,3535172864,1474560,1852672,58112,57856
0,29,True,14.382888,14.40192,0.019032,56.997408,56.99928,0.001872,56.99928,1244672,896,3028130688,1474560,1671936,52480,52224
0,30,True,11.36772,11.366784,-0.000936,66.231984,66.23292,0.000936,66.23292,1230336,512,3800397568,1179648,1943040,60928,60672
0,31,True,14.382888,14.40192,0.019032,56.997408,56.99928,0.001872,56.99928,1244672,896,3028130688,1474560,1671936,52480,52224
0,32,True,14.382888,14.414088,0.0312,53.919216,53.921088,0.001872,53.921088,1185024,896,2787618304,1474560,1581568,49664,49408
0,33,True,14.382888,14.384448,0.00156,60.0756,60.077472,0.001872,60.077472,1303680,896,3277242240,1474560,1762304,55296,55040
0,34,True,5.407272,5.406336,-0.000936,76.987248,76.988184,0.000936,76.988184,584064,512,4797001472,589824,2259200,70656,70400
0,35,True,11.36772,11.366784,-0.000936,67.752672,67.753608,0.000936,67.753608,1230336,512,3935196928,1179648,1988096,62208,61952
0,36,True,17.328168,17.350632,0.022464,47.762832,47.764392,0.00156,47.764392,1095168,768,2332120576,1769472,1400832,44032,43776
0,37,True,20.343336,20.368296,0.02496,35.450064,35.451936,0.001872,35.451936,887040,896,1524626432,2064384,1039360,32768,32512
0,38,True,14.382888,14.395368,0.01248,63.153792,63.155976,0.002184,63.155976,1363456,1024,3535172864,1474560,1852672,58112,57856
0,39,True,17.328168,17.350944,0.022776,58.518096,58.519656,0.00156,58.519656,1303296,768,3150033280,1769472,1716992,53760,53504
0,40,True,11.36772,11.366784,-0.000936,70.830864,70.8318,0.000936,70.8318,1230336,512,4214236160,1179648,2078464,65024,64768
0,41,True,8.42244,8.421504,-0.000936,78.544752,78.545688,0.000936,78.545688,910720,512,4949192448,884736,2304512,72192,71936
0,42,True,11.36772,11.366784,-0.000936,69.310176,69.311112,0.000936,69.311112,1230336,512,4075205120,1179648,2033408,63744,63488
0,43,True,11.36772,11.366784,-0.000936,72.388368,72.389304,0.000936,72.389304,1230336,512,4358482944,1179648,2123776,66560,66304
0,44,True,8.42244,8.421504,-0.000936,75.46656,75.467496,0.000936,75.467496,910720,512,4649788672,884736,2214144,69376,69120
0,45,True,14.382888,14.386008,0.00312,66.231984,66.233544,0.00156,66.233544,1422848,768,3800933632,1474560,1943040,60928,60672
0,46,True,11.36772,11.366784,-0.000936,72.388368,72.389304,0.000936,72.389304,1230336,512,4358482944,1179648,2123776,66560,66304
0,47,True,17.328168,17.337528,0.00936,60.0756,60.07716,0.00156,60.07716,1333248,768,3277008896,1769472,1762304,55296,55040
1,0,True,5.407272,5.406336,-0.000936,86.221824,86.22276,0.000936,86.22276,584064,512,5731048960,589824,2530304,79104,78848
1,1,True,8.42244,8.421504,-0.000936,75.46656,75.467496,0.000936,75.467496,910720,512,4649788672,884736,2214144,69376,69120
1,2,True,8.42244,8.421504,-0.000936,76.987248,76.988184,0.000936,76.988184,910720,512,4797001472,884736,2259200,70656,70400
1,3,True,14.382888,14.413464,0.030576,58.518096,58.519968,0.001872,58.519968,1274368,896,3150264832,1474560,1716992,53760,53504
1,4,True,14.382888,14.384448,0.00156,60.0756,60.077472,0.001872,60.077472,1303680,896,3277242240,1474560,1762304,55296,55040
1,5,True,14.382888,14.413464,0.030576,58.518096,58.519968,0.001872,58.519968,1274368,896,3150264832,1474560,1716992,53760,53504
1,6,True,2.461992,2.461056,-0.000936,90.85752,90.858456,0.000936,90.858456,264448,512,6220247808,294912,2665984,83456,83200
1,7,True,5.407272,5.406336,-0.000936,86.221824,86.22276,0.000936,86.22276,584064,512,5731048960,589824,2530304,79104,78848
1,8,True,8.42244,8.421504,-0.000936,78.544752,78.545688,0.000936,78.545688,910720,512,4949192448,884736,2304512,72192,71936
1,9,True,8.42244,8.421504,-0.000936,75.46656,75.467496,0.000936,75.467496,910720,512,4649788672,884736,2214144,69376,69120
1,10,True,8.42244,8.421504,-0.000936,78.544752,78.545688,0.000936,78.545688,910720,512,4949192448,884736,2304512,72192,71936
1,11,True,8.42244,8.421504,-0.000936,75.46656,75.467496,0.000936,75.467496,910720,512,4649788672,884736,2214144,69376,69120
1,12,True,8.42244,8.421504,-0.000936,78.544752,78.545688,0.000936,78.545688,910720,512,4949192448,884736,2304512,72192,71936
1,13,True,8.42244,8.421504,-0.000936,76.987248,76.988184,0.000936,76.988184,910720,512,4797001472,884736,2259200,70656,70400
1,14,True,2.461992,2.461056,-0.000936,89.300016,89.300952,0.000936,89.300952,264448,512,6056097024,294912,2620672,81920,81664
1,15,True,5.407272,5.406336,-0.000936,84.701136,84.702072,0.000936,84.702072,584064,512,5572006144,589824,2485248,77824,77568
1,16,True,5.407272,5.406336,-0.000936,84.701136,84.702072,0.000936,84.702072,584064,512,5572006144,589824,2485248,77824,77568
1,17,True,2.461992,2.461056,-0.000936,92.378208,92.379144,0.000936,92.379144,264448,512,6381316352,294912,2711040,84736,84480
1,18,True,2.461992,2.461056,-0.000936,90.85752,90.858456,0.000936,90.858456,264448,512,6220247808,294912,2665984,83456,83200
