step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,29.249064,29.272776,0.023712,32.371872,32.375304,0.003432,32.375304,915968,1536,1344503040,2949120,948992,29952,29696
0,1,True,29.249064,29.235336,-0.013728,30.814368,30.816864,0.002496,30.816864,885760,1152,1256420352,2949120,903680,28416,28160
0,2,True,32.264232,32.193408,-0.070824,36.970752,36.97356,0.002808,36.97356,1034240,1280,1617448832,3244032,1084416,34048,33792
0,3,True,23.288616,23.249616,-0.039,27.736176,27.738984,0.002808,27.738984,766848,1280,1088931200,2359296,813312,25600,25344
0,4,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,5,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,6,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,7,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,8,True,20.343336,20.337096,-0.00624,26.215488,26.217672,0.002184,26.217672,708096,1024,1009014016,2064384,768256,24320,24064
0,9,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,10,True,32.264232,32.17032,-0.093912,30.814368,30.8178,0.003432,32.17032,903680,1536,1256562048,3244032,903680,28416,28160
0,11,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,12,True,26.303784,26.21736,-0.086424,30.814368,30.817176,0.002808,30.817176,855808,1280,1256524288,2654208,903680,28416,28160
0,13,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,14,True,29.249064,29.272776,0.023712,32.371872,32.375304,0.003432,32.375304,915968,1536,1344503040,2949120,948992,29952,29696
0,15,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,16,True,32.264232,32.193408,-0.070824,33.89256,33.895056,0.002496,33.895056,974848,1152,1432577024,3244032,994048,31232,30976
0,17,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,18,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,19,True,29.249064,29.235336,-0.013728,30.814368,30.816864,0.002496,30.816864,885760,1152,1256420352,2949120,903680,28416,28160
0,20,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,21,True,26.303784,26.21736,-0.086424,30.814368,30.817176,0.002808,30.817176,855808,1280,1256524288,2654208,903680,28416,28160
0,22,True,26.303784,26.246064,-0.05772,29.29368,29.296488,0.002808,29.296488,826496,1280,1172525824,2654208,858624,27136,26880
0,23,True,26.303784,26.288496,-0.015288,24.657984,24.661728,0.003744,26.288496,722944,1664,930142336,2654208,722944,22784,22528
0,24,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,25,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,26,True,32.264232,32.202144,-0.062088,35.450064,35.451936,0.001872,35.451936,1004544,896,1524592128,3244032,1039360,32768,32512
0,27,True,29.249064,29.18136,-0.067704,29.29368,29.296488,0.002808,29.296488,855552,1280,1172559616,2949120,858624,27136,26880
0,28,True,32.264232,32.193408,-0.070824,36.970752,36.97356,0.002808,36.97356,1034240,1280,1617448832,3244032,1084416,34048,33792
0,29,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,30,True,32.264232,32.193408,-0.070824,36.970752,36.97356,0.002808,36.97356,1034240,1280,1617448832,3244032,1084416,34048,33792
0,31,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,32,True,29.249064,29.209128,-0.039936,33.89256,33.895368,0.002808,33.895368,945152,1280,1432628096,2949120,994048,31232,30976
0,33,True,32.264232,32.193408,-0.070824,36.970752,36.97356,0.002808,36.97356,1034240,1280,1617448832,3244032,1084416,34048,33792
0,34,True,32.264232,32.202144,-0.062088,35.450064,35.451936,0.001872,35.451936,1004544,896,1524592128,3244032,1039360,32768,32512
0,35,True,35.209512,35.17332,-0.036192,35.450064,35.45256,0.002496,35.45256,1033984,1152,1524735488,3538944,1039360,32768,32512
0,36,True,29.249064,29.272776,0.023712,32.371872,32.375304,0.003432,32.375304,915968,1536,1344503040,2949120,948992,29952,29696
0,37,True,26.303784,26.253864,-0.04992,27.736176,27.73836,0.002184,27.73836,796672,1024,1088794368,2654208,813312,25600,25344
0,38,True,35.209512,35.17332,-0.036192,35.450064,35.45256,0.002496,35.45256,1033984,1152,1524735488,3538944,1039360,32768,32512
0,39,True,35.209512,35.17332,-0.036192,35.450064,35.45256,0.002496,35.45256,1033984,1152,1524735488,3538944,1039360,32768,32512
0,40,True,35.209512,35.152416,-0.057096,38.528256,38.531064,0.002808,38.531064,1093376,1280,1714043136,3538944,1129728,35584,35328
0,41,True,38.22468,38.101752,-0.122928,38.528256,38.531376,0.00312,38.531376,1122560,1408,1714063872,3833856,1129728,35584,35328
0,42,True,35.209512,35.2326,0.023088,40.048944,40.051752,0.002808,40.051752,1123840,1280,1810688384,3538944,1174784,36864,36608
