gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,2;11;13;21;34;50;51;57;63;75;80;97;103;106;110;125,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,0,True
16,3;4;6;9;15;19;22;23;41;48;58;80;88;95;116;119,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,1,True
16,4;8;14;15;25;40;47;53;54;84;88;90;95;100;122;125,49,15,46.843368,3.205520896,50.048888896,23.140104,20.0,70.048888896,0,2,True
16,2;4;12;16;24;32;35;38;39;53;64;82;84;112;115;124,58,6,47.070504,3.243269632,50.313773632,9.268896,20.0,70.313773632,0,3,True
16,9;12;25;47;48;50;52;56;63;76;79;81;83;93;104;124,55,9,47.10108,3.23068672,50.33176672,13.904592,20.0,70.33176672,0,4,True
16,2;8;13;17;34;37;44;47;51;61;68;82;95;105;107;125,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,5,True
16,8;12;13;16;25;27;30;34;53;56;63;71;76;80;83;105,56,8,47.029632,3.234881024,50.264513024,12.348024,20.0,70.264513024,0,6,True
16,3;6;9;16;18;21;24;25;28;31;49;51;59;75;95;109,50,14,46.958496,3.2097152,50.1682112,21.583224,20.0,70.1682112,0,7,True
16,3;26;36;38;42;43;46;57;59;66;82;84;90;103;109;116,60,4,47.063328,3.25165824,50.31498624,6.190392,20.0,70.31498624,0,8,True
16,0;9;10;19;27;32;45;49;62;65;87;98;110;114;117;122,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,9,True
16,5;26;30;53;56;58;61;68;73;74;78;83;98;105;112;123,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,10,True
16,3;7;18;21;23;26;28;37;49;61;67;82;89;109;125;127,56,8,47.029632,3.234881024,50.264513024,12.348024,20.0,70.264513024,0,11,True
16,2;9;15;17;24;49;52;56;65;79;96;97;99;107;116;119,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,12,True
16,0;6;11;23;26;28;32;42;58;64;66;77;82;98;104;118,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,13,True
16,8;10;16;17;48;55;75;79;80;81;88;90;93;100;105;107,56,8,47.029632,3.234881024,50.264513024,12.348024,20.0,70.264513024,0,14,True
16,10;13;16;18;22;23;35;49;59;70;85;90;91;103;120;123,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,15,True
16,7;8;17;50;55;73;81;83;84;87;89;97;103;115;119;124,52,12,47.0184,3.218103808,50.236503808,18.504408,20.0,70.236503808,0,16,True
16,1;2;9;18;19;21;42;48;55;69;78;83;103;105;116;120,51,13,46.960368,3.213909504,50.174277504,20.0616,20.0,70.174277504,0,17,True
16,8;12;13;22;25;26;30;32;34;44;53;56;63;71;80;105,51,13,46.960368,3.213909504,50.174277504,20.0616,20.0,70.174277504,0,18,True
16,3;9;18;21;24;25;28;31;34;49;59;75;79;101;109;112,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,19,True
16,3;9;22;26;36;38;46;57;65;66;72;84;101;109;116;121,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,20,True
16,0;2;9;10;19;49;52;87;96;98;110;111;114;117;122;125,55,9,47.10108,3.23068672,50.33176672,13.904592,20.0,70.33176672,0,21,True
16,16;26;30;43;50;53;56;58;61;68;69;73;74;78;98;105,59,5,47.031504,3.247463936,50.278967936,7.747896,20.0,70.278967936,0,22,True
16,0;3;6;7;21;23;24;26;28;30;49;61;63;82;96;125,59,5,47.031504,3.247463936,50.278967936,7.747896,20.0,70.278967936,0,23,True
16,2;8;9;14;15;17;24;50;52;56;65;79;96;99;107;116,54,10,46.954752,3.226492416,50.181244416,15.426216,20.0,70.181244416,0,24,True
16,0;6;15;16;23;26;28;32;42;58;66;77;78;82;104;118,57,7,47.028384,3.239075328,50.267459328,10.827336,20.0,70.267459328,0,25,True
16,4;8;10;17;48;55;75;79;80;81;86;88;90;96;100;107,51,13,46.960368,3.213909504,50.174277504,20.0616,20.0,70.174277504,0,26,True
16,0;3;10;16;18;23;49;56;59;70;85;87;90;101;120;127,55,9,47.10108,3.23068672,50.33176672,13.904592,20.0,70.33176672,0,27,True
