step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,41.16996,40.99992,-0.17004,20.059104,20.0616,0.002496,40.99992,587520,1152,708193536,4128768,587520,18688,18432
0,1,True,41.16996,41.057952,-0.112008,18.5016,18.504408,0.002808,41.057952,542208,1280,637681536,4128768,542208,17152,16896
0,2,True,47.130408,46.843368,-0.28704,23.137296,23.140104,0.002808,46.843368,677888,1280,854444160,4718592,677888,21504,21248
0,3,True,35.209512,35.033856,-0.175656,15.423408,15.426216,0.002808,35.033856,451840,1408,504549376,3538944,451840,14336,14080
0,4,True,38.22468,38.077104,-0.147576,20.059104,20.0616,0.002496,38.077104,587520,1152,708193536,3833856,587520,18688,18432
0,5,True,38.22468,38.100816,-0.123864,16.980912,16.983096,0.002184,38.100816,497152,1024,570542080,3833856,497152,15872,15616
0,6,True,38.22468,38.100816,-0.123864,16.980912,16.983096,0.002184,38.100816,497152,1024,570542080,3833856,497152,15872,15616
0,7,True,47.130408,46.958496,-0.171912,21.579792,21.583224,0.003432,46.958496,632576,1536,779591936,4718592,632576,19968,19712
0,8,True,29.249064,29.093688,-0.155376,15.423408,15.426216,0.002808,29.093688,451840,1280,504548992,2949120,451840,14336,14080
0,9,True,35.209512,35.113728,-0.095784,18.5016,18.504408,0.002808,35.113728,542208,1280,637681536,3538944,542208,17152,16896
0,10,True,41.16996,41.020824,-0.149136,21.579792,21.582912,0.00312,41.020824,632576,1408,779591040,4128768,632576,19968,19712
0,11,True,38.22468,38.077104,-0.147576,20.059104,20.0616,0.002496,38.077104,587520,1152,708193536,3833856,587520,18688,18432
0,12,True,35.209512,35.113728,-0.095784,18.5016,18.504408,0.002808,35.113728,542208,1280,637681536,3538944,542208,17152,16896
0,13,True,38.22468,38.112672,-0.112008,18.5016,18.504408,0.002808,38.112672,542208,1280,637681536,3833856,542208,17152,16896
0,14,True,41.16996,41.057952,-0.112008,18.5016,18.504408,0.002808,41.057952,542208,1280,637681536,4128768,542208,17152,16896
0,15,True,38.22468,38.077104,-0.147576,20.059104,20.0616,0.002496,38.077104,587520,1152,708193536,3833856,587520,18688,18432
0,16,True,44.185128,44.013216,-0.171912,21.579792,21.583224,0.003432,44.013216,632576,1536,779591936,4423680,632576,19968,19712
0,17,True,44.185128,44.013216,-0.171912,21.579792,21.583224,0.003432,44.013216,632576,1536,779591936,4423680,632576,19968,19712
0,18,True,44.185128,44.013216,-0.171912,21.579792,21.583224,0.003432,44.013216,632576,1536,779591936,4423680,632576,19968,19712
0,19,True,41.16996,41.057952,-0.112008,18.5016,18.504408,0.002808,41.057952,542208,1280,637681536,4128768,542208,17152,16896
0,20,True,35.209512,35.113728,-0.095784,18.5016,18.504408,0.002808,35.113728,542208,1280,637681536,3538944,542208,17152,16896
0,21,True,38.22468,38.112672,-0.112008,18.5016,18.504408,0.002808,38.112672,542208,1280,637681536,3833856,542208,17152,16896
0,22,True,35.209512,35.085648,-0.123864,16.980912,16.983096,0.002184,35.085648,497152,1024,570542080,3538944,497152,15872,15616
0,23,True,32.264232,32.162208,-0.102024,16.980912,16.983096,0.002184,32.162208,497152,1024,570542080,3244032,497152,15872,15616
0,24,True,38.22468,38.077104,-0.147576,20.059104,20.0616,0.002496,38.077104,587520,1152,708193536,3833856,587520,18688,18432
0,25,True,38.22468,38.112672,-0.112008,18.5016,18.504408,0.002808,38.112672,542208,1280,637681536,3833856,542208,17152,16896
0,26,True,47.130408,46.960368,-0.17004,20.059104,20.0616,0.002496,46.960368,587520,1152,708193536,4718592,587520,18688,18432
0,27,True,38.22468,38.077104,-0.147576,20.059104,20.0616,0.002496,38.077104,587520,1152,708193536,3833856,587520,18688,18432
0,28,True,47.130408,46.958496,-0.171912,21.579792,21.583224,0.003432,46.958496,632576,1536,779591936,4718592,632576,19968,19712
0,29,True,41.16996,41.020824,-0.149136,21.579792,21.582912,0.00312,41.020824,632576,1408,779591040,4128768,632576,19968,19712
0,30,True,47.130408,46.958496,-0.171912,21.579792,21.583224,0.003432,46.958496,632576,1536,779591936,4718592,632576,19968,19712
0,31,True,41.16996,41.020824,-0.149136,21.579792,21.582912,0.00312,41.020824,632576,1408,779591040,4128768,632576,19968,19712
0,32,True,41.16996,41.020824,-0.149136,21.579792,21.582912,0.00312,41.020824,632576,1408,779591040,4128768,632576,19968,19712
0,33,True,50.145576,49.858536,-0.28704,23.137296,23.140104,0.002808,49.858536,677888,1280,854444160,5013504,677888,21504,21248
0,34,True,47.130408,46.960368,-0.17004,20.059104,20.0616,0.002496,46.960368,587520,1152,708193536,4718592,587520,18688,18432
0,35,True,47.130408,46.843368,-0.28704,23.137296,23.140104,0.002808,46.843368,677888,1280,854444160,4718592,677888,21504,21248
0,36,True,41.16996,40.99992,-0.17004,20.059104,20.0616,0.002496,40.99992,587520,1152,708193536,4128768,587520,18688,18432
0,37,True,35.209512,35.113728,-0.095784,18.5016,18.504408,0.002808,35.113728,542208,1280,637681536,3538944,542208,17152,16896
0,38,True,47.130408,46.843368,-0.28704,23.137296,23.140104,0.002808,46.843368,677888,1280,854444160,4718592,677888,21504,21248
0,39,True,50.145576,49.961808,-0.183768,24.657984,24.661416,0.003432,49.961808,722944,1536,930189184,5013504,722944,22784,22528
0,40,True,50.145576,49.961808,-0.183768,24.657984,24.661416,0.003432,49.961808,722944,1536,930189184,5013504,722944,22784,22528
0,41,True,53.090856,52.907088,-0.183768,24.657984,24.661416,0.003432,52.907088,722944,1536,930189184,5308416,722944,22784,22528
0,42,True,50.145576,49.961808,-0.183768,24.657984,24.661416,0.003432,49.961808,722944,1536,930189184,5013504,722944,22784,22528
0,43,True,53.090856,52.813488,-0.277368,26.215488,26.218296,0.002808,52.813488,768256,1408,1009044864,5308416,768256,24320,24064
0,44,True,53.090856,52.813488,-0.277368,26.215488,26.218296,0.002808,52.813488,768256,1408,1009044864,5308416,768256,24320,24064
0,45,True,53.090856,52.813488,-0.277368,26.215488,26.218296,0.002808,52.813488,768256,1408,1009044864,5308416,768256,24320,24064
0,46,True,50.145576,49.973664,-0.171912,21.579792,21.583224,0.003432,49.973664,632576,1536,779591936,5013504,632576,19968,19712
0,47,True,44.185128,44.013216,-0.171912,21.579792,21.583224,0.003432,44.013216,632576,1536,779591936,4423680,632576,19968,19712
1,0,True,62.066472,61.67772,-0.388752,30.814368,30.817176,0.002808,61.67772,903680,1408,1256509056,6193152,903680,28416,28160
1,1,True,53.090856,52.907088,-0.183768,24.657984,24.661416,0.003432,52.907088,722944,1536,930189184,5308416,722944,22784,22528
1,2,True,56.106024,55.922256,-0.183768,24.657984,24.661416,0.003432,55.922256,722944,1536,930189184,5603328,722944,22784,22528
1,3,True,50.145576,49.858536,-0.28704,23.137296,23.140104,0.002808,49.858536,677888,1280,854444160,5013504,677888,21504,21248
1,4,True,53.090856,52.813488,-0.277368,26.215488,26.218296,0.002808,52.813488,768256,1408,1009044864,5308416,768256,24320,24064
1,5,True,50.145576,49.858536,-0.28704,23.137296,23.140104,0.002808,49.858536,677888,1280,854444160,5013504,677888,21504,21248
1,6,True,62.066472,61.747296,-0.319176,29.29368,29.296488,0.002808,61.747296,858624,1408,1172560640,6193152,858624,27136,26880
1,7,True,68.02692,67.699944,-0.326976,32.371872,32.374992,0.00312,67.699944,948992,1408,1344411264,6782976,948992,29952,29696
1,8,True,65.011752,64.684776,-0.326976,32.371872,32.374992,0.00312,64.684776,948992,1408,1344411264,6488064,948992,29952,29696
1,9,True,59.051304,58.732128,-0.319176,29.29368,29.296488,0.002808,58.732128,858624,1408,1172560640,5898240,858624,27136,26880
1,10,True,56.106024,55.828656,-0.277368,26.215488,26.218296,0.002808,55.828656,768256,1408,1009044864,5603328,768256,24320,24064
1,11,True,53.090856,52.907088,-0.183768,24.657984,24.661416,0.003432,52.907088,722944,1536,930189184,5308416,722944,22784,22528
1,12,True,59.051304,58.748976,-0.302328,27.736176,27.738984,0.002808,58.748976,813312,1280,1088879104,5898240,813312,25600,25344
1,13,True,53.090856,52.813488,-0.277368,26.215488,26.218296,0.002808,52.813488,768256,1408,1009044864,5308416,768256,24320,24064
1,14,True,65.011752,64.684776,-0.326976,32.371872,32.374992,0.00312,64.684776,948992,1408,1344411264,6488064,948992,29952,29696
1,15,True,59.051304,58.748976,-0.302328,27.736176,27.738984,0.002808,58.748976,813312,1280,1088879104,5898240,813312,25600,25344
1,16,True,62.066472,61.67772,-0.388752,30.814368,30.817176,0.002808,61.67772,903680,1408,1256509056,6193152,903680,28416,28160
1,17,True,59.051304,58.732128,-0.319176,29.29368,29.296488,0.002808,58.732128,858624,1408,1172560640,5898240,858624,27136,26880
1,18,True,62.066472,61.747296,-0.319176,29.29368,29.296488,0.002808,61.747296,858624,1408,1172560640,6193152,858624,27136,26880
1,19,True,59.051304,58.732128,-0.319176,29.29368,29.296488,0.002808,58.732128,858624,1408,1172560640,5898240,858624,27136,26880
1,20,True,62.066472,61.67772,-0.388752,30.814368,30.817176,0.002808,61.67772,903680,1408,1256509056,6193152,903680,28416,28160
1,21,True,62.066472,61.747296,-0.319176,29.29368,29.296488,0.002808,61.747296,858624,1408,1172560640,6193152,858624,27136,26880
1,22,True,59.051304,58.732128,-0.319176,29.29368,29.296488,0.002808,58.732128,858624,1408,1172560640,5898240,858624,27136,26880
1,23,True,59.051304,58.748976,-0.302328,27.736176,27.738984,0.002808,58.748976,813312,1280,1088879104,5898240,813312,25600,25344
1,24,True,56.106024,55.803696,-0.302328,27.736176,27.738984,0.002808,55.803696,813312,1280,1088879104,5603328,813312,25600,25344
1,25,True,56.106024,55.828656,-0.277368,26.215488,26.218296,0.002808,55.828656,768256,1408,1009044864,5603328,768256,24320,24064
