step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,82.539885504,82.539885504,pim,14,12,51,13,19.728981504
0,1,82.539885504,165.141997312,82.602111808,pim,14,12,52,12,19.733175808
0,2,165.141997312,253.516942208,88.374944896,pim,16,15,49,15,22.098024
0,3,253.516942208,330.103346624,76.586404416,pim,12,10,54,10,17.382268416
0,4,330.103346624,409.720416128,79.617069504,pim,13,12,51,13,19.475664
0,5,409.720416128,489.36958624,79.649170112,pim,13,10,53,11,18.557722112
0,6,489.36958624,569.018756352,79.649170112,pim,13,11,53,11,18.557722112
0,7,569.018756352,657.513023552,88.4942672,pim,16,14,50,14,22.0840832
0,8,657.513023552,728.159259968,70.646236416,pim,10,10,54,10,15.541344
0,9,728.159259968,804.817147776,76.657887808,pim,12,11,52,12,18.163704
0,10,804.817147776,887.373742976,82.5565952,pim,14,12,50,14,20.786376
0,11,887.373742976,966.99081248,79.617069504,pim,13,11,51,13,19.475664
0,12,966.99081248,1043.648700288,76.657887808,pim,12,11,52,12,18.163704
0,13,1043.648700288,1123.305532096,79.656831808,pim,13,10,52,12,18.553527808
0,14,1123.305532096,1205.907643904,82.602111808,pim,14,10,52,12,19.733175808
0,15,1205.907643904,1285.524713408,79.617069504,pim,13,13,51,13,19.475664
0,16,1285.524713408,1371.073700608,85.5489872,pim,15,13,50,14,20.9044352
0,17,1371.073700608,1456.622687808,85.5489872,pim,15,14,50,14,20.9044352
0,18,1456.622687808,1542.171675008,85.5489872,pim,15,14,50,14,20.9044352
0,19,1542.171675008,1624.773786816,82.602111808,pim,14,12,52,12,19.733175808
0,20,1624.773786816,1701.431674624,76.657887808,pim,12,11,52,12,18.163704
0,21,1701.431674624,1781.088506432,79.656831808,pim,13,12,52,12,18.553527808
0,22,1781.088506432,1857.722508544,76.634002112,pim,12,9,53,11,17.378074112
0,23,1857.722508544,1931.433070656,73.710562112,pim,11,10,53,11,16.852992
0,24,1931.433070656,2011.05014016,79.617069504,pim,13,13,51,13,19.475664
0,25,2011.05014016,2090.706971968,79.656831808,pim,13,10,52,12,18.553527808
0,26,2090.706971968,2179.207305472,88.500333504,pim,16,13,51,13,22.088277504
0,27,2179.207305472,2258.824374976,79.617069504,pim,13,12,51,13,19.475664
0,28,2258.824374976,2347.318642176,88.4942672,pim,16,14,50,14,22.0840832
0,29,2347.318642176,2429.875237376,82.5565952,pim,14,13,50,14,20.786376
0,30,2429.875237376,2518.369504576,88.4942672,pim,16,14,50,14,22.0840832
0,31,2518.369504576,2600.926099776,82.5565952,pim,14,14,50,14,20.786376
0,32,2600.926099776,2683.482694976,82.5565952,pim,14,14,50,14,20.786376
0,33,2683.482694976,2774.872807872,91.390112896,pim,17,15,49,15,23.259536896
0,34,2774.872807872,2863.373141376,88.500333504,pim,16,13,51,13,22.088277504
0,35,2863.373141376,2951.748086272,88.374944896,pim,16,12,49,15,22.098024
0,36,2951.748086272,3034.287971776,82.539885504,pim,14,13,51,13,19.728981504
0,37,3034.287971776,3110.945859584,76.657887808,pim,12,10,52,12,18.163704
0,38,3110.945859584,3199.32080448,88.374944896,pim,16,15,49,15,22.098024
0,39,3199.32080448,3290.809995072,91.489190592,pim,17,16,48,16,23.408424
0,40,3290.809995072,3382.299185664,91.489190592,pim,17,16,48,16,23.408424
0,41,3382.299185664,3476.733656256,94.434470592,pim,18,16,48,16,24.434990592
