step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,70.779187072,70.779187072,pim,10,16,43,21,52.453131072
0,1,70.779187072,141.525128448,70.745941376,pim,10,16,44,20,52.419885376
0,2,141.525128448,216.824744448,75.299616,pim,11,20,40,24,56.97356
0,3,216.824744448,282.889784448,66.06504,pim,8,14,46,18,47.738984
0,4,282.889784448,353.585944128,70.69615968,pim,10,15,45,19,52.37010368
0,5,353.585944128,421.346807808,67.76086368,pim,9,14,45,19,49.43480768
0,6,421.346807808,489.107671488,67.76086368,pim,9,15,45,19,49.43480768
0,7,489.107671488,561.329095488,72.221424,pim,10,20,42,22,53.895368
0,8,561.329095488,625.872823488,64.543728,pim,7,13,47,17,46.217672
0,9,625.872823488,693.633687168,67.76086368,pim,9,14,45,19,49.43480768
0,10,693.633687168,767.314612544,73.680925376,pim,11,15,44,20,55.354869376
0,11,767.314612544,838.010772224,70.69615968,pim,10,14,45,19,52.37010368
0,12,838.010772224,907.154004224,69.143232,pim,9,14,44,20,50.817176
0,13,907.154004224,977.850163904,70.69615968,pim,10,13,45,19,52.37010368
0,14,977.850163904,1048.629350976,70.779187072,pim,10,14,43,21,52.453131072
0,15,1048.629350976,1119.325510656,70.69615968,pim,10,16,45,19,52.37010368
0,16,1119.325510656,1193.021135424,73.695624768,pim,11,17,42,22,55.369568768
0,17,1193.021135424,1265.242559424,72.221424,pim,10,19,42,22,53.895368
0,18,1265.242559424,1337.463983424,72.221424,pim,10,19,42,22,53.895368
0,19,1337.463983424,1408.2099248,70.745941376,pim,10,16,44,20,52.419885376
0,20,1408.2099248,1475.97078848,67.76086368,pim,9,14,45,19,49.43480768
0,21,1475.97078848,1545.11402048,69.143232,pim,9,16,44,20,50.817176
0,22,1545.11402048,1612.87488416,67.76086368,pim,9,12,45,19,49.43480768
0,23,1612.87488416,1680.690762752,67.815878592,pim,9,12,48,16,49.489822592
0,24,1680.690762752,1751.386922432,70.69615968,pim,10,16,45,19,52.37010368
0,25,1751.386922432,1822.083082112,70.69615968,pim,10,13,45,19,52.37010368
0,26,1822.083082112,1895.861074112,73.777992,pim,11,18,41,23,55.451936
0,27,1895.861074112,1966.557233792,70.69615968,pim,10,15,45,19,52.37010368
0,28,1966.557233792,2041.856849792,75.299616,pim,11,19,40,24,56.97356
0,29,2041.856849792,2114.078273792,72.221424,pim,10,17,42,22,53.895368
0,30,2114.078273792,2189.377889792,75.299616,pim,11,19,40,24,56.97356
0,31,2189.377889792,2261.599313792,72.221424,pim,10,18,42,22,53.895368
0,32,2261.599313792,2333.820737792,72.221424,pim,10,18,42,22,53.895368
0,33,2333.820737792,2409.120353792,75.299616,pim,11,21,40,24,56.97356
0,34,2409.120353792,2482.898345792,73.777992,pim,11,18,41,23,55.451936
0,35,2482.898345792,2559.569688256,76.671342464,pim,12,16,41,23,58.345286464
0,36,2559.569688256,2630.348875328,70.779187072,pim,10,17,43,21,52.453131072
0,37,2630.348875328,2698.121733312,67.772857984,pim,9,13,46,18,49.446801984
0,38,2698.121733312,2774.793075776,76.671342464,pim,12,19,41,23,58.345286464
0,39,2774.793075776,2851.46441824,76.671342464,pim,12,21,41,23,58.345286464
0,40,2851.46441824,2928.32153824,76.85712,pim,12,21,39,25,58.531064
0,41,2928.32153824,3007.912924096,79.591385856,pim,13,21,39,25,61.265329856
0,42,3007.912924096,3086.290732096,78.377808,pim,12,21,38,26,60.051752
0,43,3086.290732096,3165.993051648,79.702319552,pim,13,22,38,26,61.376263552
0,44,3165.993051648,3242.850171648,76.85712,pim,12,23,39,25,58.531064
0,45,3242.850171648,3322.441557504,79.591385856,pim,13,22,39,25,61.265329856
0,46,3322.441557504,3399.051609664,76.61005216,pim,12,19,40,24,58.28399616
0,47,3399.051609664,3474.351225664,75.299616,pim,11,17,40,24,56.97356
1,0,3474.351225664,3559.871168,85.519942336,pim,15,26,34,30,67.193886336
1,1,3559.871168,3639.573487552,79.702319552,pim,13,21,38,26,61.376263552
1,2,3639.573487552,3721.028863552,81.455376,pim,13,22,36,28,63.12932
1,3,3721.028863552,3797.638915712,76.61005216,pim,12,20,40,24,58.28399616
1,4,3797.638915712,3874.248967872,76.61005216,pim,12,23,40,24,58.28399616
1,5,3874.248967872,3950.920310336,76.671342464,pim,12,20,41,23,58.345286464
1,6,3950.920310336,4032.375686336,81.455376,pim,13,27,36,28,63.12932
1,7,4032.375686336,4116.909878336,84.534192,pim,14,30,34,30,66.208136
1,8,4116.909878336,4199.923694336,83.013816,pim,14,29,35,29,64.68776
1,9,4199.923694336,4279.626013888,79.702319552,pim,13,26,38,26,61.376263552
1,10,4279.626013888,4361.081389888,81.455376,pim,13,23,36,28,63.12932
1,11,4361.081389888,4440.78370944,79.702319552,pim,13,21,38,26,61.376263552
1,12,4440.78370944,4520.71964544,79.935936,pim,13,25,37,27,61.60988
1,13,4520.71964544,4600.65558144,79.935936,pim,13,22,37,27,61.60988
1,14,4600.65558144,4685.18977344,84.534192,pim,14,29,34,30,66.208136
1,15,4685.18977344,4766.64514944,81.455376,pim,13,25,36,28,63.12932
