step,layer,dual_row_buffer,gpu_isolated_us,gpu_contended_us,gpu_contention_delta_us,pim_isolated_us,pim_contended_us,pim_contention_delta_us,total_memory_phase_us,gpu_blocked_by_pim_cycles,pim_blocked_by_gpu_cycles,pim_queue_wait_cycles,gpu_column_issues,pim_column_issues,pim_row_activations,pim_row_conflicts
0,0,True,47.130408,46.954752,-0.175656,15.423408,15.426216,0.002808,46.954752,451840,1408,504549376,4718592,451840,14336,14080
0,1,True,47.130408,46.954752,-0.175656,15.423408,15.426216,0.002808,46.954752,451840,1408,504549376,4718592,451840,14336,14080
0,2,True,47.130408,46.843368,-0.28704,23.137296,23.140104,0.002808,46.843368,677888,1280,854444160,4718592,677888,21504,21248
0,3,True,47.130408,47.070504,-0.059904,9.267024,9.268896,0.001872,47.070504,271104,896,263755520,4718592,271104,8704,8448
0,4,True,47.130408,47.10108,-0.029328,13.90272,13.904592,0.001872,47.10108,406784,896,441570432,4718592,406784,13056,12800
0,5,True,47.130408,47.028384,-0.102024,10.824528,10.827336,0.002808,47.028384,316416,1280,321223552,4718592,316416,10240,9984
0,6,True,47.130408,47.029632,-0.100776,12.345216,12.348024,0.002808,47.029632,361472,1280,379868160,4718592,361472,11520,11264
0,7,True,47.130408,46.958496,-0.171912,21.579792,21.583224,0.003432,46.958496,632576,1536,779591936,4718592,632576,19968,19712
0,8,True,47.130408,47.063328,-0.06708,6.188832,6.190392,0.00156,47.063328,180736,896,156281984,4718592,180736,5888,5632
0,9,True,47.130408,47.028384,-0.102024,10.824528,10.827336,0.002808,47.028384,316416,1280,321223552,4718592,316416,10240,9984
0,10,True,47.130408,46.954752,-0.175656,15.423408,15.426216,0.002808,46.954752,451840,1408,504549376,4718592,451840,14336,14080
0,11,True,47.130408,47.029632,-0.100776,12.345216,12.348024,0.002808,47.029632,361472,1280,379868160,4718592,361472,11520,11264
0,12,True,47.130408,47.028384,-0.102024,10.824528,10.827336,0.002808,47.028384,316416,1280,321223552,4718592,316416,10240,9984
0,13,True,47.130408,47.028384,-0.102024,10.824528,10.827336,0.002808,47.028384,316416,1280,321223552,4718592,316416,10240,9984
0,14,True,47.130408,47.029632,-0.100776,12.345216,12.348024,0.002808,47.029632,361472,1280,379868160,4718592,361472,11520,11264
0,15,True,47.130408,46.954752,-0.175656,15.423408,15.426216,0.002808,46.954752,451840,1408,504549376,4718592,451840,14336,14080
0,16,True,47.130408,47.0184,-0.112008,18.5016,18.504408,0.002808,47.0184,542208,1280,637681536,4718592,542208,17152,16896
0,17,True,47.130408,46.960368,-0.17004,20.059104,20.0616,0.002496,46.960368,587520,1152,708193536,4718592,587520,18688,18432
0,18,True,47.130408,46.960368,-0.17004,20.059104,20.0616,0.002496,46.960368,587520,1152,708193536,4718592,587520,18688,18432
0,19,True,47.130408,46.954752,-0.175656,15.423408,15.426216,0.002808,46.954752,451840,1408,504549376,4718592,451840,14336,14080
