step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,88.507300416,88.507300416,pim,16,10,54,10,70.181244416
0,1,88.507300416,177.014600832,88.507300416,pim,16,10,54,10,70.181244416
0,2,177.014600832,265.389545728,88.374944896,pim,16,15,49,15,70.048888896
0,3,265.389545728,354.02937536,88.639829632,pim,16,6,58,6,70.313773632
0,4,354.02937536,442.68719808,88.65782272,pim,16,9,55,9,70.33176672
0,5,442.68719808,531.280713408,88.593515328,pim,16,7,57,7,70.267459328
0,6,531.280713408,619.871282432,88.590569024,pim,16,8,56,8,70.264513024
0,7,619.871282432,708.365549632,88.4942672,pim,16,14,50,14,70.1682112
0,8,708.365549632,797.006591872,88.64104224,pim,16,4,60,4,70.31498624
0,9,797.006591872,885.6001072,88.593515328,pim,16,7,57,7,70.267459328
0,10,885.6001072,974.107407616,88.507300416,pim,16,10,54,10,70.181244416
0,11,974.107407616,1062.69797664,88.590569024,pim,16,8,56,8,70.264513024
0,12,1062.69797664,1151.291491968,88.593515328,pim,16,7,57,7,70.267459328
0,13,1151.291491968,1239.885007296,88.593515328,pim,16,7,57,7,70.267459328
0,14,1239.885007296,1328.47557632,88.590569024,pim,16,8,56,8,70.264513024
0,15,1328.47557632,1416.982876736,88.507300416,pim,16,10,54,10,70.181244416
0,16,1416.982876736,1505.545436544,88.562559808,pim,16,12,52,12,70.236503808
0,17,1505.545436544,1594.045770048,88.500333504,pim,16,13,51,13,70.174277504
0,18,1594.045770048,1682.546103552,88.500333504,pim,16,13,51,13,70.174277504
0,19,1682.546103552,1771.053403968,88.507300416,pim,16,10,54,10,70.181244416
0,20,1771.053403968,1859.646919296,88.593515328,pim,16,7,57,7,70.267459328
0,21,1859.646919296,1948.304742016,88.65782272,pim,16,9,55,9,70.33176672
0,22,1948.304742016,2036.909765952,88.605023936,pim,16,5,59,5,70.278967936
0,23,2036.909765952,2125.514789888,88.605023936,pim,16,5,59,5,70.278967936
0,24,2125.514789888,2214.022090304,88.507300416,pim,16,10,54,10,70.181244416
0,25,2214.022090304,2302.615605632,88.593515328,pim,16,7,57,7,70.267459328
0,26,2302.615605632,2391.115939136,88.500333504,pim,16,13,51,13,70.174277504
0,27,2391.115939136,2479.773761856,88.65782272,pim,16,9,55,9,70.33176672
0,28,2479.773761856,2568.268029056,88.4942672,pim,16,14,50,14,70.1682112
0,29,2568.268029056,2656.822927168,88.554898112,pim,16,11,53,11,70.228842112
0,30,2656.822927168,2745.317194368,88.4942672,pim,16,14,50,14,70.1682112
0,31,2745.317194368,2833.879754176,88.562559808,pim,16,12,52,12,70.236503808
0,32,2833.879754176,2922.442313984,88.562559808,pim,16,12,52,12,70.236503808
0,33,2922.442313984,3010.947848576,88.505534592,pim,16,16,48,16,70.179478592
0,34,3010.947848576,3099.44818208,88.500333504,pim,16,13,51,13,70.174277504
0,35,3099.44818208,3187.823126976,88.374944896,pim,16,12,49,15,70.048888896
0,36,3187.823126976,3276.378025088,88.554898112,pim,16,11,53,11,70.228842112
0,37,3276.378025088,3365.01785472,88.639829632,pim,16,6,58,6,70.313773632
0,38,3365.01785472,3453.392799616,88.374944896,pim,16,15,49,15,70.048888896
0,39,3453.392799616,3541.830491904,88.437692288,pim,16,17,47,17,70.111636288
0,40,3541.830491904,3630.268184192,88.437692288,pim,16,17,47,17,70.111636288
0,41,3630.268184192,3718.713087872,88.44490368,pim,16,18,45,19,70.11884768
0,42,3718.713087872,3807.170921856,88.457833984,pim,16,17,46,18,70.131777984
0,43,3807.170921856,3895.625983232,88.455061376,pim,16,19,44,20,70.129005376
0,44,3895.625983232,3984.070886912,88.44490368,pim,16,19,45,19,70.11884768
0,45,3984.070886912,4072.515790592,88.44490368,pim,16,19,45,19,70.11884768
0,46,4072.515790592,4161.021325184,88.505534592,pim,16,15,48,16,70.179478592
0,47,4161.021325184,4249.583884992,88.562559808,pim,16,12,52,12,70.236503808
1,0,4249.583884992,4338.152031936,88.568146944,pim,16,25,36,28,70.242090944
1,1,4338.152031936,4426.607093312,88.455061376,pim,16,18,44,20,70.129005376
1,2,4426.607093312,4515.05595008,88.448856768,pim,16,19,42,22,70.122800768
1,3,4515.05595008,4603.561484672,88.505534592,pim,16,16,48,16,70.179478592
1,4,4603.561484672,4692.006388352,88.44490368,pim,16,19,45,19,70.11884768
1,5,4692.006388352,4780.511922944,88.505534592,pim,16,16,48,16,70.179478592
1,6,4780.511922944,4868.987023104,88.47510016,pim,16,24,40,24,70.14904416
1,7,4868.987023104,4957.555170048,88.568146944,pim,16,28,36,28,70.242090944
1,8,4957.555170048,5046.048575296,88.493405248,pim,16,27,37,27,70.167349248
1,9,5046.048575296,5134.55002176,88.501446464,pim,16,23,41,23,70.175390464
1,10,5134.55002176,5222.998878528,88.448856768,pim,16,20,42,22,70.122800768
1,11,5222.998878528,5311.453939904,88.455061376,pim,16,18,44,20,70.129005376
1,12,5311.453939904,5399.902796672,88.448856768,pim,16,22,42,22,70.122800768
1,13,5399.902796672,5488.357095744,88.454299072,pim,16,19,43,21,70.128243072
1,14,5488.357095744,5576.850500992,88.493405248,pim,16,27,37,27,70.167349248
1,15,5576.850500992,5665.29935776,88.448856768,pim,16,22,42,22,70.122800768
1,16,5665.29935776,5753.836719616,88.537361856,pim,16,25,39,25,70.211305856
1,17,5753.836719616,5842.374081472,88.537361856,pim,16,23,39,25,70.211305856
1,18,5842.374081472,5930.911443328,88.537361856,pim,16,24,39,25,70.211305856
1,19,5930.911443328,6019.412889792,88.501446464,pim,16,23,41,23,70.175390464
1,20,6019.412889792,6107.950251648,88.537361856,pim,16,25,39,25,70.211305856
1,21,6107.950251648,6196.425351808,88.47510016,pim,16,24,40,24,70.14904416
1,22,6196.425351808,6284.926798272,88.501446464,pim,16,23,41,23,70.175390464
1,23,6284.926798272,6373.37565504,88.448856768,pim,16,22,42,22,70.122800768
1,24,6373.37565504,6461.829954112,88.454299072,pim,16,21,43,21,70.128243072
1,25,6461.829954112,6550.285015488,88.455061376,pim,16,20,44,20,70.129005376
1,26,6550.285015488,6638.84532704,88.560311552,pim,16,25,38,26,70.234255552
1,27,6638.84532704,6727.346773504,88.501446464,pim,16,23,41,23,70.175390464
1,28,6727.346773504,6815.795630272,88.448856768,pim,16,22,42,22,70.122800768
1,29,6815.795630272,6904.332992128,88.537361856,pim,16,23,39,25,70.211305856
1,30,6904.332992128,6992.89330368,88.560311552,pim,16,26,38,26,70.234255552
1,31,6992.89330368,7081.453615232,88.560311552,pim,16,25,38,26,70.234255552
1,32,7081.453615232,7169.902472,88.448856768,pim,16,22,42,22,70.122800768
1,33,7169.902472,7258.395877248,88.493405248,pim,16,27,37,27,70.167349248
1,34,7258.395877248,7346.850938624,88.455061376,pim,16,20,44,20,70.129005376
1,35,7346.850938624,7435.308772608,88.457833984,pim,16,17,46,18,70.131777984
1,36,7435.308772608,7523.76307168,88.454299072,pim,16,21,43,21,70.128243072
1,37,7523.76307168,7612.220905664,88.457833984,pim,16,18,46,18,70.131777984
1,38,7612.220905664,7700.722352128,88.501446464,pim,16,22,41,23,70.175390464
1,39,7700.722352128,7789.223798592,88.501446464,pim,16,23,41,23,70.175390464
1,40,7789.223798592,7877.761160448,88.537361856,pim,16,23,39,25,70.211305856
1,41,7877.761160448,7966.254565696,88.493405248,pim,16,25,37,27,70.167349248
1,42,7966.254565696,8054.703422464,88.448856768,pim,16,19,42,22,70.122800768
1,43,8054.703422464,8143.178522624,88.47510016,pim,16,19,40,24,70.14904416
1,44,8143.178522624,8231.679969088,88.501446464,pim,16,19,41,23,70.175390464
1,45,8231.679969088,8320.135030464,88.455061376,pim,16,17,44,20,70.129005376
1,46,8320.135030464,8408.579934144,88.44490368,pim,16,15,45,19,70.11884768
1,47,8408.579934144,8496.95487904,88.374944896,pim,16,14,49,15,70.048888896
2,0,8496.95487904,8585.434588416,88.479709376,pim,16,19,44,20,70.129005376
2,1,8585.434588416,8673.913535488,88.478947072,pim,16,19,43,21,70.128243072
2,2,8673.913535488,8762.313128384,88.399592896,pim,16,15,49,15,70.048888896
2,3,8762.313128384,8850.843310976,88.530182592,pim,16,16,48,16,70.179478592
2,4,8850.843310976,8939.323020352,88.479709376,pim,16,20,44,20,70.129005376
2,5,8939.323020352,9027.78536064,88.462340288,pim,16,17,47,17,70.111636288
2,6,9027.78536064,9116.2851088,88.49974816,pim,16,22,40,24,70.14904416
2,7,9116.2851088,9204.764818176,88.479709376,pim,16,20,44,20,70.129005376
2,8,9204.764818176,9293.243765248,88.478947072,pim,16,21,43,21,70.128243072
2,9,9293.243765248,9381.723474624,88.479709376,pim,16,20,44,20,70.129005376
2,10,9381.723474624,9470.203184,88.479709376,pim,16,20,44,20,70.129005376
2,11,9470.203184,9558.665524288,88.462340288,pim,16,17,47,17,70.111636288
2,12,9558.665524288,9647.25048384,88.584959552,pim,16,24,38,26,70.234255552
2,13,9647.25048384,9735.780666432,88.530182592,pim,16,16,48,16,70.179478592
2,14,9735.780666432,9824.365625984,88.584959552,pim,16,22,38,26,70.234255552
2,15,9824.365625984,9912.865374144,88.49974816,pim,16,22,40,24,70.14904416
2,16,9912.865374144,10001.365122304,88.49974816,pim,16,23,40,24,70.14904416
2,17,10001.365122304,10089.92713216,88.562009856,pim,16,25,39,25,70.211305856
2,18,10089.92713216,10178.489142016,88.562009856,pim,16,25,39,25,70.211305856
2,19,10178.489142016,10266.962646784,88.473504768,pim,16,22,42,22,70.122800768
2,20,10266.962646784,10355.436151552,88.473504768,pim,16,22,42,22,70.122800768
2,21,10355.436151552,10443.962246016,88.526094464,pim,16,22,41,23,70.175390464
2,22,10443.962246016,10532.547205568,88.584959552,pim,16,26,38,26,70.234255552
2,23,10532.547205568,10621.073300032,88.526094464,pim,16,23,41,23,70.175390464
2,24,10621.073300032,10709.658259584,88.584959552,pim,16,26,38,26,70.234255552
2,25,10709.658259584,10798.184354048,88.526094464,pim,16,22,41,23,70.175390464
2,26,10798.184354048,10886.710448512,88.526094464,pim,16,23,41,23,70.175390464
2,27,10886.710448512,10975.210196672,88.49974816,pim,16,24,40,24,70.14904416
2,28,10975.210196672,11063.795156224,88.584959552,pim,16,26,38,26,70.234255552
2,29,11063.795156224,11152.380115776,88.584959552,pim,16,26,38,26,70.234255552
2,30,11152.380115776,11241.086652416,88.70653664,pim,16,29,35,29,70.35583264
2,31,11241.086652416,11329.604705664,88.518053248,pim,16,27,37,27,70.167349248
2,32,11329.604705664,11418.078210432,88.473504768,pim,16,22,42,22,70.122800768
2,33,11418.078210432,11506.577958592,88.49974816,pim,16,24,40,24,70.14904416
2,34,11506.577958592,11595.104053056,88.526094464,pim,16,23,41,23,70.175390464
2,35,11595.104053056,11683.634235648,88.530182592,pim,16,16,48,16,70.179478592
2,36,11683.634235648,11772.096575936,88.462340288,pim,16,16,47,17,70.111636288
2,37,11772.096575936,11860.626758528,88.530182592,pim,16,15,48,16,70.179478592
2,38,11860.626758528,11949.089098816,88.462340288,pim,16,17,47,17,70.111636288
2,39,11949.089098816,12037.608014016,88.5189152,pim,16,14,50,14,70.1682112
2,40,12037.608014016,12126.086961088,88.478947072,pim,16,20,43,21,70.128243072
2,41,12126.086961088,12214.556512768,88.46955168,pim,16,17,45,19,70.11884768
2,42,12214.556512768,12303.03545984,88.478947072,pim,16,17,43,21,70.128243072
2,43,12303.03545984,12391.515169216,88.479709376,pim,16,16,44,20,70.129005376
2,44,12391.515169216,12479.994878592,88.479709376,pim,16,18,44,20,70.129005376
2,45,12479.994878592,12568.477360576,88.482481984,pim,16,17,46,18,70.131777984
2,46,12568.477360576,12656.946912256,88.46955168,pim,16,18,45,19,70.11884768
2,47,12656.946912256,12745.42939424,88.482481984,pim,16,15,46,18,70.131777984
3,0,12745.42939424,12834.046525184,88.617130944,pim,16,20,36,28,70.242090944
3,1,12834.046525184,12922.553343168,88.506817984,pim,16,18,46,18,70.131777984
3,2,12922.553343168,13011.10786176,88.554518592,pim,16,15,48,16,70.179478592
3,3,13011.10786176,13099.65111296,88.5432512,pim,16,13,50,14,70.1682112
3,4,13099.65111296,13188.14500064,88.49388768,pim,16,19,45,19,70.11884768
3,5,13188.14500064,13276.631676928,88.486676288,pim,16,17,47,17,70.111636288
3,6,13276.631676928,13365.155761088,88.52408416,pim,16,24,40,24,70.14904416
3,7,13365.155761088,13453.653601856,88.497840768,pim,16,22,42,22,70.122800768
3,8,13453.653601856,13542.140278144,88.486676288,pim,16,17,47,17,70.111636288
3,9,13542.140278144,13630.647096128,88.506817984,pim,16,18,46,18,70.131777984
3,10,13630.647096128,13719.140983808,88.49388768,pim,16,18,45,19,70.11884768
3,11,13719.140983808,13807.6955024,88.554518592,pim,16,15,48,16,70.179478592
3,12,13807.6955024,13896.18939008,88.49388768,pim,16,19,45,19,70.11884768
3,13,13896.18939008,13984.743908672,88.554518592,pim,16,16,48,16,70.179478592
3,14,13984.743908672,14073.23058496,88.486676288,pim,16,15,47,17,70.111636288
3,15,14073.23058496,14161.733868032,88.503283072,pim,16,21,43,21,70.128243072
3,16,14161.733868032,14250.320213888,88.586345856,pim,16,25,39,25,70.211305856
3,17,14250.320213888,14338.824259264,88.504045376,pim,16,20,44,20,70.129005376
3,18,14338.824259264,14427.374689728,88.550430464,pim,16,23,41,23,70.175390464
3,19,14427.374689728,14515.872530496,88.497840768,pim,16,22,42,22,70.122800768
3,20,14515.872530496,14604.366418176,88.49388768,pim,16,19,45,19,70.11884768
3,21,14604.366418176,14692.869701248,88.503283072,pim,16,21,43,21,70.128243072
3,22,14692.869701248,14781.373746624,88.504045376,pim,16,20,44,20,70.129005376
3,23,14781.373746624,14869.867634304,88.49388768,pim,16,17,45,19,70.11884768
3,24,14869.867634304,14958.391718464,88.52408416,pim,16,24,40,24,70.14904416
3,25,14958.391718464,15046.946237056,88.554518592,pim,16,16,48,16,70.179478592
3,26,15046.946237056,15135.449520128,88.503283072,pim,16,21,43,21,70.128243072
3,27,15135.449520128,15223.973604288,88.52408416,pim,16,24,40,24,70.14904416
3,28,15223.973604288,15312.515993536,88.542389248,pim,16,27,37,27,70.167349248
3,29,15312.515993536,15401.013834304,88.497840768,pim,16,22,42,22,70.122800768
3,30,15401.013834304,15489.537918464,88.52408416,pim,16,24,40,24,70.14904416
3,31,15489.537918464,15578.062002624,88.52408416,pim,16,23,40,24,70.14904416
3,32,15578.062002624,15666.565285696,88.503283072,pim,16,21,43,21,70.128243072
3,33,15666.565285696,15755.089369856,88.52408416,pim,16,24,40,24,70.14904416
3,34,15755.089369856,15843.587210624,88.497840768,pim,16,22,42,22,70.122800768
3,35,15843.587210624,15932.073886912,88.486676288,pim,16,16,47,17,70.111636288
3,36,15932.073886912,16020.597971072,88.52408416,pim,16,23,40,24,70.14904416
3,37,16020.597971072,16109.021899968,88.423928896,pim,16,15,49,15,70.048888896
3,38,16109.021899968,16197.525945344,88.504045376,pim,16,20,44,20,70.129005376
3,39,16197.525945344,16286.029228416,88.503283072,pim,16,21,43,21,70.128243072
3,40,16286.029228416,16374.515904704,88.486676288,pim,16,16,47,17,70.111636288
3,41,16374.515904704,16463.002580992,88.486676288,pim,16,16,47,17,70.111636288
3,42,16463.002580992,16551.509398976,88.506817984,pim,16,16,46,18,70.131777984
3,43,16551.509398976,16640.063917568,88.554518592,pim,16,16,48,16,70.179478592
3,44,16640.063917568,16728.567962944,88.504045376,pim,16,20,44,20,70.129005376
3,45,16728.567962944,16817.122481536,88.554518592,pim,16,14,48,16,70.179478592
3,46,16817.122481536,16905.616369216,88.49388768,pim,16,19,45,19,70.11884768
3,47,16905.616369216,16994.16568672,88.549317504,pim,16,13,51,13,70.174277504
4,0,16994.16568672,17082.672504704,88.506817984,pim,16,18,46,18,70.131777984
4,1,17082.672504704,17171.175787776,88.503283072,pim,16,21,43,21,70.128243072
4,2,17171.175787776,17259.679070848,88.503283072,pim,16,21,43,21,70.128243072
4,3,17259.679070848,17348.185888832,88.506817984,pim,16,18,46,18,70.131777984
4,4,17348.185888832,17436.6837296,88.497840768,pim,16,22,42,22,70.122800768
4,5,17436.6837296,17525.181570368,88.497840768,pim,16,22,42,22,70.122800768
4,6,17525.181570368,17613.732000832,88.550430464,pim,16,23,41,23,70.175390464
4,7,17613.732000832,17702.282431296,88.550430464,pim,16,23,41,23,70.175390464
4,8,17702.282431296,17790.785714368,88.503283072,pim,16,21,43,21,70.128243072
4,9,17790.785714368,17879.283555136,88.497840768,pim,16,22,42,22,70.122800768
4,10,17879.283555136,17967.807639296,88.52408416,pim,16,24,40,24,70.14904416
4,11,17967.807639296,18056.35806976,88.550430464,pim,16,23,41,23,70.175390464
4,12,18056.35806976,18144.900459008,88.542389248,pim,16,27,37,27,70.167349248
4,13,18144.900459008,18233.407276992,88.506817984,pim,16,17,46,18,70.131777984
4,14,18233.407276992,18321.910560064,88.503283072,pim,16,21,43,21,70.128243072
4,15,18321.910560064,18410.413843136,88.503283072,pim,16,21,43,21,70.128243072
4,16,18410.413843136,18498.92066112,88.506817984,pim,16,18,46,18,70.131777984
4,17,18498.92066112,18587.427479104,88.506817984,pim,16,18,46,18,70.131777984
4,18,18587.427479104,18675.977909568,88.550430464,pim,16,23,41,23,70.175390464
4,19,18675.977909568,18764.58720512,88.609295552,pim,16,26,38,26,70.234255552
4,20,18764.58720512,18853.091250496,88.504045376,pim,16,20,44,20,70.129005376
4,21,18853.091250496,18941.677596352,88.586345856,pim,16,25,39,25,70.211305856
4,22,18941.677596352,19030.294727296,88.617130944,pim,16,28,36,28,70.242090944
4,23,19030.294727296,19118.818811456,88.52408416,pim,16,24,40,24,70.14904416
4,24,19118.818811456,19207.316652224,88.497840768,pim,16,22,42,22,70.122800768
4,25,19207.316652224,19295.803328512,88.486676288,pim,16,17,47,17,70.111636288
4,26,19295.803328512,19384.310146496,88.506817984,pim,16,18,46,18,70.131777984
4,27,19384.310146496,19472.813429568,88.503283072,pim,16,21,43,21,70.128243072
4,28,19472.813429568,19561.300105856,88.486676288,pim,16,17,47,17,70.111636288
4,29,19561.300105856,19649.854624448,88.554518592,pim,16,16,48,16,70.179478592
