step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,70.779187072,70.779187072,pim,10,16,43,21,52.429419072
0,1,70.779187072,141.525128448,70.745941376,pim,10,16,44,20,52.433613376
0,2,141.525128448,216.824744448,75.299616,pim,11,20,40,24,56.970752
0,3,216.824744448,282.889784448,66.06504,pim,8,14,46,18,47.736176
0,4,282.889784448,353.590832448,70.701048,pim,9,16,43,21,52.353464
0,5,353.590832448,421.351696128,67.76086368,pim,9,14,45,19,49.45758368
0,6,421.351696128,489.112559808,67.76086368,pim,9,15,45,19,49.45758368
0,7,489.112559808,561.333983808,72.221424,pim,10,20,42,22,53.89256
0,8,561.333983808,625.877711808,64.543728,pim,7,13,47,17,46.19708
0,9,625.877711808,693.638575488,67.76086368,pim,9,14,45,19,49.45758368
0,10,693.638575488,767.319500864,73.680925376,pim,11,15,44,20,55.413837376
0,11,767.319500864,838.015660544,70.69615968,pim,10,14,45,19,52.43780768
0,12,838.015660544,907.158892544,69.143232,pim,9,14,44,20,50.814368
0,13,907.158892544,977.855052224,70.69615968,pim,10,13,45,19,52.43780768
0,14,977.855052224,1048.634239296,70.779187072,pim,10,14,43,21,52.429419072
0,15,1048.634239296,1119.335287296,70.701048,pim,9,17,43,21,52.353464
0,16,1119.335287296,1193.030912064,73.695624768,pim,11,17,42,22,55.405448768
0,17,1193.030912064,1265.252336064,72.221424,pim,10,19,42,22,53.89256
0,18,1265.252336064,1337.473760064,72.221424,pim,10,19,42,22,53.89256
0,19,1337.473760064,1408.21970144,70.745941376,pim,10,16,44,20,52.433613376
0,20,1408.21970144,1475.98056512,67.76086368,pim,9,14,45,19,49.45758368
0,21,1475.98056512,1545.12379712,69.143232,pim,9,16,44,20,50.814368
0,22,1545.12379712,1612.8846608,67.76086368,pim,9,12,45,19,49.45758368
0,23,1612.8846608,1680.700539392,67.815878592,pim,9,12,48,16,49.470166592
0,24,1680.700539392,1751.401587392,70.701048,pim,9,17,43,21,52.353464
0,25,1751.401587392,1822.097747072,70.69615968,pim,10,13,45,19,52.43780768
0,26,1822.097747072,1895.875739072,73.777992,pim,11,18,41,23,55.431656
0,27,1895.875739072,1966.576787072,70.701048,pim,9,16,43,21,52.353464
0,28,1966.576787072,2041.876403072,75.299616,pim,11,19,40,24,56.970752
0,29,2041.876403072,2114.097827072,72.221424,pim,10,17,42,22,53.89256
0,30,2114.097827072,2189.397443072,75.299616,pim,11,19,40,24,56.970752
0,31,2189.397443072,2261.618867072,72.221424,pim,10,18,42,22,53.89256
