step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,118.751712,118.751712,pim,0,49,0,64,102.840224
0,1,118.751712,237.503424,118.751712,pim,0,49,0,64,102.840224
0,2,237.503424,356.255136,118.751712,pim,0,49,0,64,102.840224
0,3,356.255136,475.006848,118.751712,pim,0,49,0,64,102.840224
0,4,475.006848,593.75856,118.751712,pim,0,49,0,64,102.840224
0,5,593.75856,712.510272,118.751712,pim,0,49,0,64,102.840224
0,6,712.510272,831.261984,118.751712,pim,0,49,0,64,102.840224
0,7,831.261984,950.013696,118.751712,pim,0,49,0,64,102.840224
0,8,950.013696,1068.765408,118.751712,pim,0,49,0,64,102.840224
0,9,1068.765408,1187.51712,118.751712,pim,0,49,0,64,102.840224
0,10,1187.51712,1306.268832,118.751712,pim,0,49,0,64,102.840224
0,11,1306.268832,1425.020544,118.751712,pim,0,49,0,64,102.840224
0,12,1425.020544,1543.772256,118.751712,pim,0,49,0,64,102.840224
0,13,1543.772256,1662.523968,118.751712,pim,0,49,0,64,102.840224
0,14,1662.523968,1781.27568,118.751712,pim,0,49,0,64,102.840224
0,15,1781.27568,1900.027392,118.751712,pim,0,49,0,64,102.840224
0,16,1900.027392,2018.779104,118.751712,pim,0,49,0,64,102.840224
0,17,2018.779104,2137.530816,118.751712,pim,0,49,0,64,102.840224
0,18,2137.530816,2256.282528,118.751712,pim,0,49,0,64,102.840224
0,19,2256.282528,2375.03424,118.751712,pim,0,49,0,64,102.840224
0,20,2375.03424,2493.785952,118.751712,pim,0,49,0,64,102.840224
0,21,2493.785952,2612.537664,118.751712,pim,0,49,0,64,102.840224
0,22,2612.537664,2731.289376,118.751712,pim,0,49,0,64,102.840224
0,23,2731.289376,2850.041088,118.751712,pim,0,49,0,64,102.840224
0,24,2850.041088,2968.7928,118.751712,pim,0,49,0,64,102.840224
0,25,2968.7928,3087.544512,118.751712,pim,0,49,0,64,102.840224
0,26,3087.544512,3206.296224,118.751712,pim,0,49,0,64,102.840224
0,27,3206.296224,3325.047936,118.751712,pim,0,49,0,64,102.840224
0,28,3325.047936,3443.799648,118.751712,pim,0,49,0,64,102.840224
0,29,3443.799648,3562.55136,118.751712,pim,0,49,0,64,102.840224
0,30,3562.55136,3681.303072,118.751712,pim,0,49,0,64,102.840224
0,31,3681.303072,3800.054784,118.751712,pim,0,49,0,64,102.840224
0,32,3800.054784,3918.806496,118.751712,pim,0,49,0,64,102.840224
0,33,3918.806496,4037.558208,118.751712,pim,0,49,0,64,102.840224
0,34,4037.558208,4156.30992,118.751712,pim,0,49,0,64,102.840224
0,35,4156.30992,4275.061632,118.751712,pim,0,49,0,64,102.840224
0,36,4275.061632,4393.813344,118.751712,pim,0,49,0,64,102.840224
0,37,4393.813344,4512.565056,118.751712,pim,0,49,0,64,102.840224
0,38,4512.565056,4631.316768,118.751712,pim,0,49,0,64,102.840224
0,39,4631.316768,4750.06848,118.751712,pim,0,49,0,64,102.840224
0,40,4750.06848,4868.820192,118.751712,pim,0,49,0,64,102.840224
0,41,4868.820192,4987.571904,118.751712,pim,0,49,0,64,102.840224
0,42,4987.571904,5106.323616,118.751712,pim,0,49,0,64,102.840224
0,43,5106.323616,5225.075328,118.751712,pim,0,49,0,64,102.840224
0,44,5225.075328,5343.82704,118.751712,pim,0,49,0,64,102.840224
0,45,5343.82704,5462.578752,118.751712,pim,0,49,0,64,102.840224
0,46,5462.578752,5581.330464,118.751712,pim,0,49,0,64,102.840224
0,47,5581.330464,5700.082176,118.751712,pim,0,49,0,64,102.840224
1,0,5700.082176,5818.850272,118.768096,pim,0,49,0,64,102.856608
1,1,5818.850272,5937.618368,118.768096,pim,0,49,0,64,102.856608
1,2,5937.618368,6056.386464,118.768096,pim,0,49,0,64,102.856608
1,3,6056.386464,6175.15456,118.768096,pim,0,49,0,64,102.856608
1,4,6175.15456,6293.922656,118.768096,pim,0,49,0,64,102.856608
1,5,6293.922656,6412.690752,118.768096,pim,0,49,0,64,102.856608
1,6,6412.690752,6531.458848,118.768096,pim,0,49,0,64,102.856608
1,7,6531.458848,6650.226944,118.768096,pim,0,49,0,64,102.856608
1,8,6650.226944,6768.99504,118.768096,pim,0,49,0,64,102.856608
1,9,6768.99504,6887.763136,118.768096,pim,0,49,0,64,102.856608
1,10,6887.763136,7006.531232,118.768096,pim,0,49,0,64,102.856608
1,11,7006.531232,7125.299328,118.768096,pim,0,49,0,64,102.856608
1,12,7125.299328,7244.067424,118.768096,pim,0,49,0,64,102.856608
1,13,7244.067424,7362.83552,118.768096,pim,0,49,0,64,102.856608
1,14,7362.83552,7481.603616,118.768096,pim,0,49,0,64,102.856608
1,15,7481.603616,7600.371712,118.768096,pim,0,49,0,64,102.856608
1,16,7600.371712,7719.139808,118.768096,pim,0,49,0,64,102.856608
1,17,7719.139808,7837.907904,118.768096,pim,0,49,0,64,102.856608
1,18,7837.907904,7956.676,118.768096,pim,0,49,0,64,102.856608
1,19,7956.676,8075.444096,118.768096,pim,0,49,0,64,102.856608
1,20,8075.444096,8194.212192,118.768096,pim,0,49,0,64,102.856608
1,21,8194.212192,8312.980288,118.768096,pim,0,49,0,64,102.856608
1,22,8312.980288,8431.748384,118.768096,pim,0,49,0,64,102.856608
1,23,8431.748384,8550.51648,118.768096,pim,0,49,0,64,102.856608
1,24,8550.51648,8669.284576,118.768096,pim,0,49,0,64,102.856608
1,25,8669.284576,8788.052672,118.768096,pim,0,49,0,64,102.856608
1,26,8788.052672,8906.820768,118.768096,pim,0,49,0,64,102.856608
1,27,8906.820768,9025.588864,118.768096,pim,0,49,0,64,102.856608
