step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,80.096211456,80.096211456,gpu,49,0,64,0,61.071187456
0,1,80.096211456,160.192422912,80.096211456,gpu,49,0,64,0,61.071187456
0,2,160.192422912,240.288634368,80.096211456,gpu,49,0,64,0,61.071187456
0,3,240.288634368,320.384845824,80.096211456,gpu,49,0,64,0,61.071187456
0,4,320.384845824,400.48105728,80.096211456,gpu,49,0,64,0,61.071187456
0,5,400.48105728,480.577268736,80.096211456,gpu,49,0,64,0,61.071187456
0,6,480.577268736,560.673480192,80.096211456,gpu,49,0,64,0,61.071187456
0,7,560.673480192,640.769691648,80.096211456,gpu,49,0,64,0,61.071187456
0,8,640.769691648,720.865903104,80.096211456,gpu,49,0,64,0,61.071187456
0,9,720.865903104,800.96211456,80.096211456,gpu,49,0,64,0,61.071187456
0,10,800.96211456,881.058326016,80.096211456,gpu,49,0,64,0,61.071187456
0,11,881.058326016,961.154537472,80.096211456,gpu,49,0,64,0,61.071187456
0,12,961.154537472,1041.250748928,80.096211456,gpu,49,0,64,0,61.071187456
0,13,1041.250748928,1121.346960384,80.096211456,gpu,49,0,64,0,61.071187456
0,14,1121.346960384,1201.44317184,80.096211456,gpu,49,0,64,0,61.071187456
0,15,1201.44317184,1281.539383296,80.096211456,gpu,49,0,64,0,61.071187456
0,16,1281.539383296,1361.635594752,80.096211456,gpu,49,0,64,0,61.071187456
0,17,1361.635594752,1441.731806208,80.096211456,gpu,49,0,64,0,61.071187456
0,18,1441.731806208,1521.828017664,80.096211456,gpu,49,0,64,0,61.071187456
0,19,1521.828017664,1601.92422912,80.096211456,gpu,49,0,64,0,61.071187456
0,20,1601.92422912,1682.020440576,80.096211456,gpu,49,0,64,0,61.071187456
0,21,1682.020440576,1762.116652032,80.096211456,gpu,49,0,64,0,61.071187456
0,22,1762.116652032,1842.212863488,80.096211456,gpu,49,0,64,0,61.071187456
0,23,1842.212863488,1922.309074944,80.096211456,gpu,49,0,64,0,61.071187456
0,24,1922.309074944,2002.4052864,80.096211456,gpu,49,0,64,0,61.071187456
0,25,2002.4052864,2082.501497856,80.096211456,gpu,49,0,64,0,61.071187456
0,26,2082.501497856,2162.597709312,80.096211456,gpu,49,0,64,0,61.071187456
0,27,2162.597709312,2242.693920768,80.096211456,gpu,49,0,64,0,61.071187456
0,28,2242.693920768,2322.790132224,80.096211456,gpu,49,0,64,0,61.071187456
0,29,2322.790132224,2402.88634368,80.096211456,gpu,49,0,64,0,61.071187456
0,30,2402.88634368,2482.982555136,80.096211456,gpu,49,0,64,0,61.071187456
0,31,2482.982555136,2563.078766592,80.096211456,gpu,49,0,64,0,61.071187456
0,32,2563.078766592,2643.174978048,80.096211456,gpu,49,0,64,0,61.071187456
0,33,2643.174978048,2723.271189504,80.096211456,gpu,49,0,64,0,61.071187456
0,34,2723.271189504,2803.36740096,80.096211456,gpu,49,0,64,0,61.071187456
0,35,2803.36740096,2883.463612416,80.096211456,gpu,49,0,64,0,61.071187456
0,36,2883.463612416,2963.559823872,80.096211456,gpu,49,0,64,0,61.071187456
0,37,2963.559823872,3043.656035328,80.096211456,gpu,49,0,64,0,61.071187456
0,38,3043.656035328,3123.752246784,80.096211456,gpu,49,0,64,0,61.071187456
0,39,3123.752246784,3203.84845824,80.096211456,gpu,49,0,64,0,61.071187456
0,40,3203.84845824,3283.944669696,80.096211456,gpu,49,0,64,0,61.071187456
0,41,3283.944669696,3364.040881152,80.096211456,gpu,49,0,64,0,61.071187456
0,42,3364.040881152,3444.137092608,80.096211456,gpu,49,0,64,0,61.071187456
0,43,3444.137092608,3524.233304064,80.096211456,gpu,49,0,64,0,61.071187456
0,44,3524.233304064,3604.32951552,80.096211456,gpu,49,0,64,0,61.071187456
0,45,3604.32951552,3684.425726976,80.096211456,gpu,49,0,64,0,61.071187456
0,46,3684.425726976,3764.521938432,80.096211456,gpu,49,0,64,0,61.071187456
0,47,3764.521938432,3844.618149888,80.096211456,gpu,49,0,64,0,61.071187456
1,0,3844.618149888,3924.716409344,80.098259456,gpu,49,0,64,0,61.071187456
1,1,3924.716409344,4004.8146688,80.098259456,gpu,49,0,64,0,61.071187456
1,2,4004.8146688,4084.912928256,80.098259456,gpu,49,0,64,0,61.071187456
1,3,4084.912928256,4165.011187712,80.098259456,gpu,49,0,64,0,61.071187456
