step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,94.559891456,94.559891456,pim,49,0,64,0,61.071187456
0,1,94.559891456,189.119782912,94.559891456,pim,49,0,64,0,61.071187456
0,2,189.119782912,283.679674368,94.559891456,pim,49,0,64,0,61.071187456
0,3,283.679674368,378.239565824,94.559891456,pim,49,0,64,0,61.071187456
0,4,378.239565824,472.79945728,94.559891456,pim,49,0,64,0,61.071187456
0,5,472.79945728,567.359348736,94.559891456,pim,49,0,64,0,61.071187456
0,6,567.359348736,661.919240192,94.559891456,pim,49,0,64,0,61.071187456
0,7,661.919240192,756.479131648,94.559891456,pim,49,0,64,0,61.071187456
0,8,756.479131648,851.039023104,94.559891456,pim,49,0,64,0,61.071187456
0,9,851.039023104,945.59891456,94.559891456,pim,49,0,64,0,61.071187456
0,10,945.59891456,1040.158806016,94.559891456,pim,49,0,64,0,61.071187456
0,11,1040.158806016,1134.718697472,94.559891456,pim,49,0,64,0,61.071187456
0,12,1134.718697472,1229.278588928,94.559891456,pim,49,0,64,0,61.071187456
0,13,1229.278588928,1323.838480384,94.559891456,pim,49,0,64,0,61.071187456
0,14,1323.838480384,1418.39837184,94.559891456,pim,49,0,64,0,61.071187456
0,15,1418.39837184,1512.958263296,94.559891456,pim,49,0,64,0,61.071187456
0,16,1512.958263296,1607.518154752,94.559891456,pim,49,0,64,0,61.071187456
0,17,1607.518154752,1702.078046208,94.559891456,pim,49,0,64,0,61.071187456
0,18,1702.078046208,1796.637937664,94.559891456,pim,49,0,64,0,61.071187456
0,19,1796.637937664,1891.19782912,94.559891456,pim,49,0,64,0,61.071187456
0,20,1891.19782912,1985.757720576,94.559891456,pim,49,0,64,0,61.071187456
0,21,1985.757720576,2080.317612032,94.559891456,pim,49,0,64,0,61.071187456
0,22,2080.317612032,2174.877503488,94.559891456,pim,49,0,64,0,61.071187456
0,23,2174.877503488,2269.437394944,94.559891456,pim,49,0,64,0,61.071187456
0,24,2269.437394944,2363.9972864,94.559891456,pim,49,0,64,0,61.071187456
0,25,2363.9972864,2458.557177856,94.559891456,pim,49,0,64,0,61.071187456
0,26,2458.557177856,2553.117069312,94.559891456,pim,49,0,64,0,61.071187456
