step,layer,name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
0,0,step0.layer0.norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
0,0,step0.layer0.qkv,qkv,GPU_COMPUTE,step0.layer0.norm1,1.008192000,3.635776000,4.643968000,step0.layer0.norm1,QKV projection
0,0,step0.layer0.rope,rope,GPU_COMPUTE,step0.layer0.qkv,4.643968000,1.018432000,5.662400000,step0.layer0.qkv,QK norm and RoPE
0,0,step0.layer0.attention,attention,PIM_COMPUTE,step0.layer0.rope,5.662400000,17.577216000,23.239616000,step0.layer0.rope,decode attention on PIM
0,0,step0.layer0.o_proj,attention_output,GPU_COMPUTE,step0.layer0.attention,23.239616000,3.109440000,26.349056000,step0.layer0.attention,attention output projection
0,0,step0.layer0.residual1,residual,GPU_COMPUTE,step0.layer0.o_proj,26.349056000,1.012288000,27.361344000,step0.layer0.o_proj,residual add
0,0,step0.layer0.norm2,norm,GPU_COMPUTE,step0.layer0.residual1,27.361344000,1.008192000,28.369536000,step0.layer0.residual1,RMSNorm
0,0,step0.layer0.router,router,GPU_COMPUTE,step0.layer0.norm2,28.369536000,2.069888000,30.439424000,step0.layer0.norm2,MoE router
0,0,step0.layer0.metadata,metadata,GPU_COMPUTE,step0.layer0.router,30.439424000,1.000128000,31.439552000,step0.layer0.router,routing metadata
0,0,step0.layer0.dispatch,dispatch,,step0.layer0.metadata,31.439552000,0.000000000,31.439552000,step0.layer0.metadata,single-GPU dispatch placeholder
0,0,step0.layer0.scheduler,scheduler,GPU_COMPUTE,step0.layer0.metadata,31.439552000,0.000000000,31.439552000,step0.layer0.metadata,pimoe placement policy
0,0,step0.layer0.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer0.scheduler,31.439552000,2.359296000,33.798848000,step0.layer0.scheduler,expert weights HBM to GPU
0,0,step0.layer0.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer0.gpu_weight_load;step0.layer0.dispatch,33.798848000,3.054525952,36.853373952,step0.layer0.gpu_weight_load,grouped expert GEMM
0,0,step0.layer0.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer0.scheduler;step0.layer0.dispatch,31.439552000,0.076112000,31.515664000,step0.layer0.scheduler,PIM_GWRITE token operands
0,0,step0.layer0.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer0.pim_gwrite,31.515664000,67.812048000,99.327712000,step0.layer0.pim_gwrite,serialized PIM expert GEMV
0,0,step0.layer0.pim_read,pim_read,GPU_PIM_IO,step0.layer0.pim_expert_compute,99.327712000,0.076112000,99.403824000,step0.layer0.pim_expert_compute,PIM expert result read
0,0,step0.layer0.combine,combine,GPU_COMPUTE,step0.layer0.gpu_expert_compute;step0.layer0.pim_read,99.403824000,1.036864000,100.440688000,step0.layer0.pim_read,weighted expert combine
0,0,step0.layer0.residual2,residual,GPU_COMPUTE,step0.layer0.combine,100.440688000,1.012288000,101.452976000,step0.layer0.combine,residual add
0,1,step0.layer1.norm1,norm,GPU_COMPUTE,step0.layer0.residual2,101.452976000,1.008192000,102.461168000,step0.layer0.residual2,RMSNorm
0,1,step0.layer1.qkv,qkv,GPU_COMPUTE,step0.layer1.norm1,102.461168000,3.635776000,106.096944000,step0.layer1.norm1,QKV projection
0,1,step0.layer1.rope,rope,GPU_COMPUTE,step0.layer1.qkv,106.096944000,1.018432000,107.115376000,step0.layer1.qkv,QK norm and RoPE
0,1,step0.layer1.attention,attention,PIM_COMPUTE,step0.layer1.rope,107.115376000,17.577216000,124.692592000,step0.layer1.rope,decode attention on PIM
0,1,step0.layer1.o_proj,attention_output,GPU_COMPUTE,step0.layer1.attention,124.692592000,3.109440000,127.802032000,step0.layer1.attention,attention output projection
0,1,step0.layer1.residual1,residual,GPU_COMPUTE,step0.layer1.o_proj,127.802032000,1.012288000,128.814320000,step0.layer1.o_proj,residual add
0,1,step0.layer1.norm2,norm,GPU_COMPUTE,step0.layer1.residual1,128.814320000,1.008192000,129.822512000,step0.layer1.residual1,RMSNorm
0,1,step0.layer1.router,router,GPU_COMPUTE,step0.layer1.norm2,129.822512000,2.069888000,131.892400000,step0.layer1.norm2,MoE router
0,1,step0.layer1.metadata,metadata,GPU_COMPUTE,step0.layer1.router,131.892400000,1.000128000,132.892528000,step0.layer1.router,routing metadata
0,1,step0.layer1.dispatch,dispatch,,step0.layer1.metadata,132.892528000,0.000000000,132.892528000,step0.layer1.metadata,single-GPU dispatch placeholder
0,1,step0.layer1.scheduler,scheduler,GPU_COMPUTE,step0.layer1.metadata,132.892528000,0.000000000,132.892528000,step0.layer1.metadata,pimoe placement policy
0,1,step0.layer1.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer1.scheduler,132.892528000,2.359296000,135.251824000,step0.layer1.scheduler,expert weights HBM to GPU
0,1,step0.layer1.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer1.gpu_weight_load;step0.layer1.dispatch,135.251824000,3.054525952,138.306349952,step0.layer1.gpu_weight_load,grouped expert GEMM
0,1,step0.layer1.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer1.scheduler;step0.layer1.dispatch,132.892528000,0.076112000,132.968640000,step0.layer1.scheduler,PIM_GWRITE token operands
0,1,step0.layer1.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer1.pim_gwrite,132.968640000,67.812048000,200.780688000,step0.layer1.pim_gwrite,serialized PIM expert GEMV
0,1,step0.layer1.pim_read,pim_read,GPU_PIM_IO,step0.layer1.pim_expert_compute,200.780688000,0.076112000,200.856800000,step0.layer1.pim_expert_compute,PIM expert result read
0,1,step0.layer1.combine,combine,GPU_COMPUTE,step0.layer1.gpu_expert_compute;step0.layer1.pim_read,200.856800000,1.036864000,201.893664000,step0.layer1.pim_read,weighted expert combine
0,1,step0.layer1.residual2,residual,GPU_COMPUTE,step0.layer1.combine,201.893664000,1.012288000,202.905952000,step0.layer1.combine,residual add
0,2,step0.layer2.norm1,norm,GPU_COMPUTE,step0.layer1.residual2,202.905952000,1.008192000,203.914144000,step0.layer1.residual2,RMSNorm
0,2,step0.layer2.qkv,qkv,GPU_COMPUTE,step0.layer2.norm1,203.914144000,3.635776000,207.549920000,step0.layer2.norm1,QKV projection
0,2,step0.layer2.rope,rope,GPU_COMPUTE,step0.layer2.qkv,207.549920000,1.018432000,208.568352000,step0.layer2.qkv,QK norm and RoPE
0,2,step0.layer2.attention,attention,PIM_COMPUTE,step0.layer2.rope,208.568352000,17.577216000,226.145568000,step0.layer2.rope,decode attention on PIM
0,2,step0.layer2.o_proj,attention_output,GPU_COMPUTE,step0.layer2.attention,226.145568000,3.109440000,229.255008000,step0.layer2.attention,attention output projection
0,2,step0.layer2.residual1,residual,GPU_COMPUTE,step0.layer2.o_proj,229.255008000,1.012288000,230.267296000,step0.layer2.o_proj,residual add
0,2,step0.layer2.norm2,norm,GPU_COMPUTE,step0.layer2.residual1,230.267296000,1.008192000,231.275488000,step0.layer2.residual1,RMSNorm
0,2,step0.layer2.router,router,GPU_COMPUTE,step0.layer2.norm2,231.275488000,2.069888000,233.345376000,step0.layer2.norm2,MoE router
0,2,step0.layer2.metadata,metadata,GPU_COMPUTE,step0.layer2.router,233.345376000,1.000128000,234.345504000,step0.layer2.router,routing metadata
0,2,step0.layer2.dispatch,dispatch,,step0.layer2.metadata,234.345504000,0.000000000,234.345504000,step0.layer2.metadata,single-GPU dispatch placeholder
0,2,step0.layer2.scheduler,scheduler,GPU_COMPUTE,step0.layer2.metadata,234.345504000,0.000000000,234.345504000,step0.layer2.metadata,pimoe placement policy
0,2,step0.layer2.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer2.scheduler,234.345504000,2.359296000,236.704800000,step0.layer2.scheduler,expert weights HBM to GPU
0,2,step0.layer2.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer2.gpu_weight_load;step0.layer2.dispatch,236.704800000,3.054525952,239.759325952,step0.layer2.gpu_weight_load,grouped expert GEMM
0,2,step0.layer2.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer2.scheduler;step0.layer2.dispatch,234.345504000,0.076112000,234.421616000,step0.layer2.scheduler,PIM_GWRITE token operands
0,2,step0.layer2.pim_expert_compute,pim_expert,PIM_COMPUTE,step0.layer2.pim_gwrite,234.421616000,67.812048000,302.233664000,step0.layer2.pim_gwrite,serialized PIM expert GEMV
0,2,step0.layer2.pim_read,pim_read,GPU_PIM_IO,step0.layer2.pim_expert_compute,302.233664000,0.076112000,302.309776000,step0.layer2.pim_expert_compute,PIM expert result read
0,2,step0.layer2.combine,combine,GPU_COMPUTE,step0.layer2.gpu_expert_compute;step0.layer2.pim_read,302.309776000,1.036864000,303.346640000,step0.layer2.pim_read,weighted expert combine
0,2,step0.layer2.residual2,residual,GPU_COMPUTE,step0.layer2.combine,303.346640000,1.012288000,304.358928000,step0.layer2.combine,residual add
0,3,step0.layer3.norm1,norm,GPU_COMPUTE,step0.layer2.residual2,304.358928000,1.008192000,305.367120000,step0.layer2.residual2,RMSNorm
0,3,step0.layer3.qkv,qkv,GPU_COMPUTE,step0.layer3.norm1,305.367120000,3.635776000,309.002896000,step0.layer3.norm1,QKV projection
0,3,step0.layer3.rope,rope,GPU_COMPUTE,step0.layer3.qkv,309.002896000,1.018432000,310.021328000,step0.layer3.qkv,QK norm and RoPE
0,3,step0.layer3.attention,attention,PIM_COMPUTE,step0.layer3.rope,310.021328000,17.577216000,327.598544000,step0.layer3.rope,decode attention on PIM
0,3,step0.layer3.o_proj,attention_output,GPU_COMPUTE,step0.layer3.attention,327.598544000,3.109440000,330.707984000,step0.layer3.attention,attention output projection
0,3,step0.layer3.residual1,residual,GPU_COMPUTE,step0.layer3.o_proj,330.707984000,1.012288000,331.720272000,step0.layer3.o_proj,residual add
0,3,step0.layer3.norm2,norm,GPU_COMPUTE,step0.layer3.residual1,331.720272000,1.008192000,332.728464000,step0.layer3.residual1,RMSNorm
0,3,step0.layer3.router,router,GPU_COMPUTE,step0.layer3.norm2,332.728464000,2.069888000,334.798352000,step0.layer3.norm2,MoE router
0,3,step0.layer3.metadata,metadata,GPU_COMPUTE,step0.layer3.router,334.798352000,1.000128000,335.798480000,step0.layer3.router,routing metadata
0,3,step0.layer3.dispatch,dispatch,,step0.layer3.metadata,335.798480000,0.000000000,335.798480000,step0.layer3.metadata,single-GPU dispatch placeholder
0,3,step0.layer3.scheduler,scheduler,GPU_COMPUTE,step0.layer3.metadata,335.798480000,0.000000000,335.798480000,step0.layer3.metadata,pimoe placement policy
0,3,step0.layer3.gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,step0.layer3.scheduler,335.798480000,2.359296000,338.157776000,step0.layer3.scheduler,expert weights HBM to GPU
0,3,step0.layer3.gpu_expert_compute,gpu_expert,GPU_COMPUTE,step0.layer3.gpu_weight_load;step0.layer3.dispatch,338.157776000,3.054525952,341.212301952,step0.layer3.gpu_weight_load,grouped expert GEMM
0,3,step0.layer3.pim_gwrite,pim_write,GPU_PIM_IO,step0.layer3.scheduler;step0.layer3.dispatch,335.798480000,0.076112000,335.874592000,step0.layer3.scheduler,PIM_GWRITE token operands
