step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,101.452976,101.452976,pim,2,47,13,51,85.541488
0,1,101.452976,202.905952,101.452976,pim,2,47,13,51,85.541488
0,2,202.905952,304.358928,101.452976,pim,2,47,13,51,85.541488
0,3,304.358928,405.811904,101.452976,pim,2,47,13,51,85.541488
0,4,405.811904,507.26488,101.452976,pim,2,47,13,51,85.541488
0,5,507.26488,608.717856,101.452976,pim,2,47,13,51,85.541488
0,6,608.717856,710.170832,101.452976,pim,2,47,13,51,85.541488
0,7,710.170832,811.623808,101.452976,pim,2,47,13,51,85.541488
0,8,811.623808,913.076784,101.452976,pim,2,47,13,51,85.541488
0,9,913.076784,1014.52976,101.452976,pim,2,47,13,51,85.541488
0,10,1014.52976,1115.982736,101.452976,pim,2,47,13,51,85.541488
0,11,1115.982736,1217.435712,101.452976,pim,2,47,13,51,85.541488
0,12,1217.435712,1318.888688,101.452976,pim,2,47,13,51,85.541488
0,13,1318.888688,1420.341664,101.452976,pim,2,47,13,51,85.541488
0,14,1420.341664,1521.79464,101.452976,pim,2,47,13,51,85.541488
0,15,1521.79464,1623.247616,101.452976,pim,2,47,13,51,85.541488
0,16,1623.247616,1724.700592,101.452976,pim,2,47,13,51,85.541488
0,17,1724.700592,1826.153568,101.452976,pim,2,47,13,51,85.541488
0,18,1826.153568,1927.606544,101.452976,pim,2,47,13,51,85.541488
0,19,1927.606544,2029.05952,101.452976,pim,2,47,13,51,85.541488
0,20,2029.05952,2130.512496,101.452976,pim,2,47,13,51,85.541488
0,21,2130.512496,2231.965472,101.452976,pim,2,47,13,51,85.541488
0,22,2231.965472,2333.418448,101.452976,pim,2,47,13,51,85.541488
0,23,2333.418448,2434.871424,101.452976,pim,2,47,13,51,85.541488
0,24,2434.871424,2536.3244,101.452976,pim,2,47,13,51,85.541488
0,25,2536.3244,2637.777376,101.452976,pim,2,47,13,51,85.541488
0,26,2637.777376,2739.230352,101.452976,pim,2,47,13,51,85.541488
0,27,2739.230352,2840.683328,101.452976,pim,2,47,13,51,85.541488
0,28,2840.683328,2942.136304,101.452976,pim,2,47,13,51,85.541488
0,29,2942.136304,3043.58928,101.452976,pim,2,47,13,51,85.541488
0,30,3043.58928,3145.042256,101.452976,pim,2,47,13,51,85.541488
0,31,3145.042256,3246.495232,101.452976,pim,2,47,13,51,85.541488
0,32,3246.495232,3347.948208,101.452976,pim,2,47,13,51,85.541488
0,33,3347.948208,3449.401184,101.452976,pim,2,47,13,51,85.541488
0,34,3449.401184,3550.85416,101.452976,pim,2,47,13,51,85.541488
0,35,3550.85416,3652.307136,101.452976,pim,2,47,13,51,85.541488
0,36,3652.307136,3753.760112,101.452976,pim,2,47,13,51,85.541488
0,37,3753.760112,3855.213088,101.452976,pim,2,47,13,51,85.541488
0,38,3855.213088,3956.666064,101.452976,pim,2,47,13,51,85.541488
0,39,3956.666064,4058.11904,101.452976,pim,2,47,13,51,85.541488
0,40,4058.11904,4159.572016,101.452976,pim,2,47,13,51,85.541488
0,41,4159.572016,4261.024992,101.452976,pim,2,47,13,51,85.541488
0,42,4261.024992,4362.477968,101.452976,pim,2,47,13,51,85.541488
0,43,4362.477968,4463.930944,101.452976,pim,2,47,13,51,85.541488
0,44,4463.930944,4565.38392,101.452976,pim,2,47,13,51,85.541488
