step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,94.434572288,94.434572288,pim,32,17,47,17,40.945868288
0,1,94.434572288,188.869144576,94.434572288,pim,32,17,47,17,40.945868288
0,2,188.869144576,283.303716864,94.434572288,pim,32,17,47,17,40.945868288
0,3,283.303716864,377.738289152,94.434572288,pim,32,17,47,17,40.945868288
0,4,377.738289152,472.17286144,94.434572288,pim,32,17,47,17,40.945868288
0,5,472.17286144,566.607433728,94.434572288,pim,32,17,47,17,40.945868288
0,6,566.607433728,661.042006016,94.434572288,pim,32,17,47,17,40.945868288
0,7,661.042006016,755.476578304,94.434572288,pim,32,17,47,17,40.945868288
0,8,755.476578304,849.911150592,94.434572288,pim,32,17,47,17,40.945868288
0,9,849.911150592,944.34572288,94.434572288,pim,32,17,47,17,40.945868288
0,10,944.34572288,1038.780295168,94.434572288,pim,32,17,47,17,40.945868288
0,11,1038.780295168,1133.214867456,94.434572288,pim,32,17,47,17,40.945868288
0,12,1133.214867456,1227.649439744,94.434572288,pim,32,17,47,17,40.945868288
0,13,1227.649439744,1322.084012032,94.434572288,pim,32,17,47,17,40.945868288
0,14,1322.084012032,1416.51858432,94.434572288,pim,32,17,47,17,40.945868288
0,15,1416.51858432,1510.953156608,94.434572288,pim,32,17,47,17,40.945868288
0,16,1510.953156608,1605.387728896,94.434572288,pim,32,17,47,17,40.945868288
0,17,1605.387728896,1699.822301184,94.434572288,pim,32,17,47,17,40.945868288
0,18,1699.822301184,1794.256873472,94.434572288,pim,32,17,47,17,40.945868288
0,19,1794.256873472,1888.69144576,94.434572288,pim,32,17,47,17,40.945868288
0,20,1888.69144576,1983.126018048,94.434572288,pim,32,17,47,17,40.945868288
0,21,1983.126018048,2077.560590336,94.434572288,pim,32,17,47,17,40.945868288
0,22,2077.560590336,2171.995162624,94.434572288,pim,32,17,47,17,40.945868288
0,23,2171.995162624,2266.429734912,94.434572288,pim,32,17,47,17,40.945868288
0,24,2266.429734912,2360.8643072,94.434572288,pim,32,17,47,17,40.945868288
0,25,2360.8643072,2455.298879488,94.434572288,pim,32,17,47,17,40.945868288
0,26,2455.298879488,2549.733451776,94.434572288,pim,32,17,47,17,40.945868288
0,27,2549.733451776,2644.168024064,94.434572288,pim,32,17,47,17,40.945868288
0,28,2644.168024064,2738.602596352,94.434572288,pim,32,17,47,17,40.945868288
0,29,2738.602596352,2833.03716864,94.434572288,pim,32,17,47,17,40.945868288
0,30,2833.03716864,2927.471740928,94.434572288,pim,32,17,47,17,40.945868288
0,31,2927.471740928,3021.906313216,94.434572288,pim,32,17,47,17,40.945868288
0,32,3021.906313216,3116.340885504,94.434572288,pim,32,17,47,17,40.945868288
