batch_size,context_length,policy,layers,decode_steps,kv_cache_bytes,attention_latency_us,expert_latency_us,gpu_expert_latency_us,pim_expert_latency_us,total_latency_us,throughput_request_tokens_per_s,attention_latency_share,peak_memory_bytes,model_weights_bytes,activation_bytes,physical_a800_memory_bytes,simulated_capacity_bytes,physical_feasible,simulated_feasible,capacity_state,gpu_expert_count,pim_expert_count,routing_template_layer
8,512,sieve,48,1,402653184,441.053184,1060.841299968,1060.841299968,643.52256,3225.645907968,2480.123432097,0.136733292,61467594752,61064220672,720896,80000000000,96000000000,True,True,feasible,16,10,0
8,2048,sieve,48,1,1610612736,1649.012736,1629.085605888,1629.085605888,0.0,5001.849765888,1599.408293819,0.329680581,62675554304,61064220672,720896,80000000000,96000000000,True,True,feasible,26,0,0
8,4096,sieve,48,1,3221225472,3259.625472,1629.085605888,1629.085605888,0.0,6612.462501888,1209.836728407,0.492951827,64286167040,61064220672,720896,80000000000,96000000000,True,True,feasible,26,0,0
8,8192,sieve,48,1,6442450944,6480.850944,1629.085605888,1629.085605888,0.0,9833.687973888,813.52998196,0.659045819,67507392512,61064220672,720896,80000000000,96000000000,True,True,feasible,26,0,0
8,16384,sieve,48,1,12884901888,12923.301888,1629.085605888,1629.085605888,0.0,16276.138917888,491.517063129,0.794002924,73949843456,61064220672,720896,80000000000,96000000000,True,True,feasible,26,0,0
8,32768,sieve,48,1,25769803776,25808.203776,1629.085605888,1629.085605888,0.0,29161.040805888,274.338630547,0.88502341,86834745344,61064220672,720896,80000000000,96000000000,False,True,simulated_only,26,0,0
16,4096,sieve,48,1,6442450944,6519.250944,1641.970507776,1641.970507776,0.0,9891.086155776,1617.618100582,0.659103646,67508113408,61064220672,1441792,80000000000,96000000000,True,True,feasible,26,0,0
16,8192,sieve,48,1,12884901888,12961.701888,1641.970507776,1641.970507776,0.0,16333.537099776,979.579615993,0.793563685,73950564352,61064220672,1441792,80000000000,96000000000,True,True,feasible,26,0,0
16,16384,sieve,48,1,25769803776,25846.603776,1641.970507776,1641.970507776,0.0,29218.438987776,547.599411683,0.884599064,86835466240,61064220672,1441792,80000000000,96000000000,False,True,simulated_only,26,0,0
16,32768,sieve,48,1,51539607552,51616.407552,1641.970507776,1641.970507776,0.0,54988.242763776,290.97129124,0.938680797,112605270016,61064220672,1441792,80000000000,96000000000,False,False,infeasible,26,0,0
32,4096,sieve,48,1,12884901888,13038.501888,1667.740311552,1667.740311552,0.0,16448.333463552,1945.485849427,0.792694404,73952006144,61064220672,2883584,80000000000,96000000000,True,True,feasible,26,0,0
32,8192,sieve,48,1,25769803776,25923.403776,1667.740311552,1667.740311552,0.0,29333.235351552,1090.912734872,0.883755353,86836908032,61064220672,2883584,80000000000,96000000000,False,True,simulated_only,26,0,0
32,16384,sieve,48,1,51539607552,51693.207552,1667.740311552,1667.740311552,0.0,55103.039127552,580.730219361,0.938118993,112606711808,61064220672,2883584,80000000000,96000000000,False,False,infeasible,26,0,0
