batch_size,context_length,domain,local_capacity_bytes,cxl_capacity_bytes,kv_cache_bytes,model_weights_bytes,activation_bytes,peak_memory_bytes,spill_destination,timing_modelled,state,feasible,admission_status,resident_capacity_bytes,spill_capacity_bytes,resident_bytes,spill_bytes,unallocated_bytes,resident_headroom_bytes,spill_headroom_bytes
8,32768,a800,80000000000,0,25769803776,61064220672,720896,86834745344,none,False,oom,False,infeasible,80000000000,0,80000000000,0,6834745344,0,0
8,32768,a800,80000000000,16000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,16000000000,80000000000,6834745344,0,0,9165254656
8,32768,a800,80000000000,32000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,32000000000,80000000000,6834745344,0,0,25165254656
8,32768,a800,80000000000,64000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,64000000000,80000000000,6834745344,0,0,57165254656
8,32768,simulated,96000000000,0,25769803776,61064220672,720896,86834745344,none,False,resident,True,feasible,96000000000,0,86834745344,0,0,9165254656,0
8,32768,simulated,96000000000,16000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,16000000000,86834745344,0,0,9165254656,16000000000
8,32768,simulated,96000000000,32000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,32000000000,86834745344,0,0,9165254656,32000000000
8,32768,simulated,96000000000,64000000000,25769803776,61064220672,720896,86834745344,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,64000000000,86834745344,0,0,9165254656,64000000000
16,16384,a800,80000000000,0,25769803776,61064220672,1441792,86835466240,none,False,oom,False,infeasible,80000000000,0,80000000000,0,6835466240,0,0
16,16384,a800,80000000000,16000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,16000000000,80000000000,6835466240,0,0,9164533760
16,16384,a800,80000000000,32000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,32000000000,80000000000,6835466240,0,0,25164533760
16,16384,a800,80000000000,64000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,64000000000,80000000000,6835466240,0,0,57164533760
16,16384,simulated,96000000000,0,25769803776,61064220672,1441792,86835466240,none,False,resident,True,feasible,96000000000,0,86835466240,0,0,9164533760,0
16,16384,simulated,96000000000,16000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,16000000000,86835466240,0,0,9164533760,16000000000
16,16384,simulated,96000000000,32000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,32000000000,86835466240,0,0,9164533760,32000000000
16,16384,simulated,96000000000,64000000000,25769803776,61064220672,1441792,86835466240,hypothetical-cxl-memory-only,False,resident,True,feasible,96000000000,64000000000,86835466240,0,0,9164533760,64000000000
16,32768,a800,80000000000,0,51539607552,61064220672,1441792,112605270016,none,False,oom,False,infeasible,80000000000,0,80000000000,0,32605270016,0,0
16,32768,a800,80000000000,16000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,oom,False,infeasible,80000000000,16000000000,80000000000,16000000000,16605270016,0,0
16,32768,a800,80000000000,32000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,oom,False,infeasible,80000000000,32000000000,80000000000,32000000000,605270016,0,0
16,32768,a800,80000000000,64000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,64000000000,80000000000,32605270016,0,0,31394729984
16,32768,simulated,96000000000,0,51539607552,61064220672,1441792,112605270016,none,False,oom,False,infeasible,96000000000,0,96000000000,0,16605270016,0,0
16,32768,simulated,96000000000,16000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,oom,False,infeasible,96000000000,16000000000,96000000000,16000000000,605270016,0,0
16,32768,simulated,96000000000,32000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,spill,True,feasible,96000000000,32000000000,96000000000,16605270016,0,0,15394729984
16,32768,simulated,96000000000,64000000000,51539607552,61064220672,1441792,112605270016,hypothetical-cxl-memory-only,False,spill,True,feasible,96000000000,64000000000,96000000000,16605270016,0,0,47394729984
32,16384,a800,80000000000,0,51539607552,61064220672,2883584,112606711808,none,False,oom,False,infeasible,80000000000,0,80000000000,0,32606711808,0,0
32,16384,a800,80000000000,16000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,oom,False,infeasible,80000000000,16000000000,80000000000,16000000000,16606711808,0,0
32,16384,a800,80000000000,32000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,oom,False,infeasible,80000000000,32000000000,80000000000,32000000000,606711808,0,0
32,16384,a800,80000000000,64000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,spill,True,feasible,80000000000,64000000000,80000000000,32606711808,0,0,31393288192
32,16384,simulated,96000000000,0,51539607552,61064220672,2883584,112606711808,none,False,oom,False,infeasible,96000000000,0,96000000000,0,16606711808,0,0
32,16384,simulated,96000000000,16000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,oom,False,infeasible,96000000000,16000000000,96000000000,16000000000,606711808,0,0
32,16384,simulated,96000000000,32000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,spill,True,feasible,96000000000,32000000000,96000000000,16606711808,0,0,15393288192
32,16384,simulated,96000000000,64000000000,51539607552,61064220672,2883584,112606711808,hypothetical-cxl-memory-only,False,spill,True,feasible,96000000000,64000000000,96000000000,16606711808,0,0,47393288192
