case,policy,layer,batch_size,context_length,request_scale,capacity_state,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,local_kv_latency_us,cxl_kv_latency_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,gpu_request_completion_us,local_kv_request_completion_us,cxl_kv_request_completion_us,pim_request_completion_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,gpu-only,0,8,32768,4096,spill,0.0,20.245915456000002,20.245915456000002,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,1,8,32768,4096,spill,20.245915456000002,40.491830912,20.245915455999995,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,2,8,32768,4096,spill,40.491830912,60.73774636799999,20.24591545599999,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,3,8,32768,4096,spill,60.73774636799999,80.98366182400001,20.24591545600002,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4,8,32768,4096,spill,80.98366182400001,101.22957728000002,20.245915456000006,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,5,8,32768,4096,spill,101.22957728000002,121.47549273600002,20.245915456000006,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,6,8,32768,4096,spill,121.47549273600002,141.72140819200004,20.24591545600002,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,7,8,32768,4096,spill,141.72140819200004,161.96732364800005,20.245915456000006,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,8,8,32768,4096,spill,161.96732364800005,182.21323910400008,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,9,8,32768,4096,spill,182.21323910400008,202.45915456000012,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,10,8,32768,4096,spill,202.45915456000012,222.70507001600015,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,11,8,32768,4096,spill,222.70507001600015,242.95098547200018,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,12,8,32768,4096,spill,242.95098547200018,263.1969009280002,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,13,8,32768,4096,spill,263.1969009280002,283.4428163840003,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,14,8,32768,4096,spill,283.4428163840003,303.6887318400004,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,15,8,32768,4096,spill,303.6887318400004,323.9346472960005,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,16,8,32768,4096,spill,323.9346472960005,344.1805627520006,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,17,8,32768,4096,spill,344.1805627520006,364.4264782080007,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,18,8,32768,4096,spill,364.4264782080007,384.67239366400077,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,19,8,32768,4096,spill,384.67239366400077,404.91830912000086,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,20,8,32768,4096,spill,404.91830912000086,425.16422457600095,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,21,8,32768,4096,spill,425.16422457600095,445.41014003200104,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,22,8,32768,4096,spill,445.41014003200104,465.65605548800113,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,23,8,32768,4096,spill,465.65605548800113,485.9019709440012,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,24,8,32768,4096,spill,485.9019709440012,506.1478864000013,20.24591545600009,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,25,8,32768,4096,spill,506.1478864000013,526.3938018560015,20.245915456000148,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,26,8,32768,4096,spill,526.3938018560015,546.6397173120015,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,27,8,32768,4096,spill,546.6397173120015,566.8856327680015,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,28,8,32768,4096,spill,566.8856327680015,587.1315482240016,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,29,8,32768,4096,spill,587.1315482240016,607.3774636800016,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,30,8,32768,4096,spill,607.3774636800016,627.6233791360016,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,31,8,32768,4096,spill,627.6233791360016,647.8692945920017,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,32,8,32768,4096,spill,647.8692945920017,668.1152100480017,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,33,8,32768,4096,spill,668.1152100480017,688.3611255040017,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,34,8,32768,4096,spill,688.3611255040017,708.6070409600018,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,35,8,32768,4096,spill,708.6070409600018,728.8529564160018,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,36,8,32768,4096,spill,728.8529564160018,749.0988718720018,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,37,8,32768,4096,spill,749.0988718720018,769.3447873280019,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,38,8,32768,4096,spill,769.3447873280019,789.5907027840019,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,39,8,32768,4096,spill,789.5907027840019,809.8366182400019,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,40,8,32768,4096,spill,809.8366182400019,830.082533696002,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,41,8,32768,4096,spill,830.082533696002,850.328449152002,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,42,8,32768,4096,spill,850.328449152002,870.574364608002,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,43,8,32768,4096,spill,870.574364608002,890.8202800640021,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,44,8,32768,4096,spill,890.8202800640021,911.0661955200021,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
