scenario,design_id,schedule_mode,policy,layer,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,routing_control_latency_us,expert_latency_us,combine_latency_us,cxl_pim_pipeline_us,interpolation
resident-local-counterfactual,none,resident,gpu-only-expert-placement,0,0.0,15125.77663489159,15125.77663489159,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,1,15125.77663489159,30251.55326978319,15125.776634891601,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,2,30251.55326978319,45377.32990467478,15125.776634891587,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,3,45377.32990467478,60503.10653956637,15125.77663489159,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,4,60503.10653956637,75628.88317445795,15125.776634891583,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,5,75628.88317445795,90754.65980934951,15125.776634891561,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,6,90754.65980934951,105880.43644424107,15125.776634891561,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,7,105880.43644424107,121006.21307913263,15125.776634891561,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,8,121006.21307913263,136131.98971402424,15125.776634891605,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,9,136131.98971402424,151257.76634891587,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,10,151257.76634891587,166383.5429838075,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,11,166383.5429838075,181509.31961869914,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,12,181509.31961869914,196635.09625359077,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,13,196635.09625359077,211760.8728884824,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
resident-local-counterfactual,none,resident,gpu-only-expert-placement,14,211760.8728884824,226886.64952337404,15125.776634891634,12492.566875315139,3.070016,26.557051456,1.036864,0.0,0
