design_id,channels,total_pseudo_channels,mac_interval_ps,partial_scalar_bytes,query_bytes,partial_result_bytes,pim_mac_waves,branch_us_per_layer,best_decode_ms,worst_decode_ms,best_throughput_tokens_per_s,worst_throughput_tokens_per_s,robustly_beats_memory_only,robustly_beats_resident
c2_mac12288_p2,2,4,12288,2,65536,266240,185406,2288.6682000000005,573.3112993759162,684.1273729759163,13.954024643694414,11.693728852275624,True,True
c2_mac12288_p4,2,4,12288,4,65536,532480,185406,2295.3409440000005,573.3112993759162,684.4476646879162,13.954024643694414,11.688256696219009,True,True
c2_mac24576_p2,2,4,24576,2,65536,266240,185406,4566.937128,573.3112993759162,793.4842815199162,13.954024643694414,10.082115281068996,True,False
c2_mac24576_p4,2,4,24576,4,65536,532480,185406,4573.609872,573.3112993759162,793.8045732319162,13.954024643694414,10.078047254664453,True,False
c2_mac49152_p2,2,4,49152,2,65536,266240,185406,9123.474984,573.3112993759162,1012.1980986079162,13.954024643694414,7.903591215002736,False,False
c2_mac49152_p4,2,4,49152,4,65536,532480,185406,9130.147728,573.3112993759162,1012.5183903199162,13.954024643694414,7.901091058180497,False,False
c4_mac12288_p2,4,8,12288,2,65536,532480,92703,1154.0764559999998,573.3112993759162,629.6669692639161,13.954024643694414,12.705128886389007,True,True
c4_mac12288_p4,4,8,12288,4,65536,1064960,92703,1165.29192,573.3112993759162,630.2053115359162,13.954024643694414,12.694275744047058,True,True
c4_mac24576_p2,4,8,24576,2,65536,532480,92703,2293.2109200000004,573.3112993759162,684.3454235359162,13.954024643694414,11.690002920842415,True,True
c4_mac24576_p4,4,8,24576,4,65536,1064960,92703,2304.426384000001,573.3112993759162,684.8837658079162,13.954024643694414,11.68081417518034,True,True
c4_mac49152_p2,4,8,49152,2,65536,532480,92703,4571.479848,573.3112993759162,793.7023320799162,13.954024643694414,10.079345463223984,True,False
c4_mac49152_p4,4,8,49152,4,65536,1064960,92703,4582.695312,573.3112993759162,794.2406743519163,13.954024643694414,10.072513607450075,True,False
c8_mac12288_p2,8,16,12288,2,65536,1064960,46352,593.600904,573.3112993759162,602.7641427679162,13.954024643694414,13.27218962173777,True,True
c8_mac12288_p4,8,16,12288,4,65536,2129920,46352,613.901808,573.3112993759162,603.7385861599162,13.954024643694414,13.250768102936837,True,True
c8_mac24576_p2,8,16,24576,2,65536,1064960,46352,1163.1740639999998,573.3112993759162,630.1036544479161,13.954024643694414,12.696323761222168,True,True
c8_mac24576_p4,8,16,24576,4,65536,2129920,46352,1183.474968,573.3112993759162,631.0780978399162,13.954024643694414,12.67671945418923,True,True
c8_mac49152_p2,8,16,49152,2,65536,1064960,46352,2302.3210080000003,573.3112993759162,684.7827077599162,13.954024643694414,11.682537992482118,True,True
c8_mac49152_p4,8,16,49152,4,65536,2129920,46352,2322.621912,573.3112993759162,685.7571511519162,13.954024643694414,11.665937404461356,True,True
