factor,value,rows,mean_decode_ms,median_decode_ms,min_decode_ms,max_decode_ms,mean_throughput_tokens_per_s,fraction_beating_memory_only,fraction_beating_resident
channels,2,54,701.6240147999162,683.1625817119162,573.3112993759162,1012.5183903199162,11.783254739169214,0.8888888888888888,0.6666666666666666
channels,4,54,637.9960227359162,628.6622509279161,573.3112993759162,794.2406743519163,12.67171684239718,1.0,0.8888888888888888
channels,8,54,606.4276780319161,601.7594206879162,573.3112993759162,685.7571511519162,13.232816064362082,1.0,1.0
total_pseudo_channels,4,54,701.6240147999162,683.1625817119162,573.3112993759162,1012.5183903199162,11.783254739169214,0.8888888888888888,0.6666666666666666
total_pseudo_channels,8,54,637.9960227359162,628.6622509279161,573.3112993759162,794.2406743519163,12.67171684239718,1.0,0.8888888888888888
total_pseudo_channels,16,54,606.4276780319161,601.7594206879162,573.3112993759162,685.7571511519162,13.232816064362082,1.0,1.0
mac_interval_ps,12288,54,606.1548203039162,601.3983054559162,573.3112993759162,684.4476646879162,13.238055017313286,1.0,1.0
mac_interval_ps,24576,54,638.0506327199162,628.7375325919162,573.3112993759162,793.8045732319162,12.670219249450026,1.0,0.8888888888888888
mac_interval_ps,49152,54,701.8422625439161,683.4159868639163,573.3112993759162,1012.5183903199162,11.779513379165165,0.8888888888888888,0.6666666666666666
partial_scalar_bytes,2,81,648.5298154079162,628.3483614559161,573.3112993759162,1012.1980986079162,12.565421847774667,0.9629629629629629,0.8518518518518519
partial_scalar_bytes,4,81,648.8353283039162,628.6175325919162,573.3112993759162,1012.5183903199162,12.55976991617765,0.9629629629629629,0.8518518518518519
overlap_fraction,0.0,54,723.6538443359161,684.0950403679162,601.8041427679161,1012.5183903199162,11.315435608792821,0.8888888888888888,0.6666666666666666
overlap_fraction,0.5,54,648.6825718559162,628.8322680799162,587.5577210719161,793.3948448479163,12.428049298790674,1.0,0.8888888888888888
overlap_fraction,1.0,54,573.7112993759162,573.5512993759162,573.3112993759162,574.2712993759162,13.944302738344984,1.0,1.0
merge_us_per_layer,0.0,54,648.2825718559162,628.2938488159161,573.3112993759162,1011.5583903199162,12.5706046783617,0.9629629629629629,0.8518518518518519
merge_us_per_layer,5.0,54,648.5225718559161,628.5338488159161,573.5512993759162,1011.7983903199162,12.565794935756813,0.9629629629629629,0.8518518518518519
merge_us_per_layer,20.0,54,649.2425718559163,629.2538488159162,574.2712993759161,1012.5183903199162,12.551388031809962,0.9629629629629629,0.8518518518518519
