design_id,channels,total_pseudo_channels,mac_interval_ps,partial_scalar_bytes,overlap_fraction,merge_us_per_layer,query_link_us_per_layer,pim_gwrite_us_per_layer,pim_mac_us_per_layer,pim_read_us_per_layer,result_link_us_per_layer,cxl_pim_branch_us_per_layer,local_gpu_attention_ms,cxl_pim_branch_ms_per_decode,estimated_attention_ms,estimated_decode_ms,estimated_throughput_tokens_per_s,beats_memory_only_cxl,beats_resident_counterfactual
c2_mac12288_p2,2,4,12288,2,0.0,0.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,556.7733045162465,683.1673729759162,11.710161106130613,True,True
c2_mac12288_p2,2,4,12288,2,0.0,5.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,557.0133045162465,683.4073729759162,11.706048714639673,True,True
c2_mac12288_p2,2,4,12288,2,0.0,20.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,557.7333045162466,684.1273729759163,11.693728852275624,True,True
c2_mac12288_p2,2,4,12288,2,0.5,0.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,501.8452677162465,628.2393361759162,12.73400046659906,True,True
c2_mac12288_p2,2,4,12288,2,0.5,5.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,502.0852677162465,628.4793361759162,12.72913768124389,True,True
c2_mac12288_p2,2,4,12288,2,0.5,20.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,502.8052677162465,629.1993361759162,12.714571583342073,True,True
c2_mac12288_p2,2,4,12288,2,1.0,0.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,446.91723091624647,573.3112993759162,13.954024643694414,True,True
c2_mac12288_p2,2,4,12288,2,1.0,5.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,447.1572309162465,573.5512993759162,13.948185643908115,True,True
c2_mac12288_p2,2,4,12288,2,1.0,20.0,1.36656,2.097888,2278.269552,2.143128,4.791072,2288.6682000000005,446.91723091624647,109.85607360000003,447.87723091624645,574.2712993759162,13.930697927432423,True,True
c2_mac12288_p4,2,4,12288,4,0.0,0.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,557.0935962282465,683.4876646879162,11.704673563717991,True,True
c2_mac12288_p4,2,4,12288,4,0.0,5.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,557.3335962282465,683.7276646879162,11.700565024894168,True,True
c2_mac12288_p4,2,4,12288,4,0.0,20.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,558.0535962282465,684.4476646879162,11.688256696219009,True,True
c2_mac12288_p4,2,4,12288,4,0.5,0.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,502.0054135722465,628.3994820319162,12.730755242082905,True,True
c2_mac12288_p4,2,4,12288,4,0.5,5.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,502.2454135722465,628.6394820319163,12.725894934473487,True,True
c2_mac12288_p4,2,4,12288,4,0.5,20.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,502.96541357224646,629.3594820319162,12.71133625280679,True,True
c2_mac12288_p4,2,4,12288,4,1.0,0.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,446.91723091624647,573.3112993759162,13.954024643694414,True,True
c2_mac12288_p4,2,4,12288,4,1.0,5.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,447.1572309162465,573.5512993759162,13.948185643908115,True,True
c2_mac12288_p4,2,4,12288,4,1.0,20.0,1.36656,2.097888,2278.269552,4.273152,9.333792,2295.3409440000005,446.91723091624647,110.17636531200003,447.87723091624645,574.2712993759162,13.930697927432423,True,True
c2_mac24576_p2,2,4,24576,2,0.0,0.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,666.1302130602464,792.5242815199161,10.094327942429056,True,False
c2_mac24576_p2,2,4,24576,2,0.0,5.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,666.3702130602464,792.7642815199162,10.091272004160068,True,False
c2_mac24576_p2,2,4,24576,2,0.0,20.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,667.0902130602465,793.4842815199162,10.082115281068996,True,False
c2_mac24576_p2,2,4,24576,2,0.5,0.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,556.5237219882465,682.9177904479162,11.714440759777121,True,True
c2_mac24576_p2,2,4,24576,2,0.5,5.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,556.7637219882465,683.1577904479162,11.710325362395055,True,True
c2_mac24576_p2,2,4,24576,2,0.5,20.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,557.4837219882465,683.8777904479163,11.697996501334364,True,True
c2_mac24576_p2,2,4,24576,2,1.0,0.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,446.91723091624647,573.3112993759162,13.954024643694414,True,True
c2_mac24576_p2,2,4,24576,2,1.0,5.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,447.1572309162465,573.5512993759162,13.948185643908115,True,True
c2_mac24576_p2,2,4,24576,2,1.0,20.0,1.36656,2.097888,4556.53848,2.143128,4.791072,4566.937128,446.91723091624647,219.21298214399997,447.87723091624645,574.2712993759162,13.930697927432423,True,True
c2_mac24576_p4,2,4,24576,4,0.0,0.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,666.4505047722464,792.8445732319161,10.090250056690378,True,False
c2_mac24576_p4,2,4,24576,4,0.0,5.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,666.6905047722464,793.0845732319161,10.08719658661248,True,False
c2_mac24576_p4,2,4,24576,4,0.0,20.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,667.4105047722464,793.8045732319162,10.078047254664453,True,False
c2_mac24576_p4,2,4,24576,4,0.5,0.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,556.6838678442464,683.0779363039161,11.711694339429853,True,True
c2_mac24576_p4,2,4,24576,4,0.5,5.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,556.9238678442464,683.3179363039161,11.707580871171334,True,True
c2_mac24576_p4,2,4,24576,4,0.5,20.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,557.6438678442464,684.0379363039161,11.695257785301578,True,True
c2_mac24576_p4,2,4,24576,4,1.0,0.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,446.9172309162464,573.3112993759162,13.954024643694414,True,True
c2_mac24576_p4,2,4,24576,4,1.0,5.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,447.1572309162464,573.5512993759162,13.948185643908115,True,True
c2_mac24576_p4,2,4,24576,4,1.0,20.0,1.36656,2.097888,4556.53848,4.273152,9.333792,4573.609872,446.91723091624647,219.533273856,447.8772309162464,574.2712993759161,13.930697927432425,True,True
c2_mac49152_p2,2,4,49152,2,0.0,0.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,884.8440301482465,1011.2380986079162,7.911094341691543,False,False
c2_mac49152_p2,2,4,49152,2,0.0,5.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,885.0840301482465,1011.4780986079162,7.909217224782517,False,False
c2_mac49152_p2,2,4,49152,2,0.0,20.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,885.8040301482465,1012.1980986079162,7.903591215002736,False,False
c2_mac49152_p2,2,4,49152,2,0.5,0.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,665.8806305322464,792.2746989919161,10.097507859558226,True,False
c2_mac49152_p2,2,4,49152,2,0.5,5.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,666.1206305322464,792.5146989919161,10.094449995913076,True,False
c2_mac49152_p2,2,4,49152,2,0.5,20.0,1.36656,2.097888,9113.076336,2.143128,4.791072,9123.474984,446.91723091624647,437.926799232,666.8406305322465,793.2346989919162,10.085287507173874,True,False
